Table LA3: Eligibility and performance of children who have been looked after continuously for at least 12 months1 at Key Stage 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2009-20132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: England, All schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,,,,,2010,,,,,,,2011,,,,,,,2012,,,,,,,20132,,,,,
,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,,,
,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wirral,100,45,,24.4,x,x,,100,45,,31.9,x,x,,100,45,,27.3,x,x,,100,30,,53.1,x,x,,100,50,,52.9,11.8,15.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORKSHIRE AND THE HUMBER,.,500,,22.2,8.6,8.6,,.,500,,34.1,13.7,13.9,,.,510,,36.5,12.5,12.7,,.,490,,39.1,13.6,14.0,,.,480,,38.0,14.1,14.3
Barnsley,90-99,20,,x,x,x,,100,15,,x,x,x,,100,30,,39.3,x,x,,100,25,,43.5,x,x,,100,15,,46.2,x,x
Bradford,100,75,,24.7,15.1,15.1,,100,55,,35.1,x,x,,100,50,,32.7,11.5,11.5,,100,55,,50.9,19.3,19.3,,100,55,,42.1,x,x
Calderdale,100,15,,x,x,x,,100,20,,28.6,x,x,,100,20,,x,0.0,0.0,,100,10,,x,x,x,,100,15,,47.1,x,x
Doncaster,100,30,,31.3,x,x,,100,30,,21.9,x,x,,100,40,,32.5,x,x,,100,40,,41.0,x,x,,100,35,,27.3,x,x
East Riding of Yorkshire,100,15,,x,x,x,,90-99,20,,50.0,40.9,40.9,,100,30,,43.8,x,x,,100,15,,41.2,x,x,,100,25,,x,x,x
"Kingston Upon Hull, City of",100,45,,30.2,x,x,,100,30,,40.6,x,x,,100,35,,48.5,x,x,,100,30,,41.9,19.4,19.4,,100,45,,47.7,x,x
Kirklees,100,25,,x,x,x,,100,30,,x,x,x,,100,30,,34.4,x,x,,100,35,,x,x,x,,100,35,,24.3,16.2,16.2
Leeds,90-99,110,,15.5,x,x,,100,105,,39.0,16.2,16.2,,90-99,100,,36.4,10.1,10.1,,100,95,,43.0,15.1,15.1,,90-99,90,,48.9,17.8,17.8
North East Lincolnshire,100,15,,46.7,x,x,,100,10,,x,x,x,,100,15,,53.8,x,x,,100,15,,46.7,x,x,,100,10,,54.5,x,x
North Lincolnshire,100,5,,x,0.0,0.0,,100,15,,x,x,x,,100,10,,x,x,x,,100,15,,x,x,x,,100,15,,53.8,x,x
North Yorkshire,100,30,,31.3,x,x,,100,35,,42.4,18.2,18.2,,100,35,,39.4,x,18.2,,100,35,,40.0,x,20.0,,100,25,,30.8,x,x
Rotherham,100,25,,x,x,x,,100,25,,44.0,28.0,28.0,,100,25,,40.0,x,x,,100,30,,40.6,18.8,18.8,,100,25,,25.9,22.2,25.9
Sheffield,100,45,,23.4,x,x,,90-99,55,,25.9,x,x,,100,50,,22.4,x,x,,90-99,40,,26.2,x,x,,90-99,45,,23.3,16.3,16.3
Wakefield,100,30,,27.6,x,x,,100,25,,44.4,x,x,,100,30,,57.1,25.0,25.0,,100,30,,32.3,0.0,0.0,,90-99,20,,42.9,x,x
York,90-99,10,,0.0,0.0,0.0,,90-99,20,,x,x,x,,100,20,,x,x,x,,100,15,,50.0,x,x,,100,25,,38.5,23.1,23.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST MIDLANDS,.,270,,21.2,9.7,9.7,,.,330,,23.2,7.0,7.6,,.,360,,31.5,10.0,10.6,,.,320,,35.6,13.0,13.6,,.,320,,36.4,13.0,13.3
Derby,100,30,,x,x,x,,90-99,25,,x,x,x,,100,35,,54.3,17.1,20.0,,100,35,,45.9,29.7,29.7,,100,25,,38.5,x,x
Derbyshire,100,30,,32.1,x,x,,100,50,,26.9,x,x,,100,70,,25.0,11.8,13.2,,100,55,,25.9,x,x,,100,50,,33.3,18.8,18.8
Leicester,90-99,25,,x,x,x,,100,35,,x,x,x,,100,35,,25.0,x,x,,100,35,,36.4,x,x,,100,30,,41.9,x,x
Leicestershire,100,30,,x,x,x,,100,20,,x,x,x,,100,35,,35.3,x,x,,100,30,,36.7,x,x,,100,35,,20.6,x,x
Lincolnshire,100,55,,23.2,10.7,10.7,,100,50,,32.7,x,x,,100,40,,35.9,x,x,,90-99,35,,51.4,24.3,24.3,,100,35,,40.5,16.2,16.2
Northamptonshire,100,40,,18.4,x,x,,100,60,,15.3,x,x,,100,65,,31.3,12.5,12.5,,100,60,,20.0,x,10.0,,100,45,,25.5,x,x
Nottingham,90-99,35,,21.2,x,x,,90-99,40,,25.6,x,x,,100,35,,17.6,x,x,,100,30,,34.5,0.0,0.0,,100,45,,46.7,15.6,15.6
Nottinghamshire,90-99,30,,28.1,x,x,,90-99,40,,33.3,x,x,,90-99,50,,32.7,14.3,14.3,,90-99,40,,46.3,x,x,,100,55,,42.9,12.5,12.5
Rutland,100,x,,x,0.0,0.0,,<90,x,,0.0,0.0,0.0,,.,0,,.,.,.,,<90,x,,x,0.0,0.0,,.,0,,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST MIDLANDS,.,510,,24.4,9.9,10.5,,.,580,,29.9,13.4,13.9,,.,590,,37.1,14.2,14.3,,.,620,,38.7,17.0,18.0,,.,560,,41.6,16.7,17.4
Birmingham,90-99,125,,24.8,11.2,11.2,,90-99,140,,30.7,12.1,12.9,,100,130,,39.4,14.4,14.4,,100,140,,40.8,18.3,20.4,,90-99,115,,40.5,12.1,13.8
Coventry,100,45,,16.3,x,x,,100,45,,28.9,x,x,,100,40,,41.5,x,x,,100,55,,41.1,12.5,14.3,,100,40,,55.0,30.0,32.5
Dudley,100,30,,25.0,x,x,,100,35,,45.7,34.3,34.3,,90-99,35,,38.9,22.2,22.2,,100,35,,55.6,27.8,27.8,,100,45,,37.8,15.6,17.8
Herefordshire,100,20,,44.4,x,x,,90-99,15,,x,x,x,,100,15,,x,x,x,,100,15,,x,x,x,,100,10,,x,x,x
Sandwell,100,25,,x,x,x,,100,30,,25.0,x,x,,100,35,,40.0,x,x,,90-99,35,,45.7,17.1,17.1,,100,40,,38.1,x,x
Shropshire,100,20,,x,x,x,,100,15,,x,x,35.3,,100,20,,x,x,x,,100,20,,x,x,x,,100,20,,x,x,x
Solihull,<90,30,,28.6,x,x,,90-99,45,,21.3,x,x,,100,50,,46.9,14.3,14.3,,100,35,,48.5,18.2,21.2,,100,25,,50.0,x,x
Staffordshire,90-99,60,,24.1,12.1,12.1,,90-99,45,,28.3,13.0,13.0,,90-99,65,,33.3,16.7,16.7,,90-99,75,,40.0,21.3,21.3,,90-99,55,,46.3,18.5,18.5
Stoke-on-Trent,100,30,,28.6,x,x,,100,40,,29.3,17.1,17.1,,100,30,,31.0,x,x,,100,30,,21.9,x,x,,90-99,35,,40.5,x,x
Telford and Wrekin,100,15,,x,0.0,0.0,,100,20,,x,x,x,,100,15,,50.0,x,x,,100,25,,50.0,33.3,33.3,,100,25,,46.2,x,x
Walsall,100,30,,24.1,0.0,0.0,,100,45,,36.4,x,x,,100,30,,48.3,x,x,,100,30,,27.6,x,x,,100,25,,38.5,x,x
Warwickshire,100,45,,31.1,15.6,15.6,,90-99,45,,23.3,x,x,,90-99,60,,32.8,13.1,13.1,,90-99,50,,38.8,16.3,16.3,,90-99,55,,42.9,21.4,21.4
Wolverhampton,100,15,,x,0.0,0.0,,100,20,,38.1,x,x,,100,20,,x,x,x,,100,30,,44.8,x,x,,100,30,,48.4,25.8,25.8
Worcestershire,90-99,35,,24.2,x,x,,90-99,35,,29.7,x,x,,90-99,45,,30.2,x,x,,90-99,45,,18.6,x,x,,90-99,35,,34.3,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST OF ENGLAND,.,450,,21.9,12.1,13.9,,.,530,,23.5,11.4,12.0,,.,540,,31.7,15.7,16.9,,.,530,,36.0,15.3,16.1,,.,510,,31.6,13.8,14.6
Bedford Borough,100,15,,x,x,x,,100,15,,x,0.0,0.0,,100,15,,x,x,x,,100,20,,x,x,x,,100,15,,x,x,x
Central Bedfordshire,100,15,,x,x,x,,100,15,,x,x,x,,100,15,,x,0.0,x,,100,20,,30.0,x,x,,100,15,,x,x,x
