,,2009 (5 terms)3,,,,,,,,,,2010 (5 terms)3,,,,,,,,,,2011 (5 terms)3,,,,,,,,,,2012 (5 terms)3,,,,,,,,,,2013 (5 terms)3,,,,,,,,,,,,,,2013  (6 terms)3,,,,
,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees8
,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Helens,,100,,150,,3.5,1.9,5.4,,8.8,,100,,160,,3.3,1.4,4.7,,5.6,,100,,170,,3.2,1.2,4.4,,5.8,,100,,150,,2.5,1.2,3.7,,4.6,,100 ,,160,,2.8,0.9,3.7,,4.3,,100 ,,160,,2.6,0.9,3.5,,3.7
Stockport,,100,,150,,5.5,0.9,6.5,,8.8,,100,,145,,4.0,1.4,5.3,,8.3,,100,,115,,3.7,1.6,5.3,,6.0,,100,,120,,4.2,0.6,4.8,,7.6,,100 ,,110,,3.2,1.0,4.2,,7.2,,100 ,,110,,3.2,1.1,4.3,,7.2
Tameside,,100,,165,,4.0,2.6,6.6,,9.8,,100,,170,,3.6,2.7,6.3,,8.8,,100,,160,,3.6,2.8,6.4,,9.3,,100,,170,,3.7,2.2,6.0,,10.0,,100 ,,170,,3.3,2.0,5.3,,7.7,,100 ,,170,,3.1,1.8,4.9,,7.7
Trafford,,100,,110,,4.6,0.7,5.3,,7.2,,90-99,,110,,3.5,0.5,4.0,,x,,90-99,,120,,4.3,1.0,5.3,,5.0,,100,,115,,3.6,0.7,4.2,,x,,90-99,,115,,3.4,0.5,3.9,,x,,90-99,,115,,3.2,0.5,3.7,,x
Warrington,,100,,110,,3.5,2.2,5.7,,6.4,,100,,110,,3.5,2.3,5.7,,6.3,,100,,105,,3.7,1.3,5.1,,6.8,,100,,110,,3.6,1.8,5.3,,10.2,,100 ,,100,,4,2.3,6.2,,14.0,,100 ,,100,,3.9,2.3,6.2,,14.0
Wigan,,100,,190,,4.0,1.4,5.4,,5.8,,100,,200,,4.0,0.6,4.6,,6.0,,100,,195,,4.2,1.9,6.1,,9.7,,100,,205,,3.2,1.5,4.8,,7.4,,100 ,,225,,3.1,1.8,4.8,,5.4,,100 ,,225,,3,1.6,4.6,,5.8
Wirral,,90-99,,305,,4.3,1.0,5.3,,7.2,,90-99,,305,,4.1,1.0,5.1,,6.9,,90-99,,320,,3.6,1.9,5.5,,7.2,,90-99,,325,,3.3,1.2,4.5,,6.4,,90-99,,325,,3.3,0.7,4.0,,3.4,,90-99,,325,,3.3,0.9,4.2,,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORKSHIRE AND THE HUMBER,,.,,"2,970",,4.6,2.4,7.0,,11.0,,.,,"2,940",,4.2,1.9,6.1,,8.1,,.,,"3,050",,3.9,1.9,5.8,,7.6,,.,,"3,020",,3.2,1.3,4.5,,5.4,,.,,"3,130",,3,1.0,4.0,,4.2,,.,,"3,130",,3,1.0,4.0,,4.2
Barnsley,,90-99,,110,,3.7,1.9,5.6,,8.3,,100,,105,,4.1,1.4,5.5,,7.5,,100,,100,,3.6,1.7,5.3,,6.1,,100,,80,,2.3,0.7,2.9,,x,,100 ,,65,,2.8,0.8,3.6,,x,,100 ,,65,,2.8,0.8,3.6,,x
Bradford,,100,,420,,5.1,2.8,8.0,,12.2,,100,,405,,3.7,1.5,5.2,,6.2,,90-99,,400,,3.6,1.5,5.2,,5.2,,90-99,,385,,2.9,0.8,3.6,,4.4,,90-99,,390,,2.9,0.9,3.8,,3.3,,90-99,,390,,2.8,0.9,3.8,,3.1
Calderdale,,100,,100,,3.1,1.2,4.3,,x,,100,,120,,3.3,1.9,5.2,,6.8,,100,,115,,2.5,0.5,3.0,,x,,100,,150,,2.5,0.4,2.8,,x,,100 ,,175,,2.8,0.8,3.6,,4.0,,100 ,,175,,2.7,0.7,3.5,,3.4
Doncaster,,100,,140,,5.6,2.3,7.9,,12.7,,100,,150,,4.9,1.8,6.7,,7.9,,100,,165,,4.5,1.5,6.0,,8.4,,100,,155,,4.2,1.1,5.3,,3.9,,100 ,,175,,3.4,0.8,4.2,,4.6,,100 ,,175,,3.1,0.7,3.8,,3.4
East Riding of Yorkshire,,100,,125,,5.8,1.2,7.0,,11.3,,90-99,,120,,5.1,1.6,6.7,,10.0,,100,,125,,4.7,0.4,5.2,,7.3,,100,,100,,3.4,0.9,4.3,,6.0,,100 ,,130,,3.2,1.3,4.4,,4.7,,100 ,,130,,3.1,1.2,4.3,,x
Kingston Upon Hull,,100,,240,,4.2,3.9,8.1,,13.4,,100,,235,,4.2,2.8,7.0,,12.4,,100,,250,,3.9,2.0,5.8,,8.8,,100,,270,,2.9,2.4,5.3,,8.2,,100 ,,285,,2.4,1.1,3.6,,5.3,,100 ,,285,,2.4,1.1,3.6,,6.0
Kirklees,,100,,195,,3.9,0.9,4.9,,7.2,,100,,215,,4.0,0.9,4.8,,5.1,,100,,245,,3.5,1.2,4.7,,5.3,,100,,240,,3.0,0.8,3.8,,4.6,,100 ,,270,,2.9,0.4,3.3,,x,,100 ,,270,,2.9,0.4,3.3,,2.6
Leeds,,90-99,,675,,5.1,3.1,8.2,,14.3,,90-99,,650,,4.6,2.7,7.3,,10.6,,90-99,,660,,4.3,3.0,7.3,,11.0,,90-99,,640,,3.2,1.8,5.0,,7.7,,90-99,,630,,2.9,1.6,4.5,,5.4,,90-99,,630,,2.9,1.6,4.5,,5.3
North East Lincolnshire,,100,,65,,3.2,1.7,5.0,,x,,100,,45,,2.7,1.9,4.6,,x,,100,,50,,4.8,1.2,6.0,,x,,100,,45,,2.5,2.4,4.9,,x,,100 ,,45,,1.8,0.4,2.1,,x,,100 ,,45,,1.9,0.3,2.2,,0.0
North Lincolnshire,,100,,65,,4.3,0.5,4.8,,x,,100,,70,,3.8,1.4,5.1,,x,,100,,65,,3.9,1.3,5.2,,x,,100,,70,,2.1,0.5,2.6,,x,,100 ,,70,,2.1,0.2,2.3,,0.0,,100 ,,70,,2,0.2,2.3,,0.0
North Yorkshire,,100,,210,,3.6,1.0,4.6,,8.2,,90-99,,185,,4.4,0.8,5.2,,7.0,,90-99,,200,,3.4,1.5,5.0,,5.5,,100,,205,,3.4,0.6,4.0,,x,,90-99,,210,,3.7,0.5,4.2,,3.8,,90-99,,210,,3.6,0.5,4.1,,3.8
Rotherham,,100,,160,,3.5,3.3,6.8,,13.0,,100,,175,,3.7,2.5,6.1,,8.0,,100,,175,,4.4,3.4,7.8,,11.9,,100,,175,,3.4,2.5,5.8,,5.1,,100 ,,170,,2.8,1.3,4.1,,3.5,,100 ,,170,,2.9,1.3,4.2,,4.7
Sheffield,,90-99,,250,,4.6,3.2,7.9,,11.9,,90-99,,225,,4.2,2.9,7.2,,9.4,,90-99,,225,,4.0,2.9,6.8,,9.8,,90-99,,225,,3.7,0.7,4.4,,5.4,,90-99,,215,,3.9,1.4,5.3,,8.5,,90-99,,215,,3.8,1.4,5.2,,8.5
Wakefield,,90-99,,140,,5.5,1.0,6.5,,7.1,,90-99,,140,,3.5,0.8,4.3,,x,,90-99,,165,,3.7,1.6,5.3,,7.4,,90-99,,170,,3.6,1.9,5.5,,7.6,,90-99,,180,,2.8,1.4,4.2,,4.4,,90-99,,180,,2.8,1.2,4.0,,3.9
York,,90-99,,75,,3.6,0.9,4.5,,x,,90-99,,95,,4.2,0.6,4.8,,x,,100,,110,,2.7,0.5,3.2,,0.0,,100,,110,,4.0,0.7,4.7,,x,,100 ,,125,,3.5,0.6,4.1,,x,,100 ,,125,,3.6,0.6,4.2,,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST MIDLANDS,,.,,"1,590",,4.4,1.3,5.7,,7.3,,.,,"1,690",,4.1,1.1,5.3,,6.3,,.,,"1,730",,4.0,1.1,5.1,,6.4,,.,,"1,750",,3.4,1.0,4.4,,5.6,,.,,"1,880",,3.5,1.2,4.7,,5.2,,.,,"1,880",,3.5,1.2,4.7,,5.3
Derby,,100,,195,,4.0,1.0,5.1,,6.2,,90-99,,210,,3.5,1.1,4.5,,4.3,,100,,205,,3.2,0.9,4.1,,4.4,,90-99,,200,,3.2,0.9,4.1,,6.0,,90-99,,215,,3.3,0.6,3.9,,x,,90-99,,215,,3.3,0.6,3.9,,x
Derbyshire,,100,,240,,4.4,1.4,5.9,,7.5,,100,,230,,4.4,1.7,6.1,,8.3,,100,,250,,4.1,1.3,5.4,,7.2,,100,,240,,3.5,1.2,4.7,,5.8,,90-99,,260,,3.7,2.3,6.0,,8.5,,90-99,,260,,3.7,2.2,5.9,,8.9
Leicester,,90-99,,175,,4.4,1.6,6.0,,9.6,,100,,205,,4.1,1.7,5.9,,7.7,,90-99,,200,,4.5,1.4,5.9,,9.0,,100,,205,,3.1,1.2,4.3,,5.4,,100 ,,210,,3.1,2.0,5.2,,8.1,,100 ,,210,,3.1,1.9,5.0,,8.5
Leicestershire,,100,,115,,4.5,1.2,5.6,,7.8,,100,,120,,4.1,1.2,5.2,,7.4,,100,,140,,4.4,1.3,5.7,,8.0,,100,,135,,3.2,1.5,4.6,,7.3,,100 ,,150,,4.1,1.0,5.1,,6.7,,100 ,,150,,4.1,0.9,5.0,,6.7
