Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LA6:  Exclusions from school of children who have been looked after continuously for at least twelve months1,2",,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2011 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Code,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,
,,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,"28,260",,0.24,11.79,,"28,160",,0.15,11.33,,"28,900",,0.13,10.27,,"29,640",,0.12,10.25,,"30,720",,0.14,10.42
E06000021,861,Stoke on Trent,170,,0.00,9.88,,190,,0.00,12.11,,190,,0.00,9.95,,200,,0.00,7.92,,220,,0.00,6.36
E06000020,894,Telford and Wrekin,120,,0.00,9.02,,135,,0.00,6.72,,145,,x,7.64,,145,,0.00,10.34,,140,,0.00,7.09
E08000030,335,Walsall,250,,0.00,10.48,,245,,0.00,9.76,,255,,0.00,7.48,,295,,0.00,6.06,,325,,0.00,6.79
E10000031,937,Warwickshire,280,,0.00,14.89,,270,,0.00,13.06,,275,,0.00,12.36,,275,,x,13.04,,295,,0.00,12.93
E08000031,336,Wolverhampton,200,,0.00,9.09,,240,,0.00,5.83,,285,,0.00,8.04,,330,,0.00,8.23,,405,,x,10.10
E10000034,885,Worcestershire,280,,0.00,12.19,,270,,0.00,12.27,,245,,0.00,6.53,,295,,0.00,11.60,,295,,0.00,11.45
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST OF ENGLAND,"2,730",,0.22,11.76,,"2,660",,x,11.99,,"2,680",,0.22,10.41,,"2,620",,x,10.18,,"2,710",,0.30,10.64
E06000055,822,Bedford Borough,60,,0.00,18.03,,65,,x,17.19,,80,,0.00,9.88,,100,,0.00,9.09,,115,,0.00,7.96
E06000056,823,Central Bedfordshire,70,,x,17.14,,65,,x,17.91,,80,,0.00,10.00,,100,,0.00,13.00,,125,,0.00,11.20
E10000003,873,Cambridgeshire,200,,0.00,12.94,,200,,0.00,11.11,,220,,0.00,12.39,,215,,0.00,9.72,,230,,0.00,10.82
E10000012,881,Essex,680,,0.00,12.19,,635,,0.00,12.13,,620,,0.00,10.31,,535,,0.00,9.14,,485,,x,9.50
E10000015,919,Hertfordshire,450,,0.00,14.38,,430,,0.00,14.49,,395,,x,11.84,,385,,0.00,12.18,,405,,0.00,14.99
E06000032,821,Luton,175,,0.00,13.56,,185,,0.00,10.87,,175,,x,10.73,,180,,0.00,8.24,,180,,0.00,10.56
E10000020,926,Norfolk,415,,x,7.93,,415,,x,8.67,,435,,x,8.28,,460,,x,8.23,,515,,1.36,8.37
E06000031,874,Peterborough,135,,0.00,9.70,,120,,0.00,11.86,,125,,0.00,12.60,,130,,0.00,13.08,,125,,0.00,13.71
E06000033,882,Southend,125,,x,14.40,,130,,0.00,13.74,,120,,0.00,13.22,,100,,0.00,11.88,,95,,0.00,15.05
E10000029,935,Suffolk,325,,0.00,8.26,,335,,x,11.31,,320,,x,9.32,,295,,x,10.17,,310,,0.00,9.06
E06000034,883,Thurrock,85,,x,10.59,,85,,0.00,10.59,,100,,0.00,7.92,,115,,0.00,13.91,,130,,0.00,9.38
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LONDON,"4,070",,0.32,12.89,,"3,830",,0.21,12.42,,"3,800",,0.18,10.81,,"3,700",,0.27,11.23,,"3,700",,0.22,11.11
,,INNER LONDON,"1,860",,0.38,13.85,,"1,750",,x,12.93,,"1,720",,x,12.32,,"1,670",,0.36,12.00,,"1,640",,x,11.29
E09000007,202,Camden,85,,0.00,17.24,,90,,0.00,16.30,,90,,0.00,10.00,,95,,0.00,12.37,,90,,0.00,13.64
E09000001,201,City of London,0,,0.00,0.00,,0,,0.00,0.00,,5,,0.00,0.00,,5,,0.00,0.00,,5,,0.00,x
E09000012,204,Hackney,120,,x,18.33,,110,,0.00,15.32,,120,,x,11.48,,130,,x,9.85,,135,,0.00,10.95
E09000013,205,Hammersmith & Fulham,90,,0.00,15.56,,90,,0.00,15.73,,80,,0.00,17.72,,75,,0.00,9.46,,70,,0.00,15.49
E09000014,309,Haringey,235,,0.00,12.77,,250,,x,8.43,,255,,x,9.84,,235,,x,10.17,,230,,x,8.62
E09000019,206,Islington,120,,x,14.88,,110,,0.00,19.44,,110,,0.00,16.51,,105,,x,11.65,,90,,0.00,12.22
E09000020,207,Kensington and Chelsea,50,,0.00,11.54,,45,,0.00,x,,35,,0.00,x,,25,,0.00,x,,25,,0.00,x
E09000022,208,Lambeth,215,,x,13.95,,175,,0.00,9.25,,175,,0.00,12.50,,170,,0.00,15.79,,190,,x,9.95
E09000023,209,Lewisham,220,,x,18.35,,205,,0.00,12.32,,210,,0.00,12.98,,210,,0.00,15.57,,215,,0.00,12.21
E09000025,316,Newham,210,,0.00,10.85,,190,,0.00,12.77,,170,,0.00,7.74,,145,,0.00,13.79,,135,,0.00,17.52
E09000028,210,Southwark,190,,0.00,13.30,,195,,0.00,15.90,,210,,0.00,12.44,,220,,x,10.91,,205,,x,11.33
E09000030,211,Tower Hamlets,135,,0.00,9.56,,120,,0.00,11.86,,115,,0.00,15.93,,110,,0.00,12.04,,115,,0.00,x
E09000032,212,Wandsworth,100,,x,11.22,,95,,x,16.13,,85,,x,13.79,,70,,0.00,x,,70,,0.00,12.68
E09000033,213,Westminster,90,,0.00,12.36,,80,,0.00,12.20,,70,,0.00,13.04,,70,,0.00,11.76,,60,,0.00,9.84
,,OUTER LONDON,"2,200",,0.27,12.08,,"2,090",,0.29,11.98,,"2,080",,x,9.56,,"2,030",,x,10.60,,"2,060",,x,10.97
E09000002,301,Barking and Dagenham,135,,x,6.57,,155,,0.00,12.26,,165,,0.00,7.78,,165,,0.00,3.64,,190,,0.00,7.81
