Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LAI4: Emotional and behavioural health of children looked after continuously for 12 months at 31 March for whom a Strengths and Difficulties Questionnaire (SDQ) was completed, by Local Authority1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,
Years ending 31 March 2014 to 2016,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2014,,,,,,2015,,,,,,,,,,2016,,,,,,
,,,Number of children looked after for at least 12 months aged 5 to 163,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score4,Percentage of children for whom an SDQ score was submitted,Average score per child,Banded SDQ Score5,,,,Number of children looked after for at least 12 months aged 5 to 163,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score4,Percentage of children for whom an SDQ score was submitted,Average score per child,Banded SDQ Score5,,,,Number of children looked after for at least 12 months aged 5 to 163,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score4,Percentage of children for whom an SDQ score was submitted,Average score per child,Banded SDQ Score5,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Percentage,,,,,,,,Percentage,,,,,,,,Percentage,,
LA Code,,,,,,,Normal,Borderline,Concern,,,,,,Normal,Borderline,Concern,,,,,,Normal,Borderline,Concern
,,England,"34,750","23,640",68,13.9,50,13,37,,"36,120","25,950",72,13.9,50,13,37,,"36,870","27,610",75,14.0,49,13,38
E10000023,815,North Yorkshire,285,230,81,13.6,53,12,35,,250,225,90,13.4,51,17,33,,215,200,93,14.3,49,11,40
E08000018,372,Rotherham,220,155,70,13.9,46,19,35,,225,160,70,15.2,42,13,46,,225,170,75,15.5,39,16,45
E08000019,373,Sheffield,270,250,92,16.0,41,14,45,,270,230,84,15.3,46,8,46,,275,240,88,16.2,37,13,49
E08000036,384,Wakefield,230,175,78,13.7,50,9,41,,250,190,76,15.7,41,12,47,,260,245,95,10.8,59,9,32
E06000014,816,York,140,125,89,14.4,49,13,38,,120,110,91,15.2,39,18,44,,115,105,88,15.5,43,13,45
,,,,,,,,,,,,,,,,,,,,,,,,,
,,East Midlands,"2,430","1,530",63,15.2,43,14,43,,"2,500","1,230",49,15.5,42,12,46,,"2,640","1,800",68,15.1,43,14,43
E06000015,831,Derby,265,175,66,16.3,37,14,49,,250,170,68,16.0,39,13,48,,255,175,70,16.4,37,11,51
E10000007,830,Derbyshire,320,285,89,15.8,39,18,43,,325,105,33,15.7,35,18,48,,295,130,44,16.9,37,12,51
E06000016,856,Leicester,275,165,61,13.8,51,13,35,,275,55,21,15.1,38,16,46,,310,165,54,14.4,44,13,43
E10000018,855,Leicestershire,200,0,0,0.0,0,0,0,,210,45,20,16.5,44,7,49,,230,85,37,16.6,38,11,52
E10000019,925,Lincolnshire,295,295,100,14.7,45,12,43,,310,305,99,15.3,42,12,45,,340,330,98,15.1,40,16,44
E10000021,928,Northamptonshire,360,120,34,14.9,49,7,43,,410,45,11,12.8,56,13,31,,430,325,75,13.6,52,14,34
E06000018,892,Nottingham,275,250,92,15.1,41,18,41,,265,230,88,16.1,42,10,48,,320,250,79,16.0,37,14,49
E10000024,891,Nottinghamshire,415,215,52,15.0,44,13,43,,445,265,60,15.4,42,11,47,,445,320,72,14.5,48,13,39
E06000017,857,Rutland,15,15,94,19.7,7,20,73,,20,10,50,8.7,67,22,11,,15,10,64,15.2,44,22,33
,,,,,,,,,,,,,,,,,,,,,,,,,
,,West Midlands,"4,810","2,840",59,13.5,53,12,35,,"5,010","3,260",65,13.5,52,12,36,,"5,170","3,900",75,14.1,49,13,38
E08000025,330,Birmingham,"1,015",860,85,13.0,57,11,32,,"1,005",850,85,12.5,58,11,31,,"1,040",880,85,13.1,55,12,33
E08000026,331,Coventry,305,180,58,14.9,46,10,44,,300,225,75,14.8,47,10,43,,300,275,90,15.8,40,12,48
E08000027,332,Dudley,450,330,73,13.1,54,12,34,,460,385,83,13.1,54,13,34,,455,380,83,12.4,60,9,31
E06000019,884,Herefordshire,115,25,22,14.0,46,12,42,,130,35,27,14.7,47,19,33,,155,105,68,15.9,32,23,45
E08000028,333,Sandwell,330,95,29,14.7,48,16,36,,335,165,49,12.7,54,13,33,,310,235,76,13.7,49,14,37
E06000051,893,Shropshire,145,85,57,13.6,48,17,35,,155,100,65,15.1,42,14,45,,165,140,84,15.0,42,14,44
E08000029,334,Solihull,165,120,72,12.6,58,13,29,,170,100,60,13.3,56,9,35,,180,125,70,13.7,52,11,37
E10000028,860,Staffordshire,510,205,40,14.3,53,10,37,,545,280,51,14.6,46,13,41,,550,375,68,14.9,44,12,44
E06000021,861,Stoke-On-Trent,240,230,96,13.8,51,13,36,,250,210,84,14.3,49,13,38,,305,275,90,14.9,44,14,42
E06000020,894,Telford and Wrekin,175,125,73,15.8,39,9,53,,165,105,62,13.9,51,15,34,,170,155,91,15.0,45,12,43
E08000030,335,Walsall,320,100,31,13.3,48,13,39,,350,25,7,18.0,32,8,60,,360,215,61,14.0,53,9,38
E10000031,937,Warwickshire,335,200,60,13.0,54,18,27,,355,255,71,13.0,51,16,33,,365,285,78,13.9,47,17,36
E08000031,336,Wolverhampton,365,200,55,12.3,60,12,28,,445,385,86,13.2,54,14,32,,425,255,60,14.2,48,15,37
E10000034,885,Worcestershire,340,90,26,15.2,45,13,42,,345,145,42,15.1,42,9,49,,385,195,51,14.4,47,12,41
,,,,,,,,,,,,,,,,,,,,,,,,,
,,East of England,"3,210","2,120",66,14.2,48,13,39,,"3,310","2,540",77,14.3,48,13,39,,"3,370","2,630",78,14.5,47,12,41
E06000055,822,Bedford Borough,110,80,74,16.1,34,17,49,,130,120,93,14.2,47,13,40,,140,95,66,16.3,34,12,54
E06000056,823,Central Bedfordshire,115,115,100,14.1,50,14,36,,135,135,100,14.2,52,11,37,,155,155,100,14.7,47,11,42
E10000003,873,Cambridgeshire,260,190,73,13.5,55,11,34,,275,255,93,14.6,47,12,41,,310,225,72,14.7,44,12,44
E10000012,881,Essex,650,430,66,13.9,49,14,36,,590,470,79,14.0,48,13,39,,550,425,77,14.1,45,15,40
E10000015,919,Hertfordshire,470,195,41,12.6,60,10,29,,490,370,75,13.2,53,13,34,,495,445,91,13.6,52,13,36
E06000032,821,Luton,205,115,57,14.2,47,12,41,,205,105,50,14.0,50,13,38,,205,170,82,13.8,54,10,36
E10000020,926,Norfolk,560,520,93,14.5,46,13,41,,620,565,91,14.3,48,14,38,,625,565,90,14.6,46,12,42
E06000031,874,Peterborough,185,70,39,13.5,53,14,33,,185,x,x,11.0,100,0,0,,190,30,17,16.3,41,6,53
E06000033,882,Southend-on-Sea,120,65,52,13.6,59,13,29,,120,80,67,14.8,41,17,41,,115,80,72,14.6,51,5,44
E10000029,935,Suffolk,385,195,51,15.9,34,14,52,,395,270,69,16.0,41,11,48,,430,290,68,15.8,43,11,46
E06000034,883,Thurrock,145,145,100,14.8,45,11,44,,165,165,100,14.3,53,11,36,,155,150,99,13.9,50,10,40
,,,,,,,,,,,,,,,,,,,,,,,,,
,,London,"4,640","3,620",78,13.4,53,13,34,,"4,720","3,870",82,13.2,54,12,34,,"4,610","3,760",81,13.3,54,13,33
,,Inner London,"2,100","1,490",71,13.0,56,13,32,,"2,080","1,680",81,13.0,56,12,32,,"1,980","1,570",80,13.0,55,13,32
E09000007,202,Camden,115,100,86,12.9,50,16,34,,105,100,94,12.5,54,9,37,,95,85,93,12.5,56,13,31
E09000001,201,City Of London,x,x,x,4.8,100,0,0,,x,x,x,4.8,100,0,0,,x,x,x,8.8,100,0,0
E09000012,204,Hackney,160,95,59,13.9,46,20,34,,175,135,78,14.7,47,13,40,,165,135,80,13.6,54,11,35
E09000013,205,Hammersmith and Fulham,100,60,60,11.9,63,15,22,,95,85,91,8.9,71,8,21,,85,65,80,10.4,67,12,21
E09000014,309,Haringey,265,170,63,13.5,54,11,35,,270,225,83,13.4,57,9,34,,255,190,75,13.0,58,8,34
E09000019,206,Islington,150,105,71,15.6,40,12,48,,145,125,85,13.6,52,17,31,,150,100,67,12.5,57,11,32
E09000020,207,Kensington and Chelsea,40,35,85,13.1,57,11,31,,35,30,86,10.9,67,20,13,,40,35,90,12.6,57,11,31
E09000022,208,Lambeth,220,175,80,12.7,55,15,31,,230,165,72,9.7,70,11,19,,225,180,80,12.3,60,12,28
E09000023,209,Lewisham,255,230,91,13.7,55,10,35,,265,230,88,14.1,49,12,39,,250,170,68,13.7,47,13,40
E09000025,316,Newham,185,185,99,10.5,70,8,22,,175,175,100,13.0,55,10,35,,170,170,99,12.9,55,13,32
E09000028,210,Southwark,275,90,32,13.4,52,13,35,,265,180,67,14.5,49,14,37,,260,195,75,14.8,45,16,39
E09000030,211,Tower Hamlets,140,70,50,12.5,64,12,25,,135,80,58,14.2,57,10,33,,120,105,90,12.6,59,14,26
E09000032,212,Wandsworth,95,75,81,14.4,49,14,36,,90,75,80,14.1,53,10,37,,80,60,76,13.5,55,19,26
E09000033,213,Westminster,95,95,100,11.5,60,18,22,,85,65,80,12.2,56,20,24,,85,75,89,12.1,61,12,27
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Outer London,"2,540","2,130",84,13.7,52,13,35,,"2,640","2,200",83,13.4,53,13,35,,"2,640","2,180",83,13.4,54,13,33
E09000002,301,Barking and Dagenham,190,140,73,14.9,44,16,40,,230,180,79,14.8,45,17,38,,220,150,67,13.5,52,17,30
E09000003,302,Barnet,145,140,99,13.3,52,17,31,,145,140,97,13.7,54,12,34,,140,120,86,13.9,51,10,39
E09000004,303,Bexley,115,65,58,14.4,49,12,38,,130,80,61,15.4,43,13,44,,135,110,81,15.0,45,12,43
E09000005,304,Brent,155,65,44,14.3,51,13,36,,150,110,74,13.8,51,11,38,,150,140,93,16.8,40,15,45
E09000006,305,Bromley,130,120,92,14.6,49,11,39,,135,125,95,14.1,50,11,39,,135,125,92,14.1,53,11,36
E09000008,306,Croydon,290,255,87,12.6,59,13,28,,315,260,83,10.8,66,13,22,,305,195,65,10.2,74,5,21
E09000009,307,Ealing,190,175,91,13.3,55,15,30,,210,185,88,12.6,59,13,28,,200,190,96,12.5,57,18,26
E09000010,308,Enfield,135,120,90,13.9,49,15,36,,145,125,86,12.8,54,10,36,,150,120,79,12.6,53,17,31
E09000011,203,Greenwich,310,270,88,13.3,54,13,33,,295,255,87,13.7,50,10,40,,285,255,89,13.3,54,16,30
E09000015,310,Harrow,50,35,67,14.1,49,20,31,,60,55,92,13.7,51,9,40,,65,25,41,14.6,56,4,41
E09000016,311,Havering,80,80,100,14.9,47,12,41,,95,90,95,15.2,42,16,43,,120,120,99,13.9,55,9,36
E09000017,312,Hillingdon,145,125,86,13.5,50,12,37,,130,90,68,12.8,49,22,30,,125,115,94,12.6,55,12,33
E09000018,313,Hounslow,155,135,89,14.1,48,12,39,,140,130,92,13.0,53,16,31,,135,130,99,14.0,49,8,43
E09000021,314,Kingston Upon Thames,55,55,100,15.1,51,6,43,,55,45,81,12.4,61,11,27,,55,40,70,13.3,56,10,33
E09000024,315,Merton,55,40,76,12.3,59,5,37,,60,50,81,14.8,52,4,44,,65,50,83,15.5,38,19,42
E09000026,317,Redbridge,100,100,100,11.8,63,7,30,,100,100,99,11.0,59,14,27,,90,85,90,11.8,63,17,20
E09000027,318,Richmond Upon Thames,30,25,84,14.6,44,22,33,,35,20,62,15.2,43,14,43,,45,30,67,12.8,57,13,30
E09000029,319,Sutton,90,60,67,13.7,47,13,40,,90,50,58,15.4,46,10,44,,90,65,74,14.3,55,9,36
E09000031,320,Waltham Forest,120,110,91,15.4,41,17,41,,125,105,83,14.9,42,17,41,,125,115,90,14.4,47,17,36
,,,,,,,,,,,,,,,,,,,,,,,,,
,,South East,"4,400","2,730",62,14.6,47,12,41,,"4,630","3,060",66,14.6,45,15,41,,"4,800","3,020",63,14.4,47,13,40
E06000036,867,Bracknell Forest,55,50,93,14.6,48,12,40,,60,55,92,13.6,52,9,39,,55,45,85,15.1,43,11,46
E06000043,846,Brighton and Hove,245,190,77,14.8,43,15,41,,240,180,76,15.3,42,13,45,,230,185,81,15.9,41,10,49
E10000002,825,Buckinghamshire,230,95,41,13.0,59,7,34,,225,165,73,13.9,50,14,36,,225,110,49,13.7,46,16,38
E10000011,845,East Sussex,330,275,83,15.1,46,12,42,,335,185,55,15.4,39,15,46,,335,175,53,13.5,48,19,33
E10000014,850,Hampshire,580,355,61,13.9,51,11,38,,675,450,67,13.3,52,15,33,,730,545,74,13.6,51,13,36
E06000046,921,Isle Of Wight,80,20,28,15.2,36,18,45,,95,85,93,13.4,53,15,32,,105,65,62,14.2,48,19,33
E10000016,886,Kent,920,695,76,14.6,47,12,41,,920,665,72,14.4,46,13,41,,945,735,78,14.2,48,10,42
E06000035,887,Medway Towns,190,170,88,16.0,35,16,49,,200,175,89,15.9,38,15,46,,220,190,87,15.9,37,16,48
E06000042,826,Milton Keynes,150,140,93,12.3,59,9,32,,165,155,94,13.1,53,14,33,,175,160,93,13.4,53,16,30
E10000025,931,Oxfordshire,190,160,85,15.8,44,7,49,,225,180,81,15.8,39,13,48,,245,175,70,15.5,43,13,44
E06000044,851,Portsmouth,155,110,69,13.8,51,17,32,,160,110,69,14.4,49,17,34,,170,125,75,14.0,52,10,38
E06000038,870,Reading,115,60,51,17.1,37,7,57,,120,110,94,17.3,27,17,56,,105,60,60,15.8,40,16,44
E06000039,871,Slough,75,75,95,14.9,41,19,40,,85,85,100,16.1,36,16,47,,85,35,39,15.7,39,18,42
E06000045,852,Southampton,230,0,0,.,0,0,0,,265,0,0,.,0,0,0,,310,0,0,.,0,0,0
E10000030,936,Surrey,370,255,68,14.7,45,13,42,,390,285,73,14.2,44,16,40,,390,285,74,13.6,52,15,33
E06000037,869,West Berkshire,75,20,29,16.8,32,14,55,,90,85,92,16.2,33,20,46,,85,75,88,17.6,30,16,54
E10000032,938,West Sussex,305,0,0,.,0,0,0,,280,0,0,.,0,0,0,,295,0,0,.,0,0,0
E06000040,868,Windsor and Maidenhead,55,40,74,14.8,45,13,43,,55,40,71,13.4,57,8,35,,55,30,56,13.0,52,23,26
E06000041,872,Wokingham,40,20,50,16.6,37,5,58,,40,40,98,17.1,27,12,61,,45,20,41,16.7,39,6,56
,,,,,,,,,,,,,,,,,,,,,,,,,
,,South West,"2,740","1,910",70,14.8,46,14,41,,"2,800","2,080",74,14.8,46,14,41,,"2,870","2,100",73,15.1,44,13,43
E06000022,800,Bath and North East Somerset,80,60,76,15.1,46,18,36,,90,70,79,15.3,37,21,41,,75,60,81,16.1,36,13,51
E06000028,837,Bournemouth,125,110,87,13.9,49,12,39,,125,110,86,14.2,45,19,36,,135,105,78,14.3,47,15,38
E06000023,801,"Bristol, City of",375,275,73,14.3,48,12,40,,360,290,80,15.1,46,12,42,,365,285,78,15.0,46,11,44
E06000052,908,Cornwall,240,175,71,14.6,46,14,40,,245,200,81,12.9,55,14,32,,230,170,75,13.1,53,15,32
E10000008,878,Devon,325,250,76,15.1,47,12,42,,325,270,83,15.6,40,15,45,,335,290,86,16.7,34,14,52
E10000009,835,Dorset,165,95,57,14.1,46,18,36,,180,90,50,13.8,49,17,34,,200,50,24,13.2,51,16,33
E10000013,916,Gloucestershire,225,215,94,13.9,52,12,36,,235,235,100,14.8,45,14,41,,255,230,91,14.9,45,14,41
E06000053,420,Isles Of Scilly,0,0,0,.,0,0,0,,0,0,0,.,0,0,0,,0,0,0,.,0,0,0
E06000024,802,North Somerset,115,75,64,15.7,37,17,45,,115,70,59,15.0,41,19,41,,115,75,65,15.9,35,20,45
E06000026,879,Plymouth,175,165,93,16.6,34,17,49,,195,160,82,15.7,42,12,46,,195,140,73,15.4,49,9,42
E06000029,836,Poole,75,60,80,14.7,43,20,38,,90,70,75,14.1,47,22,31,,90,70,78,14.1,48,10,42
E10000027,933,Somerset,230,35,16,15.2,35,16,49,,235,125,55,15.9,43,9,47,,265,185,70,14.4,44,16,40
E06000025,803,South Gloucestershire,90,35,36,15.1,42,15,42,,75,35,47,16.7,44,14,42,,85,55,67,17.0,38,7,55
E06000030,866,Swindon,125,105,85,14.6,50,8,42,,125,110,88,13.7,53,5,42,,115,100,86,15.1,47,7,46
E06000027,880,Torbay,160,90,55,15.5,42,15,44,,180,80,45,15.3,41,16,43,,175,110,64,14.9,42,15,42
E06000054,865,Wiltshire,225,170,76,14.7,49,12,39,,225,175,77,14.2,50,11,39,,235,170,72,15.5,43,11,46
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Source: SSDA 903
1.  Children looked after continuously for at least 12 months as at 31 March 2015 and aged 5 to 16. Excludes children in respite care.,,,,,,,,,,,,,,,,,,,,,,,,,
2. England and regional totals have been rounded to the nearest 10.  Other numbers have been rounded to the nearest 5.  Percentages have been rounded to the nearest whole number. Average SDQ scores have been rounded to one decimal place. See methodology and quality document for more information on rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
3. Number of children looked after continuously for at least 12 months and aged 5 to 16 for whom an SDQ score was received via the looked after children return (SSDA903).  An SDQ score is required of all children aged 4-16 on the date of the last assessment. The date of assessment is not collected on the looked after children return and therefore this,,,,,,,,,,,,,,,,,,,,,,,,,
     cohort has been restricted to age 5-16 as at 31 March.,,,,,,,,,,,,,,,,,,,,,,,,,
4. Average scores have been derived from unrounded numerator and denominator values.,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Scores have been banded in the following way: a score of under 14 is considered normal, 14-16 is borderline cause for concern and 17 or over is a cause for concern.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
x   Figures not shown in order to protect confidentiality. See methodology and quality document for information on data suppression.,,,,,,,,,,,,,,,,,,,,,,,,,
.    not applicable,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
