Back to index,,,,,,,,,,,,,,,,,,
Table LA4:  Children who have been looked after continuously for at least twelve months1 by special educational needs (SEN),,,,,,,,,,,,,,,,,,
Years: 2016,,,,,,,,,,,,,,,,,,
"Coverage: England, primary, secondary and special schools, pupil referral units and alternative provision",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LA Code,,,Number of children looked after at 31 March who had been continuously looked after for at least twelve months and matched to census data2,,Number of looked after children with the following provision for SEN3:,,,,,,,,,Total with SEN5,,,,
,,,,,No SEN,,,"SEN without statement or education, health and care plan4",,,"SEN with a statement or education, health and care plan",,,,,,,
,,,,,Number,Percentage6,,Number,Percentage6,,Number,Percentage6,,Number,Percentage6,,,
,,,,,,,,,,,,,,,,,,
,,ENGLAND,"35,260",,"15,040",42.7,,"10,720",30.4,,"9,510",27.0,,"20,220",57.3,,,
E08000030,335,Walsall,345,,185,54.2,,85,25.2,,70,20.6,,160,45.8,,,
E10000031,937,Warwickshire,330,,155,47.4,,95,28.3,,80,24.3,,175,52.6,,,
E08000031,336,Wolverhampton,420,,185,44.6,,145,35.1,,85,20.3,,230,55.4,,,
E10000034,885,Worcestershire,380,,145,38.0,,125,32.5,,115,29.6,,235,62.0,,,
,,,,,,,,,,,,,,,,,,
,,EAST OF ENGLAND,"3,210",,"1,350",42.2,,910,28.4,,950,29.4,,"1,860",57.8,,,
E06000055,822,Bedford Borough,130,,60,43.9,,40,29.5,,35,26.5,,75,56.1,,,
E06000056,823,Central Bedfordshire,145,,70,46.9,,50,32.7,,30,20.4,,80,53.1,,,
E10000003,873,Cambridgeshire,290,,115,39.1,,70,24.6,,105,36.3,,175,60.9,,,
E10000012,881,Essex,525,,220,42.0,,120,22.8,,185,35.2,,305,58.0,,,
E10000015,919,Hertfordshire,490,,200,41.1,,170,34.4,,120,24.4,,290,58.9,,,
E06000032,821,Luton ,205,,95,46.1,,65,31.1,,45,22.8,,110,53.9,,,
E10000020,926,Norfolk,600,,250,41.8,,175,28.8,,175,29.5,,350,58.2,,,
E06000031,874,Peterborough ,165,,55,33.5,,45,28.7,,60,37.8,,110,66.5,,,
E06000033,882,Southend-on-Sea ,105,,50,49.1,,30,27.4,,25,23.6,,55,50.9,,,
E10000029,935,Suffolk,405,,170,41.9,,110,27.5,,125,30.5,,235,58.1,,,
E06000034,883,Thurrock ,145,,70,47.3,,40,28.1,,35,24.7,,75,52.7,,,
,,,,,,,,,,,,,,,,,,
,,LONDON,"4,320",,"1,830",42.3,,"1,240",28.8,,"1,250",28.9,,"2,490",57.7,,,
,,INNER LONDON,"1,860",,800,43.0,,530,28.3,,530,28.7,,"1,060",57.0,,,
E09000007,202,Camden,90,,35,38.9,,30,31.1,,25,30.0,,55,61.1,,,
E09000001,201,City of London,x,,x,x,,x,x,,x,x,,x,x,,,
E09000012,204,Hackney,150,,60,38.8,,40,27.6,,50,33.6,,95,61.2,,,
E09000013,205,Hammersmith and Fulham,75,,35,49.3,,15,22.7,,20,28.0,,40,50.7,,,
E09000014,309,Haringey,245,,110,45.5,,70,28.3,,65,26.2,,135,54.5,,,
E09000019,206,Islington,130,,65,50.0,,40,29.2,,25,20.8,,65,50.0,,,
E09000020,207,Kensington and Chelsea,35,,10,35.3,,10,23.5,,15,41.2,,20,64.7,,,
