Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA5:  Absence1 from school of children who have been looked after continuously for at least twelve months2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2013 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: State-funded primary, state-funded secondary and specials schools, England3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA code,,,,2013,,,,,,,,2014,,,,,,,,2015,,,,,,,,2016,,,,,,
,,,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6
,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000050,896,Cheshire West & Chester,,155,,3.7,3.2,0.5,,8.3,,170,,2.9,2.4,0.5,,5.3,,195,,3.9,2.9,1.0,,9.3,,205,,3.8,3.0,0.8,,9.3
E10000006,909,Cumbria,,245,,4.0,3.6,0.4,,9.0,,265,,3.3,2.8,0.5,,8.2,,280,,3.2,2.9,0.3,,8.5,,300,,3.6,3.1,0.5,,9.0
E06000006,876,Halton,,55,,3.8,2.8,0.9,,10.9,,60,,3.6,2.2,1.4,,x,,85,,2.5,1.9,0.7,,x,,100,,3.7,2.2,1.5,,11.0
E08000011,340,Knowsley,,115,,3.9,2.7,1.2,,6.0,,105,,3.1,2.4,0.7,,8.7,,105,,3.7,2.3,1.4,,11.2,,130,,3.9,2.4,1.5,,11.5
E10000017,888,Lancashire,,580,,3.5,2.7,0.8,,6.4,,630,,3.5,2.6,0.9,,8.3,,710,,3.9,2.7,1.1,,8.0,,725,,3.6,2.3,1.3,,7.6
E08000012,341,Liverpool,,455,,4.5,3.2,1.3,,12.7,,425,,3.8,2.5,1.4,,10.6,,455,,4.2,3.1,1.1,,11.7,,455,,3.8,2.6,1.2,,10.1
E08000003,352,Manchester,,560,,6.7,3.3,3.5,,13.4,,575,,5.4,2.9,2.5,,12.0,,650,,5.3,3.4,1.9,,12.2,,640,,4.3,3.1,1.2,,10.5
E08000004,353,Oldham,,135,,4.3,3.1,1.2,,11.1,,140,,3.0,2.2,0.8,,7.0,,180,,4.2,2.8,1.4,,7.7,,180,,3.7,2.8,0.8,,7.2
E08000005,354,Rochdale,,215,,4.6,3.3,1.3,,9.8,,240,,4.2,2.9,1.3,,9.6,,250,,4.8,3.0,1.8,,10.0,,250,,4.1,2.3,1.8,,8.1
E08000006,355,Salford,,225,,4.1,2.8,1.3,,7.1,,245,,3.3,2.3,1.0,,7.8,,260,,3.8,2.8,1.0,,11.6,,250,,4.3,2.7,1.6,,10.8
