New_geog_code,geog_l,geog_c,geog_n,CLA_12mths,CLA_10over,CLA_convicted,CLA_submisuse,CLA_subint,CLA_suboffint,CLA_immunisation,CLA_teethcheck,CLA_healthassmt,CLA_under5,CLA_devassmt,CLA_5to16,CLA_SDQ,CLA_SDQnormal,CLA_SDQborderline,CLA_SDQconcern
E10000023,LA,815,North Yorkshire,306,218,15,0,0,0,300,280,260,43,43,214,198,97,22,79
E06000014,LA,816,York,141,104,x,0,0,0,133,84,108,10,10,117,103,44,13,46
E06000032,LA,821,Luton,288,192,x,16,9,7,263,266,265,35,35,207,169,92,17,60
E06000055,LA,822,Bedford,171,113,x,x,0,x,145,150,157,16,16,140,93,32,11,50
E06000056,LA,823,Central Bedfordshire,199,113,14,17,10,6,186,193,192,28,28,157,157,74,17,66
E10000002,LA,825,Buckinghamshire,296,216,x,0,0,0,259,264,269,27,25,227,112,51,18,43
E06000042,LA,826,Milton Keynes,219,163,6,6,x,x,196,201,205,12,12,173,161,86,26,49
E10000007,LA,830,Derbyshire,409,285,x,15,13,x,356,317,368,51,42,297,130,48,16,66
E06000015,LA,831,Derby,351,214,11,x,x,0,349,278,258,58,49,253,177,66,20,91
E10000009,LA,835,Dorset,257,180,10,x,x,0,157,176,233,21,6,202,49,25,8,16
E06000029,LA,836,Poole,111,83,x,0,0,0,91,96,108,8,8,88,69,33,7,29
E06000028,LA,837,Bournemouth,173,135,6,0,0,0,149,145,167,17,16,136,106,50,16,40
E06000047,LA,840,Durham,464,278,10,x,x,0,464,443,413,69,46,357,282,126,41,115
E06000005,LA,841,Darlington,130,86,8,x,x,x,72,119,91,16,6,99,98,46,15,37
E10000011,LA,845,East Sussex,411,288,11,14,8,6,373,388,375,33,33,334,177,85,34,58
E06000043,LA,846,Brighton and Hove,290,222,19,41,16,25,271,258,269,23,23,228,184,76,18,90
E10000014,LA,850,Hampshire,945,618,30,x,0,0,679,672,743,100,91,730,543,279,70,194
E06000044,LA,851,Portsmouth,225,140,13,10,7,x,215,208,218,29,29,168,126,66,12,48
E06000045,LA,852,Southampton,432,218,11,26,0,26,330,272,343,87,84,311,0,0,0,0
E10000018,LA,855,Leicestershire,310,204,14,16,11,x,245,204,281,48,44,228,85,32,9,44
E06000016,LA,856,Leicester,439,262,18,26,16,10,394,398,409,74,69,311,167,74,22,71
E06000017,LA,857,Rutland,21,13,x,x,0,x,21,17,21,x,x,14,9,x,x,x
E10000028,LA,860,Staffordshire,691,470,13,32,15,17,553,594,606,55,46,552,377,166,45,166
E06000021,LA,861,Stoke-on-Trent,448,222,x,19,x,x,120,360,433,105,87,307,276,122,38,116
E06000054,LA,865,Wiltshire,288,216,x,20,7,12,269,267,269,20,18,236,171,74,19,78
E06000030,LA,866,Swindon,169,120,15,16,x,12,149,150,150,20,16,116,100,47,7,46
E06000036,LA,867,Bracknell Forest,68,56,x,6,x,x,64,60,66,x,x,54,46,20,x,21
E06000040,LA,868,Windsor and Maidenhead,68,54,6,x,x,x,64,66,66,x,x,55,31,16,7,8
E06000037,LA,869,West Berkshire,120,91,6,10,x,7,106,104,109,9,9,86,76,23,12,41
E06000038,LA,870,Reading,131,94,x,x,x,x,116,128,126,10,6,103,62,25,10,27
E06000039,LA,871,Slough,110,76,7,x,0,x,30,101,99,10,10,85,33,13,6,14
E06000041,LA,872,Wokingham,55,50,0,x,0,x,53,46,51,x,x,44,18,7,x,10
E10000003,LA,873,Cambridgeshire,375,278,x,0,0,0,335,352,358,21,21,311,224,99,27,98
E06000031,LA,874,Peterborough,224,158,0,0,0,0,199,213,215,14,12,188,32,13,x,17
E06000006,LA,876,Halton,172,108,9,20,20,0,144,126,146,25,17,127,84,45,12,27
E06000007,LA,877,Warrington,215,129,x,x,0,x,193,195,209,33,26,164,101,34,21,46
E10000008,LA,878,Devon,441,342,13,27,11,7,213,331,389,31,21,337,291,100,40,151
E06000026,LA,879,Plymouth,261,174,0,0,0,0,238,130,198,30,9,193,140,69,12,59
E06000027,LA,880,Torbay,222,152,8,0,0,0,187,171,209,17,17,173,111,47,17,47
E10000012,LA,881,Essex,711,577,0,0,0,0,687,631,660,38,x,552,425,193,64,168
E06000033,LA,882,Southend-on-Sea,153,124,7,12,8,x,117,147,146,9,8,113,81,41,x,36
E06000034,LA,883,Thurrock,192,149,0,x,0,0,171,187,181,9,9,153,151,76,15,60
E06000019,LA,884,Herefordshire,204,118,x,x,x,0,172,146,183,27,21,155,106,34,24,48
E10000034,LA,885,Worcestershire,517,351,25,8,x,x,379,63,437,56,54,384,196,92,24,80
E10000016,LA,886,Kent,1243,976,47,93,48,45,1031,1141,1084,50,46,945,736,354,76,306
E06000035,LA,887,Medway,291,187,x,15,9,6,265,256,287,38,22,219,191,70,30,91
E10000017,LA,888,Lancashire,1184,722,x,x,0,0,1117,951,1113,171,0,904,823,409,97,317
E06000008,LA,889,Blackburn with Darwen,223,143,x,11,x,0,199,161,201,27,0,177,148,71,23,54
E06000009,LA,890,Blackpool,314,184,10,20,10,6,294,255,296,43,39,231,165,90,21,54
E10000024,LA,891,Nottinghamshire,589,419,0,35,35,0,502,314,485,48,13,446,321,153,42,126
E06000018,LA,892,Nottingham,404,272,15,20,16,x,372,352,303,38,38,320,252,93,35,124
E06000051,LA,893,Shropshire,218,137,x,0,0,0,197,124,188,25,0,166,140,59,19,62
E06000020,LA,894,Telford and Wrekin,223,138,x,x,x,x,220,219,203,37,37,170,154,69,19,66
E06000049,LA,895,Cheshire East,271,201,13,10,x,x,224,206,217,17,14,229,212,95,19,98
E06000050,LA,896,Cheshire West and Chester,361,248,x,0,0,0,338,246,310,40,10,277,203,106,34,63
E06000052,LA,908,Cornwall,286,233,17,22,14,8,286,272,280,13,9,228,171,91,26,54
E10000006,LA,909,Cumbria,500,274,7,26,9,11,485,456,465,82,70,367,300,153,54,93
E10000013,LA,916,Gloucestershire,332,226,13,22,6,11,266,310,262,24,12,255,232,105,32,95
E10000015,LA,919,Hertfordshire,670,477,20,36,10,20,598,529,593,58,58,493,447,232,56,159
E06000046,LA,921,Isle of Wight,147,96,11,12,6,x,113,115,105,25,22,103,64,31,12,21
E10000019,LA,925,Lincolnshire,432,296,x,6,6,0,425,420,417,43,43,339,331,134,53,144
E10000020,LA,926,Norfolk,787,553,29,0,0,0,770,679,669,60,60,625,563,261,65,237
E10000021,LA,928,Northamptonshire,590,409,26,24,6,x,459,434,530,67,67,432,326,170,46,110
E06000048,LA,929,Northumberland,220,150,9,19,19,0,218,215,199,29,29,167,141,63,13,65
E10000025,LA,931,Oxfordshire,329,263,11,32,21,9,304,306,316,22,22,247,174,74,23,77
E10000027,LA,933,Somerset,336,252,17,7,x,x,295,290,258,19,15,266,186,82,29,75
E10000029,LA,935,Suffolk,526,411,22,17,10,x,450,456,462,27,25,428,291,126,31,134
E10000030,LA,936,Surrey,521,411,13,31,11,18,318,494,405,38,38,390,287,148,43,96
E10000031,LA,937,Warwickshire,477,331,10,x,x,x,419,365,400,49,49,363,283,133,47,103
E10000032,LA,938,West Sussex,402,316,15,26,12,13,378,373,337,36,34,295,0,0,0,0
