LA Number,,Possible number of Sessions 2007,Authorised absence 2007,Unauthorised absence 2007,Overall absence 2007,Persistent absentees 2007,Possible number of Sessions 2008,Authorised absence 2008,Unauthorised absence 2008,Overall absence 2008,Persistent absentees 2008,Possible number of Sessions 2009,Authorised absence 2009,Unauthorised absence 2009,Overall absence 2009,Persistent absentees 2009,Possible number of Sessions 2010,Authorised absence 2010,Unauthorised absence 2010,Overall absence 2010,Persistent absentees 2010,Possible number of Sessions 2011,Authorised absence 2011,Unauthorised absence 2011,Overall absence 2011,Persistent absentees 2011
800,Bath & NE Somerset,14511,597,120,717,x,12446,498,137,635,x,14953,579,339,918,x,18093,778,91,869,x,0,0,0,0,0
801,City of Bristol,76501,4156,923,5079,16,86042,3803,1844,5647,16,88656,4069,2190,6259,21,85529,3828,1529,5357,15,0,0,0,0,0
802,North Somerset,18537,876,216,1092,x,20280,791,275,1066,x,23436,672,525,1197,x,26579,1177,328,1505,x,0,0,0,0,0
803,South Gloucestershire,16345,929,288,1217,x,17133,1034,514,1548,8,14652,1011,212,1223,x,16613,1070,94,1164,x,0,0,0,0,0
805,Hartlepool,20196,1195,355,1550,x,18102,681,312,993,x,19837,847,487,1334,x,19667,572,145,717,x,0,0,0,0,0
806,Middlesbrough,36530,1653,399,2052,7,35057,1817,508,2325,7,35471,1628,845,2473,10,39222,1402,647,2049,x,0,0,0,0,0
807,Redcar and Cleveland,19709,979,287,1266,x,17829,670,114,784,x,19187,702,132,834,x,17395,653,151,804,x,0,0,0,0,0
808,Stockton on Tees,26192,1052,645,1697,6,26544,850,595,1445,x,29399,772,500,1272,x,28573,809,271,1080,x,0,0,0,0,0
810,City of Kingston-Upon-Hull,77482,3990,4292,8282,33,72748,3087,3047,6134,26,71679,3023,2788,5811,20,69839,2971,1934,4905,20,0,0,0,0,0
811,East Riding of Yorkshire,37408,2014,226,2240,7,37310,1766,164,1930,x,36251,2113,420,2533,7,35921,1824,590,2414,8,0,0,0,0,0
812,North East Lincolnshire,18390,848,229,1077,x,17135,550,393,943,x,18714,606,323,929,x,13666,368,259,627,x,0,0,0,0,0
813,North Lincolnshire,21855,1159,292,1451,7,20690,759,465,1224,x,17404,718,83,801,x,19979,752,270,1022,x,0,0,0,0,0
815,North Yorkshire,61727,3041,884,3925,13,62171,2621,467,3088,8,61227,2172,608,2780,6,55582,2397,426,2823,x,0,0,0,0,0
816,York,19078,1275,471,1746,8,22126,1167,611,1778,7,21784,784,200,984,x,27892,1161,172,1333,x,0,0,0,0,0
821,Luton,58658,2925,1228,4153,12,54632,3372,1196,4568,24,51178,2226,941,3167,9,48809,2060,511,2571,6,0,0,0,0,0
822,Bedford Borough,.,.,.,.,.,.,.,.,.,.,19786,1048,334,1382,x,17175,722,190,912,0,0,0,0,0,0
823,Central Bedfordshire,.,.,.,.,.,.,.,.,.,.,17340,827,307,1134,x,18170,995,479,1474,7,0,0,0,0,0
825,Buckinghamshire,34558,2518,281,2799,11,34385,1815,234,2049,x,31100,1628,308,1936,6,32004,1532,297,1829,x,0,0,0,0,0
826,Milton Keynes,25727,1407,447,1854,7,23597,917,349,1266,x,18965,629,78,707,0,24059,897,134,1031,x,0,0,0,0,0
830,Derbyshire,71515,3892,681,4573,19,67714,2816,719,3535,9,67085,2984,963,3947,12,66564,3002,1120,4122,11,0,0,0,0,0
831,Derby,55900,2617,618,3235,10,55320,2368,483,2851,6,56005,2262,587,2849,6,62558,2163,659,2822,x,0,0,0,0,0
835,Dorset,33467,1422,123,1545,x,33251,1927,246,2173,10,32000,1524,143,1667,x,31040,1441,159,1600,x,0,0,0,0,0
836,Poole,19961,1111,405,1516,7,15168,677,163,840,x,15038,875,181,1056,x,18564,832,66,898,x,0,0,0,0,0
837,Bournemouth,20566,1351,344,1695,10,16835,761,241,1002,x,16866,884,247,1131,x,18169,622,215,837,x,0,0,0,0,0
840,Durham,52206,2317,506,2823,7,55976,2616,624,3240,7,58645,2760,274,3034,6,61059,2458,416,2874,x,0,0,0,0,0
841,Darlington,19081,574,209,783,x,17784,517,222,739,x,19841,588,110,698,x,18414,619,324,943,x,0,0,0,0,0
845,East Sussex,63585,3897,1286,5183,18,65147,3220,1440,4660,14,65224,3216,672,3888,12,63645,2820,1217,4037,12,0,0,0,0,0
846,Brighton & Hove,44365,2422,1196,3618,16,44959,2334,1147,3481,11,44697,2077,741,2818,8,40512,2042,689,2731,10,0,0,0,0,0
