LA Number,,Number KS2 children as returned on SSDA903,Number of children achieving level 4 in English,Number of children achieving level 4 in Maths,Number of children achieving level 4 in both English and maths,
867,Bracknell Forest,x,x,0,0,
868,Royal Borough of Windsor & Maidenhead,x,0,x,0,
869,West Berkshire,x,x,x,x,
870,Reading,x,x,x,x,
871,Slough,x,x,x,x,
872,Wokingham,7,x,x,x,
873,Cambridgeshire,17,7,x,x,
874,City of Peterborough,13,6,x,x,
876,Halton,x,x,x,x,
877,Warrington,9,x,x,x,
878,Devon,17,x,x,x,
879,City of Plymouth,11,6,x,x,
880,Torbay,7,x,x,x,
881,Essex,52,28,26,22,
882,Southend,8,7,7,7,
883,Thurrock,6,x,x,x,
884,Herefordshire,6,x,x,x,
885,Worcestershire,21,9,9,6,
886,Kent,55,24,24,18,
887,Medway,11,x,x,x,
888,Lancashire,57,25,23,17,
889,Blackburn and Darwin,15,8,6,x,
890,Blackpool,12,8,8,7,
891,Nottinghamshire,11,6,9,6,
892,City of Nottingham,14,x,7,x,
893,Shropshire,x,x,x,x,
894,Telford and Wrekin,7,x,x,x,
895,Cheshire East,9,7,7,7,
896,Cheshire West & Chester,10,x,x,x,
908,Cornwall,11,6,9,x,
909,Cumbria,20,14,12,12,
916,Gloucestershire,10,7,x,x,
919,Hertfordshire,31,14,14,12,
921,Isle of Wight,9,x,x,x,
925,Lincolnshire,26,9,8,6,
926,Norfolk,34,14,15,13,
928,Northamptonshire,28,13,12,10,
929,Northumberland,10,x,x,x,
931,Oxfordshire,7,x,x,x,
933,Somerset,12,9,8,8,
935,Suffolk,25,11,10,10,
936,Surrey,23,10,11,8,
937,Warwickshire,28,9,9,8,
938,West Sussex,26,12,10,8,
