country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,Elig_KS4_2008,Level2_2008,5_GCSE_EM_2008,GCSE_EM_2008,Elig_KS4_2009,Level2_2009,5_GCSE_EM_2009,GCSE_EM_2009,Elig_KS4_2010,Level2_2010,5_GCSE_EM_2010,GCSE_EM_2010,Elig_KS4_2011,Level2_2011,5_GCSE_EM_2011,GCSE_EM_2011,Elig_KS4_2012,Level2_2012,5_GCSE_EM_2012,GCSE_EM_2012
921,England,J,South East,825,E10000002,Buckinghamshire,26,x,x,x,25,x,x,x,26,x,x,x,24,6,x,x,30,10,6,7
921,England,J,South East,826,E06000042,Milton Keynes,14,x,x,x,9,x,x,x,22,6,x,x,17,7,x,x,22,13,x,x
921,England,E,East Midlands,830,E10000007,Derbyshire,40,8,6,6,28,9,x,x,52,14,x,x,68,17,8,9,54,13,x,x
921,England,E,East Midlands,831,E06000015,Derby,28,6,x,x,30,x,x,x,27,x,x,x,35,19,6,7,37,17,9,9
921,England,K,South West ,835,E10000009,Dorset,26,8,x,x,22,x,x,x,22,x,x,x,23,x,x,x,24,x,x,x
921,England,K,South West ,836,E06000029,Poole,7,x,x,x,9,x,x,x,6,x,x,x,14,x,x,x,13,7,x,x
921,England,K,South West ,837,E06000028,Bournemouth,14,x,0,0,19,x,x,x,17,x,0,0,23,6,x,x,17,x,x,x
921,England,A,North East ,840,E06000047,Durham,24,x,x,x,29,8,x,x,26,11,7,7,46,25,7,7,46,31,8,8
921,England,A,North East ,841,E06000005,Darlington,9,x,0,0,x,x,0,0,10,x,x,x,13,x,x,x,18,9,x,x
921,England,J,South East,845,E10000011,East Sussex,39,x,x,x,40,8,x,x,40,15,8,8,46,13,7,7,38,13,7,7
921,England,J,South East,846,E06000043,Brighton & Hove,40,x,x,x,35,x,x,x,37,x,x,x,28,6,x,x,36,13,x,x
921,England,J,South East,850,E10000014,Hampshire,68,10,6,7,80,14,x,6,82,23,13,14,105,22,8,10,87,21,8,8
921,England,J,South East,851,E06000044,Portsmouth,25,x,x,x,28,7,x,x,18,x,x,x,19,x,x,x,22,7,x,x
921,England,J,South East,852,E06000045,Southampton,23,x,x,x,26,x,x,x,24,6,x,x,22,x,x,x,30,10,6,6
921,England,E,East Midlands,855,E10000018,Leicestershire,38,6,x,x,28,x,x,x,23,x,x,x,34,12,x,x,30,11,x,x
921,England,E,East Midlands,856,E06000016,Leicester City,38,x,x,x,24,x,x,x,37,x,x,x,37,9,x,x,33,12,x,x
921,England,E,East Midlands,857,E06000017,Rutland,x,0,0,0,x,x,0,0,x,0,0,0,0,0,0,0,x,x,0,0
921,England,F,West Midlands,860,E10000028,Staffordshire,41,8,x,x,60,14,7,7,48,13,6,6,66,23,11,11,74,30,16,16
921,England,F,West Midlands,861,E06000021,Stoke,29,6,x,x,28,8,x,x,41,12,7,7,29,9,x,x,31,6,x,x
921,England,K,South West ,865,E06000054,Wiltshire,23,x,x,x,30,x,x,x,26,7,x,x,26,x,x,x,35,13,6,6
921,England,K,South West ,866,E06000030,Swindon,13,x,0,0,19,x,x,x,18,x,x,x,27,9,x,x,25,x,x,x
921,England,J,South East,867,E06000036,Bracknell Forest,11,0,0,0,14,0,0,0,10,x,x,x,9,x,x,x,9,x,0,0
921,England,J,South East,868,E06000040,Royal Borough of Windsor & Maidenhead,8,x,0,0,6,x,x,x,7,x,x,x,8,x,x,x,6,x,x,x
921,England,J,South East,869,E06000037,West Berkshire,9,x,0,x,10,x,x,x,8,x,x,x,7,x,0,0,15,x,0,0
921,England,J,South East,870,E06000038,Reading,15,x,x,x,10,x,x,x,12,x,x,x,13,x,x,x,15,6,0,0
921,England,J,South East,871,E06000039,Slough,7,x,0,0,x,x,0,0,10,x,x,x,12,7,x,x,15,8,x,x
921,England,J,South East,872,E06000041,Wokingham,x,x,x,x,x,0,0,0,x,0,0,0,11,x,x,x,6,x,x,x
921,England,G,East of England ,873,E10000003,Cambridgeshire,27,x,x,x,28,8,6,9,40,9,x,x,45,10,x,x,35,12,x,x
921,England,G,East of England ,874,E06000031,City of Peterborough,21,x,x,x,23,x,x,x,34,10,x,x,22,7,x,x,22,9,x,x
921,England,B,North West,876,E06000006,Halton,15,6,x,x,8,x,x,x,18,6,x,x,15,6,x,x,x,x,x,x
921,England,B,North West,877,E06000007,Warrington,16,x,0,0,17,6,x,x,19,x,x,x,10,x,x,x,15,12,6,6
921,England,K,South West ,878,E10000008,Devon,52,10,7,7,57,9,x,6,64,12,9,12,57,14,9,9,59,18,6,6
921,England,K,South West ,879,E06000026,City of Plymouth,23,x,0,0,30,9,x,x,24,x,x,x,29,9,x,x,28,10,x,x
921,England,K,South West ,880,E06000027,Torbay,10,0,0,0,8,x,0,0,18,x,x,x,14,7,x,x,19,x,x,x
921,England,G,East of England ,881,E10000012,Essex,96,20,7,9,104,27,16,17,116,32,11,12,133,39,16,17,105,45,18,18
921,England,G,East of England ,882,E06000033,Southend,25,x,x,x,19,x,x,x,26,8,6,6,18,7,x,x,17,9,x,x
921,England,G,East of England ,883,E06000034,Thurrock,15,x,x,x,18,6,x,x,15,x,x,x,7,6,x,x,21,7,x,x
921,England,F,West Midlands,884,E06000019,Herefordshire,14,x,x,x,18,8,x,x,17,x,x,x,15,x,x,x,15,x,x,x
921,England,F,West Midlands,885,E10000034,Worcestershire,40,x,x,x,33,8,x,x,37,11,x,x,42,12,x,x,43,7,x,x
921,England,J,South East,886,E10000016,Kent,106,19,9,9,105,31,10,10,131,29,8,9,136,36,15,16,111,37,16,16
921,England,J,South East,887,E06000035,Medway,28,x,x,x,27,11,x,x,28,9,x,x,30,13,x,x,22,x,x,x
921,England,B,North West,888,E10000017,Lancashire,97,15,10,11,94,20,11,11,97,30,18,18,84,23,10,10,93,32,12,13
921,England,B,North West,889,E06000008,Blackburn and Darwin,25,7,x,x,21,x,0,0,30,12,x,6,27,10,x,x,14,x,x,x
921,England,B,North West,890,E06000009,Blackpool,14,x,0,0,15,x,0,0,28,6,x,x,23,14,7,8,20,8,x,x
921,England,E,East Midlands,891,E10000024,Nottinghamshire,23,10,x,x,32,9,x,x,40,13,x,x,49,16,7,7,41,18,x,x
921,England,E,East Midlands,892,E06000018,City of Nottingham,43,x,x,x,33,7,x,x,39,10,x,x,33,x,x,x,30,11,0,0
921,England,F,West Midlands,893,E06000051,Shropshire,15,x,x,x,21,x,x,x,18,x,x,6,20,x,x,x,18,x,x,x
921,England,F,West Midlands,894,E06000020,Telford and Wrekin,17,x,x,x,14,x,0,0,21,x,x,x,16,8,x,x,24,12,8,8
921,England,B,North West,895,E06000049,Cheshire East,.,.,.,.,28,x,x,x,20,8,x,x,26,10,x,x,23,7,x,x
921,England,B,North West,896,E06000050,Cheshire West & Chester,.,.,.,.,20,x,x,x,24,x,0,0,18,x,x,x,25,x,x,x
921,England,K,South West ,908,E06000052,Cornwall,47,6,x,x,45,x,x,x,43,10,6,6,42,16,9,9,48,15,x,6
921,England,B,North West,909,E10000006,Cumbria,37,10,x,6,35,x,x,x,34,14,x,x,36,13,6,6,40,17,10,10
921,England,K,South West ,916,E10000013,Gloucestershire,43,11,6,8,42,12,7,7,45,17,6,8,50,17,x,x,41,13,x,x
921,England,G,East of England ,919,E10000015,Hertfordshire,72,11,6,7,85,20,7,7,91,18,12,12,103,35,19,20,99,39,13,13
921,England,J,South East,921,E06000046,Isle of Wight,x,x,x,x,21,x,0,0,20,x,x,x,23,7,x,x,16,x,0,0
921,England,E,East Midlands,925,E10000019,Lincolnshire,53,9,x,x,55,13,6,6,51,16,x,x,40,14,x,x,38,19,9,9
921,England,G,East of England ,926,E10000020,Norfolk,69,13,11,14,67,15,10,12,87,14,10,10,87,29,21,22,103,32,20,21
921,England,E,East Midlands,928,E10000021,Northamptonshire,50,7,x,x,37,7,x,x,58,9,x,x,64,20,8,8,59,11,x,6
921,England,A,North East ,929,E06000048,Northumberland,19,6,x,x,18,x,x,x,19,9,x,x,14,10,6,6,26,9,x,x
921,England,J,South East,931,E10000025,Oxfordshire,39,x,x,x,46,6,x,x,40,9,x,x,51,9,x,x,31,6,x,x
921,England,K,South West ,933,E10000027,Somerset,31,x,0,0,36,8,x,x,41,x,x,x,40,6,x,x,41,9,x,x
921,England,G,East of England ,935,E10000029,Suffolk,46,9,7,8,53,x,x,x,66,14,6,7,57,18,8,9,53,12,6,6
921,England,J,South East,936,E10000030,Surrey,59,9,x,x,76,19,9,9,75,23,9,9,54,21,12,12,76,16,x,6
921,England,F,West Midlands,937,E10000031,Warwickshire,45,8,x,x,46,14,7,7,43,10,x,x,63,20,7,7,49,19,8,8
921,England,J,South East,938,E10000032,West Sussex,49,9,7,7,59,7,x,x,64,14,x,x,56,15,x,x,62,15,6,6
