country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,CLA_12_months_2012,CLA_12_months_2012_10plus,CLA_12_months_2012_5under,caution_conviction,substance_misuse,substance_intervention,refused_intervention,dev_assess,immunisations,teeth_check,health_assess,year11_2011,ft_ed,ft_emp,pt_emp_ed,unemp,SDQ_score_rec,elig_SDQ,SDQ_normal,SDQ_borderline,SDQ_concern
921,England,A,North East ,394,E08000024,Sunderland,267,168,69,27,24,23,x,69,236,206,246,31,20,8,0,x,154,190,85,12,57
921,England,K,South West ,800,E06000022,Bath & NE Somerset,105,82,12,7,6,x,x,7,94,81,92,14,13,0,0,x,61,78,25,6,30
921,England,K,South West ,801,E06000023,City of Bristol,481,350,69,37,38,23,12,9,291,409,434,69,50,x,x,11,180,372,85,18,77
921,England,K,South West ,802,E06000024,North Somerset,158,106,26,6,x,x,0,22,139,132,136,11,x,x,0,x,83,130,36,16,31
921,England,K,South West ,803,E06000025,South Gloucestershire,144,85,36,9,x,x,0,36,137,124,123,19,7,x,x,9,39,98,19,x,17
921,England,A,North East ,805,E06000001,Hartlepool,114,77,19,0,0,0,0,13,112,107,107,17,16,0,0,x,89,92,45,15,29
921,England,A,North East ,806,E06000002,Middlesbrough,220,152,36,11,10,8,x,32,212,214,202,23,16,x,x,x,172,172,87,23,62
921,England,A,North East ,807,E06000003,Redcar and Cleveland,114,67,23,8,0,0,0,0,93,106,111,10,6,x,0,x,68,87,29,10,29
921,England,A,North East ,808,E06000004,Stockton on Tees,200,111,52,11,7,x,x,50,183,166,174,15,11,0,0,x,113,159,63,12,38
921,England,D,Yorks & the Humber ,810,E06000010,City of Kingston-Upon-Hull,459,228,141,30,12,x,7,141,298,413,432,30,17,x,0,8,131,333,54,23,54
921,England,D,Yorks & the Humber ,811,E06000011,East Riding of Yorkshire,200,120,59,0,x,x,x,37,188,180,151,30,21,x,x,x,87,144,45,14,28
921,England,D,Yorks & the Humber ,812,E06000012,North East Lincolnshire,107,60,36,7,6,x,x,36,101,103,107,12,9,x,0,x,69,71,37,6,26
921,England,D,Yorks & the Humber ,813,E06000013,North Lincolnshire,110,71,22,x,x,x,0,22,109,100,110,7,x,x,x,0,85,85,42,9,34
921,England,D,Yorks & the Humber ,815,E10000023,North Yorkshire,332,211,61,6,0,0,0,6,0,260,243,32,29,0,0,x,212,263,104,26,82
921,England,D,Yorks & the Humber ,816,E06000014,York,173,110,33,12,7,7,0,29,172,120,94,17,11,x,x,x,120,137,55,20,45
921,England,G,East of England ,821,E06000032,Luton,291,199,41,9,16,6,7,31,273,255,160,42,36,0,x,x,117,225,57,15,45
921,England,G,East of England ,822,E06000055,Bedford Borough,117,82,25,9,x,x,0,25,96,97,94,16,15,0,x,0,59,82,23,11,25
921,England,G,East of England ,823,E06000056,Central Bedfordshire,117,84,19,7,12,8,x,19,108,107,102,20,16,x,0,x,78,81,37,11,30
921,England,J,South East,825,E10000002,Buckinghamshire,278,171,62,11,x,x,0,0,32,222,265,26,18,0,x,x,151,206,69,28,54
921,England,J,South East,826,E06000042,Milton Keynes,192,111,43,x,x,x,x,43,183,176,183,18,16,x,0,0,132,145,72,18,42
921,England,E,East Midlands,830,E10000007,Derbyshire,478,299,110,37,44,23,18,105,308,413,400,81,51,x,10,16,252,329,103,33,116
921,England,E,East Midlands,831,E06000015,Derby,345,222,67,22,x,0,x,26,320,258,256,42,30,x,x,7,99,261,36,16,47
921,England,K,South West ,835,E10000009,Dorset,201,152,28,10,x,x,0,21,162,151,163,28,21,0,x,x,125,153,60,20,45
921,England,K,South West ,836,E06000029,Poole,104,68,15,x,x,x,x,15,77,95,102,14,14,0,0,0,52,85,31,9,12
921,England,K,South West ,837,E06000028,Bournemouth,141,96,24,11,6,x,x,x,137,127,139,22,11,x,x,x,92,96,48,14,30
921,England,A,North East ,840,E06000047,Durham,382,219,91,25,13,12,x,45,382,343,275,42,29,x,0,10,222,290,88,26,108
921,England,A,North East ,841,E06000005,Darlington,118,92,19,6,x,x,0,19,101,114,108,15,9,x,0,x,58,85,27,x,26
921,England,J,South East,845,E10000011,East Sussex,435,273,97,18,14,13,x,78,419,422,407,54,37,x,8,7,172,325,71,25,76
921,England,J,South East,846,E06000043,Brighton & Hove,335,208,77,11,18,6,12,76,320,278,270,31,27,0,0,x,211,250,98,22,91
921,England,J,South East,850,E10000014,Hampshire,758,524,131,37,x,x,x,128,642,644,659,108,86,9,x,12,301,573,154,37,110
921,England,J,South East,851,E06000044,Portsmouth,231,131,61,10,9,x,8,61,202,191,212,21,17,x,x,x,129,179,68,21,40
921,England,J,South East,852,E06000045,Southampton,276,154,75,21,10,10,0,75,258,240,235,27,23,0,0,x,0,186,0,0,0
921,England,E,East Midlands,855,E10000018,Leicestershire,247,162,48,13,9,x,x,43,199,193,203,37,29,x,x,x,x,193,0,x,x
921,England,E,East Midlands,856,E06000016,Leicester City,367,216,85,12,13,9,x,81,304,335,337,37,26,x,x,7,160,264,90,21,49
921,England,E,East Midlands,857,E06000017,Rutland,20,9,6,0,0,0,0,6,20,19,17,x,x,0,0,0,15,15,x,x,11
921,England,F,West Midlands,860,E10000028,Staffordshire,615,396,120,10,30,24,6,117,584,265,529,87,43,13,x,30,213,456,90,27,96
921,England,F,West Midlands,861,E06000021,Stoke,293,188,62,x,7,x,x,62,242,193,265,25,16,x,x,7,172,225,75,20,77
921,England,K,South West ,865,E06000054,Wiltshire,294,178,67,16,8,x,x,65,220,242,288,28,22,x,x,x,160,221,75,20,65
921,England,K,South West ,866,E06000030,Swindon,169,132,18,16,8,x,x,16,145,162,142,28,19,6,x,x,110,126,61,x,44
921,England,J,South East,867,E06000036,Bracknell Forest,59,45,9,x,0,0,0,9,54,54,51,9,x,0,x,x,28,44,10,6,12
921,England,J,South East,868,E06000040,Royal Borough of Windsor & Maidenhead,61,38,12,x,x,x,x,12,60,59,59,9,6,x,x,x,38,41,11,9,18
921,England,J,South East,869,E06000037,West Berkshire,84,53,18,8,7,x,x,18,81,82,52,8,7,0,x,0,53,62,24,x,26
921,England,J,South East,870,E06000038,Reading,146,85,42,x,x,x,0,37,132,134,129,13,7,x,x,0,85,100,25,11,49
921,England,J,South East,871,E06000039,Slough,111,65,29,x,x,x,0,29,111,101,105,13,12,0,x,0,78,80,38,11,29
921,England,J,South East,872,E06000041,Wokingham,49,32,11,x,x,0,x,x,39,38,32,9,8,x,0,0,22,34,8,x,13
921,England,G,East of England ,873,E10000003,Cambridgeshire,332,221,54,x,0,0,0,53,297,304,291,46,46,0,0,0,96,252,46,14,36
921,England,G,East of England ,874,E06000031,City of Peterborough,219,138,48,8,0,0,0,45,206,207,204,26,16,x,0,7,146,160,82,19,45
921,England,B,North West,876,E06000006,Halton,81,54,15,x,x,x,0,12,81,78,69,13,10,x,0,0,59,61,33,6,20
921,England,B,North West,877,E06000007,Warrington,164,98,33,x,x,0,x,31,157,149,148,10,6,x,x,x,104,131,56,11,37
921,England,K,South West ,878,E10000008,Devon,426,309,67,31,32,18,13,49,338,369,326,67,50,x,x,15,211,298,83,27,101
921,England,K,South West ,879,E06000026,City of Plymouth,268,192,44,10,9,8,0,33,247,226,250,27,27,0,0,0,185,212,62,21,102
921,England,K,South West ,880,E06000027,Torbay,152,95,30,8,x,x,0,23,96,88,118,10,7,0,x,x,105,114,45,15,45
921,England,G,East of England ,881,E10000012,Essex,"1,075",742,167,53,43,16,20,x,526,959,921,149,102,6,12,29,380,799,197,50,133
921,England,G,East of England ,882,E06000033,Southend,186,126,31,x,9,x,x,0,122,179,160,18,17,0,x,0,116,145,55,16,45
921,England,G,East of England ,883,E06000034,Thurrock,135,100,17,x,0,0,0,0,67,118,119,16,11,0,x,x,106,108,42,13,51
921,England,F,West Midlands,884,E06000019,Herefordshire,124,75,25,0,x,0,x,0,0,107,119,12,9,x,0,0,43,91,18,x,23
921,England,F,West Midlands,885,E10000034,Worcestershire,444,268,100,12,16,10,x,76,280,41,326,57,41,8,x,x,214,323,106,16,92
921,England,J,South East,886,E10000016,Kent,"1,173",759,240,67,30,15,10,231,"1,094",937,893,168,133,8,x,23,562,830,227,71,264
921,England,J,South East,887,E06000035,Medway,299,171,84,0,0,0,0,49,284,260,270,42,29,x,0,9,148,197,62,25,61
921,England,B,North West,888,E10000017,Lancashire,949,561,224,49,49,18,24,223,762,757,878,88,62,7,x,16,642,718,354,90,198
921,England,B,North West,889,E06000008,Blackburn and Darwin,250,135,60,9,6,0,0,8,220,217,231,23,15,x,x,x,103,193,51,14,38
921,England,B,North West,890,E06000009,Blackpool,310,160,98,11,24,21,x,98,299,310,310,23,19,x,0,0,139,224,73,16,50
921,England,E,East Midlands,891,E10000024,Nottinghamshire,482,283,112,22,26,13,12,104,388,338,423,61,52,0,7,x,211,347,103,28,80
921,England,E,East Midlands,892,E06000018,City of Nottingham,371,225,88,22,27,25,x,80,313,314,308,41,21,x,x,11,240,260,104,35,101
921,England,F,West Midlands,893,E06000051,Shropshire,140,102,22,6,0,0,0,22,126,107,124,17,15,0,x,0,63,105,32,10,21
921,England,F,West Midlands,894,E06000020,Telford and Wrekin,200,128,30,9,x,x,x,30,194,192,183,15,13,0,0,x,149,164,64,24,61
921,England,B,North West,895,E06000049,Cheshire East,346,185,79,14,9,6,x,79,336,336,330,29,22,x,0,x,211,257,98,40,73
921,England,B,North West,896,E06000050,Cheshire West & Chester,243,152,45,8,x,x,x,27,213,215,224,18,11,x,x,x,66,196,37,7,22
921,England,K,South West ,908,E06000052,Cornwall,306,244,28,x,14,7,7,0,47,223,258,43,35,x,0,7,197,249,91,28,78
921,England,B,North West,909,E10000006,Cumbria,395,244,85,29,20,8,7,74,369,310,289,39,28,x,x,7,135,307,73,18,44
921,England,K,South West ,916,E10000013,Gloucestershire,316,204,66,14,10,x,6,35,247,237,224,52,24,7,10,11,210,223,93,31,86
921,England,G,East of England ,919,E10000015,Hertfordshire,714,508,116,36,18,0,x,115,364,553,615,109,92,x,7,8,469,526,260,58,151
921,England,J,South East,921,E06000046,Isle of Wight,111,86,14,7,11,x,6,14,79,92,73,21,14,x,x,x,39,85,16,x,21
921,England,E,East Midlands,925,E10000019,Lincolnshire,338,248,47,11,8,6,x,46,333,321,319,35,27,x,x,x,271,275,137,38,96
921,England,G,East of England ,926,E10000020,Norfolk,706,511,108,23,13,11,x,88,532,461,397,87,52,12,8,15,502,549,402,65,35
921,England,E,East Midlands,928,E10000021,Northamptonshire,518,357,93,32,x,x,x,92,390,417,443,80,55,6,x,17,296,358,127,43,126
921,England,A,North East ,929,E06000048,Northumberland,189,132,30,14,10,8,x,30,181,181,181,17,13,x,0,x,129,153,59,20,50
921,England,J,South East,931,E10000025,Oxfordshire,267,190,41,14,16,12,x,41,230,225,260,46,37,6,x,x,163,190,61,28,74
921,England,K,South West ,933,E10000027,Somerset,267,185,46,40,42,25,14,39,193,223,233,39,28,0,x,10,143,191,60,25,58
921,England,G,East of England ,935,E10000029,Suffolk,584,365,121,14,0,0,0,108,529,340,453,57,47,0,x,7,253,435,97,35,121
921,England,J,South East,936,E10000030,Surrey,521,353,86,25,23,11,8,29,355,481,394,58,44,x,x,9,283,386,122,44,117
921,England,F,West Midlands,937,E10000031,Warwickshire,450,319,78,13,x,0,x,78,410,383,343,71,17,x,39,14,152,330,80,18,54
921,England,J,South East,938,E10000032,West Sussex,488,350,77,24,31,12,18,73,473,460,417,59,45,0,x,10,0,354,0,0,0
