country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,Elig_KS1_2012,Lev2_reading_2012,Lev2_writing_2012,Lev2_maths_2012
921,England,E,East Midlands,892,E06000018,City of Nottingham,14,7,6,7
921,England,F,West Midlands,893,E06000051,Shropshire,x,x,x,x
921,England,F,West Midlands,894,E06000020,Telford and Wrekin,10,8,7,8
921,England,B,North West,895,E06000049,Cheshire East,21,16,14,14
921,England,B,North West,896,E06000050,Cheshire West & Chester,11,x,x,6
921,England,K,South West ,908,E06000052,Cornwall,x,x,x,x
921,England,B,North West,909,E10000006,Cumbria,15,8,x,9
921,England,K,South West ,916,E10000013,Gloucestershire,8,x,x,6
921,England,G,East of England ,919,E10000015,Hertfordshire,24,16,13,17
921,England,J,South East,921,E06000046,Isle of Wight,x,x,x,x
921,England,E,East Midlands,925,E10000019,Lincolnshire,6,x,x,x
921,England,G,East of England ,926,E10000020,Norfolk,16,13,12,11
921,England,E,East Midlands,928,E10000021,Northamptonshire,15,13,10,11
921,England,A,North East ,929,E06000048,Northumberland,8,x,x,x
921,England,J,South East,931,E10000025,Oxfordshire,8,x,x,x
921,England,K,South West ,933,E10000027,Somerset,6,x,x,x
921,England,G,East of England ,935,E10000029,Suffolk,25,16,12,17
921,England,J,South East,936,E10000030,Surrey,15,8,8,9
921,England,F,West Midlands,937,E10000031,Warwickshire,12,9,6,7
921,England,J,South East,938,E10000032,West Sussex,9,x,x,x
