country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,Num_elig_2008,Num_perm_ex_2008,Num_fix_ex_2008,Num_elig_2009,Num_perm_ex_2009,Num_fix_ex_2009,Num_elig_2010,Num_perm_ex_2010,Num_fix_ex_2010,Num_elig_2011,Num_perm_ex_2011,Num_fix_ex_2011
921,England,J,South East,851,E06000044,Portsmouth,139,x,25,129,0,22,128,0,20,132,x,23
921,England,J,South East,852,E06000045,Southampton,123,0,32,113,0,29,114,0,21,145,0,19
921,England,E,East Midlands,855,E10000018,Leicestershire,131,x,26,116,0,20,123,x,18,139,0,15
921,England,E,East Midlands,856,E06000016,Leicester City,199,0,31,178,0,32,208,x,29,200,0,28
921,England,E,East Midlands,857,E06000017,Rutland,6,0,x,x,0,0,x,0,0,11,0,0
921,England,F,West Midlands,860,E10000028,Staffordshire,308,0,43,302,x,47,306,x,36,331,x,33
921,England,F,West Midlands,861,E06000021,Stoke,206,x,26,188,x,27,169,0,23,162,0,17
921,England,K,South West ,865,E06000054,Wiltshire,140,0,28,150,x,29,149,0,18,165,0,19
921,England,K,South West ,866,E06000030,Swindon,107,0,13,122,x,10,112,x,16,111,0,13
921,England,J,South East,867,E06000036,Bracknell Forest,32,0,9,31,0,8,28,0,7,29,0,6
921,England,J,South East,868,E06000040,Royal Borough of Windsor & Maidenhead,25,0,x,20,0,x,25,0,x,39,0,x
921,England,J,South East,869,E06000037,West Berkshire,37,0,x,35,0,6,42,0,6,45,0,x
921,England,J,South East,870,E06000038,Reading,95,0,13,84,x,11,83,0,13,79,x,12
921,England,J,South East,871,E06000039,Slough,33,0,x,30,0,7,43,0,x,60,0,10
921,England,J,South East,872,E06000041,Wokingham,23,0,6,22,x,6,25,0,x,27,0,x
921,England,G,East of England ,873,E10000003,Cambridgeshire,162,x,22,170,x,20,189,x,26,194,0,26
921,England,G,East of England ,874,E06000031,City of Peterborough,161,0,18,147,x,21,153,x,18,130,0,13
921,England,B,North West,876,E06000006,Halton,91,0,6,77,x,x,71,0,8,52,0,x
921,England,B,North West,877,E06000007,Warrington,107,0,17,109,0,12,112,0,11,103,0,13
921,England,K,South West ,878,E10000008,Devon,263,0,56,244,0,52,239,0,46,232,0,32
921,England,K,South West ,879,E06000026,City of Plymouth,177,0,21,181,x,24,159,x,23,167,0,28
921,England,K,South West ,880,E06000027,Torbay,82,0,8,83,0,8,84,0,10,97,0,10
921,England,G,East of England ,881,E10000012,Essex,621,x,95,641,0,82,627,x,72,646,0,83
921,England,G,East of England ,882,E06000033,Southend,156,0,24,141,0,15,127,0,21,120,x,18
921,England,G,East of England ,883,E06000034,Thurrock,83,0,13,80,0,9,84,x,14,81,x,9
921,England,F,West Midlands,884,E06000019,Herefordshire,79,0,12,76,0,10,71,0,13,65,0,7
921,England,F,West Midlands,885,E10000034,Worcestershire,223,x,25,224,0,42,239,x,28,261,0,34
921,England,J,South East,886,E10000016,Kent,537,x,93,536,x,97,569,x,107,604,x,103
921,England,J,South East,887,E06000035,Medway,153,0,21,134,x,23,126,x,17,121,0,17
921,England,B,North West,888,E10000017,Lancashire,607,x,62,570,x,51,563,x,47,576,x,45
921,England,B,North West,889,E06000008,Blackburn and Darwin,159,0,23,154,0,11,160,0,11,154,0,11
921,England,B,North West,890,E06000009,Blackpool,108,0,18,114,0,14,143,x,18,161,x,15
921,England,E,East Midlands,891,E10000024,Nottinghamshire,191,0,32,202,x,28,229,0,44,242,0,33
921,England,E,East Midlands,892,E06000018,City of Nottingham,191,x,28,170,0,26,181,x,22,186,x,23
921,England,F,West Midlands,893,E06000051,Shropshire,66,0,x,68,0,13,71,0,11,73,0,10
921,England,F,West Midlands,894,E06000020,Telford and Wrekin,97,0,10,98,0,14,106,0,13,117,0,11
921,England,B,North West,895,E06000049,Cheshire East,.,.,.,145,0,22,147,0,15,200,x,25
921,England,B,North West,896,E06000050,Cheshire West & Chester,.,.,.,151,x,21,159,0,15,160,0,15
921,England,K,South West ,908,E06000052,Cornwall,207,x,30,195,x,30,212,0,27,202,0,18
921,England,B,North West,909,E10000006,Cumbria,238,x,18,219,x,20,210,0,21,232,0,32
921,England,K,South West ,916,E10000013,Gloucestershire,194,0,35,183,0,32,175,0,34,180,x,30
921,England,G,East of England ,919,E10000015,Hertfordshire,450,0,87,433,x,80,432,x,84,436,0,65
921,England,J,South East,921,E06000046,Isle of Wight,83,0,17,98,x,10,85,0,14,76,0,x
921,England,E,East Midlands,925,E10000019,Lincolnshire,267,x,31,264,x,33,251,x,32,236,0,25
921,England,G,East of England ,926,E10000020,Norfolk,428,x,56,407,x,50,402,0,46,402,x,33
921,England,E,East Midlands,928,E10000021,Northamptonshire,250,x,43,230,x,38,254,x,29,266,x,34
921,England,A,North East ,929,E06000048,Northumberland,147,x,19,133,x,8,130,x,11,126,0,19
921,England,J,South East,931,E10000025,Oxfordshire,180,x,33,180,x,30,172,0,32,157,0,20
921,England,K,South West ,933,E10000027,Somerset,168,x,35,148,x,33,133,x,27,149,0,28
921,England,G,East of England ,935,E10000029,Suffolk,326,0,33,328,0,36,321,0,35,317,0,27
921,England,J,South East,936,E10000030,Surrey,313,x,51,319,x,40,294,0,40,277,0,47
921,England,F,West Midlands,937,E10000031,Warwickshire,234,x,40,243,x,39,261,x,41,272,0,42
921,England,J,South East,938,E10000032,West Sussex,296,x,44,317,x,44,310,x,35,295,x,39
