country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,Elig_KS2_2008,Elig_eng_2008,Lev4_eng_2008,Elig_maths_2008,Lev4_maths_2008,Elig_engmaths_2008,Lev4_engmaths_2008,Elig_KS2_2009,Elig_eng_2009,Lev4_eng_2009,Elig_maths_2009,Lev4_maths_2009,Elig_engmaths_2009,Lev4_engmaths_2009,Elig_KS2_2010,Elig_eng_2010,Lev4_eng_2010,Elig_maths_2010,Lev4_maths_2010,Elig_engmaths_2010,Lev4_engmaths_2010,Elig_KS2_2011,Elig_eng_2011,Lev4_eng_2011,Elig_maths_2011,Lev4_maths_2011,Elig_engmaths_2011,Lev4_engmaths_2011,Elig_KS2_2012,Elig_eng_2012,Lev4_eng_2012,Elig_maths_2012,Lev4_maths_2012,Elig_engmaths_2012,Lev4_engmaths_2012
921,England,A,North East ,840,E06000047,Durham,13,13,7,13,8,13,7,24,24,13,24,9,24,9,14,14,7,14,7,14,6,13,13,9,13,8,13,7,16,16,7,16,6,16,x
921,England,A,North East ,841,E06000005,Darlington,x,x,x,x,x,x,x,7,7,x,7,x,7,x,x,x,x,x,x,x,x,8,8,7,8,6,8,6,13,13,8,13,6,13,x
921,England,J,South East,845,E10000011,East Sussex,15,15,8,15,7,15,6,25,25,11,25,9,25,8,11,11,x,11,x,11,x,15,15,6,15,7,15,6,23,23,12,23,16,23,12
921,England,J,South East,846,E06000043,Brighton & Hove,18,18,11,17,8,17,6,15,15,8,15,10,15,8,8,8,x,8,x,8,x,9,9,6,9,x,9,x,10,10,9,10,6,10,6
921,England,J,South East,850,E10000014,Hampshire,44,44,17,44,16,44,10,40,40,19,40,19,40,15,39,39,16,39,20,39,14,33,33,16,33,15,33,12,33,33,16,33,20,33,13
921,England,J,South East,851,E06000044,Portsmouth,13,13,8,13,6,13,x,7,7,x,7,x,7,x,15,15,9,15,9,15,7,8,8,x,8,6,8,x,12,12,8,12,6,12,6
921,England,J,South East,852,E06000045,Southampton,12,12,x,12,x,12,x,8,8,x,8,x,8,0,8,8,x,8,x,8,x,13,13,6,13,7,13,x,10,10,6,10,x,10,x
921,England,E,East Midlands,855,E10000018,Leicestershire,9,9,x,9,x,9,0,9,9,x,9,x,9,x,x,x,x,x,x,x,x,8,8,6,8,7,8,x,11,11,8,11,8,11,8
921,England,E,East Midlands,856,E06000016,Leicester City,16,16,8,16,7,16,7,17,17,11,17,8,17,7,14,14,x,14,x,14,x,15,15,6,15,10,15,6,10,10,7,10,7,10,6
921,England,E,East Midlands,857,E06000017,Rutland,0,0,0,0,0,0,0,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x
921,England,F,West Midlands,860,E10000028,Staffordshire,25,25,7,25,11,25,7,33,33,12,33,13,33,9,19,19,7,19,7,19,x,22,22,10,22,8,22,8,28,28,15,28,15,28,11
921,England,F,West Midlands,861,E06000021,Stoke,21,21,x,21,9,21,x,16,16,7,16,9,16,x,6,6,x,6,x,6,x,14,14,10,14,8,14,7,13,13,9,13,8,13,7
