country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,LAC_2008,FT_Schooling_2008,Poss_sess_2008,Auth_ab_2008,Unauth_ab_2008,Overall_ab_2008,Persist_ab_2008,LAC_2009,FT_Schooling_2009,Poss_sess_2009,Auth_ab_2009,Unauth_ab_2009,Overall_ab_2009,Persist_ab_2009,LAC_2010,FT_Schooling_2010,Poss_sess_2010,Auth_ab_2010,Unauth_ab_2010,Overall_ab_2010,Persist_ab_2010,LAC_2011,FT_Schooling_2011,Poss_sess_2011,Auth_ab_2011,Unauth_ab_2011,Overall_ab_2011,Persist_ab_2011,LAC_2012,FT_Schooling_2012,Poss_sess_2012,Auth_ab_2012,Unauth_ab_2012,Overall_ab_2012,Persist_ab_2012
921,England,D,Yorks & the Humber ,811,E06000011,East Riding of Yorkshire,212,130,37310,1766,164,1930,8,190,124,36251,2113,420,2533,14,186,120,35921,1824,590,2414,12,207,124,36468,1724,160,1884,9,200,100,30270,1033,271,1304,6
921,England,D,Yorks & the Humber ,812,E06000012,North East Lincolnshire,112,61,17351,556,393,949,x,105,63,18676,606,323,929,x,93,47,13666,368,259,627,x,107,50,14135,681,171,852,x,107,44,12646,322,300,622,x
921,England,D,Yorks & the Humber ,813,E06000013,North Lincolnshire,113,74,21150,780,467,1247,7,100,62,17059,712,81,793,x,108,69,19677,746,270,1016,x,110,66,19378,756,247,1003,x,110,68,21160,443,110,553,x
921,England,D,Yorks & the Humber ,815,E10000023,North Yorkshire,322,208,61839,2619,464,3083,14,320,206,61227,2172,608,2780,16,305,187,55676,2448,435,2883,13,323,200,58112,1992,886,2878,11,332,204,61117,2058,382,2440,x
921,England,D,Yorks & the Humber ,816,E06000014,York,105,74,21896,1163,610,1773,12,123,77,21784,784,200,984,x,151,95,27892,1161,172,1333,x,169,108,31144,848,157,1005,0,173,112,33952,1344,240,1584,x
921,England,G,East of England ,821,E06000032,Luton,287,189,55121,3401,1196,4597,26,290,180,51626,2273,959,3232,16,260,169,49244,2172,533,2705,16,279,171,49757,2247,498,2745,13,291,174,52776,1680,781,2461,11
921,England,G,East of England ,822,E06000055,Bedford Borough,.,.,.,.,.,.,.,107,69,19786,1048,334,1382,7,109,59,17175,722,190,912,x,106,58,17482,756,399,1155,7,117,61,18197,537,133,670,x
921,England,G,East of England ,823,E06000056,Central Bedfordshire,.,.,.,.,.,.,.,93,61,17340,827,307,1134,6,92,63,18170,995,479,1474,9,119,67,19895,1034,293,1327,7,117,62,18282,1010,281,1291,9
921,England,J,South East,825,E10000002,Buckinghamshire,224,119,34691,1834,234,2068,9,207,109,31394,1638,308,1946,11,230,111,31700,1508,293,1801,7,252,125,37942,1404,398,1802,7,278,153,45564,1793,403,2196,6
921,England,J,South East,826,E06000042,Milton Keynes,151,81,23266,897,349,1246,x,124,66,18706,619,78,697,x,144,83,24059,897,134,1031,x,183,103,30278,1056,105,1161,x,192,109,32681,978,115,1093,x
921,England,E,East Midlands,830,E10000007,Derbyshire,367,234,67714,2816,719,3535,14,396,236,67179,2984,963,3947,18,369,229,66576,2974,1086,4060,19,447,251,71866,2916,961,3877,18,478,240,72002,2513,881,3394,14
921,England,E,East Midlands,831,E06000015,Derby,304,194,55326,2366,484,2850,14,313,194,56173,2276,587,2863,12,334,211,62348,2155,659,2814,9,332,205,60426,1954,521,2475,9,345,200,60621,1967,537,2504,12
921,England,K,South West ,835,E10000009,Dorset,185,112,33251,1927,246,2173,12,194,113,32000,1524,143,1667,6,175,103,31040,1441,159,1600,6,186,118,34346,1528,319,1847,x,201,113,34360,1379,242,1621,x
921,England,K,South West ,836,E06000029,Poole,77,49,14860,661,162,823,x,80,51,15346,877,185,1062,6,85,63,18564,832,66,898,x,88,65,19503,656,337,993,x,104,68,21026,752,110,862,x
921,England,K,South West ,837,E06000028,Bournemouth,102,62,17755,792,241,1033,8,107,63,17786,898,247,1145,x,132,64,18784,669,221,890,x,133,68,20158,720,354,1074,6,141,75,22376,891,49,940,x
921,England,A,North East ,840,E06000047,Durham,276,193,56270,2616,626,3242,13,292,202,58949,2776,274,3050,14,334,210,61668,2464,416,2880,15,360,221,63923,2444,850,3294,19,382,227,69163,1982,662,2644,8
921,England,A,North East ,841,E06000005,Darlington,95,61,17478,515,221,736,x,84,63,18910,586,110,696,x,84,62,18414,619,324,943,x,107,66,19385,624,199,823,x,118,69,21086,551,50,601,0
921,England,J,South East,845,E10000011,East Sussex,338,226,65723,3212,1452,4664,23,363,224,65684,3232,702,3934,25,368,220,63789,2828,990,3818,18,381,230,67154,3319,646,3965,21,435,256,77221,3040,532,3572,15
921,England,J,South East,846,E06000043,Brighton & Hove,269,156,44425,2320,1147,3467,20,254,151,44575,2040,741,2781,12,270,143,41084,2071,690,2761,13,303,168,49121,1926,882,2808,11,335,192,57720,1920,805,2725,15
921,England,J,South East,850,E10000014,Hampshire,699,443,129739,8056,1755,9811,52,749,467,136905,8078,2964,11042,69,776,483,141546,7340,1432,8772,43,782,490,141325,6872,1953,8825,49,758,450,136870,6129,1815,7944,47
921,England,J,South East,851,E06000044,Portsmouth,192,134,39497,1864,870,2734,17,183,128,38039,1826,853,2679,19,212,127,37512,1309,798,2107,9,209,132,37381,1448,560,2008,10,231,142,43629,1833,1090,2923,12
921,England,J,South East,852,E06000045,Southampton,204,121,34068,1686,1099,2785,17,187,111,32618,1774,1329,3103,20,204,112,33130,1795,803,2598,14,257,143,41165,1704,851,2555,15,276,142,42754,1368,396,1764,7
921,England,E,East Midlands,855,E10000018,Leicestershire,220,129,38353,1962,674,2636,12,212,116,35738,1601,416,2017,9,211,121,36494,1498,428,1926,9,228,138,41741,1839,525,2364,11,247,137,42393,1337,629,1966,10
921,England,E,East Midlands,856,E06000016,Leicester City,322,195,58020,2528,760,3288,14,331,176,53352,2368,832,3200,17,333,205,62249,2587,1095,3682,16,354,199,61572,2765,897,3662,18,367,203,63153,1990,773,2763,11
921,England,E,East Midlands,857,E06000017,Rutland,14,6,1689,100,x,105,x,10,x,1479,76,0,76,0,12,x,1537,47,8,55,0,25,11,3229,126,37,163,x,20,12,3690,143,x,147,0
921,England,F,West Midlands,860,E10000028,Staffordshire,475,297,88305,3989,797,4786,19,467,294,85689,3792,1098,4890,23,522,295,86898,3254,546,3800,9,547,326,93836,2948,690,3638,11,615,337,103168,3340,591,3931,13
921,England,F,West Midlands,861,E06000021,Stoke,341,202,58927,2420,1381,3801,20,292,185,54995,2452,1595,4047,24,268,163,48119,1827,1438,3265,17,275,158,45831,2026,730,2756,12,293,173,52780,1902,1019,2921,17
921,England,K,South West ,865,E06000054,Wiltshire,232,133,38132,1978,1184,3162,17,246,142,40365,2310,672,2982,19,246,144,42891,1996,512,2508,12,260,156,46975,2278,344,2622,14,294,158,49326,1820,513,2333,10
