LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_started2017,CLA_taken2017,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_PlaceO,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
38,E08000015,LA,344,Wirral,344,224,182,162,68,90,74,92,20,268,x,x,25,37,x,x,x,214,x,0,117,x,0,0,x,0,0
18,E08000001,LA,350,Bolton,200,134,94,106,56,49,35,50,10,148,12,0,x,18,x,0,10,88,x,0,63,35,7,0,x,0,0
19,E08000002,LA,351,Bury,151,66,80,71,32,29,21,41,28,127,x,x,x,7,x,0,8,41,x,0,84,23,x,0,x,0,0
27,E08000003,LA,352,Manchester,445,228,243,202,73,70,90,131,81,279,18,21,22,29,x,x,58,146,x,0,198,74,x,0,17,x,0
28,E08000004,LA,353,Oldham,213,136,99,114,38,51,45,56,23,121,x,0,x,76,x,x,6,107,x,0,75,25,0,x,x,0,0
29,E08000005,LA,354,Rochdale,129,77,75,54,37,34,20,22,16,104,x,x,15,x,x,0,x,51,0,0,49,18,x,0,x,0,0
30,E08000006,LA,355,Salford,197,81,101,96,27,39,42,61,28,145,x,x,11,32,0,0,6,53,0,0,112,21,x,0,x,0,0
33,E08000007,LA,356,Stockport,154,73,81,73,29,28,29,46,22,76,x,x,14,44,x,0,10,54,0,0,80,18,x,0,x,0,0
34,E08000008,LA,357,Tameside,215,87,123,92,32,38,60,61,24,189,x,x,8,9,x,0,x,71,x,0,124,13,0,0,x,0,0
35,E08000009,LA,358,Trafford,138,64,79,59,18,29,23,41,27,66,x,x,25,24,8,0,13,48,x,0,72,7,x,0,x,0,0
37,E08000010,LA,359,Wigan,138,87,79,59,36,29,29,28,16,115,x,x,x,6,x,0,x,70,0,0,47,16,x,0,x,0,0
40,E08000016,LA,370,Barnsley,129,99,62,67,38,29,32,x,x,103,x,8,x,6,x,0,6,95,x,0,28,x,x,0,x,0,0
43,E08000017,LA,371,Doncaster,212,99,125,87,52,48,32,55,25,170,x,x,9,17,x,0,10,85,x,0,112,13,0,0,x,0,0
51,E08000018,LA,372,Rotherham,260,157,122,138,57,60,55,68,20,213,x,7,12,19,x,0,x,131,0,0,100,23,x,0,x,0,0
52,E08000019,LA,373,Sheffield,300,134,157,143,64,45,53,81,57,153,x,9,49,48,x,0,29,108,x,x,159,17,x,x,6,0,0
41,E08000032,LA,380,Bradford,351,214,199,152,88,70,69,86,38,313,x,x,7,11,x,0,16,119,x,0,130,94,0,0,x,0,0
42,E08000033,LA,381,Calderdale,115,84,67,48,23,28,26,26,12,87,0,x,7,8,x,0,9,64,0,0,29,17,x,0,x,0,0
46,E08000034,LA,382,Kirklees,323,190,174,149,81,63,80,71,28,229,x,x,12,48,12,0,9,161,0,0,132,25,x,0,x,0,0
47,E08000035,LA,383,Leeds,417,204,232,185,101,94,61,105,56,283,x,13,24,27,18,x,39,137,0,0,197,62,x,0,x,0,0
53,E08000036,LA,384,Wakefield,175,73,101,74,40,42,23,41,29,50,6,x,x,96,7,0,11,65,x,0,100,6,x,0,x,0,0
5,E08000020,LA,390,Gateshead,193,63,116,77,31,50,52,43,17,151,x,x,x,24,x,0,10,29,x,x,129,29,x,0,0,0,0
8,E08000021,LA,391,Newcastle upon Tyne,294,94,154,140,55,60,67,85,27,190,10,x,25,29,18,x,13,46,6,0,188,38,x,0,10,x,x
9,E08000022,LA,392,North Tyneside,147,45,76,71,35,26,29,43,14,89,x,x,11,28,0,0,12,36,x,0,100,x,x,0,x,0,0
12,E08000023,LA,393,South Tyneside,110,57,52,58,x,28,25,30,x,77,0,x,x,19,0,0,0,45,x,0,52,7,0,0,x,0,0
14,E08000024,LA,394,Sunderland,334,124,164,170,81,81,75,85,12,208,x,12,41,57,10,0,x,93,0,0,210,31,0,0,0,0,0
149,E06000022,LA,800,Bath and North East Somerset,81,34,42,39,16,14,17,17,17,38,x,x,14,12,x,0,9,21,x,0,47,x,7,0,0,0,0
151,E06000023,LA,801,"Bristol, City of",315,125,184,131,53,46,59,94,63,209,x,x,33,26,x,0,33,72,x,0,185,35,10,0,x,0,0
157,E06000024,LA,802,North Somerset,104,37,52,52,14,11,23,39,17,25,x,x,37,27,x,0,8,25,0,0,66,8,x,0,x,0,0
161,E06000025,LA,803,South Gloucestershire,94,27,51,43,12,17,12,31,22,60,x,0,x,8,x,0,13,20,0,0,67,x,x,0,0,0,0
6,E06000001,LA,805,Hartlepool,128,70,71,57,23,19,39,36,11,70,6,x,x,29,8,x,8,62,x,x,56,0,0,0,0,0,0
7,E06000002,LA,806,Middlesbrough,245,133,127,118,44,64,64,61,12,126,x,x,24,86,x,0,x,117,12,0,110,x,0,0,x,0,x
11,E06000003,LA,807,Redcar and Cleveland,123,74,68,55,26,29,25,32,11,51,x,x,17,42,x,0,10,67,x,0,48,x,0,0,x,0,0
13,E06000004,LA,808,Stockton-on-Tees,182,73,97,85,42,49,30,46,15,136,x,x,10,17,8,0,x,63,6,0,107,x,0,0,x,0,0
45,E06000010,LA,810,"Kingston Upon Hull, City of",308,92,176,132,59,72,55,88,34,185,6,8,17,70,x,x,20,45,x,0,213,44,x,0,x,0,0
44,E06000011,LA,811,East Riding of Yorkshire,115,46,63,52,15,32,15,39,14,75,x,x,8,18,x,0,x,24,0,0,69,x,x,0,0,0,0
48,E06000012,LA,812,North East Lincolnshire,154,56,85,69,29,41,30,43,11,107,x,8,0,17,14,0,x,46,0,0,92,x,x,0,6,0,0
49,E06000013,LA,813,North Lincolnshire,106,52,61,45,30,15,18,29,14,55,0,0,x,25,x,x,16,39,x,0,52,11,0,0,x,0,0
50,E10000023,LA,815,North Yorkshire,176,73,108,68,39,19,19,57,42,111,x,x,29,x,0,0,22,64,x,0,94,x,0,0,9,0,0
54,E06000014,LA,816,York,78,29,49,29,14,16,12,22,14,39,x,8,12,x,6,0,6,26,0,0,44,x,0,0,x,0,0
86,E06000032,LA,821,Luton,184,71,102,82,24,26,26,54,54,105,x,x,12,20,8,0,35,35,x,x,109,21,11,0,x,x,0
81,E06000055,LA,822,Bedford,130,58,76,54,27,21,23,27,32,76,x,x,6,10,7,0,26,41,0,0,68,13,x,0,x,0,0
82,E06000056,LA,823,Central Bedfordshire,129,48,82,47,13,22,25,28,41,68,x,0,9,x,6,0,40,36,x,0,72,x,x,0,9,0,0
131,E10000002,LA,825,Buckinghamshire,205,79,116,89,33,39,45,61,27,101,x,x,50,24,x,0,18,39,0,x,123,25,15,0,x,0,0
137,E06000042,LA,826,Milton Keynes,197,106,114,83,38,51,33,53,22,98,x,20,19,19,x,0,21,68,x,x,90,17,16,0,0,0,0
57,E10000007,LA,830,Derbyshire,295,96,160,135,68,56,44,77,50,164,12,14,23,28,7,0,47,83,9,x,196,x,0,0,0,0,0
56,E06000015,LA,831,Derby,200,96,104,96,43,42,46,43,26,140,7,19,10,x,8,x,11,66,x,0,96,29,0,0,x,0,0
154,E10000009,LA,835,Dorset,215,95,109,106,36,42,35,65,37,105,x,7,20,50,x,0,22,61,x,0,119,15,18,0,x,0,0
159,E06000029,LA,836,Poole,94,30,63,31,10,12,12,38,22,18,x,x,6,52,7,0,9,27,0,0,64,x,x,0,0,0,0
150,E06000028,LA,837,Bournemouth,95,49,55,40,19,22,17,24,13,41,x,x,7,34,x,0,x,26,x,0,44,20,x,0,x,0,0
4,E06000047,LA,840,Durham,440,113,239,201,100,116,109,96,19,341,x,18,13,31,x,0,26,71,7,0,322,32,x,0,x,0,0
3,E06000005,LA,841,Darlington,108,39,59,49,25,x,29,27,x,71,x,x,x,21,x,0,x,26,8,0,67,x,0,0,x,0,0
132,E10000011,LA,845,East Sussex,194,103,113,81,44,45,35,45,25,122,7,x,17,26,x,0,15,82,x,6,82,x,11,0,x,0,0
130,E06000043,LA,846,Brighton and Hove,193,75,96,97,36,32,33,63,29,109,x,x,34,27,x,0,13,53,x,0,117,8,11,0,x,0,0
133,E10000014,LA,850,Hampshire,644,302,389,255,91,116,122,219,96,144,21,39,44,311,x,x,68,216,13,x,333,58,13,x,6,0,0
139,E06000044,LA,851,Portsmouth,159,64,98,61,25,24,18,57,35,105,x,x,x,15,x,0,26,46,x,0,93,16,x,0,x,0,0
