LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2017,CLA_2017,CLA_stp2017,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_InBound,CLA_Outbound,CLA_InLA_LTE20,CLA_OutLA_LTE20,CLA_InLA_GT20,CLA_OutLA_GT20,CLA_InLA_NoInfo,CLA_OutLA_NoInfo,CLA_LAPl,CLA_IntPl,CLA_ExtPl,CLA_NetGain,CLA_RPC_All_Place,CLA_RPC_CARPL,CLA_RPC_CLOSE,CLA_RPC_ALLEG,CLA_RPC_STAND,CLA_RPC_APPRR,CLA_RPC_CREQB,CLA_RPC_CREQO,CLA_RPC_CHILD,CLA_RPC_LAREQ,CLA_RPC_PLACE,CLA_RPC_OTHER
119,E09000005,LA,304,Brent,319,544,x,206,113,12,21,40,108,138,93,61,64,92,x,x,204,8,x,x,94,x,6,0,37,146,0,10,121,x,x,74,125,x,x,164,21,x,0,127,192,87,103,0,55,40,34,319,127,192,0,268,190,x,x,x,0,24,13,x,0,x,25
120,E09000006,LA,305,Bromley,288,453,60,167,121,12,28,45,125,78,190,32,x,55,x,0,212,x,x,11,47,7,0,0,49,125,0,x,92,0,x,16,168,x,6,92,12,x,0,127,161,124,96,0,46,x,x,282,127,155,x,400,174,6,x,x,0,51,8,28,9,14,104
121,E09000008,LA,306,Croydon,785,1238,x,581,204,28,45,63,260,389,329,75,153,182,40,6,669,9,9,58,26,14,0,0,64,179,0,21,503,6,12,389,387,x,0,372,14,x,0,454,331,218,112,0,67,236,152,1033,454,579,248,647,415,x,0,x,0,15,x,x,0,197,9
122,E09000009,LA,307,Ealing,347,546,x,187,160,11,22,43,148,123,107,x,72,105,x,0,239,10,x,19,69,x,0,0,25,187,0,x,114,0,x,43,124,x,x,165,49,6,0,136,211,104,124,0,76,32,11,282,136,146,x,253,51,x,0,x,0,55,29,23,10,6,75
123,E09000010,LA,308,Enfield,325,535,0,195,130,6,26,54,128,111,172,38,x,88,19,x,248,11,x,31,18,9,x,0,19,146,0,26,125,x,x,72,153,6,x,142,15,x,0,172,153,119,89,x,44,52,x,407,172,235,82,221,70,x,0,x,0,32,14,15,18,23,44
105,E09000014,LA,309,Haringey,443,611,9,268,175,28,38,63,185,129,147,37,10,212,28,9,316,11,24,0,83,9,0,0,46,247,0,33,108,x,x,40,173,x,x,219,19,24,0,99,344,87,230,x,80,x,34,213,99,114,x,246,93,x,x,6,0,14,x,x,x,99,21
125,E09000015,LA,310,Harrow,206,360,0,121,85,13,10,34,71,78,70,34,32,40,30,0,130,7,0,25,39,x,x,0,31,70,0,12,93,0,0,28,93,0,x,95,x,0,0,91,115,73,62,x,40,17,x,200,91,109,x,153,52,0,x,0,0,34,14,6,x,x,39
126,E09000016,LA,311,Havering,247,380,x,132,115,7,27,40,104,69,170,19,x,43,x,0,176,8,0,x,61,x,0,0,39,92,0,17,99,0,0,24,98,x,x,133,11,0,0,110,137,94,84,0,37,16,16,335,110,225,88,164,90,x,x,x,0,30,16,x,x,x,13
127,E09000017,LA,312,Hillingdon,309,569,x,185,124,14,33,40,108,114,130,24,61,66,22,6,186,11,x,59,48,x,0,x,32,111,0,x,142,0,x,84,136,6,x,149,15,x,x,176,133,112,61,0,44,64,28,331,176,155,22,224,79,x,x,x,x,23,10,11,8,20,67
128,E09000018,LA,313,Hounslow,251,421,x,140,111,9,18,25,103,96,129,37,36,30,19,0,168,11,7,25,33,x,x,0,23,117,0,x,92,0,x,43,127,x,x,100,10,7,0,112,139,91,60,x,55,20,24,276,112,164,25,207,91,0,0,18,x,9,27,11,x,33,16
