LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_17&18,CL_All_17,CL_All_18,CL_Act_HE17&18,CL_Act_HE17,CL_Act_HE18,CL_Act_OE17&18,CL_Act_OE17,CL_Act_OE18,CL_Act_TE17&18,CL_Act_TE17,CL_Act_TE18,CL_Act_NEET_ill17&18,CL_Act_NEET_ill17,CL_Act_NEET_ill18,CL_Act_NEET_oth17&18,CL_Act_NEET_oth17,CL_Act_NEET_oth18,CL_Act_NEET_preg17&18,CL_Act_NEET_preg17,CL_Act_NEET_preg18,CL_Act_NoInf17&18,CL_Act_NoInf17,CL_Act_NoInf18,CL_Acc_SUIT17&18,CL_Acc_SUIT17,CL_Acc_SUIT18,CL_Acc_NotSUIT17&18,CL_Acc_NotSUIT17,CL_Acc_NotSUIT18,CL_Acc_NoSUITInfo17&18,CL_Acc_NoSUITInfo17,CL_Acc_NoSUITInfo18,CL_Acc_P17&18,CL_Acc_P17,CL_Acc_P18,CL_Acc_CH17&18,CL_Acc_CH17,CL_Acc_CH18,CL_Acc_SITA17&18,CL_Acc_SITA17,CL_Acc_SITA18,CL_Acc_SL17&18,CL_Acc_SL17,CL_Acc_SL18,CL_Acc_GA17&18,CL_Acc_GA17,CL_Acc_GA18,CL_Acc_Dep17&18,CL_Acc_Dep17,CL_Acc_Dep18,CL_Acc_OL17&18,CL_Acc_OL17,CL_Acc_OL18,CL_Acc_NK17&18,CL_Acc_NK17,CL_Acc_NK18,CL_Acc_NFA17&18,CL_Acc_NFA17,CL_Acc_NFA18,CL_Acc_F17&18,CL_Acc_F17,CL_Acc_F18,CL_Acc_IL17&18,CL_Acc_IL17,CL_Acc_IL18,CL_Acc_EA17&18,CL_Acc_EA17,CL_Acc_EA18,CL_Acc_BB17&18,CL_Acc_BB17,CL_Acc_BB18,CL_Acc_Cust17&18,CL_Acc_Cust17,CL_Acc_Cust18,CL_Acc_FFC17&18,CL_Acc_FFC17,CL_Acc_FFC18,CL_Acc_OTH17&18,CL_Acc_OTH17,CL_Acc_OTH18,CL_Acc_NoInf17&18,CL_Acc_NoInf17,CL_Acc_NoInf18,CL_InTouch_IT17&18,CL_InTouch_IT17,CL_InTouch_IT18,CL_InTouch_Refu17&18,CL_InTouch_Refu17,CL_InTouch_Refu18,CL_InTouch_NoServ17&18,CL_InTouch_NoServ17,CL_InTouch_NoServ18,CL_InTouch_Not17&18,CL_InTouch_Not17,CL_InTouch_Not18,CL_Stayput_18,CL_Stayput_FFC_18
109,E09000023,LA,209,Lewisham,108,8,100,x,0,x,52,x,x,6,0,6,x,0,x,32,x,x,x,0,x,9,0,9,91,x,x,8,x,x,9,0,9,9,x,x,x,0,x,36,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,19,x,x,0,0,0,0,0,0,7,x,x,18,0,18,0,0,0,9,0,9,99,8,91,0,0,0,9,0,9,0,0,0,34,16
111,E09000028,LA,210,Southwark,97,x,x,x,0,x,48,x,x,15,0,15,x,0,x,22,0,22,x,0,x,x,0,x,85,x,x,x,0,x,x,0,x,10,x,x,x,x,x,31,0,31,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,7,0,7,29,0,29,x,0,x,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,43,27
112,E09000030,LA,211,Tower Hamlets,74,x,x,x,0,x,28,x,x,10,0,10,x,0,x,16,0,16,7,x,x,8,x,x,59,x,x,x,0,x,0,0,0,10,x,x,x,0,x,25,0,25,10,0,10,0,0,0,0,0,0,0,0,0,x,x,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,8,0,8,x,0,x,0,0,0,59,x,x,0,0,0,0,0,0,15,x,x,19,8
113,E09000032,LA,212,Wandsworth,63,x,x,10,0,10,22,x,x,x,0,x,x,0,x,22,x,x,0,0,0,x,0,x,55,x,x,x,x,x,x,0,x,6,x,x,x,0,x,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,7,x,x,10,0,10,x,0,x,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,11,9
114,E09000033,LA,213,Westminster,44,x,x,x,0,x,25,x,x,8,0,8,x,0,x,x,0,x,x,0,x,x,x,x,38,x,x,x,0,x,0,0,0,6,x,x,0,0,0,18,0,18,x,0,x,0,0,0,0,0,0,0,0,0,x,x,x,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,8,0,8,x,0,x,0,0,0,x,x,x,0,0,0,x,0,x,x,x,x,11,8
116,E09000002,LA,301,Barking and Dagenham,79,6,73,0,0,0,48,x,x,6,0,6,x,0,x,19,x,x,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,11,x,x,0,0,0,x,0,x,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,x,x,0,0,0,0,0,0,x,x,x,30,0,30,0,0,0,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,29,25
117,E09000003,LA,302,Barnet,69,7,62,x,0,x,26,0,26,9,0,9,x,0,x,21,x,x,x,0,x,7,x,x,57,x,x,x,x,x,x,x,x,6,x,x,0,0,0,13,0,13,x,0,x,0,0,0,0,0,0,0,0,0,x,x,x,0,0,0,x,x,x,23,0,23,x,0,x,0,0,0,x,x,x,x,0,x,x,0,x,7,x,x,62,x,x,0,0,0,x,0,x,x,x,x,16,x
118,E09000004,LA,303,Bexley,61,x,x,x,0,x,31,x,x,11,x,x,0,0,0,13,x,x,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,12,x,x,x,0,x,17,0,17,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,10,0,10,0,0,0,0,0,0,x,0,x,11,0,11,0,0,0,0,0,0,x,x,x,0,0,0,x,0,x,x,0,x,18,10
119,E09000005,LA,304,Brent,88,x,x,x,0,x,37,x,x,10,0,10,0,0,0,30,0,30,x,0,x,x,0,x,74,x,x,7,x,x,x,0,x,12,x,x,x,0,x,38,0,38,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,7,x,x,13,0,13,0,0,0,x,0,x,81,x,x,x,0,x,0,0,0,x,0,x,19,11
120,E09000006,LA,305,Bromley,58,x,x,0,0,0,26,x,x,18,x,x,0,0,0,x,0,x,x,0,x,x,0,x,52,x,x,x,0,x,x,0,x,x,x,x,x,0,x,9,0,9,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,x,0,x,14,0,14,0,0,0,x,0,x,x,x,x,x,0,x,0,0,0,x,0,x,13,10
