LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_17&18,CL_All_17,CL_All_18,CL_Act_HE17&18,CL_Act_HE17,CL_Act_HE18,CL_Act_OE17&18,CL_Act_OE17,CL_Act_OE18,CL_Act_TE17&18,CL_Act_TE17,CL_Act_TE18,CL_Act_NEET_ill17&18,CL_Act_NEET_ill17,CL_Act_NEET_ill18,CL_Act_NEET_oth17&18,CL_Act_NEET_oth17,CL_Act_NEET_oth18,CL_Act_NEET_preg17&18,CL_Act_NEET_preg17,CL_Act_NEET_preg18,CL_Act_NoInf17&18,CL_Act_NoInf17,CL_Act_NoInf18,CL_Acc_SUIT17&18,CL_Acc_SUIT17,CL_Acc_SUIT18,CL_Acc_NotSUIT17&18,CL_Acc_NotSUIT17,CL_Acc_NotSUIT18,CL_Acc_NoSUITInfo17&18,CL_Acc_NoSUITInfo17,CL_Acc_NoSUITInfo18,CL_Acc_P17&18,CL_Acc_P17,CL_Acc_P18,CL_Acc_CH17&18,CL_Acc_CH17,CL_Acc_CH18,CL_Acc_SITA17&18,CL_Acc_SITA17,CL_Acc_SITA18,CL_Acc_SL17&18,CL_Acc_SL17,CL_Acc_SL18,CL_Acc_GA17&18,CL_Acc_GA17,CL_Acc_GA18,CL_Acc_Dep17&18,CL_Acc_Dep17,CL_Acc_Dep18,CL_Acc_OL17&18,CL_Acc_OL17,CL_Acc_OL18,CL_Acc_NK17&18,CL_Acc_NK17,CL_Acc_NK18,CL_Acc_NFA17&18,CL_Acc_NFA17,CL_Acc_NFA18,CL_Acc_F17&18,CL_Acc_F17,CL_Acc_F18,CL_Acc_IL17&18,CL_Acc_IL17,CL_Acc_IL18,CL_Acc_EA17&18,CL_Acc_EA17,CL_Acc_EA18,CL_Acc_BB17&18,CL_Acc_BB17,CL_Acc_BB18,CL_Acc_Cust17&18,CL_Acc_Cust17,CL_Acc_Cust18,CL_Acc_FFC17&18,CL_Acc_FFC17,CL_Acc_FFC18,CL_Acc_OTH17&18,CL_Acc_OTH17,CL_Acc_OTH18,CL_Acc_NoInf17&18,CL_Acc_NoInf17,CL_Acc_NoInf18,CL_InTouch_IT17&18,CL_InTouch_IT17,CL_InTouch_IT18,CL_InTouch_Refu17&18,CL_InTouch_Refu17,CL_InTouch_Refu18,CL_InTouch_NoServ17&18,CL_InTouch_NoServ17,CL_InTouch_NoServ18,CL_InTouch_Not17&18,CL_InTouch_Not17,CL_InTouch_Not18,CL_Stayput_18,CL_Stayput_FFC_18
139,E10000002,LA,825,Buckinghamshire,70,x,x,0,0,0,x,0,x,16,0,16,x,0,x,9,0,9,x,0,x,32,x,x,36,0,36,x,0,x,x,x,x,10,0,10,x,0,x,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,x,0,x,x,0,x,x,0,x,x,0,x,32,x,x,38,0,38,x,0,x,0,0,0,x,x,x,20,x
145,E06000042,LA,826,Milton Keynes,52,x,x,x,0,x,19,x,x,7,0,7,x,0,x,15,x,x,x,x,x,x,x,x,44,x,x,x,0,x,x,x,x,8,x,x,x,0,x,14,x,x,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,7,0,7,0,0,0,0,0,0,x,0,x,6,0,6,x,0,x,x,x,x,46,x,x,0,0,0,0,0,0,6,x,x,17,x
61,E10000007,LA,830,Derbyshire,94,x,x,6,0,6,29,x,x,20,0,20,x,0,x,29,x,x,x,x,x,x,0,x,86,x,x,x,0,x,x,0,x,14,x,x,6,0,6,7,0,7,22,0,22,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,15,0,15,x,0,x,0,0,0,x,0,x,16,0,16,7,0,7,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,27,15
60,E06000015,LA,831,Derby,64,7,57,x,0,x,29,x,x,14,x,x,x,x,x,13,x,x,x,0,x,x,0,x,58,x,x,x,x,x,x,0,x,15,x,x,x,0,x,6,0,6,10,0,10,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,x,x,x,16,0,16,x,x,x,x,0,x,x,7,x,0,0,0,0,0,0,x,0,x,16,14
163,E10000009,LA,835,Dorset,70,x,x,0,0,0,24,x,x,13,x,x,x,0,x,x,0,x,x,0,x,22,x,x,46,x,x,x,0,x,x,x,x,6,x,x,x,0,x,x,x,x,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,6,0,6,11,0,11,0,0,0,0,0,0,x,0,x,8,0,8,0,0,0,22,x,x,48,x,x,x,0,x,0,0,0,x,x,x,20,8
168,E06000029,LA,836,Poole,25,x,x,0,0,0,16,x,x,x,0,x,x,0,x,0,0,0,x,0,x,x,x,0,x,x,x,0,0,0,x,x,0,x,x,0,x,0,x,x,0,x,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,x,x,0,x,x,x,x,x,0,0,0,0,0,0,0,6,x
159,E06000028,LA,837,Bournemouth,24,x,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,0,0,0,8,x,x,14,x,x,x,0,x,x,x,x,x,x,0,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,8,x,x,16,x,x,0,0,0,0,0,0,8,x,x,7,x
5,E06000047,LA,840,Durham,61,x,x,0,0,0,32,x,x,19,x,x,x,0,x,x,x,x,x,0,x,x,x,0,x,x,x,x,x,x,x,x,0,15,x,x,x,0,x,12,x,x,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,6,0,6,13,0,13,x,x,0,x,x,x,0,0,0,x,x,0,0,0,0,24,6
4,E06000005,LA,841,Darlington,27,x,x,x,0,x,7,x,x,11,0,11,x,0,x,x,0,x,0,0,0,x,0,x,x,x,x,x,0,x,x,0,x,6,x,x,x,0,x,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,x,0,x,6,x
140,E10000011,LA,845,East Sussex,60,x,x,0,0,0,28,0,28,9,0,9,0,0,0,14,x,x,x,0,x,x,x,x,45,x,x,x,0,x,8,x,x,7,x,x,x,0,x,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,23,0,23,x,0,x,8,x,x,50,x,x,0,0,0,0,0,0,10,x,x,32,23
138,E06000043,LA,846,Brighton and Hove,77,x,x,0,0,0,45,x,x,16,0,16,x,x,x,9,x,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,16,x,x,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,x,0,x,x,0,x,x,0,x,x,0,x,18,0,18,x,x,x,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,30,17
141,E10000014,LA,850,Hampshire,188,12,176,x,0,x,60,x,x,16,x,x,11,0,11,39,x,x,x,0,x,55,x,x,125,x,x,8,x,x,55,x,x,28,x,x,6,0,6,17,0,17,30,0,30,0,0,0,0,0,0,32,0,32,0,0,0,0,0,0,x,0,x,11,0,11,x,0,x,x,0,x,x,0,x,0,0,0,x,x,x,55,x,x,133,x,x,x,0,x,0,0,0,x,x,46,60,0
147,E06000044,LA,851,Portsmouth,38,x,x,0,0,0,14,x,x,x,0,x,x,0,x,11,0,11,0,0,0,7,0,7,28,x,x,x,0,x,x,0,x,x,0,x,0,0,0,x,0,x,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,x,x,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,x,0,x,7,0,7,31,x,x,x,0,x,x,0,x,x,0,x,13,x
150,E06000045,LA,852,Southampton,51,6,45,0,0,0,21,0,21,x,x,x,x,0,x,15,x,x,x,0,x,x,x,x,44,x,x,x,x,x,x,x,x,14,x,x,x,0,x,14,x,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,x,x,0,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,8,0,8,0,0,0,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,23,8
63,E10000018,LA,855,Leicestershire,60,x,x,0,0,0,25,x,x,13,x,x,x,0,x,15,0,15,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,9,x,x,x,0,x,8,0,8,12,0,12,0,0,0,0,0,0,x,x,x,0,0,0,0,0,0,10,0,10,x,0,x,0,0,0,0,0,0,x,0,x,8,0,8,x,x,x,0,0,0,60,x,x,0,0,0,0,0,0,0,0,0,11,7
62,E06000016,LA,856,Leicester,69,x,x,0,0,0,24,x,x,17,x,x,x,x,x,15,x,x,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,12,x,x,x,0,x,15,0,15,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,12,0,12,0,0,0,0,0,0,x,0,x,16,0,16,x,0,x,0,0,0,69,x,x,0,0,0,0,0,0,0,0,0,29,15
68,E06000017,LA,857,Rutland,7,x,x,0,0,0,x,x,x,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,7,x,x,0,0,0,0,0,0,x,x,0,x,0,x,0,0,0,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,7,x,x,0,0,0,0,0,0,0,0,0,x,x
78,E10000028,LA,860,Staffordshire,144,x,x,10,0,10,65,x,x,30,x,x,x,0,x,23,x,x,x,0,x,8,0,8,129,x,x,x,0,x,8,0,8,25,x,x,x,0,x,26,0,26,6,x,x,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,0,x,37,0,37,0,0,0,x,0,x,x,0,x,19,0,19,12,x,x,8,0,8,133,x,x,0,0,0,x,0,x,x,0,x,38,18
79,E06000021,LA,861,Stoke-on-Trent,58,6,52,x,0,x,14,x,x,17,x,x,6,0,6,15,0,15,x,0,x,0,0,0,x,6,x,x,0,x,0,0,0,9,x,x,x,0,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,32,x,x,0,0,0,0,0,0,x,0,x,7,0,7,x,0,x,0,0,0,x,x,x,0,0,0,x,x,x,0,0,0,12,7
173,E06000054,LA,865,Wiltshire,50,x,x,0,0,0,20,0,20,14,x,x,x,0,x,x,x,x,0,0,0,x,0,x,x,x,x,0,0,0,x,0,x,11,x,x,x,0,x,12,x,10,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,0,8,x,0,x,x,0,x,x,x,x,x,0,x,0,0,0,0,0,0,16,8
171,E06000030,LA,866,Swindon,48,x,x,x,0,x,22,x,x,x,x,x,x,0,x,13,0,13,0,0,0,0,0,0,x,x,x,x,x,x,0,0,0,x,x,x,x,0,x,10,0,10,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,x,x,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,17,0,17,x,0,x,0,0,0,48,x,x,0,0,0,0,0,0,0,0,0,25,13
137,E06000036,LA,867,Bracknell Forest,20,0,20,0,0,0,8,0,8,6,0,6,x,0,x,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,11,x
154,E06000040,LA,868,Windsor and Maidenhead,19,x,x,0,0,0,6,x,x,x,0,x,x,0,x,6,0,6,0,0,0,x,0,x,x,x,x,x,0,x,x,0,x,6,x,x,x,0,x,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,x,0,x,x,x,x,x,0,x,0,0,0,0,0,0,x,x
152,E06000037,LA,869,West Berkshire,36,x,x,x,0,x,11,0,11,10,0,10,x,x,x,8,0,8,x,0,x,0,0,0,x,x,x,0,0,0,0,0,0,11,x,x,x,0,x,9,0,9,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,0,0,0,0,0,0,x,0,x,21,x
148,E06000038,LA,870,Reading,33,x,x,8,x,x,12,x,x,x,0,x,0,0,0,x,0,x,0,0,0,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,0,x,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,7,0,7,0,0,0,0,0,0,x,x,0,x,0,x,x,0,x,x,x,x,x,x,x,0,0,0,x,x,0,x,x,x,13,x
149,E06000039,LA,871,Slough,35,x,x,x,x,0,10,x,x,x,0,x,0,0,0,x,x,x,x,0,x,12,0,12,19,x,x,x,x,x,x,0,x,x,x,x,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,0,x,0,0,0,12,0,12,23,x,x,0,0,0,0,0,0,12,0,12,x,x
155,E06000041,LA,872,Wokingham,8,0,8,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,x,x
89,E10000003,LA,873,Cambridgeshire,98,x,x,x,0,x,37,x,x,16,0,16,x,0,x,25,x,x,x,0,x,8,x,x,77,x,x,x,0,x,10,x,x,8,x,x,x,0,x,32,0,32,x,0,x,0,0,0,0,0,0,7,0,7,x,x,0,x,0,x,0,0,0,11,0,11,0,0,0,0,0,0,x,0,x,11,0,11,9,0,9,10,x,x,87,x,x,0,0,0,x,0,x,x,x,x,16,10
94,E06000031,LA,874,Peterborough,50,x,x,0,0,0,23,0,23,6,0,6,x,0,x,13,x,x,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,6,0,6,x,0,x,17,0,17,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,x,0,x,10,0,10,0,0,0,0,0,0,0,0,0,x,0,x,6,x,x,0,0,0,x,x,x,0,0,0,0,0,0,x,0,x,8,x
25,E06000006,LA,876,Halton,25,0,25,x,0,x,7,0,7,x,0,x,0,0,0,10,0,10,x,0,x,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,6,0,6,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,x,x
38,E06000007,LA,877,Warrington,32,x,x,0,0,0,15,0,15,x,0,x,x,0,x,9,0,9,0,0,0,x,x,0,x,0,x,x,0,x,x,x,0,x,0,x,x,0,x,10,0,10,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,x,0,x,0,x,x,x,0,0,0,0,x,x,0,6,x
162,E10000008,LA,878,Devon,107,8,99,x,0,x,36,x,x,24,x,x,11,0,11,22,x,x,8,0,8,x,0,x,91,x,x,x,x,x,x,0,x,27,x,x,9,0,9,7,0,7,13,x,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,9,0,9,0,0,0,x,x,x,0,0,0,22,0,22,x,x,x,x,0,x,x,x,x,x,0,x,0,0,0,x,x,x,44,21
167,E06000026,LA,879,Plymouth,62,x,x,x,0,x,20,0,20,12,0,12,x,0,x,17,0,17,0,0,0,x,x,x,x,0,x,x,0,x,x,x,x,11,0,11,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,16,0,16,0,0,0,0,0,0,x,0,x,8,0,8,7,0,7,x,x,x,x,0,x,0,0,0,0,0,0,x,x,x,16,7
172,E06000027,LA,880,Torbay,52,7,45,x,0,x,24,x,x,9,x,x,x,x,x,11,x,x,0,0,0,x,0,x,x,x,x,x,x,x,x,0,x,10,x,x,x,0,x,x,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,x,x,0,0,0,x,0,x,0,0,0,12,0,12,9,x,x,x,0,x,x,7,x,0,0,0,0,0,0,x,0,x,8,x
90,E10000012,LA,881,Essex,206,16,190,10,0,10,93,x,x,23,x,x,x,0,x,54,9,45,12,0,12,x,x,x,180,x,x,15,x,x,x,x,x,35,6,29,9,0,9,27,x,x,17,0,17,0,0,0,0,0,0,x,0,x,x,0,x,x,x,x,14,x,x,19,0,19,x,0,x,0,0,0,x,0,x,45,0,45,16,x,x,9,x,x,194,x,x,0,0,0,x,0,x,x,x,x,60,35
95,E06000033,LA,882,Southend-on-Sea,44,x,x,x,0,x,18,x,x,x,0,x,x,0,x,14,0,14,x,0,x,x,x,x,x,x,x,x,0,x,x,x,x,7,x,x,x,0,x,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,16,0,16,0,0,0,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,21,16
97,E06000034,LA,883,Thurrock,59,x,x,x,0,x,36,0,36,x,0,x,0,0,0,8,x,x,0,0,0,6,x,x,46,x,x,x,0,x,7,x,x,x,x,x,0,0,0,9,0,9,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,9,0,9,9,0,9,0,0,0,0,0,0,x,0,x,10,0,10,x,0,x,7,x,x,52,x,x,x,0,x,0,0,0,x,x,x,13,8
74,E06000019,LA,884,Herefordshire,40,x,x,x,0,x,13,x,x,11,0,11,x,0,x,x,0,x,x,0,x,x,x,x,34,x,x,x,0,x,x,x,x,6,x,x,x,0,x,x,0,x,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,15,x
84,E10000034,LA,885,Worcestershire,109,6,103,x,0,x,47,x,x,22,x,x,7,0,7,23,x,x,x,0,x,x,0,x,99,6,93,x,0,x,x,0,x,15,x,x,x,0,x,22,0,22,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,x,0,x,15,0,15,0,0,0,x,0,x,x,0,x,22,0,22,14,x,x,x,0,x,x,6,x,0,0,0,0,0,0,x,0,x,29,20
143,E10000016,LA,886,Kent,630,23,607,17,0,17,318,7,311,77,x,x,11,0,11,138,6,x,15,0,15,54,8,46,571,x,552,x,x,x,42,x,x,62,17,45,9,x,x,155,0,155,44,0,44,x,0,x,x,0,x,19,0,19,0,0,0,x,x,x,x,0,x,235,0,235,x,0,x,0,0,0,x,0,x,45,0,45,x,0,x,42,x,x,576,15,561,20,0,20,23,x,x,11,x,x,119,43
144,E06000035,LA,887,Medway,46,x,x,0,0,0,27,x,x,x,0,x,x,0,x,10,0,10,x,0,x,0,0,0,x,x,42,x,x,x,0,0,0,7,x,x,7,0,7,x,0,x,7,0,7,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,10,0,10,x,0,x,0,0,0,0,0,0,x,x,0,7,0,7,x,0,x,0,0,0,46,x,x,0,0,0,0,0,0,0,0,0,15,x
27,E10000017,LA,888,Lancashire,162,11,151,x,0,x,50,x,x,33,x,x,x,0,x,47,x,x,16,x,x,x,0,x,152,x,x,x,x,x,x,0,x,36,x,x,13,x,x,25,0,25,8,x,x,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,x,0,x,33,0,33,x,0,x,0,0,0,x,0,x,29,0,29,x,x,x,x,0,x,x,11,x,0,0,0,0,0,0,x,0,x,45,26
18,E06000008,LA,889,Blackburn with Darwen,33,x,x,0,0,0,13,x,x,x,x,x,x,x,x,9,0,9,x,0,x,x,x,x,x,x,x,x,0,x,x,x,x,6,0,6,x,0,x,x,x,x,x,0,x,0,0,0,0,0,0,x,x,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,x,x,x,x,x,x,0,0,0,x,x,x,0,0,0,x,x
19,E06000009,LA,890,Blackpool,62,x,x,0,0,0,22,x,x,11,x,x,x,x,x,18,x,x,x,0,x,0,0,0,62,x,x,0,0,0,0,0,0,17,x,x,x,0,x,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,13,0,13,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,0,0,0,14,12
67,E10000024,LA,891,Nottinghamshire,128,6,122,0,0,0,54,0,54,27,0,27,x,x,x,33,x,x,0,0,0,x,x,x,110,x,x,x,0,x,10,x,x,7,0,7,11,x,x,38,x,x,44,0,44,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,10,x,x,117,x,x,0,0,0,0,0,0,11,x,x,43,0
66,E06000018,LA,892,Nottingham,63,x,x,0,0,0,26,x,x,25,x,x,0,0,0,x,0,x,x,0,x,0,0,0,x,x,x,x,x,x,0,0,0,7,x,x,x,0,x,9,x,x,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,12,0,12,0,0,0,0,0,0,x,x,x,x,0,x,x,0,x,0,0,0,63,x,x,0,0,0,0,0,0,0,0,0,17,x
76,E06000051,LA,893,Shropshire,43,x,x,0,0,0,22,x,x,x,x,x,x,0,x,12,x,x,0,0,0,0,0,0,x,x,x,x,0,x,0,0,0,x,x,x,x,0,x,8,0,8,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,0,0,0,6,x,x,0,0,0,43,x,x,0,0,0,0,0,0,0,0,0,x,0
80,E06000020,LA,894,Telford and Wrekin,27,x,x,x,0,x,13,0,13,x,x,x,0,0,0,x,x,x,x,x,x,0,0,0,27,x,x,0,0,0,0,0,0,x,x,x,0,0,0,x,x,x,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,x,0,x,x,x,x,0,0,0,0,0,0,0,0,0,6,0,6,x,0,x,0,0,0,27,x,x,0,0,0,0,0,0,0,0,0,7,6
22,E06000049,LA,895,Cheshire East,38,x,x,0,0,0,17,x,x,x,0,x,x,0,x,12,x,x,x,0,x,0,0,0,38,x,x,0,0,0,0,0,0,8,x,x,x,0,x,6,0,6,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,7,0,7,x,x,0,0,0,0,38,x,x,0,0,0,0,0,0,0,0,0,10,7
23,E06000050,LA,896,Cheshire West and Chester,56,8,48,x,0,x,22,x,x,8,x,x,x,0,x,17,x,x,x,x,x,x,x,0,x,x,x,x,0,x,x,x,0,14,x,x,0,0,0,x,x,x,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,16,0,16,0,0,0,x,0,x,0,0,0,13,0,13,x,0,x,x,x,0,x,x,x,x,x,0,0,0,0,x,x,x,17,12
161,E06000052,LA,908,Cornwall,73,11,62,0,0,0,42,x,x,15,x,x,x,x,x,8,x,x,x,0,x,0,0,0,x,11,x,x,0,x,0,0,0,14,x,x,x,0,x,0,0,0,14,x,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,10,x,x,0,0,0,0,0,0,0,0,0,21,0,21,6,x,x,0,0,0,73,11,62,0,0,0,0,0,0,0,0,0,24,21
24,E10000006,LA,909,Cumbria,68,x,x,x,0,x,26,0,26,14,0,14,7,x,x,14,x,x,x,x,x,x,0,x,62,x,x,x,0,x,x,0,x,18,x,x,x,0,x,x,x,x,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,x,0,x,12,0,12,x,0,x,0,0,0,0,0,0,14,0,14,x,0,x,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,24,13
164,E10000013,LA,916,Gloucestershire,81,x,x,0,0,0,x,0,x,12,x,x,x,x,x,8,x,x,x,0,x,49,0,49,x,x,x,x,x,x,49,0,49,6,x,x,x,0,x,13,0,13,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,x,0,x,0,0,0,49,0,49,32,x,x,0,0,0,0,0,0,49,0,49,31,x
91,E10000015,LA,919,Hertfordshire,181,x,x,8,0,8,92,x,x,19,0,19,x,x,x,41,x,x,8,0,8,x,0,x,172,x,x,x,0,x,x,0,x,32,x,x,13,0,13,52,x,x,10,0,10,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,8,x,x,x,0,x,0,0,0,x,0,x,50,0,50,x,0,x,x,0,x,x,x,x,0,0,0,x,0,x,x,0,x,67,43
142,E06000046,LA,921,Isle of Wight,28,x,x,0,0,0,9,x,x,8,0,8,x,0,x,x,0,x,x,0,x,x,x,0,x,x,x,x,0,x,x,x,0,x,x,x,x,0,x,x,x,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,0,x,x,x,0,0,0,0,0,0,x,x,0,6,0
64,E10000019,LA,925,Lincolnshire,90,12,78,0,0,0,50,x,x,10,x,x,x,0,x,18,x,x,x,0,x,x,x,x,78,6,72,6,x,x,6,x,x,16,x,x,18,x,x,23,x,x,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,x,x,8,0,8,x,0,x,6,x,x,75,6,69,x,0,x,0,0,0,x,6,x,27,8
93,E10000020,LA,926,Norfolk,147,6,141,x,0,x,61,x,x,27,0,27,10,0,10,35,x,x,x,0,x,x,x,x,131,x,x,x,x,x,x,x,x,23,x,x,7,x,x,21,0,21,21,x,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,8,x,x,11,0,11,0,0,0,x,0,x,x,0,x,33,0,33,13,0,13,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,49,32
65,E10000021,LA,928,Northamptonshire,185,x,x,x,0,x,50,x,x,24,x,x,x,0,x,52,0,52,x,0,x,52,x,x,124,x,x,x,0,x,52,x,x,13,x,x,x,0,x,57,0,57,13,0,13,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,13,0,13,0,0,0,0,0,0,x,0,x,20,0,20,x,0,x,52,x,x,133,x,x,0,0,0,20,0,20,32,x,x,40,19
11,E06000048,LA,929,Northumberland,38,6,32,x,0,x,18,x,x,9,0,9,x,x,0,x,x,x,x,x,0,0,0,0,x,x,x,x,x,x,0,0,0,x,x,x,x,0,x,x,x,x,x,x,x,0,0,0,0,0,0,x,0,x,0,0,0,x,x,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,10,0,10,x,x,x,0,0,0,38,6,32,0,0,0,0,0,0,0,0,0,13,10
