LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_cease2017,CEA_male,CEA_female,CEA_U1,CEA_1to4,CEA_5to9,CEA_10to15,CEA_16,CEA_17,CEA_18over,CEA_Adop1,CEA_Adop2,CEA_Died,CEA_Taken,CEA_ParPlan,CEA_ParNPlan,CEA_NoPar,CEA_CAO,CEA_SGO1,CEA_SGO2,CEA_IndLiv1,CEA_IndLiv2,CEA_Residential,CEA_Custody,CEA_RemEnd,CEA_AgeAssmt,CEA_Abroad,CEA_Other
34,E08000008,LA,357,Tameside,134,80,54,8,39,20,13,x,x,47,x,26,x,x,20,x,0,7,8,x,17,7,x,x,0,0,0,33
35,E08000009,LA,358,Trafford,86,49,37,x,12,10,16,10,x,25,x,x,0,x,17,x,13,0,7,0,18,0,x,0,0,0,0,19
37,E08000010,LA,359,Wigan,175,100,75,14,67,30,11,x,x,43,15,27,x,x,18,x,0,x,19,15,14,15,x,x,0,0,0,37
40,E08000016,LA,370,Barnsley,118,51,67,16,36,36,x,x,x,19,x,31,0,0,17,x,15,20,x,x,7,x,0,x,x,0,0,8
43,E08000017,LA,371,Doncaster,195,108,87,23,46,40,23,x,x,48,18,19,0,0,26,15,0,x,10,15,10,x,6,x,0,0,0,66
51,E08000018,LA,372,Rotherham,205,102,103,31,53,34,23,6,8,50,27,x,0,0,37,9,35,7,8,13,19,x,x,x,0,x,x,37
52,E08000019,LA,373,Sheffield,262,157,105,28,69,40,41,x,x,68,38,13,0,x,57,14,39,33,9,10,35,x,x,x,x,0,x,8
41,E08000032,LA,380,Bradford,281,139,142,22,74,39,53,21,8,64,31,11,x,x,83,x,8,x,31,x,x,0,x,x,0,0,0,97
42,E08000033,LA,381,Calderdale,99,51,48,8,24,17,14,x,x,27,15,x,0,x,x,7,17,0,13,x,21,x,x,x,x,x,0,x
46,E08000034,LA,382,Kirklees,278,165,113,34,76,45,35,10,10,68,11,34,0,x,85,x,0,14,11,33,60,6,x,x,0,x,0,8
47,E08000035,LA,383,Leeds,408,226,182,34,122,47,62,14,14,115,48,30,0,x,65,18,28,x,32,10,28,12,x,8,x,x,10,104
53,E08000036,LA,384,Wakefield,139,84,55,11,39,15,22,x,x,42,14,10,0,x,33,0,0,7,10,x,13,x,0,x,0,0,0,38
5,E08000020,LA,390,Gateshead,161,85,76,20,51,24,18,x,x,35,15,8,0,0,52,x,0,23,8,7,32,0,x,0,0,0,0,10
8,E08000021,LA,391,Newcastle upon Tyne,261,135,126,19,73,45,42,x,63,x,32,0,0,0,119,x,6,x,32,6,11,0,x,6,0,0,0,43
9,E08000022,LA,392,North Tyneside,147,82,65,x,36,23,36,8,x,32,9,6,0,0,50,8,x,8,20,x,29,x,x,x,0,0,0,x
12,E08000023,LA,393,South Tyneside,127,58,69,16,37,23,19,x,x,20,19,14,x,0,28,8,6,11,x,15,10,7,x,0,0,0,0,x
14,E08000024,LA,394,Sunderland,344,176,168,47,106,81,51,10,41,8,x,46,0,x,126,x,0,53,45,11,40,x,0,0,0,x,0,13
149,E06000022,LA,800,Bath and North East Somerset,69,37,32,7,20,x,7,x,x,25,6,7,0,0,6,x,x,x,x,x,8,0,x,0,0,0,0,24
151,E06000023,LA,801,"Bristol, City of",312,164,148,32,62,34,52,24,13,95,14,12,x,x,69,28,31,12,21,15,17,x,x,x,x,x,0,79
157,E06000024,LA,802,North Somerset,109,51,58,10,19,20,19,x,x,30,13,x,0,0,32,x,0,x,x,7,x,x,0,0,0,0,0,37
161,E06000025,LA,803,South Gloucestershire,79,42,37,x,22,11,10,x,x,23,7,x,0,x,11,x,x,x,11,8,24,x,0,0,0,0,0,0
6,E06000001,LA,805,Hartlepool,78,31,47,x,15,21,22,x,x,11,7,x,0,0,9,x,18,11,8,6,x,0,x,x,0,0,x,x
7,E06000002,LA,806,Middlesbrough,186,90,96,23,52,38,25,x,x,40,17,x,0,0,39,x,x,38,9,7,0,0,0,x,x,0,0,61
11,E06000003,LA,807,Redcar and Cleveland,91,53,38,x,24,14,20,x,6,18,x,x,x,0,17,x,9,18,x,x,x,x,x,0,0,x,x,21
13,E06000004,LA,808,Stockton-on-Tees,127,65,62,11,37,15,21,x,x,32,7,x,x,0,28,14,x,15,14,x,x,x,x,x,x,0,0,27
45,E06000010,LA,810,"Kingston Upon Hull, City of",272,148,124,16,69,39,60,14,9,65,0,36,0,x,99,19,x,14,23,x,29,x,x,6,x,0,0,30
44,E06000011,LA,811,East Riding of Yorkshire,99,44,55,10,25,x,13,7,x,35,0,8,0,0,21,17,x,x,6,0,27,0,x,0,0,x,0,11
48,E06000012,LA,812,North East Lincolnshire,154,92,62,14,44,33,32,x,x,22,0,22,0,x,36,8,x,40,14,x,14,x,x,x,x,0,x,0
49,E06000013,LA,813,North Lincolnshire,83,47,36,10,13,15,19,x,x,19,x,6,0,0,19,x,0,7,16,x,13,x,x,x,0,0,0,x
50,E10000023,LA,815,North Yorkshire,165,96,69,8,32,15,34,10,8,58,x,27,0,x,31,7,13,7,11,x,32,x,8,x,6,0,0,9
54,E06000014,LA,816,York,68,42,26,x,15,8,9,x,11,15,7,x,0,x,15,6,x,0,6,x,x,x,x,x,x,x,0,10
86,E06000032,LA,821,Luton,198,104,94,9,48,32,30,14,8,57,22,x,0,x,38,0,30,7,17,8,0,0,x,x,x,x,x,58
81,E06000055,LA,822,Bedford,126,66,60,9,37,22,17,x,x,33,x,11,0,x,40,7,x,12,8,6,9,x,0,x,x,x,0,24
82,E06000056,LA,823,Central Bedfordshire,113,67,46,x,33,13,10,8,x,40,11,16,0,0,15,8,8,x,x,x,10,14,x,x,0,x,0,13
131,E10000002,LA,825,Buckinghamshire,213,112,101,17,54,39,35,6,7,55,27,11,0,0,27,10,31,8,x,18,7,x,13,0,0,x,0,51
137,E06000042,LA,826,Milton Keynes,153,87,66,15,34,17,26,11,8,42,x,x,0,0,29,6,x,x,9,18,15,x,x,x,0,x,0,49
57,E10000007,LA,830,Derbyshire,257,126,131,29,63,36,33,6,9,81,34,10,0,0,48,11,17,13,10,10,21,8,x,x,0,x,x,66
56,E06000015,LA,831,Derby,208,120,88,18,65,30,28,13,11,43,19,28,0,0,63,10,0,13,8,x,29,x,8,12,0,0,0,9
154,E10000009,LA,835,Dorset,211,103,108,20,55,25,38,x,x,62,17,x,0,0,43,13,x,7,18,26,11,x,x,0,0,x,0,58
159,E06000029,LA,836,Poole,82,45,37,7,13,11,21,x,x,21,10,x,0,0,16,13,x,0,6,6,12,x,x,x,0,x,0,10
150,E06000028,LA,837,Bournemouth,111,55,56,12,37,14,19,x,x,21,15,6,0,0,36,x,11,0,14,x,0,0,x,x,0,x,0,20
4,E06000047,LA,840,Durham,303,163,140,32,112,59,42,8,9,41,29,24,x,0,71,33,27,20,30,32,22,x,x,x,0,0,0,x
3,E06000005,LA,841,Darlington,100,54,46,x,33,18,12,x,9,14,x,10,0,0,30,8,x,11,7,7,6,x,x,x,0,0,0,10
132,E10000011,LA,845,East Sussex,179,113,66,x,56,19,28,x,x,53,29,7,x,x,26,9,x,x,30,x,19,16,x,x,0,x,0,20
130,E06000043,LA,846,Brighton and Hove,180,92,88,22,38,19,20,9,10,62,15,8,0,x,49,8,x,x,13,12,x,0,x,x,0,0,x,61
133,E10000014,LA,850,Hampshire,529,304,225,31,110,82,114,28,19,145,11,59,x,7,165,45,44,21,37,14,81,16,16,x,x,x,0,x
139,E06000044,LA,851,Portsmouth,123,84,39,x,40,11,21,x,10,29,29,6,0,8,15,x,x,x,x,12,x,x,x,x,x,x,0,28
142,E06000045,LA,852,Southampton,221,114,107,15,75,53,20,7,10,41,32,45,0,x,28,7,x,x,22,13,0,x,0,x,x,0,0,61
59,E10000018,LA,855,Leicestershire,217,130,87,14,64,31,35,15,16,42,13,21,0,x,32,16,21,x,29,19,15,14,x,x,0,x,x,22
58,E06000016,LA,856,Leicester,227,127,100,26,48,46,27,7,13,60,27,6,0,x,62,x,0,x,16,8,42,x,x,x,0,0,0,55
64,E06000017,LA,857,Rutland,20,10,10,x,x,x,x,x,x,x,0,0,0,0,x,0,6,x,x,x,x,x,0,0,0,0,0,x
73,E10000028,LA,860,Staffordshire,334,207,127,17,72,33,57,14,16,125,25,17,0,x,65,28,10,8,39,x,31,37,8,6,0,7,0,47
74,E06000021,LA,861,Stoke-on-Trent,222,126,96,15,62,39,36,14,15,41,38,x,x,x,81,10,11,6,7,x,13,0,0,0,0,0,x,46
164,E06000054,LA,865,Wiltshire,147,78,69,16,38,26,16,x,x,36,10,23,0,0,38,x,0,x,12,8,x,x,0,x,0,0,0,41
162,E06000030,LA,866,Swindon,149,81,68,12,32,19,31,x,x,43,11,8,0,0,14,30,x,10,12,7,x,x,6,x,0,0,0,47
129,E06000036,LA,867,Bracknell Forest,49,27,22,x,x,8,9,x,x,19,x,x,0,0,6,x,0,x,10,x,13,x,x,0,0,0,0,x
146,E06000040,LA,868,Windsor and Maidenhead,35,14,21,x,x,x,7,x,x,14,0,6,0,0,7,x,0,x,x,x,8,0,x,0,0,x,0,x
144,E06000037,LA,869,West Berkshire,74,32,42,x,18,9,x,x,x,33,7,x,0,x,x,x,10,7,x,x,22,x,x,0,0,x,0,0
140,E06000038,LA,870,Reading,101,48,53,7,23,14,22,x,x,24,6,10,0,x,19,11,6,0,x,8,6,x,0,x,0,x,0,24
141,E06000039,LA,871,Slough,111,57,54,x,26,19,20,11,x,24,11,0,0,0,27,x,10,9,x,10,0,x,0,0,0,x,0,33
147,E06000041,LA,872,Wokingham,31,19,12,x,8,x,6,x,x,8,0,x,0,0,x,6,x,x,x,x,0,0,0,0,0,0,0,9
83,E10000003,LA,873,Cambridgeshire,283,169,114,17,62,35,47,24,13,85,39,x,0,x,57,18,11,19,11,16,39,16,12,x,x,8,x,27
88,E06000031,LA,874,Peterborough,187,109,78,23,44,26,20,16,16,42,17,7,0,6,27,15,19,x,7,23,37,x,x,x,x,x,x,14
23,E06000006,LA,876,Halton,71,40,31,x,21,8,11,x,0,22,6,7,0,x,9,x,7,x,x,7,0,0,0,0,x,0,0,22
36,E06000007,LA,877,Warrington,128,69,59,13,30,19,26,x,x,30,x,12,x,x,33,7,x,x,14,12,x,8,x,0,0,x,0,20
153,E10000008,LA,878,Devon,350,184,166,33,87,51,60,18,12,89,41,9,0,0,112,23,17,18,30,x,59,x,15,0,0,0,0,22
158,E06000026,LA,879,Plymouth,182,93,89,21,53,25,22,x,x,52,30,11,0,0,24,16,x,7,12,15,x,x,x,0,0,0,0,55
163,E06000027,LA,880,Torbay,112,56,56,16,27,16,x,x,14,24,9,x,0,x,28,0,0,12,6,10,18,x,x,x,0,0,0,14
84,E10000012,LA,881,Essex,488,291,197,38,93,45,70,42,38,162,60,21,x,7,68,30,43,7,18,16,60,55,x,6,x,19,x,71
89,E06000033,LA,882,Southend-on-Sea,134,75,59,11,43,18,13,x,x,41,24,x,0,0,21,8,6,9,6,7,22,0,x,x,x,0,0,20
91,E06000034,LA,883,Thurrock,189,134,55,12,27,18,23,29,31,49,x,7,0,25,18,8,0,13,6,11,24,11,x,0,0,0,0,63
69,E06000019,LA,884,Herefordshire,83,47,36,x,15,9,14,x,7,28,14,x,0,0,6,9,11,x,x,x,11,x,0,0,x,x,0,17
79,E10000034,LA,885,Worcestershire,262,138,124,13,69,39,25,12,15,89,37,10,x,x,37,27,11,14,22,x,17,x,6,x,x,0,0,60
135,E10000016,LA,886,Kent,1310,956,354,46,137,76,169,181,160,541,49,31,x,211,156,42,114,11,16,38,414,52,13,6,x,35,7,109
136,E06000035,LA,887,Medway,187,88,99,22,59,22,26,7,12,39,7,26,0,x,39,9,18,12,14,14,27,6,7,x,0,0,x,0
25,E10000017,LA,888,Lancashire,540,269,271,49,162,84,77,19,23,126,34,36,x,x,89,14,17,26,28,90,35,6,13,x,x,8,x,127
16,E06000008,LA,889,Blackburn with Darwen,135,69,66,10,40,24,25,6,10,20,14,20,x,x,12,x,0,x,x,25,x,0,x,x,0,x,0,38
17,E06000009,LA,890,Blackpool,215,106,109,22,67,36,34,x,x,46,15,26,0,0,54,17,0,6,11,30,x,44,x,x,0,0,0,x
63,E10000024,LA,891,Nottinghamshire,341,177,164,22,73,48,52,16,24,106,31,19,0,x,95,6,11,17,11,26,76,22,7,x,x,0,0,12
62,E06000018,LA,892,Nottingham,214,113,101,26,58,25,27,9,12,57,39,9,x,0,37,9,23,15,x,8,43,x,9,x,x,0,0,10
71,E06000051,LA,893,Shropshire,117,70,47,6,30,14,16,11,9,31,15,0,0,x,37,x,x,x,10,0,x,0,0,0,x,0,0,41
75,E06000020,LA,894,Telford and Wrekin,98,51,47,9,32,16,15,x,x,17,x,21,x,0,15,10,17,x,6,x,8,x,x,0,x,0,0,8
20,E06000049,LA,895,Cheshire East,141,74,67,14,29,21,29,x,x,34,8,18,0,0,23,13,28,x,12,12,23,x,x,0,0,0,0,0
21,E06000050,LA,896,Cheshire West and Chester,177,100,77,18,42,34,20,10,7,46,14,12,0,0,31,x,x,10,13,12,14,10,x,x,0,0,0,48
152,E06000052,LA,908,Cornwall,220,117,103,37,53,22,43,12,6,47,0,37,0,0,63,10,x,x,17,12,13,x,x,0,0,0,0,59
22,E10000006,LA,909,Cumbria,266,127,139,21,86,67,22,9,6,55,64,20,0,x,40,8,0,16,20,20,10,x,10,x,0,0,0,52
155,E10000013,LA,916,Gloucestershire,288,169,119,22,67,59,48,12,10,70,x,28,x,x,107,x,x,21,12,23,18,16,8,x,0,0,0,48
85,E10000015,LA,919,Hertfordshire,493,266,227,28,119,87,58,16,20,165,59,40,0,x,59,36,15,37,37,34,60,35,30,x,x,x,0,40
134,E06000046,LA,921,Isle of Wight,75,36,39,x,21,9,10,7,x,20,x,15,0,0,20,x,x,x,x,x,11,x,x,0,0,0,0,9
60,E10000019,LA,925,Lincolnshire,279,176,103,33,67,41,50,12,16,60,6,30,x,x,55,14,7,11,30,37,44,7,x,7,x,0,x,20
87,E10000020,LA,926,Norfolk,412,220,192,34,114,56,62,10,17,119,11,75,0,x,82,19,11,21,9,46,81,0,9,x,x,x,0,41
61,E10000021,LA,928,Northamptonshire,511,304,207,39,107,75,66,26,29,169,42,35,x,14,117,x,0,13,68,10,39,7,x,x,0,7,0,147
10,E06000048,LA,929,Northumberland,227,123,104,20,70,54,39,x,x,24,32,x,0,0,103,x,x,8,22,20,21,x,x,x,0,x,0,8
138,E10000025,LA,931,Oxfordshire,285,149,136,31,59,45,51,9,12,78,25,13,x,x,94,x,0,20,16,x,21,6,x,x,0,x,0,72
160,E10000027,LA,933,Somerset,262,138,124,28,62,43,53,8,8,60,18,16,x,x,73,20,28,12,15,15,36,7,6,0,0,x,x,10
90,E10000029,LA,935,Suffolk,295,166,129,35,65,30,41,16,18,90,30,23,0,x,64,20,x,7,21,8,66,x,x,x,x,x,x,36
143,E10000030,LA,936,Surrey,413,236,177,37,87,53,66,12,25,133,0,46,0,x,90,40,0,7,23,33,66,x,13,x,0,0,0,92
77,E10000031,LA,937,Warwickshire,321,180,141,29,69,48,45,13,30,87,22,48,0,x,45,x,28,10,22,x,21,37,x,x,x,x,0,76
145,E10000032,LA,938,West Sussex,356,205,151,26,85,40,53,18,23,111,19,27,0,8,73,11,45,0,19,11,78,x,9,0,0,x,0,47
