time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.i 20 miles or less inside LA boundary,4000,33
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.ii 20 miles or less outside LA boundary,2330,19
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.i Over 20 miles inside LA boundary,470,4
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.ii Over 20 miles outside LA boundary,3680,31
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Distance not Known or not recorded,1490,12
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Total,11960,100
2019,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,29330,56
2019,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,12050,23
2019,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2730,5
2019,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,5670,11
2019,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,3000,6
2019,Reporting year,National,E92000001,England,Foster placements,Total,52780,100
2019,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,2520,37
2019,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,1120,16
2019,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,280,4
2019,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,650,9
2019,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,2340,34
2019,Reporting year,National,E92000001,England,Living independently,Total,6910,100
2019,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,980,68
2019,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,190,13
2019,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,60,4
2019,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,180,12
2019,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,40,3
2019,Reporting year,National,E92000001,England,Other,Total,1440,100
2019,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,880,24
2019,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,820,22
2019,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,320,9
2019,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1290,35
2019,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,390,11
2019,Reporting year,National,E92000001,England,Placed for adoption,Total,3690,100
2019,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,5250,82
2019,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,690,11
2019,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,80,1
2019,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,390,6
2019,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,20,k
2019,Reporting year,National,E92000001,England,Placed with parents,Total,6430,100
2019,Reporting year,National,E92000001,England,Residential placements,1.i 20 miles or less inside LA boundary,1010,26
2019,Reporting year,National,E92000001,England,Residential placements,1.ii 20 miles or less outside LA boundary,1030,27
2019,Reporting year,National,E92000001,England,Residential placements,2.i Over 20 miles inside LA boundary,70,2
2019,Reporting year,National,E92000001,England,Residential placements,2.ii Over 20 miles outside LA boundary,1690,44
2019,Reporting year,National,E92000001,England,Residential placements,Distance not Known or not recorded,70,2
2019,Reporting year,National,E92000001,England,Residential placements,Total,3870,100
2019,Reporting year,National,E92000001,England,Residential schools,1.i 20 miles or less inside LA boundary,20,21
2019,Reporting year,National,E92000001,England,Residential schools,1.ii 20 miles or less outside LA boundary,20,16
2019,Reporting year,National,E92000001,England,Residential schools,2.i Over 20 miles inside LA boundary,10,9
2019,Reporting year,National,E92000001,England,Residential schools,2.ii Over 20 miles outside LA boundary,50,49
2019,Reporting year,National,E92000001,England,Residential schools,Distance not Known or not recorded,c,c
2019,Reporting year,National,E92000001,England,Residential schools,Total,90,100
2019,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.i 20 miles or less inside LA boundary,4040,31
2019,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.ii 20 miles or less outside LA boundary,2310,18
2019,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.i Over 20 miles inside LA boundary,480,4
2019,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.ii Over 20 miles outside LA boundary,3940,30
2019,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Distance not Known or not recorded,2160,17
2019,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Total,12930,100
2020,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,28810,55
2020,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,12170,23
2020,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2860,5
2020,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,5730,11
2020,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,2870,5
2020,Reporting year,National,E92000001,England,Foster placements,Total,52440,100
2020,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,2310,42
2020,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,810,15
2020,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,240,4
2020,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,490,9
2020,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,1700,31
2020,Reporting year,National,E92000001,England,Living independently,Total,5540,100
