New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceaAdop
E10000003,LA,873,Cambridgeshire,212,31
E06000031,LA,874,Peterborough,150,27
E06000006,LA,876,Halton,60,6
E06000007,LA,877,Warrington,87,22
E10000008,LA,878,Devon,351,42
E06000026,LA,879,Plymouth,185,40
E06000027,LA,880,Torbay,155,26
E10000012,LA,881,Essex,500,112
E06000033,LA,882,Southend-on-Sea,106,25
E06000034,LA,883,Thurrock,106,12
E06000019,LA,884,Herefordshire,98,17
E10000034,LA,885,Worcestershire,278,41
E10000016,LA,886,Kent,857,145
E06000035,LA,887,Medway,180,43
E10000017,LA,888,Lancashire,540,83
E06000008,LA,889,Blackburn with Darwen,127,43
E06000009,LA,890,Blackpool,205,41
E10000024,LA,891,Nottinghamshire,429,88
E06000018,LA,892,Nottingham,249,43
E06000051,LA,893,Shropshire,90,16
E06000020,LA,894,Telford and Wrekin,122,21
E06000049,LA,895,Cheshire East,178,32
E06000050,LA,896,Cheshire West and Chester,126,21
E06000052,LA,908,Cornwall,289,46
E10000006,LA,909,Cumbria,198,25
E10000013,LA,916,Gloucestershire,275,49
E10000015,LA,919,Hertfordshire,520,87
E06000046,LA,921,Isle of Wight,92,7
E10000019,LA,925,Lincolnshire,277,68
E10000020,LA,926,Norfolk,464,82
E10000021,LA,928,Northamptonshire,369,57
E06000048,LA,929,Northumberland,156,23
E10000025,LA,931,Oxfordshire,261,44
E10000027,LA,933,Somerset,300,48
E10000029,LA,935,Suffolk,320,93
E10000030,LA,936,Surrey,420,59
E10000031,LA,937,Warwickshire,334,56
E10000032,LA,938,West Sussex,379,50
