New_geog_code,geog_l,geog_c,geog_n,All_aged1920&21,Act_HE,Act_OE,Act_TE,Act_NEET_ill,Act_NEET_oth,Act_NEET_preg,LA_Noinf,ChildDied,Acc_SUIT,Acc_P,Acc_CH,Acc_SITA,Acc_SL,Acc_GA,Acc_Dep,Acc_OL,Acc_ResNk,Acc_NFA,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_Cust,Acc_FFC,Acc_OTH,LA_Noinf,ChildDied
E06000003,LA,807,Redcar and Cleveland,48,x,13,15,x,15,x,0,0,48,8,x,x,8,0,0,0,0,0,0,28,0,0,0,0,0,0,0
E06000004,LA,808,Stockton-on-Tees,80,x,15,16,9,27,10,0,x,76,16,x,x,19,0,0,x,0,0,x,31,0,x,x,0,x,0,x
E06000010,LA,810,"Kingston Upon Hull, City of",160,11,21,31,20,53,10,13,x,132,14,x,x,20,0,0,x,0,x,9,70,0,0,x,x,15,15,x
E06000011,LA,811,East Riding of Yorkshire,94,8,12,34,7,25,x,x,0,86,7,x,12,6,0,0,0,0,0,0,43,0,0,x,14,x,x,0
E06000012,LA,812,North East Lincolnshire,60,x,11,13,x,20,x,x,0,55,6,x,0,x,0,0,x,0,0,x,22,0,0,x,11,x,x,0
E06000013,LA,813,North Lincolnshire,65,x,15,22,0,12,6,7,x,49,8,x,x,x,0,0,0,0,0,x,29,0,0,8,x,0,7,x
E10000023,LA,815,North Yorkshire,186,12,36,77,12,23,22,x,x,173,25,16,13,x,x,0,x,0,0,x,93,x,0,7,14,x,x,x
E06000014,LA,816,York,75,x,9,36,7,14,x,x,x,71,16,6,0,13,0,0,0,0,0,0,31,0,0,x,x,0,x,x
E06000032,LA,821,Luton,142,20,36,39,x,27,0,15,x,124,17,x,13,16,0,0,x,0,0,x,61,0,0,x,x,9,15,x
E06000055,LA,822,Bedford,82,6,19,6,x,25,x,19,0,61,8,x,x,0,x,0,0,0,x,7,27,0,0,x,7,x,19,0
