New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2014,CLA_2014,CLA_stp2014,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain ,,,
E09000005,LA,304,Brent,348,577,x,193,155,14,41,56,126,111,94,72,48,124,7,x,268,6,x,x,51,9,7,x,0,36,149,0,22,134,7,0,31,0,176,x,7,149,9,x,x,218,70,60,44,155,192,209,17,,,
E09000006,LA,305,Bromley,268,446,70,153,115,16,30,52,100,70,185,36,x,37,x,x,207,0,x,13,23,10,11,x,0,40,94,0,22,110,x,0,x,0,169,0,0,91,x,x,x,172,63,33,54,125,140,168,28,,,
E09000008,LA,306,Croydon,789,1127,x,556,233,21,60,73,286,349,257,84,112,192,144,0,654,10,x,81,26,9,x,x,0,79,141,0,32,521,16,0,362,0,409,10,x,360,x,x,x,592,129,68,88,518,270,536,266,,,
E09000009,LA,307,Ealing,385,637,9,204,181,17,42,74,152,100,111,73,81,111,6,x,272,12,6,11,75,x,7,0,0,54,172,0,28,126,x,0,18,0,166,x,x,183,25,6,0,256,83,46,81,138,235,128,x,,,
E09000010,LA,308,Enfield,299,466,0,156,143,13,47,37,108,94,128,25,8,98,38,x,220,13,x,34,22,x,x,x,0,19,122,0,39,117,x,0,34,0,128,x,0,136,27,x,x,179,76,44,48,148,135,204,69,,,
E09000014,LA,309,Haringey,506,760,12,283,223,22,63,100,181,140,195,54,16,214,25,x,380,24,x,0,81,8,7,x,0,55,252,0,61,131,7,0,36,0,180,12,8,271,29,x,x,369,91,46,148,131,372,117,x,,,
E09000015,LA,310,Harrow,167,301,x,102,65,17,23,22,51,54,55,29,30,34,19,0,112,x,x,8,27,9,7,0,0,15,36,0,15,99,x,0,23,0,77,0,x,69,17,x,0,110,40,17,9,81,86,101,15,,,
E09000016,LA,311,Havering,207,328,10,116,91,7,21,44,75,60,161,15,x,26,0,0,152,7,x,0,35,x,7,0,0,29,74,0,12,92,0,0,x,0,102,x,x,96,0,x,0,142,43,22,37,110,89,226,137,,,
E09000017,LA,312,Hillingdon,369,557,6,231,138,6,36,61,110,156,185,30,49,76,25,x,242,x,x,67,42,8,x,x,0,35,101,0,25,201,7,0,94,0,161,x,x,197,x,x,x,259,73,37,54,211,156,133,x,,,
E09000018,LA,313,Hounslow,317,459,x,168,149,15,39,35,120,108,190,48,35,31,12,x,222,13,8,0,62,7,x,0,0,22,135,0,25,133,x,0,28,0,143,x,x,140,21,8,0,203,69,45,72,134,183,214,31,,,
E09000021,LA,314,Kingston upon Thames,117,181,x,72,45,x,16,20,39,37,65,19,x,21,7,x,78,x,x,18,x,x,x,x,0,8,40,0,21,47,x,0,17,0,56,15,0,34,9,x,x,86,20,11,22,38,77,29,x,,,
E09000024,LA,315,Merton,150,250,x,96,54,8,15,19,47,61,70,19,15,31,15,0,106,x,x,x,31,x,x,0,0,17,48,0,13,71,x,0,16,0,61,x,x,74,7,x,0,98,28,24,18,42,108,156,48,,,
E09000025,LA,316,Newham,406,664,0,217,189,33,34,54,151,134,117,80,78,119,11,x,292,17,6,32,42,8,8,x,0,37,170,0,32,157,8,x,20,0,156,x,7,221,13,6,x,272,80,54,67,108,282,151,x,,,
E09000026,LA,317,Redbridge,216,351,x,123,93,11,35,41,74,55,90,44,24,50,8,0,170,x,x,x,25,x,x,0,0,16,68,0,22,110,0,0,16,0,106,7,x,94,x,x,0,147,46,23,51,87,129,269,140,,,
E09000027,LA,318,Richmond upon Thames,84,131,13,40,44,x,10,10,33,26,59,16,7,x,0,0,59,9,0,0,13,x,x,x,0,8,29,0,12,35,0,0,x,0,53,x,0,23,6,0,x,51,20,13,7,24,50,34,x,,,
