"","Web.link","URN","Linked.Education.URN","Provision.type","Registration.date","Registration.status","Name","Address.1","Address.2","Town","County","Postcode","Ofsted.region","Government.Office.Region","Local.authority","Parliamentary.constituency","Sector","Premises","Places","Short.break.only.children.s.home","Multi.building.children.s.home","Organisation.which.owns.the.provider","Latest.full.inspection.event.type","Latest.full.inspection.date","Latest.full.inspection.publication.date","Latest.full.inspection.event.number","Overall.experiences.and.progress.of.children.and.young.people","Outcomes.in.education.and.related.learning.activities","Health.services","How.well.children.and.young.people.are.helped.and.protected","The.effectiveness.of.leaders.and.managers","Previous.full.inspection.event.type","Previous.full.inspection.event.date","Previous.full.inspection.publication.date","Previous.full.inspection.event.number","Previous.overall.experiences.and.progress.of.children.and.young.people","Previous.outcomes.in.education.and.related.learning.activities","Previous.health.services","Previous.how.well.children.and.young.people.are.helped.and.protected","Previous.effectiveness.of.leaders.and.managers"
"870","Ofsted Social Care Provider Webpage","SC452713",NA,"Children's home","29/09/2012","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","South Gloucestershire","Filton and Bradley Stoke","For profit",NA,3," ","","Greenfields Adolescent Development Limited","Full inspection","21/06/2023","26/07/2023",10274858,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","22/11/2022","05/01/2023",10223456,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
"871","Ofsted Social Care Provider Webpage","1257573",NA,"Children's home","22/06/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Hampshire","Fareham","Local Authority",NA,5," ","","Hampshire County Council","Full inspection","21/11/2023","04/01/2024",10274859,"Outstanding","","","Outstanding","Outstanding","Full inspection","20/09/2022","24/11/2022",10224164,"Good","","","Good","Requires improvement to be good"
"872","Ofsted Social Care Provider Webpage","1258894",NA,"Children's home","03/08/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Leicester","Leicester East","For profit",NA,6," ","","Happy Children Home Limited","Full inspection","13/02/2024","28/03/2024",10274861,"Outstanding","","","Good","Good","Full inspection","28/03/2023","16/05/2023",10224186,"Good","","","Good","Good"
"873","Ofsted Social Care Provider Webpage","1263129",NA,"Children's home","06/11/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","East Sussex","Lewes","For profit",NA,6," ","","Compass Children's Homes Limited","Full inspection","09/11/2023","14/12/2023",10274863,"Good","","","Good","Requires improvement to be good","Full inspection","06/12/2022","06/02/2023",10224207,"Good","","","Good","Good"
"874","Ofsted Social Care Provider Webpage","1263571",NA,"Children's home","17/10/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Gloucestershire","Tewkesbury","For profit",NA,5," ","","Flourish Gloucestershire Limited","Full inspection","16/08/2023","28/09/2023",10274864,"Good","","","Requires improvement to be good","Good","Full inspection","10/08/2022","22/09/2022",10224214,"Good","","","Good","Good"
"875","Ofsted Social Care Provider Webpage","1263773",NA,"Children's home","01/12/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Leicestershire","Bosworth","For profit",NA,4," ","","Platform Childcare Ltd","Full inspection","11/10/2023","15/11/2023",10274866,"Good","","","Good","Good","Full inspection","03/10/2022","07/11/2022",10224218,"Good","","","Good","Good"
"876","Ofsted Social Care Provider Webpage","2720360",NA,"Children's home","21/07/2023","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Burnley","For profit",NA,3,"","","Life Change Care Limited","Full inspection","10/10/2023","23/11/2023",10304310,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","","","",NA,"","","","",""
"877","Ofsted Social Care Provider Webpage","2731370",NA,"Children's home","20/06/2023","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Gloucestershire","Gloucester","For profit",NA,3,"","","The Gateshead Group Ltd","Full inspection","07/11/2023","21/12/2023",10304369,"Inadequate","","","Inadequate","Inadequate","","","",NA,"","","","",""
"878","Ofsted Social Care Provider Webpage","2738393",NA,"Children's home","20/07/2023","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Wiltshire","Chippenham","For profit",NA,3,"","","Park Blue Homes Ltd","Full inspection","14/11/2023","02/01/2024",10304406,"Requires improvement to be good","","","Requires improvement to be good","Inadequate","","","",NA,"","","","",""
"879","Ofsted Social Care Provider Webpage","1256500",NA,"Children's home","11/06/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Scarborough and Whitby","Local Authority",NA,6,"Short-break-only children's home","","North Yorkshire Council","Full inspection","21/11/2023","10/01/2024",10271998,"Good","","","Good","Good","Full inspection","02/11/2022","20/12/2022",10224144,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
"880","Ofsted Social Care Provider Webpage","1256608",NA,"Children's home","04/07/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Doncaster","Doncaster North","For profit",NA,3," ","","First 4 Care Ltd","Full inspection","20/02/2024","08/04/2024",10271999,"Good","","","Good","Requires improvement to be good","Full inspection","30/11/2021","21/01/2022",10187243,"Outstanding","","","Outstanding","Outstanding"
"881","Ofsted Social Care Provider Webpage","1257065",NA,"Children's home","22/06/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Hampshire","Havant","Local Authority",NA,4," ","","Hampshire County Council","Full inspection","05/06/2023","10/07/2023",10272000,"Good","","","Good","Good","Full inspection","25/01/2023","10/03/2023",10224157,"Good","","","Good","Good"
"882","Ofsted Social Care Provider Webpage","1258089",NA,"Children's home","02/02/2018","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Wakefield","Morley and Outwood","For profit",NA,4," ","","Horizon Care and Education Group Limited","Full inspection","15/01/2024","19/02/2024",10272001,"Good","","","Good","Good","Full inspection","07/12/2022","25/01/2023",10224170,"Good","","","Good","Good"
"883","Ofsted Social Care Provider Webpage","1258343",NA,"Children's home","19/09/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Wiltshire","Salisbury","For profit",NA,4," ","","NEW FOREST CARE LIMITED","Full inspection","08/08/2023","18/09/2023",10272002,"Good","","","Good","Requires improvement to be good","Full inspection","07/02/2023","21/03/2023",10224175,"Good","","","Good","Good"
"884","Ofsted Social Care Provider Webpage","1258463",NA,"Children's home","31/10/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Kent","Dover","For profit",NA,1," ","","Moonreach LTD","Full inspection","07/11/2023","13/12/2023",10272003,"Good","","","Good","Good","Full inspection","13/09/2022","19/10/2022",10246540,"Good","","","Good","Good"
"885","Ofsted Social Care Provider Webpage","1259184",NA,"Children's home","31/01/2018","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Derbyshire","South Derbyshire","For profit",NA,4," ","","Ashwood Children care home ltd","Full inspection","05/02/2024","08/03/2024",10272005,"Good","","","Good","Good","Full inspection","16/01/2023","13/03/2023",10224192,"Outstanding","","","Good","Good"
"886","Ofsted Social Care Provider Webpage","1269421",NA,"Children's home","23/01/2018","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Derbyshire","North East Derbyshire","For profit",NA,3," ","","Aspris Children's Services Limited","Full inspection","19/03/2024","30/04/2024",10272006,"Good","","","Good","Good","Full inspection","13/03/2023","25/04/2023",10224247,"Good","","","Good","Good"
"887","Ofsted Social Care Provider Webpage","2641044",NA,"Children's home","22/11/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","North East","Newcastle upon Tyne","Newcastle upon Tyne Central","Third Sector",NA,4," ","","Action for Children","Full inspection","06/06/2023","26/07/2023",10273306,"Good","","","Good","Good","Full inspection","25/04/2022","07/06/2022",10225165,"Good","","","Good","Requires improvement to be good"
"888","Ofsted Social Care Provider Webpage","2641790",NA,"Children's home","24/05/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Lancaster and Fleetwood","For profit",NA,2," ","","A-Triangle Care Ltd","Full inspection","04/07/2023","09/08/2023",10273307,"Good","","","Good","Good","Full inspection","26/04/2022","09/06/2022",10225169,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
