Table LA2: Eligibility and performance of children who have been looked after continuously for at least 12 months1 at Key Stage 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-20142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,2011,,,,,,2012,,,,,,,,2013,,,,,,,,,2014,,,,,,,
,Percentage with UPN3,"Number eligible to sit Key Stage 2 tasks and tests4,5",,Percentage who achieved at least Level 46 in the following:,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,,
,,,,Mathematics,Reading,,,,,Mathematics,Reading,,,,,Mathematics,Reading,Writing7,"Reading, writing and mathematics",,,,,Mathematics,Reading,Writing7,"Grammar, Punctuation and Spelling8","Reading, writing and mathematics",,,,,Mathematics,Reading,Writing7,"Grammar, Punctuation and Spelling8","Reading, writing and mathematics"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lincolnshire,100,5,,x,x,,100,x,,x,x,,100,10,,x,x,x,x,,100,5,,x,x,x,x,x,,100,x,,x,x,x,x,x
North Yorkshire,100,20,,32,53,,100,20,,30,60,,100,10,,x,x,x,x,,100,25,,37,41,37,37,33,,100,20,,39,72,61,44,39
Rotherham,100,20,,47,42,,100,20,,42,42,,100,15,,77,92,69,62,,100,15,,64,64,43,x,43,,100,10,,x,x,x,x,x
Sheffield,100,20,,42,47,,90-99,20,,36,45,,100,25,,48,48,43,30,,100,15,,38,x,x,x,x,,100,20,,40,65,40,40,30
Wakefield,100,x,,x,x,,90-99,10,,x,x,,100,15,,53,47,x,x,,100,10,,73,82,64,55,x,,100,20,,61,78,50,50,44
York,100,10,,x,x,,100,10,,x,x,,100,15,,69,69,54,46,,100,10,,x,x,x,x,x,,100,10,,x,58,67,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST MIDLANDS,.,110,,41,50,,.,140,,53,53,,.,150,,53,61,53,44,,.,160,,56,58,52,37,40,,.,170,,54,62,55,46,41
Derby,100,15,,57,71,,100,15,,47,40,,100,15,,38,44,44,38,,100,25,,56,56,48,36,40,,100,15,,44,63,50,44,44
Derbyshire,100,15,,x,x,,100,20,,56,56,,100,20,,65,75,60,60,,100,25,,50,63,58,42,33,,100,20,,52,62,43,48,43
Leicester,100,15,,x,x,,100,15,,67,60,,100,10,,73,82,64,55,,100,15,,69,69,77,x,69,,100,20,,56,56,67,33,33
Leicestershire,100,x,,x,x,,100,10,,x,x,,100,10,,75,58,58,50,,100,10,,67,58,67,67,50,,100,10,,75,75,75,58,58
Lincolnshire,100,15,,47,35,,100,25,,35,46,,100,30,,54,61,50,39,,100,20,,62,62,38,38,38,,100,15,,40,53,x,x,x
Northamptonshire,100,15,,63,81,,100,30,,46,54,,100,20,,43,52,43,38,,100,15,,47,59,47,x,x,,100,30,,46,68,64,50,43
Nottingham,100,10,,x,55,,100,15,,50,43,,100,20,,43,52,52,38,,100,20,,58,58,53,32,42,,100,20,,60,50,65,50,50
Nottinghamshire,100,15,,x,50,,100,10,,82,55,,100,20,,50,64,55,41,,100,25,,52,48,39,35,35,,100,35,,63,69,51,46,40
Rutland,.,0,,.,.,,.,0,,.,.,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST MIDLANDS,.,210,,47,52,,.,290,,49,57,,.,350,,56,64,52,42,,.,330,,58,62,53,43,44,,.,330,,60,69,61,52,50
Birmingham,90-99,60,,52,61,,100,80,,57,59,,90-99,95,,52,64,51,41,,100,70,,61,64,58,50,44,,100,65,,58,71,64,53,48
Coventry,100,15,,56,50,,100,25,,48,44,,100,15,,44,63,44,x,,100,15,,50,69,63,50,44,,100,25,,70,78,74,57,61
Dudley,100,15,,x,x,,100,25,,48,48,,100,40,,70,65,60,50,,100,30,,72,76,66,59,62,,100,30,,54,68,59,54,48
Herefordshire,100,5,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,10,,x,x,x,x,x,,100,x,,x,x,x,x,x
Sandwell,100,10,,x,x,,100,20,,45,59,,100,35,,39,52,45,33,,100,30,,50,60,40,40,37,,100,30,,66,75,59,53,50
Shropshire,.,0,,.,.,,100,x,,x,x,,100,5,,x,x,x,x,,100,15,,x,43,x,x,x,,100,5,,x,x,x,x,x
Solihull,100,x,,x,x,,100,5,,x,x,,100,10,,50,58,x,x,,100,15,,73,87,67,60,60,,100,5,,x,x,x,x,x
Staffordshire,100,20,,35,45,,100,20,,36,45,,100,30,,53,60,47,37,,100,35,,64,69,53,44,44,,100,35,,71,74,74,65,56
Stoke-on-Trent,100,5,,x,x,,100,15,,57,71,,100,15,,53,73,53,40,,100,10,,x,x,x,x,x,,100,15,,59,59,35,35,35
Telford and Wrekin,100,5,,x,x,,100,5,,x,x,,100,10,,x,x,x,x,,100,15,,46,54,x,x,x,,100,20,,59,77,59,50,50
Walsall,100,20,,47,58,,100,20,,47,68,,100,20,,63,63,53,47,,100,30,,43,54,36,29,29,,100,20,,50,50,50,32,45
Warwickshire,100,15,,54,46,,90-99,25,,36,44,,100,25,,68,80,72,60,,100,25,,71,71,79,54,67,,100,15,,53,59,47,41,x
Wolverhampton,100,15,,53,59,,100,15,,73,67,,100,20,,56,50,39,x,,100,20,,67,44,50,44,39,,100,25,,74,78,81,63,70
Worcestershire,100,15,,56,50,,100,20,,43,67,,100,20,,57,67,52,43,,100,20,,38,48,43,x,33,,100,20,,39,56,47,33,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST OF ENGLAND,.,200,,48,60,,.,200,,48,61,,.,210,,59,64,51,43,,.,200,,52,59,46,42,38,,.,220,,56,65,55,47,44
Bedford Borough,100,x,,x,x,,100,5,,x,x,,100,10,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
Central Bedfordshire,100,x,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,5,,x,x,x,x,x,,100,5,,x,x,x,x,x
Cambridgeshire,100,15,,62,62,,100,15,,x,53,,100,15,,53,53,35,35,,100,20,,52,71,48,38,43,,100,25,,44,60,48,48,28
Essex,100,55,,69,70,,100,50,,55,73,,100,50,,69,78,57,49,,100,50,,58,58,50,44,46,,100,50,,54,60,56,46,40
Hertfordshire,100,35,,29,57,,100,25,,52,52,,100,25,,54,69,52,44,,100,15,,71,71,79,64,64,,100,30,,79,79,72,62,69
Luton,100,15,,60,60,,100,15,,47,53,,100,15,,71,71,47,41,,100,10,,x,x,x,x,x,,100,10,,58,50,x,x,x
Norfolk,100,30,,39,61,,100,30,,48,58,,100,30,,56,56,56,47,,100,30,,41,53,41,31,19,,100,20,,38,57,52,48,38
Peterborough,100,10,,x,x,,100,10,,x,58,,100,10,,x,x,x,x,,100,10,,50,50,x,x,x,,100,10,,55,100,64,x,x
Southend-on-Sea,100,5,,x,x,,100,10,,x,x,,100,10,,x,x,x,x,,100,15,,54,62,54,54,x,,100,10,,x,x,x,x,x
Suffolk,100,25,,42,50,,100,20,,50,65,,100,30,,45,55,41,34,,100,35,,45,47,34,31,31,,100,30,,50,53,50,47,37
Thurrock,100,x,,x,x,,100,5,,x,x,,100,10,,x,x,x,x,,100,5,,x,x,x,x,x,,100,15,,67,67,60,x,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON,.,230,,52,59,,.,330,,53,58,,.,310,,59,69,57,47,,.,290,,69,72,69,55,59,,.,310,,65,71,63,54,52
INNER LONDON,.,120,,52,57,,.,150,,52,60,,.,150,,61,72,57,48,,.,130,,70,75,68,56,60,,.,140,,66,73,64,55,54
Camden,100,5,,x,x,,100,5,,x,x,,100,5,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
City of London,.,0,,.,.,,100,x,,x,x,,100,x,,x,x,x,x,,.,0,,.,.,.,.,.,,.,0,,.,.,.,.,.
Hackney,100,10,,x,x,,100,10,,67,58,,<90,5,,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,67,58,58,50,50
Hammersmith and Fulham,100,x,,x,x,,100,5,,x,x,,100,5,,x,x,x,x,,100,5,,x,x,x,x,x,,100,x,,x,x,x,x,x
Haringey,100,x,,x,x,,100,20,,52,48,,100,20,,53,68,42,42,,100,25,,70,83,70,39,61,,100,20,,74,74,68,63,58
Islington,100,15,,62,54,,100,5,,x,x,,100,10,,x,x,x,x,,100,x,,x,x,x,x,x,,100,5,,x,x,x,x,x
Kensington and Chelsea,100,x,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
Lambeth,100,20,,61,67,,100,20,,50,70,,100,15,,75,81,63,56,,100,15,,67,80,67,73,53,,100,10,,x,x,x,x,x
Lewisham,100,15,,40,x,,100,25,,52,72,,100,15,,79,71,71,64,,100,20,,61,61,56,39,44,,100,20,,60,75,70,55,50
Newham,100,15,,47,47,,100,15,,x,x,,100,15,,50,50,x,x,,100,10,,58,58,75,x,50,,100,10,,50,67,58,x,50
Southwark,90-99,15,,46,69,,100,10,,x,x,,100,15,,57,71,71,50,,100,15,,57,71,57,50,50,,100,25,,63,71,54,50,46
Tower Hamlets,100,5,,x,x,,100,10,,x,x,,100,10,,x,73,64,x,,100,5,,x,x,x,x,x,,100,15,,62,62,62,54,62
Wandsworth,100,x,,x,x,,100,x,,x,x,,100,15,,62,77,54,x,,100,5,,x,x,x,x,x,,100,x,,x,x,x,x,x
Westminster,100,x,,x,x,,100,x,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x
OUTER LONDON,.,120,,53,61,,.,180,,54,56,,.,160,,58,65,57,46,,.,160,,69,70,70,55,58,,.,170,,65,70,63,52,51
Barking and Dagenham,100,x,,x,x,,100,15,,35,41,,100,15,,53,60,67,47,,100,20,,79,63,68,53,58,,100,10,,73,55,64,x,x
Barnet,100,x,,x,x,,100,10,,64,73,,100,10,,x,82,64,x,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x
Bexley,100,10,,x,x,,100,x,,x,x,,100,5,,x,x,x,x,,100,10,,50,50,67,x,x,,100,10,,x,64,55,x,x
Brent,100,15,,x,43,,100,5,,x,x,,100,15,,59,76,69,56,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x
Bromley,100,x,,x,x,,100,10,,x,x,,100,5,,x,x,x,x,,100,5,,x,x,x,x,x,,100,5,,x,x,x,x,x
Croydon,100,10,,x,x,,100,25,,64,64,,100,10,,x,x,x,x,,100,15,,53,60,53,47,47,,100,20,,61,72,56,56,50
Ealing,100,10,,64,73,,100,10,,64,x,,100,10,,x,x,x,x,,100,15,,64,71,57,x,57,,100,10,,75,67,67,58,58
Enfield,100,5,,x,x,,100,10,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x
Greenwich,100,15,,63,64,,100,25,,56,56,,100,20,,60,60,50,40,,100,20,,80,70,75,70,65,,100,25,,54,67,67,46,46
Harrow,100,x,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
Havering,100,x,,x,x,,100,10,,55,55,,100,x,,x,x,x,x,,100,5,,x,x,x,x,x,,100,x,,x,x,x,x,x
Hillingdon,100,x,,x,x,,100,10,,x,x,,100,5,,x,x,x,x,,100,5,,x,x,x,x,x,,100,5,,x,x,x,x,x
Hounslow,100,5,,x,x,,100,15,,x,57,,100,10,,64,73,55,x,,100,10,,64,73,55,55,55,,100,10,,x,x,x,x,x
Kingston upon Thames,100,x,,x,x,,100,x,,x,x,,100,5,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
Merton,100,x,,x,x,,100,5,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
Redbridge,100,5,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x
Richmond upon Thames,100,x,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
Sutton,100,x,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
Waltham Forest,90-99,x,,x,x,,100,10,,x,x,,100,15,,71,65,53,53,,100,10,,x,x,x,x,x,,100,10,,x,64,55,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH EAST,.,220,,42,48,,.,250,,48,54,,.,250,,49,59,44,34,,.,300,,53,59,48,41,39,,.,310,,58,67,55,47,45
Bracknell Forest,.,0,,.,.,,100,x,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
Brighton and Hove,100,10,,x,x,,100,10,,x,x,,100,10,,x,x,x,x,,100,25,,54,71,50,54,42,,100,15,,62,69,62,x,54
Buckinghamshire,100,10,,x,x,,100,10,,x,x,,100,10,,x,x,x,x,,100,15,,50,38,38,50,x,,100,15,,50,64,50,x,43
East Sussex,100,15,,x,x,,100,15,,47,60,,100,30,,55,55,41,38,,100,20,,67,67,39,44,33,,100,25,,52,63,56,56,44
Hampshire,100,40,,51,46,,100,35,,45,52,,100,40,,58,58,47,29,,100,40,,61,66,55,47,50,,100,45,,71,73,60,53,49
Isle of Wight,100,10,,x,x,,100,10,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
Kent,100,40,,58,53,,100,50,,48,46,,100,50,,42,54,44,35,,100,55,,52,61,46,37,39,,100,65,,57,65,59,46,44
Medway,100,10,,58,75,,100,10,,x,x,,100,10,,x,x,x,x,,100,15,,47,60,47,x,40,,90-99,10,,x,x,x,x,x
Milton Keynes,100,5,,x,x,,100,10,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,15,,62,77,77,77,62
Oxfordshire,100,10,,x,x,,100,5,,x,x,,100,10,,55,64,x,x,,100,10,,50,55,x,x,x,,100,15,,59,76,47,47,41
Portsmouth,100,15,,56,75,,100,10,,x,x,,100,15,,46,77,x,x,,100,15,,46,54,x,x,x,,90-99,10,,x,x,x,x,x
Reading,100,10,,x,x,,100,5,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
Slough,100,x,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,10,,x,x,x,x,x,,100,x,,x,x,x,x,x
Southampton,100,10,,x,x,,100,15,,54,62,,100,10,,x,73,x,x,,100,5,,x,x,x,x,x,,100,20,,57,71,43,52,38
Surrey,100,15,,38,50,,100,20,,50,50,,100,25,,65,65,57,52,,100,30,,35,52,42,45,32,,100,25,,46,54,42,25,29
West Berkshire,100,x,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x
West Sussex,100,15,,x,41,,100,30,,36,50,,100,15,,53,53,41,35,,100,30,,45,48,45,38,28,,100,20,,52,52,38,29,33
Windsor and Maidenhead,100,x,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
Wokingham,100,x,,x,x,,100,5,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH WEST,.,140,,46,58,,.,150,,52,59,,.,160,,53,61,47,39,,.,190,,52,61,54,42,41,,.,210,,56,62,54,44,43
Bath and North East Somerset,100,x,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x
Bournemouth,100,x,,x,x,,100,x,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x
"Bristol, City of",100,15,,56,69,,100,25,,52,67,,100,20,,65,70,75,60,,100,30,,48,52,52,41,41,,100,30,,69,62,62,59,59
Cornwall,100,10,,58,67,,100,10,,82,64,,100,20,,42,53,37,37,,100,15,,73,87,53,67,53,,100,25,,54,63,46,42,46
Devon,100,15,,x,43,,90-99,15,,x,x,,100,15,,x,43,x,x,,100,15,,56,75,69,44,50,,100,15,,82,82,71,53,65
Dorset,100,10,,x,82,,100,10,,x,x,,100,10,,x,x,x,x,,100,15,,x,53,x,x,x,,100,10,,x,x,x,x,x
Gloucestershire,100,10,,x,x,,100,10,,x,x,,100,10,,x,50,67,x,,100,10,,50,50,58,x,x,,100,20,,47,63,53,47,42
Isles of Scilly,.,0,,.,.,,.,0,,.,.,,.,0,,.,.,.,.,,.,0,,.,.,.,.,.,,.,0,,.,.,.,.,.
