Table LA3: Eligibility and performance of children who have been looked after continuously for at least 12 months1 at Key Stage 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-20142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,2011,,,,,,,2012,,,,,,,2013,,,,,,,2014 - 2013 methodology3,,,,,,,2014 - 2013 methodology4,,,,,
,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,
,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7,,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7,,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7,,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7,,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7,,,,,5+ GCSEs at grades A*-C7,5+ GCSEs at grades A*-C including English & mathematics7,A*-C in English & mathematics7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockport,100,35,,23.5,17.6,17.6,,100,20,,x,x,x,,100,25,,29.6,x,x,,100,35,,37.1,25.7,25.7,,100,20,,x,x,x,,100,20,,x,x,x
Tameside,100,30,,x,x,x,,100,20,,x,x,x,,100,25,,55.6,x,x,,100,30,,30.0,x,x,,100,25,,x,x,x,,100,25,,x,x,x
Trafford,100,20,,38.9,x,x,,90-99,25,,36.0,24.0,24.0,,100,20,,36.4,27.3,27.3,,100,20,,44.4,x,x,,100,20,,61.9,42.9,42.9,,100,20,,52.4,42.9,42.9
Warrington,100,20,,x,x,x,,100,10,,x,x,x,,100,15,,80.0,40.0,40.0,,100,15,,x,x,x,,100,20,,x,x,x,,100,20,,x,x,x
Wigan,100,25,,28.0,x,x,,100,30,,x,x,x,,100,30,,34.5,x,x,,100,35,,20.0,x,17.1,,100,20,,33.3,x,x,,100,20,,x,x,x
Wirral,100,45,,31.9,x,x,,100,45,,27.3,x,x,,100,30,,51.6,x,x,,100,50,,52.0,12.0,16.0,,100,35,,38.9,x,16.7,,100,35,,16.7,x,16.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORKSHIRE AND THE HUMBER,.,500,,34.0,13.6,13.8,,.,510,,36.7,12.5,12.7,,.,490,,39.1,13.6,14.0,,.,480,,38.9,14.6,14.6,,.,470,,31.5,13.7,15.0,,.,470,,14.2,10.5,12.9
Barnsley,100,15,,x,x,x,,100,30,,39.3,x,x,,100,25,,43.5,x,x,,100,15,,46.2,x,x,,100,10,,x,x,x,,100,10,,x,x,x
Bradford,100,60,,34.5,x,x,,100,50,,32.7,11.5,11.5,,100,55,,50.9,19.3,19.3,,100,55,,42.1,x,x,,100,55,,33.3,14.8,16.7,,100,55,,13.0,x,13.0
Calderdale,100,20,,28.6,x,x,,100,20,,x,x,x,,100,10,,x,x,x,,100,15,,56.3,x,x,,100,20,,63.2,42.1,42.1,,100,20,,47.4,42.1,42.1
Doncaster,100,30,,21.9,x,x,,100,40,,34.1,x,x,,100,40,,41.0,x,x,,100,30,,28.1,x,x,,100,20,,28.6,x,x,,100,20,,x,x,x
East Riding of Yorkshire,90-99,25,,47.8,39.1,39.1,,100,30,,43.8,x,x,,100,15,,41.2,x,x,,100,25,,x,x,x,,100,25,,26.1,x,x,,100,25,,x,x,x
"Kingston Upon Hull, City of",100,30,,40.6,x,x,,100,35,,48.5,x,x,,100,30,,41.9,19.4,19.4,,100,45,,47.7,x,x,,100,50,,33.3,x,14.6,,100,50,,x,x,x
Kirklees,100,30,,x,x,x,,100,30,,34.4,x,x,,100,35,,x,x,x,,100,35,,25.0,16.7,16.7,,100,40,,19.0,x,x,,100,40,,x,x,x
Leeds,100,105,,39.0,16.2,16.2,,90-99,100,,36.7,10.2,10.2,,100,95,,43.0,15.1,15.1,,100,90,,49.4,18.0,18.0,,90-99,80,,35.9,19.2,20.5,,90-99,80,,17.9,12.8,17.9
North East Lincolnshire,100,10,,x,x,x,,100,15,,53.8,x,x,,100,15,,46.7,x,x,,100,10,,54.5,x,x,,100,10,,x,x,x,,100,10,,x,x,x
North Lincolnshire,100,15,,x,x,x,,100,10,,x,x,x,,100,15,,x,x,x,,100,15,,53.8,x,x,,100,10,,x,x,x,,100,10,,x,x,x
North Yorkshire,100,35,,42.4,18.2,18.2,,100,35,,39.4,x,18.2,,100,35,,40.0,x,20.0,,100,25,,30.8,x,x,,100,45,,20.0,13.3,13.3,,100,45,,15.6,x,x
Rotherham,100,25,,44.0,28.0,28.0,,100,25,,40.0,x,x,,100,30,,40.6,18.8,18.8,,100,25,,29.6,25.9,25.9,,100,25,,32.0,x,x,,100,25,,x,x,x
Sheffield,90-99,55,,25.9,x,x,,100,50,,22.4,x,x,,90-99,40,,26.2,x,x,,100,45,,25.0,18.2,18.2,,90-99,35,,30.3,x,x,,90-99,35,,x,x,x
Wakefield,100,25,,44.4,x,x,,100,30,,57.1,25.0,25.0,,100,30,,32.3,x,x,,90-99,20,,42.9,x,x,,100,20,,40.9,x,x,,100,20,,27.3,x,x
York,90-99,20,,x,x,x,,100,20,,x,x,x,,100,15,,50.0,x,x,,100,25,,38.5,23.1,23.1,,100,20,,33.3,x,x,,100,20,,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST MIDLANDS,.,330,,22.9,6.7,7.3,,.,360,,31.3,10.1,10.6,,.,320,,35.6,13.0,13.6,,.,320,,37.0,13.0,13.4,,.,340,,28.8,12.2,14.0,,.,340,,13.4,10.8,13.4
Derby,90-99,25,,x,x,x,,100,35,,54.3,17.1,20.0,,100,35,,45.9,29.7,29.7,,100,25,,38.5,x,x,,100,30,,41.9,x,x,,100,30,,x,x,x
Derbyshire,100,50,,26.9,x,x,,100,70,,25.0,11.8,13.2,,100,55,,25.9,x,x,,100,50,,32.7,18.4,18.4,,100,45,,23.9,x,13.0,,100,45,,x,x,x
Leicester,100,35,,x,x,x,,100,35,,25.0,x,x,,100,35,,36.4,x,x,,100,30,,44.8,x,x,,90-99,40,,22.0,x,14.6,,90-99,40,,x,x,14.6
Leicestershire,100,20,,x,x,x,,100,35,,35.3,x,x,,100,30,,36.7,x,x,,100,35,,20.6,x,x,,100,25,,x,x,x,,100,25,,x,x,x
Lincolnshire,100,50,,30.8,x,x,,100,40,,34.2,x,x,,90-99,35,,51.4,24.3,24.3,,100,35,,40.5,16.2,16.2,,100,40,,42.5,22.5,22.5,,100,40,,15.0,15.0,20.0
Northamptonshire,100,60,,15.3,x,x,,100,65,,31.3,12.5,12.5,,100,60,,20.0,x,10.0,,100,45,,25.5,x,x,,100,55,,17.5,x,10.5,,100,55,,x,x,10.5
Nottingham,90-99,40,,25.6,x,x,,100,35,,17.6,x,x,,100,30,,34.5,x,x,,100,45,,47.7,15.9,15.9,,100,40,,30.8,x,x,,100,40,,x,x,x
Nottinghamshire,90-99,40,,33.3,x,x,,90-99,50,,32.7,14.3,14.3,,90-99,40,,46.3,x,x,,100,55,,44.6,12.5,12.5,,90-99,60,,32.8,13.1,14.8,,90-99,60,,19.7,13.1,14.8
Rutland,<90,x,,x,x,x,,.,0,,.,.,.,,<90,x,,x,x,x,,.,0,,.,.,.,,100,x,,x,x,x,,100,x,,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST MIDLANDS,.,580,,30.1,13.4,13.9,,.,590,,37.1,14.2,14.3,,.,620,,38.8,17.2,18.1,,.,560,,42.0,16.7,17.4,,.,640,,33.7,15.9,17.3,,.,640,,18.1,13.7,15.1
Birmingham,90-99,140,,30.7,12.1,12.9,,100,130,,39.4,14.4,14.4,,100,140,,40.8,18.3,20.4,,90-99,115,,40.5,12.1,13.8,,90-99,135,,33.1,18.4,19.1,,90-99,135,,21.3,16.9,18.4
Coventry,100,45,,28.9,x,x,,100,40,,41.5,x,x,,100,55,,42.1,14.0,15.8,,100,40,,55.0,30.0,32.5,,100,45,,43.5,15.2,17.4,,100,45,,13.0,x,13.0
Dudley,100,35,,45.7,34.3,34.3,,90-99,35,,38.9,22.2,22.2,,100,35,,55.6,27.8,27.8,,100,45,,37.8,15.6,17.8,,100,55,,32.1,12.5,12.5,,100,55,,16.1,10.7,10.7
Herefordshire,100,20,,x,x,x,,100,15,,x,x,x,,100,15,,x,x,x,,100,10,,x,x,x,,100,15,,x,x,x,,100,15,,x,x,x
Sandwell,100,30,,25.0,x,x,,100,35,,40.0,x,x,,90-99,35,,45.7,17.1,17.1,,100,40,,39.0,x,x,,100,40,,36.8,21.1,23.7,,100,40,,23.7,18.4,21.1
Shropshire,100,15,,x,x,35.3,,100,20,,x,x,x,,100,20,,x,x,x,,100,20,,x,x,x,,100,25,,43.5,26.1,26.1,,100,25,,34.8,x,26.1
Solihull,90-99,45,,21.3,x,x,,100,50,,46.9,14.3,14.3,,100,35,,48.5,18.2,21.2,,100,25,,53.8,x,x,,90-99,30,,34.5,x,x,,90-99,30,,20.7,x,x
Staffordshire,90-99,45,,28.3,13.0,13.0,,90-99,65,,33.3,16.7,16.7,,90-99,75,,40.0,21.3,21.3,,90-99,55,,46.3,18.5,18.5,,90-99,75,,32.4,13.5,13.5,,90-99,75,,16.2,12.2,12.2
Stoke-on-Trent,100,40,,29.3,17.1,17.1,,100,30,,31.0,x,x,,100,30,,21.9,x,x,,90-99,40,,39.5,x,x,,90-99,30,,32.3,x,22.6,,90-99,30,,x,x,19.4
Telford and Wrekin,100,20,,x,x,x,,100,15,,50.0,x,x,,100,25,,50.0,33.3,33.3,,100,25,,48.0,x,x,,100,25,,39.1,26.1,30.4,,100,25,,30.4,x,26.1
Walsall,100,45,,37.8,x,x,,100,30,,48.3,x,x,,100,30,,27.6,x,x,,100,25,,38.5,x,x,,100,25,,33.3,x,22.2,,100,25,,x,x,x
Warwickshire,90-99,45,,23.3,x,x,,90-99,60,,32.8,13.1,13.1,,90-99,50,,38.8,16.3,16.3,,90-99,60,,41.7,20.0,20.0,,90-99,50,,26.5,16.3,16.3,,90-99,50,,16.3,14.3,14.3
Wolverhampton,100,20,,38.1,x,x,,100,20,,x,x,x,,100,30,,44.8,x,x,,100,30,,48.4,25.8,25.8,,90-99,40,,39.5,x,x,,90-99,40,,15.8,x,x
Worcestershire,90-99,35,,31.4,x,x,,90-99,45,,30.2,x,x,,90-99,45,,18.6,x,x,,90-99,35,,35.3,x,x,,90-99,50,,29.4,x,11.8,,90-99,50,,11.8,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST OF ENGLAND,.,530,,23.5,11.5,12.1,,.,540,,31.7,15.7,16.9,,.,530,,35.9,15.3,16.1,,.,510,,32.7,14.0,14.8,,.,480,,28.2,12.8,14.5,,.,480,,15.2,10.3,12.6
Bedford Borough,100,15,,x,x,x,,100,15,,x,x,x,,100,20,,x,x,x,,100,15,,42.9,x,x,,100,5,,x,x,x,,100,5,,x,x,x
Central Bedfordshire,100,15,,x,x,x,,100,15,,x,x,x,,100,20,,30.0,x,x,,100,15,,x,x,x,,100,5,,x,x,x,,100,5,,x,x,x
Cambridgeshire,90-99,40,,22.5,x,x,,90-99,45,,22.7,x,x,,100,35,,35.3,x,x,,100,35,,41.2,x,x,,100,30,,32.3,19.4,19.4,,100,30,,19.4,x,x
Essex,90-99,115,,28.1,9.6,10.5,,90-99,130,,30.3,12.1,12.9,,100,105,,43.8,18.1,18.1,,100,120,,32.5,15.0,16.7,,90-99,95,,35.1,11.7,13.8,,90-99,95,,13.8,8.5,12.8
Hertfordshire,90-99,90,,19.8,13.2,13.2,,90-99,105,,34.0,18.4,19.4,,100,100,,39.8,13.3,13.3,,100,90,,40.4,16.9,16.9,,90-99,95,,29.8,13.8,16.0,,90-99,95,,14.9,10.6,13.8
Luton,100,30,,32.3,x,x,,100,35,,38.9,19.4,22.2,,100,35,,31.4,x,x,,100,25,,36.0,x,x,,100,30,,29.0,x,19.4,,100,30,,19.4,x,x
Norfolk,100,85,,16.3,11.6,11.6,,100,85,,33.3,24.1,25.3,,100,105,,31.1,18.9,19.8,,100,90,,25.8,13.5,14.6,,100,85,,17.9,9.5,13.1,,100,85,,9.5,8.3,10.7
Peterborough,100,35,,27.3,x,x,,100,25,,30.4,x,x,,100,25,,39.1,x,x,,90-99,25,,28.0,x,x,,100,25,,28.0,x,x,,100,25,,x,x,x
Southend-on-Sea,100,25,,30.8,23.1,23.1,,100,20,,38.9,x,x,,100,15,,52.9,x,x,,100,20,,40.9,x,x,,100,25,,41.7,x,x,,100,25,,33.3,x,x
Suffolk,100,65,,21.2,9.1,10.6,,100,55,,31.6,14.0,15.8,,100,50,,25.0,11.5,11.5,,100,55,,21.8,14.5,16.4,,100,60,,24.1,10.3,10.3,,100,60,,17.2,x,x
Thurrock,100,15,,x,x,x,,100,5,,x,x,x,,100,20,,33.3,x,x,,90-99,20,,28.6,x,x,,100,20,,x,x,x,,100,20,,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON,.,910,,32.9,15.4,16.0,,.,880,,34.8,16.5,17.0,,.,770,,37.3,17.1,17.5,,.,800,,39.9,20.7,21.7,,.,760,,29.8,16.5,17.7,,.,760,,19.9,15.0,16.8
INNER LONDON,.,400,,31.4,14.9,15.6,,.,380,,33.9,19.3,20.1,,.,350,,36.5,16.7,17.0,,.,360,,45.2,24.4,26.4,,.,340,,26.8,15.0,16.5,,.,340,,18.5,13.8,15.9
Camden,90-99,25,,33.3,x,x,,90-99,20,,38.9,x,x,,100,25,,37.5,x,x,,100,15,,x,x,x,,100,20,,x,x,x,,100,20,,x,x,x
City of London,100,x,,x,x,x,,.,0,,.,.,.,,.,0,,.,.,.,,.,0,,.,.,.,,.,0,,.,.,.,,.,0,,.,.,.
Hackney,100,30,,33.3,26.7,26.7,,100,20,,30.0,x,x,,100,20,,30.0,x,x,,100,25,,34.8,x,x,,100,25,,41.7,25.0,29.2,,100,25,,37.5,25.0,29.2
Hammersmith and Fulham,90-99,20,,36.8,x,x,,100,15,,x,x,x,,100,20,,33.3,x,x,,100,20,,47.6,x,x,,<90,15,,42.9,x,x,,<90,15,,x,x,x
Haringey,90-99,45,,34.8,19.6,19.6,,90-99,45,,22.2,13.3,13.3,,100,40,,47.4,21.1,21.1,,90-99,40,,54.8,33.3,35.7,,90-99,35,,37.8,24.3,24.3,,90-99,35,,24.3,21.6,21.6
Islington,100,25,,x,x,x,,100,30,,25.0,x,x,,100,30,,32.1,x,x,,100,30,,50.0,20.0,20.0,,100,20,,x,x,x,,100,20,,x,x,x
Kensington and Chelsea,100,10,,x,x,x,,100,15,,50.0,x,x,,100,10,,x,x,x,,90-99,10,,x,x,x,,100,15,,x,x,x,,100,15,,x,x,x
Lambeth,100,45,,22.7,x,x,,100,45,,36.2,12.8,12.8,,100,35,,22.9,x,x,,100,35,,51.4,17.1,22.9,,100,30,,25.8,x,x,,100,30,,19.4,x,x
