New_geog_code,geog_l,geog_c,geog_n,CLA_started2013,CLA_taken2013,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,,,,,,,,,
E08000007,LA,356,Stockport,142,44,70,72,28,27,21,39,27,85,x,13,8,24,x,0,x,22,0,0,98,16,6,0,0,0,0,,,,,,,,,
E08000008,LA,357,Tameside,135,53,72,63,25,23,31,47,9,94,x,0,9,23,x,0,x,27,0,0,80,24,x,0,x,0,0,,,,,,,,,
E08000009,LA,358,Trafford,126,40,61,65,14,22,26,46,18,58,6,x,27,17,15,0,0,21,x,0,85,15,x,0,x,0,0,,,,,,,,,
E08000010,LA,359,Wigan,154,64,94,60,44,46,24,33,7,116,x,x,25,6,x,0,x,32,x,0,90,27,x,0,0,0,0,,,,,,,,,
E08000016,LA,370,Barnsley,109,76,54,55,38,26,19,18,8,87,x,x,x,x,x,0,6,73,x,x,32,x,0,0,0,0,0,,,,,,,,,
E08000017,LA,371,Doncaster,195,99,100,95,54,43,40,45,13,118,x,10,22,40,0,0,x,86,0,0,95,7,6,0,0,x,0,,,,,,,,,
E08000018,LA,372,Rotherham,153,65,85,68,41,32,23,41,16,97,x,7,10,26,x,0,6,53,0,0,85,9,x,0,x,0,0,,,,,,,,,
E08000019,LA,373,Sheffield,234,119,135,99,64,51,29,64,26,122,10,x,22,58,13,0,x,90,0,0,103,20,9,0,12,0,0,,,,,,,,,
E08000032,LA,380,Bradford,251,132,118,133,83,49,40,61,18,218,12,x,x,6,x,0,6,76,x,0,114,29,25,0,x,0,0,,,,,,,,,
E08000033,LA,381,Calderdale,100,42,59,41,30,25,15,25,x,81,x,x,x,7,x,0,x,34,0,0,52,7,x,0,6,0,0,,,,,,,,,
