New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceaAdop,CLA_Adop_PL12mnths
E06000044,LA,851,Portsmouth,117,15,7
E06000045,LA,852,Southampton,173,28,24
E10000018,LA,855,Leicestershire,169,19,14
E06000016,LA,856,Leicester,220,29,28
E06000017,LA,857,Rutland,8,x,0
E10000028,LA,860,Staffordshire,275,47,27
E06000021,LA,861,Stoke-on-Trent,211,45,28
E06000054,LA,865,Wiltshire,174,14,12
E06000030,LA,866,Swindon,142,8,6
E06000036,LA,867,Bracknell Forest,48,x,x
E06000040,LA,868,Windsor and Maidenhead,46,x,x
E06000037,LA,869,West Berkshire,35,7,6
E06000038,LA,870,Reading,95,18,10
E06000039,LA,871,Slough,96,9,x
E06000041,LA,872,Wokingham,29,x,x
E10000003,LA,873,Cambridgeshire,163,28,17
E06000031,LA,874,Peterborough,137,18,13
E06000006,LA,876,Halton,49,9,9
E06000007,LA,877,Warrington,100,8,x
E10000008,LA,878,Devon,408,31,23
E06000026,LA,879,Plymouth,153,35,31
E06000027,LA,880,Torbay,101,11,7
E10000012,LA,881,Essex,601,70,49
E06000033,LA,882,Southend-on-Sea,92,17,13
E06000034,LA,883,Thurrock,109,10,x
E06000019,LA,884,Herefordshire,101,9,8
E10000034,LA,885,Worcestershire,256,45,21
E10000016,LA,886,Kent,861,105,80
E06000035,LA,887,Medway,209,26,16
E10000017,LA,888,Lancashire,486,76,49
E06000008,LA,889,Blackburn with Darwen,139,19,11
E06000009,LA,890,Blackpool,161,22,13
E10000024,LA,891,Nottinghamshire,289,43,30
E06000018,LA,892,Nottingham,238,40,22
E06000051,LA,893,Shropshire,84,16,14
E06000020,LA,894,Telford and Wrekin,97,23,23
E06000049,LA,895,Cheshire East,186,26,22
E06000050,LA,896,Cheshire West and Chester,119,17,16
E06000052,LA,908,Cornwall,284,42,38
E10000006,LA,909,Cumbria,223,42,33
E10000013,LA,916,Gloucestershire,201,25,19
E10000015,LA,919,Hertfordshire,485,68,48
E06000046,LA,921,Isle of Wight,75,6,x
E10000019,LA,925,Lincolnshire,212,37,26
E10000020,LA,926,Norfolk,412,59,37
E10000021,LA,928,Northamptonshire,406,44,27
E06000048,LA,929,Northumberland,116,23,19
E10000025,LA,931,Oxfordshire,284,41,36
E10000027,LA,933,Somerset,297,30,22
E10000029,LA,935,Suffolk,277,68,54
E10000030,LA,936,Surrey,357,35,30
E10000031,LA,937,Warwickshire,304,33,30
E10000032,LA,938,West Sussex,354,37,32
