New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2013,CLA_2013,CLA_stp2013,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E09000016,LA,311,Havering,185,281,14,106,79,11,24,30,66,54,148,14,x,22,0,0,136,12,x,x,27,x,x,0,0,36,67,0,20,62,0,0,x,0,102,x,x,75,0,x,0,113,46,26,29,99,74,202,128
E09000017,LA,312,Hillingdon,367,554,17,230,137,14,41,53,109,150,173,43,63,65,18,x,252,x,x,48,48,x,7,x,0,31,97,0,30,203,x,x,87,0,175,x,x,178,7,x,x,256,75,36,52,203,157,128,x
E09000018,LA,313,Hounslow,303,458,x,173,130,18,36,42,120,87,184,39,41,33,6,0,221,8,x,0,47,12,11,0,0,46,127,0,27,101,x,0,25,10,129,x,x,159,8,x,0,203,62,38,76,133,162,146,x
E09000021,LA,314,Kingston upon Thames,129,198,x,78,51,9,27,24,34,35,79,21,x,15,10,0,100,x,x,12,8,x,x,x,0,22,30,0,22,55,0,0,14,0,69,17,0,33,8,x,x,82,36,11,23,51,75,18,x
E09000024,LA,315,Merton,140,215,x,84,56,7,17,20,47,49,60,24,8,29,18,x,86,8,x,8,22,9,x,x,0,18,42,0,11,66,x,0,17,0,67,x,6,55,x,x,x,73,42,22,23,45,86,129,43
E09000025,LA,316,Newham,406,668,0,223,183,28,59,48,164,107,129,72,73,122,8,x,307,14,9,23,40,x,8,x,0,60,188,0,23,133,x,0,6,0,145,0,x,246,x,9,x,262,93,51,84,120,270,141,x
E09000026,LA,317,Redbridge,206,319,14,115,91,6,35,43,70,52,93,36,27,43,7,0,159,7,x,x,28,x,x,0,0,23,62,0,22,98,x,0,19,0,99,x,x,97,x,x,0,153,40,13,52,88,111,269,158
E09000027,LA,318,Richmond upon Thames,85,129,20,43,42,x,14,12,27,27,55,21,7,x,0,0,60,x,0,x,13,x,x,x,0,16,26,0,11,31,x,0,x,0,49,x,x,30,x,0,x,48,27,10,15,32,47,20,x
E09000029,LA,319,Sutton,172,235,10,94,78,8,23,39,64,38,121,23,6,18,x,0,134,10,x,x,12,8,x,0,0,37,57,0,27,51,0,0,7,0,79,x,0,83,x,x,0,113,29,30,34,70,92,96,x
E09000031,LA,320,Waltham Forest,280,429,32,159,121,12,47,47,97,77,117,54,13,77,12,7,219,12,x,0,33,x,11,x,0,38,117,x,30,93,x,0,13,0,88,29,6,150,x,x,x,186,59,35,66,89,178,221,43
E08000025,LA,330,Birmingham,1892,2574,18,981,911,113,364,353,727,335,1027,376,202,234,32,21,1353,105,111,95,172,19,14,x,20,343,813,17,291,413,14,x,20,10,925,25,16,689,103,111,23,1247,415,229,545,1058,706,375,x
E08000026,LA,331,Coventry,619,850,66,307,312,49,117,109,218,126,461,71,31,32,7,17,456,27,20,19,84,8,x,0,0,168,223,x,78,141,x,0,6,0,246,x,x,341,7,20,0,419,143,57,126,304,288,116,x
E08000027,LA,332,Dudley,730,870,24,390,340,36,152,170,285,87,641,65,11,8,x,0,571,17,72,13,46,6,x,x,0,128,426,x,79,91,x,0,0,10,385,7,x,260,x,72,x,509,156,65,212,399,313,168,x
E08000028,LA,333,Sandwell,602,781,8,351,251,41,123,120,223,95,405,98,42,44,13,0,453,31,42,24,31,10,6,x,x,129,296,0,77,99,x,0,x,0,330,17,x,192,14,42,x,379,146,77,132,276,290,271,x
E08000029,LA,334,Solihull,324,477,x,185,139,19,44,64,115,82,230,41,38,12,x,0,229,8,37,x,40,x,x,0,0,45,140,0,29,110,0,0,39,0,152,0,x,133,x,37,0,215,68,41,77,131,185,126,x
E08000030,LA,335,Walsall,576,739,37,321,255,42,124,156,176,78,420,75,47,29,x,0,455,18,46,13,39,x,x,0,0,120,323,x,41,85,x,x,x,0,369,x,x,152,x,46,0,404,115,57,153,332,226,246,20
E08000031,LA,336,Wolverhampton,661,816,44,362,299,45,172,156,215,73,447,84,23,65,32,10,510,33,49,11,51,6,x,0,0,159,299,0,113,86,x,0,x,0,260,9,x,338,x,49,0,436,153,72,125,272,356,123,x
E08000011,LA,340,Knowsley,237,322,55,133,104,10,42,54,93,38,231,x,0,0,x,0,182,x,20,x,9,9,x,0,6,25,140,0,35,34,x,x,0,0,179,7,x,23,x,20,6,166,44,27,77,123,105,115,10
E08000012,LA,341,Liverpool,957,1208,50,491,466,54,195,207,362,139,786,64,15,57,10,25,696,30,131,x,83,9,0,x,0,298,377,0,89,188,x,0,10,10,396,x,x,383,38,131,x,604,263,90,263,567,356,162,x
E08000013,LA,342,St. Helens,440,515,52,243,197,32,118,98,149,43,416,19,x,x,0,0,341,9,38,6,41,x,0,x,0,98,220,x,60,58,x,0,0,0,252,8,x,135,x,38,x,316,92,32,117,239,191,114,x
E08000014,LA,343,Sefton,422,518,81,232,190,23,73,91,158,77,405,12,x,x,x,0,271,30,51,13,45,x,7,0,0,45,246,0,62,68,x,0,0,0,212,x,x,109,46,51,0,283,97,40,115,240,152,197,45
E08000015,LA,344,Wirral,669,854,78,357,312,29,128,162,234,116,635,19,x,x,x,11,509,22,71,17,41,x,6,0,x,90,423,0,62,93,x,0,x,0,510,0,x,84,0,71,x,460,146,63,198,556,89,173,84
E08000001,LA,350,Bolton,539,688,28,273,266,44,135,132,164,64,471,33,x,19,x,9,396,45,58,x,28,x,7,x,0,104,276,0,95,62,x,0,0,0,391,36,x,40,10,58,x,383,119,37,123,392,101,151,50
E08000002,LA,351,Bury,322,445,29,171,151,19,67,64,115,57,275,19,17,6,x,x,239,6,42,x,19,0,11,0,0,64,177,0,37,43,x,0,x,0,179,11,0,87,x,42,0,226,67,29,60,205,111,143,32
E08000003,LA,352,Manchester,1302,1813,21,712,590,57,214,276,484,271,833,198,66,168,20,17,958,46,85,29,17,152,11,x,x,244,705,x,134,209,7,0,25,10,542,0,10,661,0,85,x,872,261,168,309,534,718,212,x
E08000004,LA,353,Oldham,349,467,9,177,172,22,82,77,114,54,264,37,35,13,0,0,238,18,46,x,35,x,x,x,0,91,169,0,61,26,0,x,x,0,247,0,0,53,0,46,x,207,95,47,62,214,114,149,35
E08000005,LA,354,Rochdale,507,667,61,278,229,34,89,137,168,79,408,35,28,8,27,x,370,15,47,19,44,10,x,0,0,130,258,x,64,52,x,0,x,0,287,15,x,138,16,47,0,361,112,34,112,319,173,203,30
E08000006,LA,355,Salford,540,747,43,295,245,27,120,103,198,92,461,35,9,14,19,x,376,21,41,15,73,6,x,0,x,80,312,x,61,86,0,0,0,0,350,35,7,98,6,41,x,358,122,60,124,287,229,108,x
E08000007,LA,356,Stockport,304,436,0,171,133,21,63,47,96,77,251,27,12,x,x,8,222,18,20,x,34,x,x,0,x,60,116,0,53,75,0,0,x,0,195,18,x,60,7,20,x,211,68,25,58,213,72,232,160
E08000008,LA,357,Tameside,390,521,41,220,170,14,68,81,158,69,352,14,16,x,x,x,274,21,30,20,41,x,0,0,0,65,219,0,49,57,0,0,0,0,270,10,x,76,x,30,0,252,82,56,98,266,103,218,115
E08000009,LA,358,Trafford,290,396,71,157,133,11,48,73,103,55,230,29,9,21,0,x,212,x,37,6,16,9,x,0,x,30,179,0,11,68,x,x,x,0,202,9,0,37,x,37,x,208,60,22,85,188,96,129,33
E08000010,LA,359,Wigan,508,630,x,288,220,31,117,132,159,69,474,16,x,6,10,x,380,22,46,x,54,x,x,0,0,98,241,0,100,68,0,x,0,0,358,22,0,74,8,46,0,355,109,44,148,394,92,207,115
E08000016,LA,370,Barnsley,234,332,55,128,106,28,58,32,64,52,220,8,x,x,x,x,186,7,x,6,22,x,x,0,x,68,96,0,40,30,0,0,x,0,137,x,x,67,15,x,x,164,49,21,42,155,68,117,49
E08000017,LA,371,Doncaster,497,704,44,272,225,35,92,93,179,98,446,18,x,x,8,18,351,34,16,x,73,6,12,0,0,121,190,0,81,105,0,0,8,0,227,12,x,227,13,16,0,274,148,75,71,290,173,144,x
E08000018,LA,372,Rotherham,392,533,50,216,176,30,64,78,154,66,346,32,8,x,x,0,285,23,19,10,39,12,x,0,0,68,195,x,86,36,x,0,x,0,223,0,x,146,x,19,0,246,102,44,93,220,149,112,x
E08000019,LA,373,Sheffield,537,838,100,317,220,46,96,84,199,112,434,46,17,22,12,6,382,38,18,15,66,7,11,0,0,85,225,9,98,118,x,0,x,0,319,11,7,175,7,18,0,370,104,63,126,327,172,98,x
E08000032,LA,380,Bradford,877,1145,24,465,412,63,179,186,315,134,592,140,102,25,x,13,602,38,93,33,96,x,11,0,0,174,473,7,96,125,x,x,9,0,668,18,x,85,10,93,0,590,212,75,256,680,159,154,x
E08000033,LA,381,Calderdale,334,453,44,179,155,22,74,87,117,34,284,27,10,x,x,9,257,15,35,x,19,0,x,0,x,54,182,6,55,36,x,0,x,0,198,9,0,87,x,35,x,245,61,28,98,207,111,97,x
E08000034,LA,382,Kirklees,652,845,39,361,291,29,160,146,217,100,492,98,49,12,x,0,416,44,83,6,80,14,9,0,0,76,332,x,130,105,7,0,x,10,324,24,x,191,25,83,0,414,179,59,187,354,254,101,x
E08000035,LA,383,Leeds,1373,1836,119,776,597,97,331,316,426,203,1084,179,48,53,9,0,1021,69,115,43,102,11,12,0,0,170,783,19,266,126,8,x,19,10,831,11,x,360,51,115,0,927,335,111,366,1019,285,190,x
E08000036,LA,384,Wakefield,446,578,132,246,200,38,117,90,137,64,381,14,8,x,x,38,323,38,28,x,46,x,x,0,0,105,166,0,83,91,x,0,x,0,305,0,x,110,0,28,0,267,135,44,88,272,136,119,x
E08000020,LA,390,Gateshead,388,548,50,206,182,23,80,84,138,63,347,15,8,10,x,x,319,27,8,x,11,7,10,0,x,56,164,x,62,105,0,0,0,0,265,47,0,64,x,8,x,278,68,42,65,210,148,121,x
E08000021,LA,391,Newcastle upon Tyne,548,722,7,297,251,35,80,96,205,132,476,21,18,11,21,x,406,48,8,14,50,11,11,0,0,33,259,0,69,186,x,0,7,10,392,x,0,146,x,8,0,378,113,57,111,197,303,95,x
E08000022,LA,392,North Tyneside,297,419,87,179,118,13,46,75,128,35,283,7,0,x,x,x,234,15,14,0,23,8,x,0,0,36,119,0,42,99,x,0,0,0,246,0,x,30,x,14,0,183,82,32,62,191,91,128,37
E08000023,LA,393,South Tyneside,314,431,12,161,153,30,62,71,108,43,291,7,x,7,0,6,237,23,18,x,14,12,x,x,0,73,140,0,53,46,x,0,0,0,168,6,x,108,9,18,x,191,79,44,66,166,122,50,x
E08000024,LA,394,Sunderland,437,602,7,239,198,26,97,79,165,70,421,x,0,x,x,x,330,29,16,8,52,x,0,0,0,47,123,10,94,162,x,0,0,0,339,x,8,27,43,16,0,289,97,51,77,279,129,152,23
E06000022,LA,800,Bath and North East Somerset,140,223,29,85,55,x,17,25,63,31,121,14,x,x,0,0,125,x,x,x,x,0,x,0,0,17,65,0,x,53,0,0,0,0,73,x,0,62,x,x,0,105,21,14,36,58,78,58,x
E06000023,LA,801,"Bristol, City of",719,979,87,363,356,35,111,121,291,161,552,93,14,47,12,x,591,25,13,10,51,12,17,0,0,139,327,0,73,176,x,0,7,0,492,8,x,186,15,13,0,505,144,69,165,442,252,83,x
E06000024,LA,802,North Somerset,252,350,x,144,108,16,43,44,94,55,226,13,x,x,x,x,190,20,7,6,23,x,x,x,x,55,71,0,39,87,0,0,7,0,153,x,x,67,17,7,x,148,63,41,53,155,75,65,x
E06000025,LA,803,South Gloucestershire,167,304,43,99,68,9,29,32,58,39,152,9,0,x,x,0,124,11,8,x,x,x,9,0,0,35,61,0,15,56,0,0,x,0,103,x,0,49,x,8,0,82,65,20,28,107,49,166,117
E06000001,LA,805,Hartlepool,192,257,13,91,101,12,34,37,73,36,186,x,0,x,x,x,167,9,x,x,7,x,x,0,0,19,93,0,13,65,x,0,0,0,155,x,0,30,0,x,0,155,26,10,44,124,59,44,x
E06000002,LA,806,Middlesbrough,360,540,31,185,175,27,56,80,129,68,317,14,13,8,8,0,278,15,10,6,36,7,7,0,x,23,169,0,39,128,0,x,0,0,159,8,0,172,10,10,x,267,63,30,64,128,216,49,x
E06000003,LA,807,Redcar and Cleveland,174,236,10,93,81,14,40,29,70,21,165,6,x,x,x,0,141,10,x,x,13,x,6,0,0,14,86,0,42,32,0,0,0,0,80,10,0,73,9,x,0,87,66,21,27,74,90,33,x
E06000004,LA,808,Stockton-on-Tees,362,521,34,189,173,34,83,91,117,37,334,13,x,10,x,0,259,17,27,6,44,x,x,0,0,49,165,0,63,82,x,0,x,0,183,14,x,137,0,27,0,230,92,40,58,242,103,140,37
E06000010,LA,810,"Kingston Upon Hull, City of",651,813,47,358,293,40,155,143,235,78,601,28,x,x,14,x,494,28,49,13,62,x,0,0,0,97,309,x,116,121,x,0,6,0,510,7,6,71,8,49,0,454,151,46,165,393,230,74,x
E06000011,LA,811,East Riding of Yorkshire,336,457,8,176,160,25,74,62,114,61,326,6,x,x,0,0,257,20,18,x,31,x,x,x,0,53,157,0,50,76,0,0,x,0,206,14,x,94,x,18,x,200,95,41,64,240,75,296,221
E06000012,LA,812,North East Lincolnshire,198,271,x,114,84,20,52,45,54,27,194,x,x,0,x,0,152,15,x,0,27,x,x,0,0,51,66,0,44,34,x,0,x,0,172,x,x,18,x,x,0,121,58,19,35,149,34,46,12
E06000013,LA,813,North Lincolnshire,165,236,7,97,68,9,37,29,68,22,155,x,x,x,x,x,124,12,x,x,14,x,8,0,0,29,53,0,44,36,x,0,x,0,113,7,x,36,x,x,0,112,37,16,36,102,51,58,7
E10000023,LA,815,North Yorkshire,488,668,76,280,208,20,79,93,211,85,465,14,7,x,x,0,362,26,34,13,40,x,10,0,0,52,268,x,49,117,0,0,x,0,381,12,x,45,15,34,0,328,127,33,124,354,108,232,124
E06000014,LA,816,York,243,317,26,132,111,x,38,46,102,52,227,10,x,0,x,0,185,11,25,0,17,x,x,0,0,29,119,0,37,55,x,0,0,0,177,12,x,27,x,25,0,155,51,37,52,138,94,14,x
E06000032,LA,821,Luton,388,524,35,195,193,21,59,79,148,81,230,56,55,29,16,x,312,14,12,26,11,x,6,x,x,80,173,0,34,101,0,0,x,0,198,19,x,147,x,12,6,261,82,45,93,214,154,109,x
E06000055,LA,822,Bedford,247,349,x,129,118,21,57,51,61,57,156,49,14,14,12,x,193,6,7,7,27,x,x,0,0,85,56,x,10,94,x,0,x,0,104,11,x,122,0,7,0,152,62,33,19,84,157,104,x
E06000056,LA,823,Central Bedfordshire,246,333,8,137,109,23,56,53,68,46,208,22,x,6,x,x,183,8,6,13,31,x,x,0,0,92,68,0,20,66,0,0,8,0,105,x,x,131,x,6,0,148,71,27,17,96,142,186,44
E10000002,LA,825,Buckinghamshire,398,505,91,219,179,16,69,83,152,78,285,63,17,15,16,x,297,19,11,6,46,x,12,x,0,49,181,0,58,109,x,0,8,0,156,23,0,192,13,11,x,278,99,21,100,193,183,127,x
E06000042,LA,826,Milton Keynes,282,396,7,156,126,17,50,58,98,59,227,19,11,17,8,0,213,20,12,6,25,x,x,0,0,38,113,x,60,67,x,x,6,0,177,12,x,76,x,12,0,168,66,48,43,163,99,129,30
E10000007,LA,830,Derbyshire,664,957,0,344,320,49,129,134,205,147,601,29,x,x,0,28,482,52,10,31,35,48,6,0,0,69,274,0,167,152,x,0,x,10,517,0,x,135,0,10,0,449,150,64,119,436,176,338,162
E06000015,LA,831,Derby,465,630,0,268,197,28,82,110,174,71,380,54,11,14,6,0,331,48,18,15,46,x,x,0,0,38,209,x,134,78,x,0,x,0,276,17,0,154,0,18,0,311,113,41,109,205,212,59,x
E10000009,LA,835,Dorset,351,466,55,196,155,19,54,46,140,92,331,15,x,x,x,x,244,14,19,22,31,10,9,0,x,35,103,0,34,175,x,0,0,0,249,11,x,55,13,19,x,246,69,36,59,261,74,190,116
