New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_cease16,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA-ceaDied,CLA_ceataken,CLA_ceaPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_cea_OthRea
E06000027,LA,880,Torbay,101,41,55,46,8,25,12,15,41,9,x,0,x,45,x,x,x,10,10,0,0,11
E10000012,LA,881,Essex,601,249,348,253,29,153,74,96,249,29,41,0,0,199,39,46,25,143,35,19,x,21
E06000033,LA,882,Southend-on-Sea,92,29,51,41,9,22,18,14,29,x,12,0,0,37,7,x,x,14,7,x,0,6
E06000034,LA,883,Thurrock,109,45,56,53,6,20,18,20,45,x,7,x,x,40,0,6,10,6,14,x,x,17
E06000019,LA,884,Herefordshire,101,30,44,57,12,21,21,17,30,x,x,0,0,26,11,11,10,18,x,x,x,7
E10000034,LA,885,Worcestershire,256,116,136,120,7,62,29,42,116,28,17,0,x,77,7,x,10,17,x,12,x,74
E10000016,LA,886,Kent,861,367,485,376,34,203,118,139,367,86,19,x,8,284,41,21,51,142,123,x,7,72
E06000035,LA,887,Medway,209,74,121,88,16,57,33,29,74,20,6,0,0,58,x,19,7,x,x,x,0,85
E10000017,LA,888,Lancashire,486,151,250,236,32,155,76,72,151,26,50,x,x,147,53,22,30,32,35,13,x,67
E06000008,LA,889,Blackburn with Darwen,139,33,73,66,6,41,32,27,33,12,7,0,x,44,13,19,7,x,x,0,x,27
E06000009,LA,890,Blackpool,161,40,94,67,x,66,25,25,40,8,14,0,x,60,19,21,x,13,11,x,x,x
E10000024,LA,891,Nottinghamshire,289,101,139,150,34,86,31,37,101,x,38,0,x,88,26,25,10,22,22,x,x,46
E06000018,LA,892,Nottingham,238,81,118,120,16,68,37,36,81,30,10,x,x,83,0,10,16,20,18,x,x,41
E06000051,LA,893,Shropshire,84,40,53,31,x,18,x,19,40,16,0,0,0,39,x,0,0,25,0,0,0,x
E06000020,LA,894,Telford and Wrekin,97,28,55,42,10,35,10,14,28,10,13,0,0,33,x,x,x,21,0,x,0,9
E06000049,LA,895,Cheshire East,186,67,97,89,13,54,31,21,67,x,21,x,0,50,16,10,9,16,x,x,x,49
E06000050,LA,896,Cheshire West and Chester,119,29,54,65,x,36,24,25,29,7,10,0,0,41,7,8,11,9,x,x,0,22
E06000052,LA,908,Cornwall,284,69,141,143,25,86,52,52,69,x,41,0,x,109,21,20,21,35,x,0,x,29
E10000006,LA,909,Cumbria,223,52,112,111,15,83,34,39,52,26,16,x,x,51,19,8,22,x,x,x,x,71
E10000013,LA,916,Gloucestershire,201,80,111,90,10,52,29,30,80,14,11,x,x,58,7,20,8,20,x,8,6,42
E10000015,LA,919,Hertfordshire,485,197,283,202,24,119,78,67,197,35,33,x,x,148,43,23,36,57,75,14,9,9
E06000046,LA,921,Isle of Wight,75,34,43,32,x,12,11,16,34,x,x,0,0,26,6,x,x,12,x,0,6,10
E10000019,LA,925,Lincolnshire,212,71,117,95,20,50,36,35,71,x,34,0,0,65,9,18,13,40,6,6,x,16
E10000020,LA,926,Norfolk,412,145,209,203,35,123,40,69,145,6,53,x,x,187,17,x,27,100,12,x,0,x
E10000021,LA,928,Northamptonshire,406,171,246,160,22,101,48,64,171,26,18,x,0,122,18,40,x,38,13,x,7,117
E06000048,LA,929,Northumberland,116,30,66,50,7,43,20,16,30,x,20,x,0,48,8,7,9,12,6,0,0,x
E10000025,LA,931,Oxfordshire,284,103,146,138,22,77,40,42,103,28,13,x,0,80,19,18,x,26,13,10,x,71
E10000027,LA,933,Somerset,297,109,154,143,32,64,36,56,109,13,17,0,0,138,25,x,9,49,26,9,x,8
E10000029,LA,935,Suffolk,277,94,137,140,20,90,32,41,94,45,23,x,0,44,20,25,x,61,10,10,0,37
E10000030,LA,936,Surrey,357,130,181,176,29,86,49,63,130,x,33,0,x,118,28,21,24,36,9,34,x,50
E10000031,LA,937,Warwickshire,304,125,180,124,22,82,29,46,125,17,16,x,0,97,16,34,12,55,39,0,0,17
E10000032,LA,938,West Sussex,354,127,185,169,17,96,44,70,127,13,24,0,x,182,10,16,x,62,10,7,x,22
