New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E08000017,LA,371,Doncaster,42,x,x,14,8,x,11,x,10,x,x,x,0,0,15,x,0,x,10,38
E08000018,LA,372,Rotherham,28,x,x,7,9,x,6,x,0,x,x,x,0,0,15,0,0,0,0,27
E08000019,LA,373,Sheffield,74,x,6,17,19,6,25,11,x,x,19,x,x,x,22,x,x,x,x,68
E08000032,LA,380,Bradford,71,7,8,21,10,x,23,17,6,x,x,6,0,0,21,0,x,x,6,61
E08000033,LA,381,Calderdale,25,0,0,12,x,x,8,x,0,x,x,x,0,0,12,0,0,0,0,25
E08000034,LA,382,Kirklees,49,x,x,10,13,x,19,x,x,x,x,x,x,x,26,0,0,x,x,44
E08000035,LA,383,Leeds,120,13,9,42,25,x,27,14,10,x,0,9,0,x,61,x,0,x,10,104
E08000036,LA,384,Wakefield,43,6,x,12,6,x,15,x,x,x,13,0,x,0,9,0,0,x,x,35
E08000020,LA,390,Gateshead,29,x,x,9,8,0,10,7,x,x,x,9,0,0,8,0,0,0,x,28
E08000021,LA,391,Newcastle upon Tyne,53,0,9,14,17,x,12,11,0,0,x,x,0,x,30,x,0,x,0,53
E08000022,LA,392,North Tyneside,21,0,0,x,13,x,x,x,x,x,x,0,x,0,10,x,0,x,x,20
E08000023,LA,393,South Tyneside,28,0,x,x,17,0,6,x,0,x,x,x,0,x,12,0,0,0,0,28
E08000024,LA,394,Sunderland,45,x,x,7,20,x,9,x,x,x,10,x,0,x,14,0,0,x,x,42
E06000022,LA,800,Bath and North East Somerset,26,0,0,x,12,x,8,6,x,x,x,0,0,x,8,0,0,x,x,24
E06000023,LA,801,"Bristol, City of",66,x,0,16,11,9,25,7,14,x,15,x,6,0,11,0,0,x,14,57
E06000024,LA,802,North Somerset,24,x,0,9,x,0,11,x,0,x,x,0,x,0,11,0,0,x,0,21
E06000025,LA,803,South Gloucestershire,28,0,x,x,6,x,15,6,x,x,0,x,x,0,14,0,0,x,x,28
E06000001,LA,805,Hartlepool,17,0,x,x,7,x,6,x,x,x,x,0,0,0,9,0,0,0,x,17
E06000002,LA,806,Middlesbrough,30,x,x,7,x,x,11,6,x,x,x,x,x,0,10,0,0,0,x,28
E06000003,LA,807,Redcar and Cleveland,14,0,x,x,x,x,x,x,0,x,x,x,0,0,7,0,0,0,0,14
E06000004,LA,808,Stockton-on-Tees,31,0,0,10,6,x,14,x,0,x,x,11,0,x,7,0,x,x,0,29
E06000010,LA,810,"Kingston Upon Hull, City of",45,x,x,8,8,x,19,x,x,x,x,12,0,0,13,0,0,x,x,36
E06000011,LA,811,East Riding of Yorkshire,30,0,x,13,6,0,8,x,x,x,x,x,x,0,11,0,0,x,x,29
E06000012,LA,812,North East Lincolnshire,15,0,0,8,x,0,6,x,x,x,x,x,0,x,x,0,0,0,x,15
E06000013,LA,813,North Lincolnshire,15,x,0,7,x,0,6,0,x,0,x,x,0,0,x,0,0,x,x,10
E10000023,LA,815,North Yorkshire,50,x,x,16,15,x,15,7,x,x,x,x,0,x,17,x,0,x,x,43
E06000014,LA,816,York,17,0,0,6,6,x,x,0,x,x,x,x,0,0,8,0,0,0,x,17
E06000032,LA,821,Luton,42,x,x,13,17,x,x,6,0,0,x,7,x,x,15,0,0,x,0,39
E06000055,LA,822,Bedford,18,0,x,x,x,0,7,x,x,0,x,x,0,0,x,x,0,0,x,15
E06000056,LA,823,Central Bedfordshire,29,x,0,9,x,x,12,x,0,x,x,x,0,0,15,x,0,0,0,26
E10000002,LA,825,Buckinghamshire,41,x,0,14,13,x,10,x,x,x,x,x,6,x,14,0,0,x,x,37
E06000042,LA,826,Milton Keynes,24,x,0,9,8,x,x,x,0,x,x,x,x,0,x,0,0,0,0,23
E10000007,LA,830,Derbyshire,58,0,x,0,41,x,14,x,0,x,x,6,x,0,42,x,x,x,0,55
E06000015,LA,831,Derby,39,x,0,13,12,0,11,x,0,0,x,x,0,0,20,x,0,0,0,34
E10000009,LA,835,Dorset,38,x,0,14,x,0,16,10,x,0,0,7,x,x,10,0,0,x,x,33
E06000029,LA,836,Poole,10,x,x,x,x,0,x,x,0,x,x,0,0,0,x,0,0,x,0,8
E06000028,LA,837,Bournemouth,21,x,0,x,8,x,7,x,x,0,x,x,0,0,7,0,0,0,x,16
E06000047,LA,840,Durham,34,0,x,11,15,x,x,x,0,0,x,9,x,x,12,0,0,0,0,34
E06000005,LA,841,Darlington,9,x,0,x,x,x,0,0,0,x,0,x,0,x,x,0,0,0,0,8
E10000011,LA,845,East Sussex,55,x,x,17,11,x,18,9,8,6,0,x,0,x,14,x,x,x,8,50
E06000043,LA,846,Brighton and Hove,51,0,0,21,11,0,19,9,0,x,0,19,0,8,8,0,0,x,0,49
E10000014,LA,850,Hampshire,105,11,x,38,26,x,24,14,0,7,x,18,13,0,32,x,x,x,0,88
E06000044,LA,851,Portsmouth,37,x,x,15,9,0,7,x,0,x,x,7,0,x,13,0,0,0,0,33
E06000045,LA,852,Southampton,27,6,x,6,x,x,7,0,x,x,x,x,0,0,8,0,0,x,x,17
E10000018,LA,855,Leicestershire,39,x,x,x,11,8,10,x,x,x,x,x,0,0,20,0,0,x,x,34
E06000016,LA,856,Leicester,36,x,x,x,22,x,7,x,0,x,0,7,x,0,16,0,0,x,0,33
E06000017,LA,857,Rutland,6,0,0,x,x,x,x,0,0,0,x,0,0,0,x,0,0,0,0,6
E10000028,LA,860,Staffordshire,65,x,12,9,12,0,31,17,x,x,x,x,0,0,32,x,0,0,x,61
E06000021,LA,861,Stoke-on-Trent,42,6,x,8,x,x,18,x,0,x,x,x,x,x,14,0,x,0,0,34
E06000054,LA,865,Wiltshire,35,x,x,10,6,x,11,x,x,x,x,x,0,x,14,0,0,x,x,31
E06000030,LA,866,Swindon,22,0,x,8,x,x,7,x,0,x,x,x,0,x,8,0,x,x,0,21
E06000036,LA,867,Bracknell Forest,14,x,0,8,x,0,x,x,0,x,x,x,0,0,x,0,0,0,0,13
E06000040,LA,868,Windsor and Maidenhead,14,x,x,x,0,x,x,0,x,0,x,0,0,0,x,x,0,0,x,9
E06000037,LA,869,West Berkshire,17,x,x,x,6,x,x,x,x,0,x,x,x,x,x,0,0,0,x,12
E06000038,LA,870,Reading,19,x,0,x,9,x,x,x,x,x,0,0,0,x,7,0,0,0,x,15
E06000039,LA,871,Slough,23,x,x,x,x,0,15,x,x,0,x,x,0,x,10,0,0,0,x,21
E06000041,LA,872,Wokingham,13,0,0,6,x,0,x,x,x,0,x,x,0,0,x,0,0,0,x,13
E10000003,LA,873,Cambridgeshire,58,x,9,x,20,x,23,6,x,7,0,x,0,x,29,x,x,x,x,52
E06000031,LA,874,Peterborough,38,0,x,15,6,x,10,7,x,x,0,7,0,0,14,0,0,x,x,35
E06000006,LA,876,Halton,19,0,x,7,8,0,x,x,0,0,x,0,0,0,10,0,0,x,0,18
E06000007,LA,877,Warrington,23,x,x,x,x,x,9,x,x,x,x,x,x,x,7,0,0,0,x,21
E10000008,LA,878,Devon,97,11,x,21,11,11,39,7,13,10,6,13,0,x,31,x,0,x,13,83
E06000026,LA,879,Plymouth,50,6,x,7,19,x,12,8,0,0,x,x,x,x,22,0,0,x,0,44
E06000027,LA,880,Torbay,18,x,0,x,7,x,x,x,x,x,0,x,0,0,9,0,0,0,x,16
E10000012,LA,881,Essex,148,10,8,30,26,14,60,17,x,12,12,9,x,8,63,x,0,x,x,130
E06000033,LA,882,Southend-on-Sea,30,x,x,13,10,0,x,x,x,x,0,7,0,0,12,0,0,0,x,27
E06000034,LA,883,Thurrock,29,6,x,8,x,x,11,x,x,x,x,x,0,0,9,0,0,x,x,21
E06000019,LA,884,Herefordshire,23,0,x,x,x,x,10,x,x,x,x,x,0,0,8,0,0,x,x,21
E10000034,LA,885,Worcestershire,59,14,x,15,6,x,21,x,0,0,x,8,0,0,21,0,0,0,0,42
E10000016,LA,886,Kent,210,47,x,51,48,x,55,18,0,x,6,35,x,0,85,0,x,x,0,154
E06000035,LA,887,Medway,39,0,x,x,13,x,15,11,x,x,x,7,0,x,13,0,0,x,x,37
E10000017,LA,888,Lancashire,122,8,8,37,22,9,38,19,10,6,x,6,x,x,50,x,0,7,10,97
E06000008,LA,889,Blackburn with Darwen,37,x,x,7,11,x,13,6,x,0,x,x,x,x,13,0,0,0,x,34
