LA_order,New_geog_code,geog_l,geog_c,geog_n,Elig_KS4_total,KS4_Pass_EM_5_total,KS4_Pass_EM_5_total_%,KS4_Pass_EM_4_total,KS4_Pass_EM_4_total_%,KS4_Att8_total,KS4_Ave_Att8_total,KS4_Prog8_Elig_total,KS4_Sum_Prog8_total,KS4_Prog8_Ave_total
69,E06000019,LA,884,"Herefordshire, County of",10,x,x,x,x,232,23.2,9,-9.336,-1.037333333
79,E10000034,LA,885,Worcestershire,53,x,x,8,15.09433962,1013.75,19.12735849,37,-33.938,-0.917243243
135,E10000016,LA,886,Kent,167,x,x,15,8.982035928,2601.25,15.57634731,91,-99.221,-1.090340659
136,E06000035,LA,887,Medway,24,x,x,x,x,395.25,16.46875,22,-21.443,-0.974681818
25,E10000017,LA,888,Lancashire,129,x,x,16,12.40310078,1919.75,14.88178295,109,-193.874,-1.77866055
16,E06000008,LA,889,Blackburn with Darwen,29,x,x,x,x,504.75,17.40517241,24,-37.193,-1.549708333
17,E06000009,LA,890,Blackpool,36,x,x,x,x,515,14.30555556,30,-58.432,-1.947733333
63,E10000024,LA,891,Nottinghamshire,61,7,11.47540984,13,21.31147541,1425,23.36065574,51,-46.019,-0.902333333
62,E06000018,LA,892,Nottingham,45,x,x,12,26.66666667,949,21.08888889,38,-35.232,-0.927157895
71,E06000051,LA,893,Shropshire,15,x,x,x,x,268.75,17.91666667,11,-14.421,-1.311
75,E06000020,LA,894,Telford and Wrekin,16,x,x,7,43.75,436.25,27.265625,14,-8.913,-0.636642857
20,E06000049,LA,895,Cheshire East,28,x,x,x,x,520.25,18.58035714,21,-29.438,-1.401809524
21,E06000050,LA,896,Cheshire West and Chester,24,x,x,6,25,667.75,27.82291667,19,-12.571,-0.661631579
152,E06000052,LA,908,Cornwall,44,x,x,6,13.63636364,743.5,16.89772727,33,-38.511,-1.167
22,E10000006,LA,909,Cumbria,28,x,x,x,x,578.5,20.66071429,19,-20.337,-1.070368421
155,E10000013,LA,916,Gloucestershire,31,x,x,x,x,435.75,14.05645161,25,-37.61,-1.5044
85,E10000015,LA,919,Hertfordshire,69,x,x,12,17.39130435,1192,17.27536232,60,-80.389,-1.339816667
134,E06000046,LA,921,Isle of Wight,10,x,x,x,x,165.5,16.55,8,-9.265,-1.158125
60,E10000019,LA,925,Lincolnshire,62,7,11.29032258,10,16.12903226,1242.75,20.04435484,50,-51.54,-1.0308
87,E10000020,LA,926,Norfolk,86,10,11.62790698,17,19.76744186,1922.5,22.35465116,68,-52.69,-0.774852941
61,E10000021,LA,928,Northamptonshire,54,x,x,7,12.96296296,922.5,17.08333333,38,-45.679,-1.202078947
10,E06000057,LA,929,Northumberland,29,x,x,x,x,582.5,20.0862069,27,-38.173,-1.413814815
138,E10000025,LA,931,Oxfordshire,52,x,x,x,x,831,15.98076923,36,-42.147,-1.17075
160,E10000027,LA,933,Somerset,35,x,x,x,x,513.75,14.67857143,27,-47.671,-1.765592593
90,E10000029,LA,935,Suffolk,74,x,x,11,14.86486486,1305.5,17.64189189,52,-52.675,-1.012980769
143,E10000030,LA,936,Surrey,77,14,18.18181818,25,32.46753247,1760.25,22.86038961,50,-39.822,-0.79644
77,E10000031,LA,937,Warwickshire,54,x,x,12,22.22222222,1207.5,22.36111111,41,-43.781,-1.067829268
145,E10000032,LA,938,West Sussex,52,x,x,6,11.53846154,719.75,13.84134615,37,-53.863,-1.455756757
