LA_order,New_geog_code,geog_l,geog_c,geog_n,Elig_KS2_read,Exp_KS2_stand_read,Exp_KS2_stand_read_%,Elig_KS2_writ,Exp_KS2_stand_writ,Exp_KS2_stand_writ_%,Elig_KS2_maths,Exp_KS2_stand_maths,Exp_KS2_stand_maths_%,Elig_KS2_GPS,Exp_KS2_stand_GPS,Exp_KS2_stand_GPS_%,Elig_KS2_RWM,Exp_KS2_stand_RWM,Exp_KS2_stand_RWM_%,Elig_KS2_prog_read,Sum_KS2_prog_read,Ave_KS2_prog_read,Elig_KS2_prog_writ,Sum_KS2_prog_writ,Ave_KS2_prog_writ,Elig_KS2_prog_maths,Sum_KS2_prog_maths,Ave_KS2_prog_maths
29,E08000005,LA,354,Rochdale,29,12,41.37931034,29,20,68.96551724,29,16,55.17241379,29,15,51.72413793,29,9,31.03448276,27,-46.69,-1.729259259,27,42.97,1.591481481,27,5.89,0.218148148
30,E08000006,LA,355,Salford,21,12,57.14285714,21,11,52.38095238,21,12,57.14285714,21,13,61.9047619,21,10,47.61904762,20,20.75,1.0375,20,30.75,1.5375,20,47.58,2.379
33,E08000007,LA,356,Stockport,19,7,36.84210526,19,7,36.84210526,19,6,31.57894737,19,9,47.36842105,19,x,x,19,-38.84,-2.044210526,19,-47.42,-2.495789474,19,-60.93,-3.206842105
34,E08000008,LA,357,Tameside,19,8,42.10526316,19,10,52.63157895,19,8,42.10526316,19,10,52.63157895,19,6,31.57894737,19,-0.1,-0.005263158,19,10.49,0.552105263,18,6.14,0.341111111
35,E08000009,LA,358,Trafford,17,9,52.94117647,17,10,58.82352941,17,9,52.94117647,17,9,52.94117647,17,8,47.05882353,15,-7.6,-0.506666667,16,1.48,0.0925,16,-4.26,-0.26625
37,E08000010,LA,359,Wigan,31,12,38.70967742,31,20,64.51612903,31,17,54.83870968,31,16,51.61290323,31,10,32.25806452,31,-32.14,-1.036774194,31,60.11,1.939032258,31,22.89,0.738387097
40,E08000016,LA,370,Barnsley,20,9,45,20,9,45,20,8,40,20,9,45,20,x,x,19,-7.18,-0.377894737,20,20.22,1.011,19,6.02,0.316842105
43,E08000017,LA,371,Doncaster,29,11,37.93103448,29,15,51.72413793,29,15,51.72413793,29,16,55.17241379,29,9,31.03448276,27,-49.07,-1.817407407,28,-30.37,-1.084642857,28,-28.76,-1.027142857
51,E08000018,LA,372,Rotherham,23,9,39.13043478,23,9,39.13043478,23,6,26.08695652,23,10,43.47826087,23,x,x,20,-22.49,-1.1245,20,-26.62,-1.331,20,-39.44,-1.972
52,E08000019,LA,373,Sheffield,22,9,40.90909091,22,11,50,22,10,45.45454545,22,10,45.45454545,22,6,27.27272727,18,-15.71,-0.872777778,18,-18.07,-1.003888889,18,-43.11,-2.395
