LA_order,New_geog_code,geog_l,geog_c,geog_n,No_SEN,No_SEN_%,SEN_support,SEN_support_%,SEN_statement_EHCP,SEN_statement_EHCP_%
84,E10000012,LA,881,Essex,224,43.75,110,21.484375,178,34.765625
89,E06000033,LA,882,Southend-on-Sea,57,51.81818182,34,30.90909091,19,17.27272727
91,E06000034,LA,883,Thurrock,80,50.95541401,43,27.38853503,34,21.65605096
69,E06000019,LA,884,"Herefordshire, County of",62,38.75,53,33.125,45,28.125
79,E10000034,LA,885,Worcestershire,146,39.45945946,114,30.81081081,110,29.72972973
135,E10000016,LA,886,Kent,465,47.20812183,257,26.09137056,263,26.70050761
136,E06000035,LA,887,Medway,87,39.18918919,74,33.33333333,61,27.47747748
25,E10000017,LA,888,Lancashire,464,49.83888292,268,28.78625134,199,21.37486574
16,E06000008,LA,889,Blackburn with Darwen,83,45.35519126,55,30.05464481,45,24.59016393
17,E06000009,LA,890,Blackpool,122,47.65625,90,35.15625,44,17.1875
63,E10000024,LA,891,Nottinghamshire,195,45.88235294,144,33.88235294,86,20.23529412
62,E06000018,LA,892,Nottingham,133,42.62820513,117,37.5,62,19.87179487
71,E06000051,LA,893,Shropshire,63,43.75,35,24.30555556,46,31.94444444
75,E06000020,LA,894,Telford and Wrekin,67,36.41304348,50,27.17391304,67,36.41304348
20,E06000049,LA,895,Cheshire East,103,44.01709402,56,23.93162393,75,32.05128205
21,E06000050,LA,896,Cheshire West and Chester,95,42.98642534,63,28.50678733,63,28.50678733
152,E06000052,LA,908,Cornwall,96,40.50632911,64,27.00421941,77,32.48945148
22,E10000006,LA,909,Cumbria,158,44.01114206,92,25.62674095,109,30.36211699
155,E10000013,LA,916,Gloucestershire,89,32.36363636,91,33.09090909,95,34.54545455
85,E10000015,LA,919,Hertfordshire,185,39.52991453,158,33.76068376,125,26.70940171
134,E06000046,LA,921,Isle of Wight,39,39,30,30,31,31
60,E10000019,LA,925,Lincolnshire,107,32.92307692,99,30.46153846,119,36.61538462
87,E10000020,LA,926,Norfolk,234,40.625,168,29.16666667,174,30.20833333
61,E10000021,LA,928,Northamptonshire,194,47.78325123,93,22.90640394,119,29.31034483
10,E06000057,LA,929,Northumberland,72,39.13043478,55,29.89130435,57,30.97826087
138,E10000025,LA,931,Oxfordshire,98,35.37906137,102,36.82310469,77,27.79783394
160,E10000027,LA,933,Somerset,78,28.88888889,114,42.22222222,78,28.88888889
90,E10000029,LA,935,Suffolk,180,42.85714286,117,27.85714286,123,29.28571429
143,E10000030,LA,936,Surrey,172,41.34615385,107,25.72115385,137,32.93269231
77,E10000031,LA,937,Warwickshire,158,43.76731302,100,27.70083102,103,28.53185596
145,E10000032,LA,938,West Sussex,67,23.183391,111,38.4083045,111,38.4083045
