Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration 
E06000027,Torbay,21088.82,38,28.104,37,0.1573,44,0.2912,51,31937.07,29
E06000030,Swindon,14382.53,106,18.622,98,0.0909,62,0.1566,87,30560.08,65
E06000031,Peterborough,20858.96,42,27.821,40,0.1429,49,0.3675,32,31029.61,57
E06000032,Luton,20864.04,41,25.908,54,0.0331,95,0.2710,56,29512.26,82
E06000033,Southend-on-Sea,16811.88,83,22.375,76,0.0841,67,0.2216,68,31094.85,56
E06000034,Thurrock,17375.69,77,20.928,85,0.0408,89,0.1214,100,28948.08,97
E06000035,Medway,18587.91,70,23.936,68,0.0859,66,0.2389,65,30780.98,63
E06000036,Bracknell Forest,8295.79,144,10.241,144,0.0000,130,0.0025,147,19756.83,146
E06000037,West Berkshire,7974.34,146,9.952,147,0.0000,130,0.0077,144,19124.68,148
E06000038,Reading,16125.74,90,19.619,92,0.0515,83,0.1243,99,28764.09,101
E06000039,Slough,19788.26,53,22.965,73,0.0000,130,0.1122,105,27534.97,113
E06000040,Windsor and Maidenhead,6289.30,150,8.376,150,0.0000,130,0.0005,148,19673.48,147
E06000041,Wokingham,3651.54,151,5.846,151,0.0000,130,0.0000,149,15956.85,149
E06000042,Milton Keynes,14351.00,107,17.980,107,0.0526,81,0.1183,101,29700.24,80
E06000043,Brighton and Hove,16209.04,89,20.761,87,0.0909,62,0.1682,80,30811.93,62
E06000044,Portsmouth,20660.69,45,26.899,46,0.1200,52,0.2473,61,31824.64,35
E06000045,Southampton,20786.70,44,26.876,47,0.1284,50,0.2836,55,31172.89,54
E06000046,Isle of Wight,19454.34,57,23.294,71,0.0337,94,0.1654,81,29227.47,91
E06000047,County Durham,20206.86,50,26.793,48,0.1204,51,0.3043,45,31437.78,50
E06000049,Cheshire East,11380.72,131,14.475,128,0.0171,110,0.0852,111,28150.06,109
E06000050,Cheshire West and Chester,13862.96,112,18.083,106,0.0755,70,0.1578,86,30211.25,72
E06000051,Shropshire,14862.20,100,17.153,110,0.0104,113,0.0426,129,25796.55,129
E06000052,Cornwall,19382.41,60,23.072,72,0.0521,82,0.1323,96,29411.09,84
E06000053,Isles of Scilly,10680.00,134,12.005,138,0.0000,130,0.0000,149,10680.00,151
E06000054,Wiltshire,11265.53,133,13.447,133,0.0035,127,0.0288,137,24617.67,136
E06000055,Bedford,15291.14,97,18.932,96,0.0388,90,0.1328,95,29286.44,89
E06000056,Central Bedfordshire,9823.03,138,12.152,137,0.0000,130,0.0297,136,24815.47,135
E06000057,Northumberland,16778.29,84,22.079,80,0.1168,55,0.2050,70,31248.45,53
E06000058,"Bournemouth, Christchurch and Poole",14820.73,102,18.173,104,0.0386,91,0.1126,104,28918.70,98
E06000059,Dorset,13227.24,117,15.735,120,0.0274,101,0.0500,124,26473.80,121
E08000001,Bolton,21135.42,37,30.691,27,0.2373,25,0.4315,23,32112.35,25
E08000002,Bury,17812.44,75,23.682,69,0.1000,59,0.2416,64,31455.84,49
E08000003,Manchester,26417.75,2,40.005,6,0.4326,5,0.5999,2,32509.62,11
E08000004,Oldham,22460.10,25,33.155,16,0.3050,14,0.4790,16,32318.78,17
E08000005,Rochdale,23414.21,15,34.415,14,0.2985,17,0.4758,17,32295.70,19
E08000006,Salford,23233.56,17,34.210,15,0.3000,16,0.4720,19,32355.62,15
E08000007,Stockport,15400.65,96,20.826,86,0.0895,64,0.1745,78,31572.38,45
E08000008,Tameside,22774.30,20,31.374,24,0.2057,33,0.4155,24,31859.28,33
E08000009,Trafford,12412.15,122,16.088,118,0.0507,84,0.1127,103,29401.56,85
E08000010,Wigan,18600.47,69,25.713,58,0.1650,41,0.3135,42,31742.75,37
E08000011,Knowsley,26199.75,3,43.006,2,0.4694,3,0.5992,3,32740.28,2
E08000012,Liverpool,25833.57,4,42.412,3,0.4866,2,0.6213,1,32684.97,5
E08000013,St. Helens,21635.55,32,31.518,22,0.2437,22,0.4011,25,32345.57,16
E08000014,Sefton,18986.70,63,27.035,45,0.2011,35,0.2977,47,32363.19,14
E08000015,Wirral,19585.79,56,29.589,33,0.2524,20,0.3526,35,32613.71,7
E08000016,Barnsley,21850.19,30,29.933,30,0.2177,29,0.3838,29,31740.45,38
E08000017,Doncaster,21613.33,33,30.289,29,0.2371,26,0.3984,26,31914.03,30
E08000018,Rotherham,21030.76,40,29.550,35,0.2156,30,0.3571,34,32180.33,23
E08000019,Sheffield,18742.72,66,27.060,44,0.2377,24,0.3401,37,32028.49,27
E08000021,Newcastle upon Tyne,19772.69,54,29.790,32,0.2571,19,0.3706,31,32527.85,10
E08000022,North Tyneside,16825.05,82,22.279,77,0.0916,61,0.2320,66,30943.76,60
E08000023,South Tyneside,22573.29,22,31.509,23,0.2451,21,0.4508,21,31513.31,47
E08000024,Sunderland,21993.93,27,30.586,28,0.2270,28,0.3960,27,31950.32,28
E08000025,Birmingham,25319.55,6,38.067,7,0.4131,7,0.5792,4,32208.16,22
E08000026,Coventry,19432.08,58,25.613,60,0.1436,48,0.2669,59,31409.97,51
E08000027,Dudley,18193.88,74,24.103,67,0.1095,57,0.2708,57,30994.05,58
E08000028,Sandwell,25276.49,8,34.884,11,0.1989,36,0.5349,9,31705.52,40
E08000029,Solihull,12510.31,120,17.370,108,0.1194,54,0.1708,79,31136.96,55
E08000030,Walsall,22152.64,26,31.555,21,0.2635,18,0.4844,14,31611.53,43
E08000031,Wolverhampton,23274.95,16,32.102,20,0.2089,31,0.4828,15,31347.16,52
E08000032,Bradford,23086.82,18,34.666,12,0.3355,10,0.4981,12,32399.09,12
E08000033,Calderdale,19705.88,55,26.351,52,0.1563,45,0.2929,50,31704.12,41
E08000034,Kirklees,19120.97,61,25.151,64,0.1197,53,0.2938,49,30961.42,59
E08000035,Leeds,18909.26,65,27.301,43,0.2365,27,0.3284,39,32257.45,21
E08000036,Wakefield,20272.84,49,27.306,42,0.1579,43,0.3248,40,31595.46,44
E08000037,Gateshead,20831.18,43,28.217,36,0.1667,39,0.3397,38,31722.27,39
E09000001,City of London,12420.52,121,14.720,126,0.0000,130,0.0322,135,24167.00,140
E09000002,Barking and Dagenham,25551.85,5,32.768,17,0.0364,92,0.4724,18,29391.87,86
E09000003,Barnet,13803.35,113,16.148,117,0.0047,126,0.0523,123,26151.40,125
E09000004,Bexley,13529.71,116,16.273,116,0.0000,130,0.0755,115,27051.79,119
E09000005,Brent,21083.02,39,25.558,61,0.0578,77,0.2074,69,29908.65,78
E09000006,Bromley,11297.45,132,14.163,130,0.0051,125,0.0734,116,27626.58,112
E09000007,Camden,16763.28,85,20.131,90,0.0000,130,0.1379,94,27872.90,110
E09000008,Croydon,18371.23,72,22.477,75,0.0227,104,0.1897,75,29186.80,93
