time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2021,Reporting year,National,E92000001,England,Other placements,1.ii 20 miles or less outside LA boundary,340,20
2021,Reporting year,National,E92000001,England,Other placements,2. Over 20 miles,750,43
2021,Reporting year,National,E92000001,England,Other placements,2.i Over 20 miles inside LA boundary,50,3
2021,Reporting year,National,E92000001,England,Other placements,2.ii Over 20 miles outside LA boundary,690,40
2021,Reporting year,National,E92000001,England,Other placements,Distance not known or not recorded,20,1
2021,Reporting year,National,E92000001,England,Other placements,Total,1730,100
2021,Reporting year,National,E92000001,England,Placed for adoption,1. 20 miles or less,1060,43
2021,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,440,17
2021,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,630,25
2021,Reporting year,National,E92000001,England,Placed for adoption,2. Over 20 miles,1220,49
2021,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,190,7
2021,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1040,42
2021,Reporting year,National,E92000001,England,Placed for adoption,Distance not known or not recorded,210,8
2021,Reporting year,National,E92000001,England,Placed for adoption,Total,2490,100
2021,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,1. 20 miles or less,5610,93
2021,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,1.i 20 miles or less inside LA boundary,4920,81
2021,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,1.ii 20 miles or less outside LA boundary,690,11
2021,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,2. Over 20 miles,440,7
2021,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,2.i Over 20 miles inside LA boundary,60,1
2021,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,2.ii Over 20 miles outside LA boundary,380,6
2021,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,Distance not known or not recorded,10,k
2021,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,Total,6060,100
2021,Reporting year,National,E92000001,England,Secure homes and children's homes,1. 20 miles or less,3530,47
2021,Reporting year,National,E92000001,England,Secure homes and children's homes,1.i 20 miles or less inside LA boundary,2100,28
2021,Reporting year,National,E92000001,England,Secure homes and children's homes,1.ii 20 miles or less outside LA boundary,1430,19
2021,Reporting year,National,E92000001,England,Secure homes and children's homes,2. Over 20 miles,3860,52
2021,Reporting year,National,E92000001,England,Secure homes and children's homes,2.i Over 20 miles inside LA boundary,350,5
2021,Reporting year,National,E92000001,England,Secure homes and children's homes,2.ii Over 20 miles outside LA boundary,3510,47
2021,Reporting year,National,E92000001,England,Secure homes and children's homes,Distance not known or not recorded,50,1
2021,Reporting year,National,E92000001,England,Secure homes and children's homes,Total,7430,100
2020,Reporting year,National,E92000001,England,All children,1. 20 miles or less,58340,73
2020,Reporting year,National,E92000001,England,All children,1.i 20 miles or less inside LA boundary,40520,51
2020,Reporting year,National,E92000001,England,All children,1.ii 20 miles or less outside LA boundary,17820,22
2020,Reporting year,National,E92000001,England,All children,2. Over 20 miles,16080,20
2020,Reporting year,National,E92000001,England,All children,2.i Over 20 miles inside LA boundary,3410,4
2020,Reporting year,National,E92000001,England,All children,2.ii Over 20 miles outside LA boundary,12670,16
2020,Reporting year,National,E92000001,England,All children,Distance not known or not recorded,5580,7
2020,Reporting year,National,E92000001,England,All children,Total,80000,100
2020,Reporting year,National,E92000001,England,Foster placements,1. 20 miles or less,44780,79
2020,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,30810,54
2020,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,13970,25
2020,Reporting year,National,E92000001,England,Foster placements,2. Over 20 miles,9520,17
2020,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2600,5
2020,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,6920,12
2020,Reporting year,National,E92000001,England,Foster placements,Distance not known or not recorded,2650,5
2020,Reporting year,National,E92000001,England,Foster placements,Total,56950,100
2020,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1. 20 miles or less,3200,49
2020,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1.i 20 miles or less inside LA boundary,2190,34
2020,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1.ii 20 miles or less outside LA boundary,1010,16
2020,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2. Over 20 miles,730,11
2020,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2.i Over 20 miles inside LA boundary,200,3
2020,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2.ii Over 20 miles outside LA boundary,530,8
2020,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,Distance not known or not recorded,2580,40
2020,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,Total,6510,100
2020,Reporting year,National,E92000001,England,Other placements,1. 20 miles or less,900,55
2020,Reporting year,National,E92000001,England,Other placements,1.i 20 miles or less inside LA boundary,560,34
2020,Reporting year,National,E92000001,England,Other placements,1.ii 20 miles or less outside LA boundary,340,21
2020,Reporting year,National,E92000001,England,Other placements,2. Over 20 miles,710,43
2020,Reporting year,National,E92000001,England,Other placements,2.i Over 20 miles inside LA boundary,30,2
2020,Reporting year,National,E92000001,England,Other placements,2.ii Over 20 miles outside LA boundary,680,41
2020,Reporting year,National,E92000001,England,Other placements,Distance not known or not recorded,30,2
2020,Reporting year,National,E92000001,England,Other placements,Total,1630,100
2020,Reporting year,National,E92000001,England,Placed for adoption,1. 20 miles or less,1020,45
2020,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,470,21
2020,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,540,24
