time_period,time_identifier,level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,cla_sen_total_cla_population_matched,CLA_no_sen,cla_no_sen_%,cla_sen_statement_ehc,cla_sen_statement_ehc_%,cla_sen_support,cla_sen_support_%
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,sen,112,48,42.9,39,34.8,25,22.3
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,sen,55,21,38.2,25,45.5,9,16.4
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,sen,65,23,35.4,23,35.4,19,29.2
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,sen,147,71,48.3,32,21.8,44,29.9
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,sen,88,41,46.6,26,29.5,21,23.9
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,sen,34,12,35.3,16,47.1,6,17.6
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,sen,113,46,40.7,30,26.5,37,32.7
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,sen,114,51,44.7,30,26.3,33,28.9
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,sen,963,443,46,241,25,279,29
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,sen,304,139,45.7,77,25.3,88,28.9
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,sen,379,179,47.2,75,19.8,125,33
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,sen,342,142,41.5,71,20.8,129,37.7
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,sen,204,106,52,38,18.6,60,29.4
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,sen,353,183,51.8,79,22.4,91,25.8
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,sen,397,183,46.1,100,25.2,114,28.7
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,sen,170,82,48.2,44,25.9,44,25.9
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,sen,611,330,54,82,13.4,199,32.6
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,sen,260,126,48.5,43,16.5,91,35
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,sen,242,134,55.4,42,17.4,66,27.3
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,sen,419,215,51.3,69,16.5,135,32.2
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,sen,335,147,43.9,97,29,91,27.2
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,sen,175,75,42.9,45,25.7,55,31.4
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,sen,649,289,44.5,160,24.7,200,30.8
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,sen,269,156,58,53,19.7,60,22.3
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,sen,259,141,54.4,52,20.1,66,25.5
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,sen,303,139,45.9,83,27.4,81,26.7
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,sen,165,70,42.4,50,30.3,45,27.3
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,sen,284,167,58.8,44,15.5,73,25.7
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,sen,225,107,47.6,62,27.6,56,24.9
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,sen,257,96,37.4,73,28.4,88,34.2
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,sen,150,75,50,32,21.3,43,28.7
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,sen,279,135,48.4,64,22.9,80,28.7
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,sen,269,97,36.1,92,34.2,80,29.7
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,sen,297,125,42.1,74,24.9,98,33
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,sen,541,246,45.5,130,24,165,30.5
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,sen,179,80,44.7,46,25.7,53,29.6
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,sen,382,175,45.8,107,28,100,26.2
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,sen,711,335,47.1,166,23.3,210,29.5
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,sen,268,115,42.9,75,28,78,29.1
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,sen,199,83,41.7,63,31.7,53,26.6
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,sen,266,123,46.2,62,23.3,81,30.5
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,sen,132,65,49.2,31,23.5,36,27.3
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,sen,139,56,40.3,53,38.1,30,21.6
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,sen,245,111,45.3,45,18.4,89,36.3
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,sen,0,0,.,0,.,0,.
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,sen,86,40,46.5,30,34.9,16,18.6
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",sen,377,159,42.2,107,28.4,111,29.4
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,sen,118,37,31.4,32,27.1,49,41.5
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,sen,89,30,33.7,33,37.1,26,29.2
2017/18,Year ending 31 March 2018,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,sen,144,68,47.2,33,22.9,43,29.9
