Table 3a: List of new children's homes registrations (joiners) between 1 April 2016 and 31 March 2017,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Registration date
1232649,Children's home,"North East, Yorkshire and the Humber",North East,Gateshead,Private,5,08/07/2016
1232650,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Private,3,21/07/2016
1232657,Children's home,West Midlands,West Midlands,Solihull,Private,4,11/02/2017
1232658,Children's home,North West,North West,Cheshire East,Private,5,17/10/2016
1233003,Children's home,South West,South West,Dorset,Private,2,18/04/2016
1233307,Children's home,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Local Authority,6,28/11/2016
1233310,Children's home,North West,North West,Bolton,Voluntary,3,08/08/2016
1233899,Children's home,North West,North West,Cumberland,Private,2,11/10/2016
1233981,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kirklees,Private,2,17/08/2016
1234163,Children's home,South East,South East,Kent,Private,3,26/09/2016
1234166,Children's home,London,London,Newham,Private,3,20/09/2016
1234243,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,27/05/2016
1234244,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,12/05/2016
1234317,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Private,6,04/08/2016
1234319,Children's home,"North East, Yorkshire and the Humber",North East,North Tyneside,Voluntary,6,13/06/2016
1234323,Children's home,"North East, Yorkshire and the Humber",North East,North Tyneside,Voluntary,20,14/06/2016
1234374,Children's home,South West,South West,Cornwall,Private,2,12/05/2016
1234430,Children's home,West Midlands,West Midlands,Birmingham,Private,3,28/07/2016
1234432,Children's home,North West,North West,Knowsley,Private,2,03/06/2016
1234621,Children's home,East of England,East of England,Essex,Private,5,19/07/2016
1234624,Children's home,South West,South West,Wiltshire,Private,3,06/09/2016
1234626,Children's home,South West,South West,Wiltshire,Private,2,18/08/2016
1235263,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,5,11/07/2016
1235384,Children's home,North West,North West,Lancashire,Private,2,12/08/2016
1235576,Children's home,South West,South West,Plymouth,Private,2,16/06/2016
1235653,Children's home,London,London,Merton,Private,4,12/04/2016
1235654,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,15/07/2016
1235818,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,4,09/06/2016
1236026,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,4,07/05/2016
1236278,Children's home,South West,South West,Cornwall,Private,3,06/06/2016
1236387,Children's home,South East,South East,Hampshire,Private,4,19/05/2016
1236450,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kirklees,Private,5,16/08/2016
1236532,Children's home,South East,South East,Oxfordshire,Private,5,14/07/2016
1236540,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Local Authority,3,14/06/2016
1236620,Children's home,South West,South West,Somerset,Private,4,18/07/2016
1236625,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,21/07/2016
1236771,Children's home,North West,North West,Sefton,Private,4,09/09/2016
1236773,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kirklees,Private,1,14/12/2016
1236832,Children's home,East of England,East of England,Central Bedfordshire,Private,4,08/07/2016
1236916,Children's home,South West,South West,North Somerset,Private,3,23/06/2016
1237027,Children's home,London,London,Greenwich,Private,3,29/06/2016
1237090,Children's home,West Midlands,West Midlands,Sandwell,Private,4,20/07/2016
1237582,Children's home,North West,North West,Rochdale,Local Authority,5,16/05/2016
1237583,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,12/08/2016
1238043,Children's home,North West,North West,Lancashire,Private,3,01/07/2016
1239948,Children's home,South East,South East,Portsmouth,Local Authority,3,25/05/2016
1239953,Children's home,South West,South West,Somerset,Private,3,06/07/2016
1240269,Children's home,West Midlands,West Midlands,Sandwell,Private,4,24/10/2016
1240397,Children's home,East Midlands,East Midlands,Lincolnshire,Private,5,03/08/2016
1240433,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Lincolnshire,Private,3,19/08/2016
1240449,Children's home,North West,North West,Knowsley,Private,3,08/06/2016
1240572,Children's home,North West,North West,Lancashire,Private,2,28/11/2016
1240573,Children's home,North West,North West,Lancashire,Private,4,01/12/2016
1240753,Children's home,North West,North West,Lancashire,Private,4,17/08/2016
1240754,Children's home,North West,North West,Lancashire,Private,1,08/08/2016
1240801,Children's home,North West,North West,Wigan,Private,3,27/06/2016
1240802,Children's home,South West,South West,Somerset,Private,4,13/07/2016
1240803,Children's home,North West,North West,Blackpool,Private,3,12/09/2016
1240840,Children's home,North West,North West,Blackpool,Private,1,18/08/2016
1240842,Children's home,North West,North West,Blackpool,Private,1,18/08/2016
1240844,Children's home,North West,North West,Lancashire,Private,2,16/02/2017
1240883,Children's home,North West,North West,Lancashire,Private,3,18/08/2016
1240884,Children's home,North West,North West,Lancashire,Private,2,24/10/2016
1240936,Children's home,West Midlands,West Midlands,Birmingham,Private,3,14/11/2016
1241023,Children's home,South East,South East,West Sussex,Private,8,18/08/2016
1241261,Children's home,East Midlands,East Midlands,Leicestershire,Private,2,07/10/2016
1241263,Children's home,South East,South East,Kent,Private,6,26/10/2016
1241407,Children's home,West Midlands,West Midlands,Birmingham,Private,3,08/11/2016
1241632,Children's home,North West,North West,Lancashire,Private,2,23/09/2016
1241634,Children's home,North West,North West,Wigan,Private,2,22/08/2016
1241656,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,23/01/2017
1241752,Children's home,East Midlands,East Midlands,Nottinghamshire,Voluntary,2,05/12/2016
1241757,Children's home,North West,North West,Wigan,Private,3,09/08/2016
1241776,Children's home,West Midlands,West Midlands,Warwickshire,Private,4,16/02/2017
1241782,Children's home,North West,North West,Lancashire,Local Authority,6,14/12/2016
1241785,Children's home,South East,South East,Hampshire,Private,9,24/01/2017
1241789,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,23/08/2016
1241836,Children's home,South East,South East,Hampshire,Private,7,24/01/2017
1241840,Children's home,South West,South West,Bath and North East Somerset,Private,4,30/08/2016
1241843,Children's home,East Midlands,East Midlands,Nottingham,Private,5,31/08/2016
1241855,Children's home,West Midlands,West Midlands,Birmingham,Private,4,27/01/2017
1241861,Children's home,West Midlands,West Midlands,Worcestershire,Private,4,24/10/2016
1241897,Children's home,East of England,East of England,Essex,Private,8,29/11/2016
1241939,Children's home,South East,South East,Isle of Wight,Private,3,30/11/2016
1241970,Children's home,North West,North West,Westmorland and Furness,Private,2,09/01/2017
1241975,Children's home,West Midlands,West Midlands,Dudley,Private,4,12/03/2017
1242111,Children's home,South East,South East,Hampshire,Private,4,19/01/2017
1242116,Children's home,North West,North West,Knowsley,Local Authority,4,31/10/2016
1242216,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,22/09/2016
1243958,Residential special school (registered as a children's home),South West,South West,Bristol,Private,48,21/10/2016
1243966,Children's home,North West,North West,Warrington,Voluntary,2,22/12/2016
1244000,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,5,30/09/2016
1244082,Children's home,East Midlands,East Midlands,Lincolnshire,Private,13,07/10/2016
1244117,Children's home,East Midlands,East Midlands,Nottinghamshire,Voluntary,5,01/12/2016
1244137,Children's home,South West,South West,Devon,Private,2,25/10/2016
1244160,Children's home,South East,South East,Oxfordshire,Private,8,18/10/2016
1244161,Children's home,East Midlands,East Midlands,Derbyshire,Private,1,19/09/2016
1244245,Children's home,West Midlands,West Midlands,Herefordshire,Health Authority,15,08/12/2016
1244280,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Private,7,07/11/2016
1244283,Children's home,North West,North West,Lancashire,Private,3,09/01/2017
1244287,Children's home,North West,North West,Lancashire,Private,5,11/10/2016
1244350,Children's home,West Midlands,West Midlands,Birmingham,Private,3,24/11/2016
1244384,Children's home,South West,South West,Somerset,Private,2,15/11/2016
1244413,Children's home,"North East, Yorkshire and the Humber",North East,Stockton-on-Tees,Private,3,03/02/2017
1244426,Children's home,South East,South East,Oxfordshire,Local Authority,6,23/02/2017
1244460,Children's home,North West,North West,Lancashire,Private,5,15/11/2016
1244493,Children's home,North West,North West,Tameside,Private,4,10/02/2017
1244527,Children's home,East Midlands,East Midlands,Leicestershire,Private,7,26/10/2016
1244835,Children's home,London,London,Southwark,Local Authority,6,12/10/2016
1244881,Children's home,North West,North West,Rochdale,Private,2,13/09/2016
1244946,Children's home,North West,North West,Wigan,Local Authority,2,04/10/2016
1245002,Children's home,South West,South West,South Gloucestershire,Private,4,01/12/2016
1245390,Children's home,East Midlands,East Midlands,Derbyshire,Private,2,04/11/2016
1245565,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,16/11/2016
1245569,Children's home,South West,South West,Somerset,Private,4,26/10/2016
1245572,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Private,4,14/02/2017
1245823,Children's home,West Midlands,West Midlands,Dudley,Private,6,09/11/2016
1245829,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,01/12/2016
1245979,Children's home,West Midlands,West Midlands,Birmingham,Private,5,01/10/2016
1245980,Children's home,West Midlands,West Midlands,Birmingham,Private,6,01/10/2016
1245981,Children's home,West Midlands,West Midlands,Birmingham,Private,8,01/10/2016
1245982,Children's home,West Midlands,West Midlands,Birmingham,Private,6,01/10/2016
1245984,Children's home,West Midlands,West Midlands,Birmingham,Private,5,01/10/2016
1246331,Children's home,North West,North West,Lancashire,Private,4,30/01/2017
1246449,Children's home,South East,South East,Hampshire,Private,5,09/02/2017
1246521,Children's home,South East,South East,Hampshire,Private,14,22/11/2016
1246831,Children's home,South West,South West,"Bournemouth, Christchurch & Poole",Private,3,12/12/2016
1246834,Children's home,South East,South East,West Sussex,Private,5,25/10/2016
1247144,Children's home,East Midlands,East Midlands,Derby,Private,4,28/11/2016
1247212,Children's home,North West,North West,St Helens,Private,4,07/02/2017
1247384,Children's home,South East,South East,Hampshire,Private,2,06/10/2016
1247386,Children's home,North West,North West,Westmorland and Furness,Voluntary,5,30/01/2017
1247390,Children's home,South West,South West,Gloucestershire,Private,8,22/12/2016
1247491,Children's home,North West,North West,Liverpool,Private,4,01/12/2016
1247559,Children's home,North West,North West,Lancashire,Private,5,21/02/2017
1247560,Children's home,North West,North West,Westmorland and Furness,Private,4,09/03/2017
1247670,Children's home,North West,North West,Cumberland,Private,5,20/12/2016
1247764,Children's home,West Midlands,West Midlands,Herefordshire,Private,5,03/03/2017
1247765,Children's home,West Midlands,West Midlands,Herefordshire,Private,3,01/03/2017
1247773,Children's home,North West,North West,Manchester,Private,5,30/11/2016
1247776,Children's home,North West,North West,Liverpool,Private,3,01/12/2016
1247885,Children's home,North West,North West,Westmorland and Furness,Voluntary,5,30/01/2017
1248043,Children's home,North West,North West,Liverpool,Private,2,02/12/2016
1248071,Children's home,South West,South West,Plymouth,Private,2,03/01/2017
1248773,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,3,23/02/2017
1248979,Children's home,East of England,East of England,Essex,Private,7,28/02/2017
1249031,Children's home,North West,North West,Wirral,Private,3,02/12/2016
1249035,Children's home,North West,North West,Lancashire,Private,6,21/03/2017
1249111,Children's home,South East,South East,Hampshire,Private,2,14/12/2016
1249115,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Private,4,12/03/2017
1249184,Children's home,West Midlands,West Midlands,Staffordshire,Private,2,12/01/2017
1249196,Children's home,South West,South West,Somerset,Private,4,23/01/2017
1249259,Children's home,South East,South East,Hampshire,Private,4,03/03/2017
1249264,Children's home,North West,North West,Westmorland and Furness,Private,2,15/02/2017
1249326,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,08/03/2017
1249787,Children's home,South West,South West,Devon,Private,1,16/12/2016
1250035,Children's home,North West,North West,St Helens,Private,4,08/02/2017
1250039,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,02/03/2017
1250253,Children's home,East of England,East of England,Suffolk,Private,4,29/12/2016
1250256,Children's home,East Midlands,East Midlands,Nottingham,Private,5,13/02/2017
1250902,Children's home,South East,South East,Hampshire,Private,4,09/02/2017
1250915,Children's home,North West,North West,Rochdale,Private,3,16/03/2017
1250931,Children's home,South East,South East,East Sussex,Private,6,22/02/2017
1251073,Children's home,North West,North West,Manchester,Local Authority,5,24/02/2017
1251076,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,12/01/2017
1252095,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Private,2,28/02/2017
1252125,Children's home,North West,North West,Lancashire,Private,3,07/03/2017
1252937,Children's home,South East,South East,West Sussex,Private,4,02/03/2017
1252997,Children's home,West Midlands,West Midlands,Birmingham,Voluntary,4,20/03/2017
1253501,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,30/01/2017
1253716,Children's home,South East,South East,West Sussex,Private,4,22/02/2017
1254835,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Voluntary,6,31/03/2017
1254837,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Voluntary,6,31/03/2017
1254838,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Voluntary,7,31/03/2017
1254841,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Voluntary,6,31/03/2017
1254843,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Voluntary,6,31/03/2017
1255796,Children's home,North West,North West,Cheshire East,Private,3,30/03/2017
SC486886,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,11/10/2016
SC489660,Children's home,North West,North West,Bury,Private,3,22/11/2016
1229229,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,2,01/04/2016
1229428,Children's home,North West,North West,Cheshire East,Private,3,28/09/2016
1244299,Children's home,"North East, Yorkshire and The Humber",Yorkshire and The Humber,Barnsley,Private,4,27/01/2017
