Table 4a: List of new children's homes registrations (joiners) between 1 April 2017 and 31 March 2018,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Registration date
1258627,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Voluntary,4,10/07/2017
1258658,Children's home,East of England,East of England,Essex,Private,4,15/09/2017
1258770,Children's home,North West,North West,Lancashire,Private,4,21/08/2017
1258831,Children's home,South East,South East,Hampshire,Private,3,04/08/2017
1258887,Children's home,West Midlands,West Midlands,Wolverhampton,Private,4,12/01/2018
1258893,Children's home,West Midlands,West Midlands,Worcestershire,Private,2,13/09/2017
1258894,Children's home,East Midlands,East Midlands,Leicester,Private,6,03/08/2017
1258975,Children's home,North West,North West,Oldham,Private,3,16/10/2017
1259061,Children's home,North West,North West,Lancashire,Private,2,08/09/2017
1259114,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,25/01/2018
1259118,Children's home,West Midlands,West Midlands,Stoke-on-Trent,Local Authority,2,15/06/2017
1259178,Children's home,West Midlands,West Midlands,Birmingham,Private,2,15/02/2018
1259184,Children's home,East Midlands,East Midlands,Derbyshire,Private,4,31/01/2018
1259216,Children's home,South West,South West,Devon,Private,1,19/07/2017
1259419,Children's home,East Midlands,East Midlands,Leicestershire,Private,1,10/11/2017
1259508,Children's home,South East,South East,Oxfordshire,Private,8,21/09/2017
1259547,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,3,02/10/2017
1259551,Children's home,East of England,East of England,Peterborough,Private,5,12/09/2017
1259631,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Private,7,13/10/2017
1259734,Children's home,South East,South East,Hampshire,Local Authority,4,11/09/2017
1260700,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,10/10/2017
1261138,Children's home,North West,North West,Bury,Private,5,29/08/2017
1262657,Children's home,North West,North West,Lancashire,Private,2,18/09/2017
1262878,Children's home,North West,North West,Cumberland,Private,2,07/08/2017
1262935,Children's home,North West,North West,Westmorland and Furness,Private,6,18/08/2017
1263084,Children's home,South West,South West,South Gloucestershire,Private,6,19/09/2017
1263120,Children's home,North West,North West,Wirral,Private,4,22/09/2017
1263124,Children's home,South West,South West,Wiltshire,Private,5,26/09/2017
1263126,Children's home,North West,North West,Cumberland,Private,2,04/08/2017
1263129,Children's home,South East,South East,East Sussex,Private,6,06/11/2017
1263199,Children's home,North West,North West,Wigan,Private,6,28/09/2017
1263201,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Rotherham,Private,4,04/09/2017
1263248,Children's home,North West,North West,St Helens,Private,3,22/01/2018
1263270,Children's home,South West,South West,Cornwall,Private,3,18/08/2017
1263329,Children's home,West Midlands,West Midlands,Staffordshire,Private,1,13/09/2017
1263505,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,31/10/2017
1263571,Children's home,South West,South West,Gloucestershire,Private,5,17/10/2017
1263623,Children's home,South West,South West,North Somerset,Private,3,18/12/2017
1263625,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,York,Local Authority,1,24/10/2017
1263673,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Private,3,18/09/2017
1263766,Children's home,North West,North West,Tameside,Local Authority,4,23/10/2017
1263768,Children's home,North West,North West,Tameside,Local Authority,3,23/10/2017
1263773,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,01/12/2017
1263776,Children's home,East of England,East of England,Norfolk,Private,2,04/09/2017
1263837,Children's home,East Midlands,East Midlands,Derby,Private,3,04/10/2017
1263977,Children's home,West Midlands,West Midlands,Walsall,Private,8,06/12/2017
1264016,Children's home,London,London,Waltham Forest,Private,6,07/09/2017
1264048,Children's home,London,London,Brent,Private,4,12/09/2017
1264282,Children's home,South East,South East,Hampshire,Private,2,31/10/2017
1264286,Children's home,East of England,East of England,Bedford,Private,4,30/11/2017
1264438,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Private,4,13/12/2017
1264537,Children's home,North West,North West,Wigan,Private,5,29/11/2017
1264538,Children's home,North West,North West,Lancashire,Private,3,17/10/2017
1264696,Children's home,North West,North West,Oldham,Private,2,12/01/2018
1264756,Children's home,South West,South West,Devon,Private,2,21/10/2017
1264840,Children's home,West Midlands,West Midlands,Coventry,Private,3,04/12/2017
1264841,Children's home,London,London,Bexley,Voluntary,10,18/12/2017
1265092,Children's home,North West,North West,Bolton,Private,7,03/01/2018
1265128,Children's home,North West,North West,Lancashire,Private,2,14/11/2017
1266835,Children's home,South West,South West,Bath and North East Somerset,Voluntary,5,25/10/2017
1266838,Children's home,North West,North West,Westmorland and Furness,Private,3,22/11/2017
1267413,Children's home,East of England,East of England,Essex,Private,5,07/11/2017
1267537,Children's home,East Midlands,East Midlands,Derbyshire,Private,3,11/12/2017
1267650,Children's home,"North East, Yorkshire and the Humber",North East,Northumberland,Private,3,08/01/2018
1268051,Children's home,East of England,East of England,Essex,Private,7,13/12/2017
1268334,Children's home,"North East, Yorkshire and the Humber",North East,South Tyneside,Local Authority,4,11/10/2017
1268518,Children's home,South West,South West,Plymouth,Private,2,30/11/2017
1268530,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,3,06/12/2017
1268757,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Voluntary,1,13/11/2017
1269072,Children's home,West Midlands,West Midlands,Worcestershire,Private,3,05/01/2018
1269215,Children's home,North West,North West,Westmorland and Furness,Private,3,02/02/2018
1269421,Children's home,East Midlands,East Midlands,Derbyshire,Private,3,23/01/2018
1269505,Children's home,East of England,East of England,Central Bedfordshire,Private,4,20/02/2018
1269565,Children's home,London,London,Hammersmith and Fulham,Voluntary,4,24/01/2018
1269966,Children's home,London,London,Barking and Dagenham,Private,5,16/02/2018
1270297,Children's home,North West,North West,Bury,Private,3,24/11/2017
1270301,Children's home,North West,North West,Lancashire,Private,3,08/02/2018
1270393,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Rotherham,Private,3,10/03/2018
1270501,Children's home,North West,North West,St Helens,Private,5,23/03/2018
1270503,Children's home,East Midlands,East Midlands,Lincolnshire,Private,20,27/02/2018
1270744,Children's home,South East,South East,East Sussex,Private,4,22/02/2018
1270767,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,4,16/02/2018
1270802,Children's home,North West,North West,Lancashire,Private,3,22/01/2018
1271135,Children's home,North West,North West,Stockport,Local Authority,2,15/02/2018
1271222,Children's home,North West,North West,Lancashire,Private,5,25/01/2018
1271375,Children's home,North West,North West,Lancashire,Private,3,12/03/2018
1271467,Children's home,South West,South West,Devon,Private,3,14/03/2018
1271666,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Local Authority,4,26/03/2018
1271979,Children's home,East of England,East of England,Norfolk,Private,3,26/03/2018
1272075,Children's home,South West,South West,South Gloucestershire,Private,4,16/03/2018
1272379,Children's home,South East,South East,Hampshire,Voluntary,5,26/01/2018
1272461,Children's home,London,London,Haringey,Private,4,17/02/2018
1273485,Children's home,West Midlands,West Midlands,Birmingham,Voluntary,7,21/03/2018
1273497,Children's home,West Midlands,West Midlands,Birmingham,Voluntary,3,20/03/2018
1273658,Children's home,West Midlands,West Midlands,Birmingham,Voluntary,16,20/03/2018
1273663,Children's home,West Midlands,West Midlands,Birmingham,Voluntary,12,20/03/2018
1241564,Children's home,London,London,Bexley,Private,10,19/05/2017
1249118,Children's home,West Midlands,West Midlands,Staffordshire,Private,1,11/08/2017
1256365,Children's home,North West,North West,Cheshire East,Private,4,23/06/2017
1252757,Children's home,South East,South East,Surrey,Health Authority,5,09/10/2017
1256408,Children's home,"North East, Yorkshire and The Humber",Yorkshire and The Humber,Kirklees,Private,1,11/06/2017
