Table 1b: List of children's homes de-registrations (leavers) between 1 April 2014 and 31 March 2015,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Date closed
SC436084,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Private,6,09/06/2014
SC436212,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kirklees,Private,6,21/10/2014
SC436608,Children's home,West Midlands,West Midlands,Worcestershire,Private,3,31/07/2014
SC436745,Children's home,North West,North West,Lancashire,Private,6,06/01/2015
SC436765,Children's home,East of England,East of England,Norfolk,Voluntary,4,12/07/2014
SC438239,Children's home,North West,North West,Rochdale,Private,6,18/09/2014
SC438244,Children's home,North West,North West,Lancashire,Private,7,07/08/2014
SC439536,Children's home,South East,South East,Hampshire,Private,6,01/10/2014
SC440299,Children's home,South East,South East,Medway,Voluntary,3,18/07/2014
SC440502,Children's home,North West,North West,Wigan,Private,4,12/08/2014
SC441131,Children's home,South West,South West,Swindon,Private,3,15/12/2014
SC441415,Children's home,North West,North West,Warrington,Private,2,09/06/2014
SC441773,Children's home,East of England,East of England,Essex,Private,3,23/12/2014
SC445690,Children's home,West Midlands,West Midlands,Walsall,Private,3,02/10/2014
SC447104,Children's home,East of England,East of England,Norfolk,Private,3,07/05/2014
SC448283,Children's home,West Midlands,West Midlands,Worcestershire,Private,5,14/04/2014
SC451079,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,7,09/01/2015
SC454506,Children's home,West Midlands,West Midlands,Shropshire,Private,3,06/05/2014
SC454521,Children's home,West Midlands,West Midlands,Shropshire,Private,5,01/08/2014
SC454522,Children's home,East Midlands,East Midlands,Leicestershire,Private,5,28/05/2014
SC454523,Children's home,East Midlands,East Midlands,Derbyshire,Private,5,13/01/2015
SC454538,Children's home,North West,North West,Lancashire,Private,9,31/03/2015
SC454912,Children's home,West Midlands,West Midlands,Warwickshire,Private,5,10/09/2014
SC455406,Children's home,South East,South East,Kent,Private,3,24/09/2014
SC456349,Children's home,East of England,East of England,Hertfordshire,Private,3,25/02/2015
SC456353,Children's home,North West,North West,Rochdale,Private,1,04/07/2014
SC456605,Children's home,North West,North West,Rochdale,Private,2,16/03/2015
SC456907,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,16/06/2014
SC457092,Children's home,West Midlands,West Midlands,Worcestershire,Private,4,23/03/2015
SC457562,Children's home,East of England,East of England,Hertfordshire,Private,4,27/08/2014
SC457626,Children's home,South West,South West,Bristol,Private,2,06/05/2014
SC457632,Children's home,West Midlands,West Midlands,Herefordshire,Private,4,20/03/2015
SC457698,Children's home,North West,North West,Manchester,Private,3,15/08/2014
SC457857,Children's home,North West,North West,Lancashire,Private,4,30/04/2014
SC458677,Children's home,London,London,Brent,Private,3,23/02/2015
SC461874,Children's home,West Midlands,West Midlands,Birmingham,Private,3,30/06/2014
SC463309,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,8,13/08/2014
SC463488,Children's home,East Midlands,East Midlands,Derbyshire,Private,6,19/05/2014
SC463641,Residential special school (registered as a children's home),South West,South West,Somerset,Private,17,27/02/2015
SC464986,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,05/02/2015
SC465006,Children's home,South East,South East,Brighton and Hove,Voluntary,5,29/05/2014
SC466165,Children's home,West Midlands,West Midlands,Stoke-on-Trent,Private,3,29/04/2014
SC466415,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,York,Private,6,21/11/2014
SC467073,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,3,13/02/2015
SC468343,Children's home,North West,North West,Lancashire,Private,4,19/06/2014
SC468624,Children's home,London,London,Lambeth,Private,5,04/12/2014
SC468685,Children's home,North West,North West,Rochdale,Private,6,09/10/2014
SC469140,Children's home,North West,North West,Lancashire,Private,4,02/02/2015
SC470293,Children's home,East Midlands,East Midlands,Derby,Private,4,04/09/2014
SC470408,Children's home,East Midlands,East Midlands,Derby,Private,7,12/12/2014
SC470894,Children's home,South East,South East,Oxfordshire,Private,4,24/10/2014
SC471543,Children's home,West Midlands,West Midlands,Shropshire,Private,3,24/06/2014
SC471566,Children's home,West Midlands,West Midlands,Dudley,Private,3,13/01/2015
SC474830,Children's home,London,London,Hillingdon,Private,10,10/09/2014
SC480040,Children's home,East of England,East of England,Suffolk,Private,6,02/03/2015
SC477025,Children's home,East of England,East of England,Peterborough,Private,6,15/10/2014
SC476042,Children's home,West Midlands,West Midlands,Sandwell,Private,3,24/07/2014
SC481121,Children's home,"North East, Yorkshire and The Humber",Yorkshire and The Humber,Calderdale,Private,6,27/02/2015
