Table 4b: List of children's homes de-registrations (leavers) between 1 April 2017 and 31 March 2018,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Date closed
SC033441,Children's home,London,London,Kensington and Chelsea,Local Authority,7,30/06/2017
SC033486,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Local Authority,6,25/09/2017
SC033662,Children's home,West Midlands,West Midlands,Birmingham,Local Authority,16,21/03/2018
SC034643,Children's home,West Midlands,West Midlands,Birmingham,Local Authority,7,21/03/2018
SC035107,Children's home,West Midlands,West Midlands,Birmingham,Local Authority,7,21/03/2018
SC036260,Children's home,East Midlands,East Midlands,Derbyshire,Local Authority,5,26/02/2018
SC036528,Residential special school (registered as a children's home),South West,South West,Devon,Private,14,29/09/2017
SC037923,Children's home,South East,South East,Hampshire,Local Authority,6,08/11/2017
SC038117,Children's home,London,London,Redbridge,Voluntary,4,16/03/2018
SC038163,Children's home,London,London,Bexley,Voluntary,10,12/06/2017
SC038804,Children's home,West Midlands,West Midlands,Dudley,Local Authority,3,22/02/2018
SC039215,Children's home,South East,South East,Hampshire,Local Authority,6,08/11/2017
SC041114,Children's home,West Midlands,West Midlands,Walsall,Private,4,18/04/2017
SC041666,Residential special school (registered as a children's home),East Midlands,East Midlands,Derbyshire,Private,6,09/02/2018
SC044058,Children's home,London,London,Newham,Local Authority,6,10/07/2017
SC044963,Children's home,East of England,East of England,Essex,Local Authority,16,27/12/2017
SC054030,Children's home,South West,South West,Bath and North East Somerset,Voluntary,5,29/09/2017
SC056054,Children's home,South East,South East,Hampshire,Voluntary,4,01/03/2018
SC061045,Children's home,South West,South West,Dorset,Local Authority,4,02/10/2017
SC063167,Children's home,West Midlands,West Midlands,Birmingham,Local Authority,5,10/07/2017
SC063197,Children's home,North West,North West,Rochdale,Private,1,18/05/2017
SC065617,Children's home,North West,North West,Rochdale,Private,1,15/05/2017
SC067238,Children's home,North West,North West,Stockport,Private,5,30/06/2017
SC068223,Children's home,North West,North West,Wigan,Private,3,15/01/2018
SC069221,Children's home,South East,South East,Kent,Private,5,15/12/2017
SC359808,Children's home,South West,South West,Wiltshire,Voluntary,5,25/09/2017
SC363228,Children's home,North West,North West,Liverpool,Private,2,09/08/2017
SC363350,Children's home,South West,South West,Somerset,Private,4,31/12/2017
SC363395,Children's home,South West,South West,Somerset,Private,3,31/12/2017
SC367737,Children's home,South West,South West,Bristol,Private,3,15/03/2018
SC368329,Children's home,North West,North West,Lancashire,Private,3,28/09/2017
SC376676,Children's home,East of England,East of England,Essex,Private,4,18/02/2018
SC382159,Children's home,London,London,Greenwich,Private,5,31/07/2017
SC382807,Children's home,North West,North West,Rochdale,Private,2,14/06/2017
SC384687,Children's home,South West,South West,Wiltshire,Voluntary,5,13/09/2017
SC395716,Children's home,London,London,Hounslow,Private,3,14/12/2017
SC397562,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,5,24/05/2017
SC398315,Children's home,West Midlands,West Midlands,Herefordshire,Private,3,24/04/2017
SC398390,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,1,01/06/2017
SC398392,Children's home,West Midlands,West Midlands,Shropshire,Private,2,13/06/2017
SC400107,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Voluntary,4,04/08/2017
SC400212,Children's home,South West,South West,Somerset,Private,3,20/08/2017
SC401603,Residential special school (registered as a children's home),North West,North West,Lancashire,Private,15,25/09/2017
SC403907,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,5,24/05/2017
SC404119,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,1,01/09/2017
SC405379,Children's home,East of England,East of England,Norfolk,Private,8,23/08/2017
SC408263,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,5,24/05/2017
SC416733,Children's home,East of England,East of England,Norfolk,Voluntary,3,21/06/2017
SC420066,Children's home,North West,North West,Trafford,Private,8,30/11/2017
SC420587,Children's home,"North East, Yorkshire and the Humber",North East,South Tyneside,Voluntary,4,28/09/2017
SC421995,Children's home,"North East, Yorkshire and the Humber",North East,Darlington,Private,4,31/10/2017
SC429242,Children's home,East of England,East of England,Bedford,Private,5,24/05/2017
SC436551,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,12/03/2018
SC443544,Children's home,East Midlands,East Midlands,Nottingham,Private,3,26/05/2017
SC443549,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,3,24/05/2017
SC445174,Children's home,North West,North West,Cheshire East,Voluntary,4,30/06/2017
SC447742,Children's home,West Midlands,West Midlands,Birmingham,Private,3,21/07/2017
SC452385,Children's home,West Midlands,West Midlands,Stoke-on-Trent,Private,3,08/08/2017
SC454688,Children's home,North West,North West,Westmorland and Furness,Private,3,31/03/2018
SC456726,Children's home,South West,South West,Devon,Private,3,18/02/2018
SC458025,Children's home,West Midlands,West Midlands,Stoke-on-Trent,Local Authority,2,16/06/2017
SC459255,Children's home,East Midlands,East Midlands,Nottingham,Private,6,24/05/2017
SC460424,Children's home,London,London,Brent,Private,4,12/09/2017
SC461787,Children's home,North West,North West,Halton,Private,4,27/04/2017
SC464650,Children's home,North West,North West,Sefton,Private,2,04/04/2017
SC465925,Children's home,South East,South East,East Sussex,Private,6,01/06/2017
SC469411,Children's home,North West,North West,Bury,Private,4,27/10/2017
SC472275,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,5,24/05/2017
SC474863,Children's home,South East,South East,Oxfordshire,Private,5,26/05/2017
SC476185,Residential special school (registered as a children's home),East Midlands,East Midlands,Lincolnshire,Private,14,18/05/2017
SC476259,Children's home,West Midlands,West Midlands,Shropshire,Private,4,08/12/2017
SC476401,Children's home,West Midlands,West Midlands,Worcestershire,Private,5,24/05/2017
SC476748,Children's home,South East,South East,West Sussex,Private,4,14/09/2017
SC477121,Children's home,West Midlands,West Midlands,Worcestershire,Private,3,06/01/2018
SC477151,Children's home,London,London,Lewisham,Voluntary,5,31/08/2017
SC477191,Children's home,East of England,East of England,Central Bedfordshire,Private,4,06/10/2017
SC479070,Residential special school (registered as a children's home),South East,South East,Oxfordshire,Private,45,31/07/2017
SC479645,Children's home,East of England,East of England,Suffolk,Private,6,01/02/2018
SC479664,Children's home,South East,South East,West Sussex,Private,3,07/09/2017
SC480236,Children's home,North West,North West,Lancashire,Private,6,13/09/2017
SC481294,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,01/04/2017
SC481443,Children's home,East Midlands,East Midlands,Derby,Private,5,31/07/2017
SC482298,Residential special school (registered as a children's home),West Midlands,West Midlands,Staffordshire,Private,21,11/07/2017
SC482413,Children's home,East of England,East of England,Cambridgeshire,Private,16,31/05/2017
SC483781,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Voluntary,6,07/04/2017
SC485321,Children's home,East Midlands,East Midlands,Derbyshire,Private,5,26/05/2017
SC485331,Children's home,South West,South West,South Gloucestershire,Private,4,13/10/2017
SC485332,Children's home,North West,North West,Wigan,Private,2,27/10/2017
SC485604,Children's home,London,London,Hillingdon,Voluntary,12,01/04/2017
SC485907,Children's home,East of England,East of England,Norfolk,Private,1,10/08/2017
SC486754,Children's home,London,London,Redbridge,Voluntary,4,05/12/2017
SC488406,Children's home,West Midlands,West Midlands,Wolverhampton,Private,3,21/03/2018
SC488710,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,2,01/11/2017
SC490025,Children's home,South East,South East,Slough,Private,4,26/03/2018
1241564,Children's home,London,London,Bexley,Private,10,08/01/2018
1249118,Children's home,West Midlands,West Midlands,Staffordshire,Private,1,15/02/2018
1256365,Children's home,North West,North West,Cheshire East,Private,4,20/10/2017
1252757,Children's home,South East,South East,Surrey,Health Authority,5,30/11/2017
1256408,Children's home,"North East, Yorkshire and The Humber",Yorkshire and The Humber,Kirklees,Private,1,25/10/2017
