Table 1a: List of new children's homes registrations (joiners) between 1 April 2014 and 31 March 2015,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Registration date
SC483692,Children's home,North West,North West,Lancashire,Private,4,03/12/2014
SC483710,Children's home,East Midlands,East Midlands,Derbyshire,Private,3,18/02/2015
SC483714,Children's home,East of England,East of England,Central Bedfordshire,Private,6,23/01/2015
SC483779,Children's home,London,London,Lewisham,Private,4,11/03/2015
SC483781,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Voluntary,6,24/03/2015
SC483828,Children's home,North West,North West,Stockport,Private,5,04/12/2014
SC483958,Children's home,West Midlands,West Midlands,Dudley,Private,3,11/11/2014
SC484114,Children's home,East of England,East of England,Bedford,Private,3,31/03/2015
SC484133,Children's home,South East,South East,West Sussex,Private,6,25/01/2015
SC484134,Residential special school (registered as a children's home),North West,North West,Cheshire East,Private,4,12/02/2015
SC484242,Children's home,"North East, Yorkshire and the Humber",North East,Stockton-on-Tees,Private,5,11/02/2015
SC484247,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Private,6,01/02/2015
SC484357,Children's home,North West,North West,Lancashire,Private,4,26/03/2015
SC484402,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,3,19/01/2015
SC484671,Children's home,East of England,East of England,Bedford,Private,4,04/03/2015
SC484716,Children's home,West Midlands,West Midlands,Birmingham,Private,6,16/03/2015
SC484776,Children's home,West Midlands,West Midlands,Worcestershire,Private,2,27/01/2015
SC484789,Children's home,North West,North West,Bolton,Voluntary,3,27/01/2015
SC484790,Children's home,South West,South West,Devon,Private,4,05/01/2015
SC484830,Children's home,West Midlands,West Midlands,Staffordshire,Private,2,22/02/2015
SC484912,Children's home,London,London,Hillingdon,Private,10,11/02/2015
SC484917,Children's home,East of England,East of England,Peterborough,Private,5,24/02/2015
SC485318,Children's home,North West,North West,Lancashire,Private,2,27/01/2015
SC485321,Children's home,East Midlands,East Midlands,Derbyshire,Private,5,09/03/2015
SC485322,Children's home,West Midlands,West Midlands,Worcestershire,Local Authority,3,09/02/2015
SC485332,Children's home,North West,North West,Wigan,Private,2,16/03/2015
SC485423,Children's home,South East,South East,Hampshire,Private,5,27/03/2015
SC485427,Children's home,South West,South West,Somerset,Private,2,18/02/2015
SC485529,Children's home,South East,South East,Hampshire,Private,3,20/01/2015
SC485540,Children's home,"North East, Yorkshire and the Humber",North East,Darlington,Private,7,11/02/2015
SC485604,Children's home,London,London,Hillingdon,Voluntary,12,05/02/2015
SC485607,Children's home,West Midlands,West Midlands,Warwickshire,Voluntary,30,22/02/2015
SC485654,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Private,4,24/03/2015
SC485659,Children's home,London,London,Ealing,Voluntary,17,25/02/2015
SC485826,Children's home,East of England,East of England,Suffolk,Private,3,09/02/2015
SC485907,Children's home,East of England,East of England,Norfolk,Private,1,20/03/2015
SC486165,Children's home,North West,North West,Wirral,Private,4,05/03/2015
SC486167,Children's home,South West,South West,Plymouth,Private,1,18/02/2015
SC486528,Children's home,West Midlands,West Midlands,Birmingham,Private,6,13/02/2015
SC486604,Children's home,"North East, Yorkshire and the Humber",North East,Northumberland,Local Authority,4,23/01/2015
SC486606,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Local Authority,1,25/01/2015
SC487165,Children's home,South East,South East,Hampshire,Private,2,30/03/2015
SC488112,Children's home,"North East, Yorkshire and the Humber",North East,Hartlepool,Private,4,02/03/2015
SC488439,Children's home,West Midlands,West Midlands,Shropshire,Private,3,27/02/2015
SC489005,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Voluntary,1,20/03/2015
SC480040,Children's home,East of England,East of England,Suffolk,Private,6,24/10/2014
SC477025,Children's home,East of England,East of England,Peterborough,Private,6,16/07/2014
SC476042,Children's home,West Midlands,West Midlands,Sandwell,Private,3,21/05/2014
SC481121,Children's home,"North East, Yorkshire and The Humber",Yorkshire and The Humber,Calderdale,Private,6,15/10/2014
