time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2021,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1270,39
2021,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,280,9
2021,Reporting year,National,E92000001,England,Placed for adoption,Total,3290,100
2021,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,5740,80
2021,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,870,12
2021,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,100,1
2021,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,460,6
2021,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,10,k
2021,Reporting year,National,E92000001,England,Placed with parents,Total,7170,100
2021,Reporting year,National,E92000001,England,Residential placements,1.i 20 miles or less inside LA boundary,990,27
2021,Reporting year,National,E92000001,England,Residential placements,1.ii 20 miles or less outside LA boundary,930,26
2021,Reporting year,National,E92000001,England,Residential placements,2.i Over 20 miles inside LA boundary,80,2
2021,Reporting year,National,E92000001,England,Residential placements,2.ii Over 20 miles outside LA boundary,1540,43
2021,Reporting year,National,E92000001,England,Residential placements,Distance not Known or not recorded,50,1
2021,Reporting year,National,E92000001,England,Residential placements,Total,3590,100
2021,Reporting year,National,E92000001,England,Residential schools,1.i 20 miles or less inside LA boundary,10,19
2021,Reporting year,National,E92000001,England,Residential schools,1.ii 20 miles or less outside LA boundary,20,22
2021,Reporting year,National,E92000001,England,Residential schools,2.i Over 20 miles inside LA boundary,10,8
2021,Reporting year,National,E92000001,England,Residential schools,2.ii Over 20 miles outside LA boundary,40,50
2021,Reporting year,National,E92000001,England,Residential schools,Distance not Known or not recorded,c,c
2021,Reporting year,National,E92000001,England,Residential schools,Total,70,100
2021,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",1.i 20 miles or less inside LA boundary,4800,32
2021,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",1.ii 20 miles or less outside LA boundary,2880,19
2021,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",2.i Over 20 miles inside LA boundary,520,3
2021,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",2.ii Over 20 miles outside LA boundary,4010,26
2021,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",Distance not Known or not recorded,3000,20
2021,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",Total,15210,100
2021,Reporting year,National,E92000001,England,All new placements,1.i 20 miles or less inside LA boundary,40470,49
2021,Reporting year,National,E92000001,England,All new placements,1.ii 20 miles or less outside LA boundary,17490,21
2021,Reporting year,National,E92000001,England,All new placements,2.i Over 20 miles inside LA boundary,3650,4
2021,Reporting year,National,E92000001,England,All new placements,2.ii Over 20 miles outside LA boundary,13860,17
2021,Reporting year,National,E92000001,England,All new placements,Distance not Known or not recorded,6300,8
2021,Reporting year,National,E92000001,England,All new placements,Total,81770,100
2021,Reporting year,National,E92000001,England,All new placements,1. 20 miles or less,57950,71
2021,Reporting year,National,E92000001,England,All new placements,2. Over 20 miles,17510,21
2020,Reporting year,National,E92000001,England,All new placements,1. 20 miles or less,63150,71
2020,Reporting year,National,E92000001,England,All new placements,2. Over 20 miles,18160,20
2020,Reporting year,National,E92000001,England,All new placements,1.i 20 miles or less inside LA boundary,44330,50
2020,Reporting year,National,E92000001,England,All new placements,1.ii 20 miles or less outside LA boundary,18820,21
2020,Reporting year,National,E92000001,England,All new placements,2.i Over 20 miles inside LA boundary,4170,5
2020,Reporting year,National,E92000001,England,All new placements,2.ii Over 20 miles outside LA boundary,13990,16
2020,Reporting year,National,E92000001,England,All new placements,Distance not Known or not recorded,7850,9
2020,Reporting year,National,E92000001,England,All new placements,Total,89160,100
2020,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,28860,55
2020,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,12210,23
2020,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2860,5
2020,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,5750,11
2020,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,2880,5
2020,Reporting year,National,E92000001,England,Foster placements,Total,52550,100
2020,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,2310,42
2020,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,810,15
2020,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,240,4
2020,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,490,9
2020,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,1700,31
2020,Reporting year,National,E92000001,England,Living independently,Total,5540,100
2020,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,1280,65
2020,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,350,18
2020,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,40,2
2020,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,230,12
2020,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,60,3
2020,Reporting year,National,E92000001,England,Other,Total,1970,100
2020,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,740,21
2020,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,880,25
2020,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,300,9
2020,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1190,34
2020,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,360,10
2020,Reporting year,National,E92000001,England,Placed for adoption,Total,3470,100
2020,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,5450,81
2020,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,720,11
2020,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,90,1
2020,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,460,7
