time_period,time_identifier,geographic_level,country_code,country_name,missing_status,breakdown,number
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total White,8520
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Traveller of Irish Heritage,40
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Asian,230
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black African,180
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black Caribbean,520
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White British,7790
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White Irish,40
2024,Reporting year,National,E92000001,England,Children missing from placement by sex,Females,5670
2024,Reporting year,National,E92000001,England,Children missing from placement by sex,Males,7330
2024,Reporting year,National,E92000001,England,Children missing from placement by sex,Total children who were missing during the year,13000
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 1 and 2 days,47470
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 11 and 15 days,420
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 16 and 20 days,180
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 21 and 30 days,180
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 3 and 7 days,6640
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 8 and 10 days,650
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Less than 1 day,28010
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,More than 30 days,370
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Total incidents,83920
2024,Reporting year,National,E92000001,England,Missing from placement incidents,Total number of missing incidents during the year,83920
2024,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement inside council boundary,45170
2024,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement outside council boundary,38750
2024,Reporting year,National,E92000001,England,Placement locations from which children were missing,Total incidents,83920
2024,Reporting year,National,E92000001,England,Placements from which children were missing,1: Foster placements,15000
2024,Reporting year,National,E92000001,England,Placements from which children were missing,2: Adoption,0
2024,Reporting year,National,E92000001,England,Placements from which children were missing,3: Placed with parents or other person with parental responsibility,1400
2024,Reporting year,National,E92000001,England,Placements from which children were missing,4: Secure homes and children's homes,27350
2024,Reporting year,National,E92000001,England,Placements from which children were missing,5: Independent and semi-independent living arrangements/ supported accommodation,27730
2024,Reporting year,National,E92000001,England,Placements from which children were missing,6:Other placements,12430
2024,Reporting year,National,E92000001,England,Placements from which children were missing,Total incidents,83920
2023,Reporting year,National,E92000001,England,Age of children missing from placement,1 to 4 years,30
2023,Reporting year,National,E92000001,England,Age of children missing from placement,10 to 15 years,35990
2023,Reporting year,National,E92000001,England,Age of children missing from placement,16 years and over,45930
2023,Reporting year,National,E92000001,England,Age of children missing from placement,5 to 9 years,150
2023,Reporting year,National,E92000001,England,Age of children missing from placement,Total incidents,82110
2023,Reporting year,National,E92000001,England,Age of children missing from placement,Under 1 year,20
2023,Reporting year,National,E92000001,England,Children missing from placement,All children looked after during the year,114760
2023,Reporting year,National,E92000001,England,Children missing from placement ,Average (mean) number of days per missing incident,2
2023,Reporting year,National,E92000001,England,Children missing from placement ,Average (median) number of days per missing incident,1
2023,Reporting year,National,E92000001,England,Children missing from placement,Average number of incidents per looked after child who was missing,6.4
2023,Reporting year,National,E92000001,England,Children missing from placement,Children missing more than once during the year,8150
2023,Reporting year,National,E92000001,England,Children missing from placement,Children missing on 31 March,210
2023,Reporting year,National,E92000001,England,Children missing from placement,Children missing on 31 March who were unaccompanied asylum-seeking children,60
2023,Reporting year,National,E92000001,England,Children missing from placement,Percentage of children looked after during the year who were missing,11
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,African,740
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Asian background,390
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Black background,270
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Mixed background,470
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other White background,560
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Bangladeshi,60
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Caribbean,320
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Chinese,10
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Gypsy Roma,80
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Indian,40
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Information not yet obtained,30
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Pakistani,130
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Refused,10
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total Asian or Asian British,620
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,"Total Black, African, Caribbean or Black British",1330
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total children who were missing during the year,12790
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total Mixed or Multiple ethnic groups,1390
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total other ethnic group,790
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total refused or information not yet available,40
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total White,8620
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Traveller of Irish Heritage,40
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Asian,230
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black African,170
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black Caribbean,520
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White British,7910
2023,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White Irish,30
2023,Reporting year,National,E92000001,England,Children missing from placement by sex,Females,5630
2023,Reporting year,National,E92000001,England,Children missing from placement by sex,Males,7150
2023,Reporting year,National,E92000001,England,Children missing from placement by sex,Total children who were missing during the year,12790
2023,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 1 and 2 days,46360
