time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,care_leaver_age,breakdown,care_leaver_count,care_leaver_percent
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Local authority not in touch with care leaver,70,2
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Total,3100,100
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Young person no longer requires services,100,3
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Young person refuses contact,30,1
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Local authority in touch with care leaver,1230,94
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Local authority not in touch with care leaver,50,4
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Total,1310,100
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Young person no longer requires services,20,2
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Local authority in touch with care leaver,3730,91
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Local authority not in touch with care leaver,210,5
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Total,4100,100
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Young person no longer requires services,140,3
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Young person refuses contact,30,1
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Local authority in touch with care leaver,25,93
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Total,27,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Local authority in touch with care leaver,84,89
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Local authority not in touch with care leaver,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Total,94,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Young person no longer requires services,10,11
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Young person refuses contact,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Local authority in touch with care leaver,55,86
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Total,64,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Local authority in touch with care leaver,163,84
