time_period,time_identifier,geographic_level,country_code,country_name,missing_status,characteristic,number
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total children who were away from placement without authorisation during the year,2720
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total Mixed or Multiple ethnic groups,380
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total other ethnic group,220
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total refused or information not yet available,10
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total White,1490
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Traveller of Irish Heritage,10
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Asian,50
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Black African,60
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Black Caribbean,160
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White British,1310
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White Irish,10
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Females,1210
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Males,1500
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Total children who were away from placement without authorisation during the year,2720
2024,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 1 and 2 days,6010
2024,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 11 and 15 days,130
2024,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 16 and 20 days,70
2024,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 21 and 30 days,80
2024,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 3 and 7 days,1330
2024,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 8 and 10 days,200
2024,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Less than 1 day,2820
2024,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,More than 30 days,130
2024,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Total incidents,10770
2024,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Away from placement without authorisation inside council boundary,4830
2024,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Away from placement without authorisation outside council boundary,5940
2024,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Total incidents,10770
2024,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,1: Foster placements,1540
2024,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,2: Adoption,0
2024,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,3: Placed with parents or other person with parental responsibility,40
2024,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,4: Secure homes and children's homes,2050
2024,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,5: Independent and semi-independent living arrangements/ supported accommodation,5490
2024,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,6: Other placements,1640
2024,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Total incidents,10770
2023,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,1 to 4 years,10
2023,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,10 to 15 years,2250
2023,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,16 years and over,8240
2023,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,5 to 9 years,10
2023,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Total incidents,10520
2023,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Under 1 year,c
