New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_cease16,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA-ceaDied,CLA_ceataken,CLA_ceaPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_cea_OthRea
E06000009,LA,890,Blackpool,118,29,63,55,6,34,18,31,29,x,15,x,x,55,x,15,x,17,x,0,x,x
E10000024,LA,891,Nottinghamshire,196,69,108,88,17,44,31,35,69,x,16,0,0,84,23,0,x,18,20,8,x,21
E06000018,LA,892,Nottingham,247,87,126,121,20,68,26,46,87,12,18,x,0,110,0,x,7,30,6,x,6,48
E06000051,LA,893,Shropshire,115,40,63,52,7,26,9,33,40,8,0,0,0,71,x,0,0,28,x,0,0,x
E06000020,LA,894,Telford and Wrekin,99,32,47,52,7,38,12,10,32,x,19,0,x,33,x,x,x,24,x,x,0,x
E06000049,LA,895,Cheshire East,172,55,100,72,8,49,27,33,55,14,x,0,0,56,22,0,x,24,x,x,x,41
E06000050,LA,896,Cheshire West and Chester,106,39,47,59,6,16,12,33,39,x,x,x,x,43,x,x,x,10,0,x,0,31
E06000052,LA,908,Cornwall,231,72,126,105,23,50,31,55,72,x,29,x,x,97,8,7,17,35,x,x,0,29
E10000006,LA,909,Cumbria,187,54,87,100,11,56,32,34,54,16,21,0,0,48,7,7,16,x,x,x,x,58
E10000013,LA,916,Gloucestershire,234,93,125,109,12,68,23,38,93,18,9,0,0,93,13,9,x,29,x,8,x,47
E10000015,LA,919,Hertfordshire,498,215,283,215,32,109,64,78,215,24,13,0,x,177,26,11,14,64,45,10,9,100
E06000046,LA,921,Isle of Wight,79,26,49,30,0,23,13,17,26,x,x,0,x,36,x,8,x,8,x,x,0,10
E10000019,LA,925,Lincolnshire,240,75,133,107,11,75,33,46,75,11,30,0,x,88,18,10,x,48,x,x,x,21
E10000020,LA,926,Norfolk,381,128,215,166,30,67,47,109,128,x,26,x,x,188,16,x,7,22,x,7,x,96
E10000021,LA,928,Northamptonshire,329,148,196,133,21,67,27,66,148,22,15,0,0,115,16,15,x,25,x,x,x,109
E06000048,LA,929,Northumberland,92,19,38,54,6,28,17,22,19,7,6,0,0,40,6,x,8,13,x,x,x,x
E10000025,LA,931,Oxfordshire,278,114,147,130,18,64,33,48,114,15,9,0,0,111,6,15,8,34,26,9,x,42
E10000027,LA,933,Somerset,244,93,123,121,18,53,25,55,93,12,7,x,x,97,14,0,x,46,x,10,0,52
E10000029,LA,935,Suffolk,285,91,155,130,17,88,32,57,91,43,18,x,0,73,11,20,11,40,19,6,x,38
E10000030,LA,936,Surrey,312,155,174,137,13,64,35,44,155,x,39,0,0,77,6,12,6,18,7,24,x,115
E10000031,LA,937,Warwickshire,252,103,146,106,23,43,25,58,103,16,9,x,x,118,x,7,x,42,24,x,x,22
E10000032,LA,938,West Sussex,370,129,196,174,11,93,49,88,129,10,30,0,x,177,10,21,x,13,x,x,6,94
