New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceaAdop,CLA_Adop_PL12mnths
E09000031,LA,320,Waltham Forest,152,13,9
E08000025,LA,330,Birmingham,742,87,65
E08000026,LA,331,Coventry,223,23,14
E08000027,LA,332,Dudley,162,21,14
E08000028,LA,333,Sandwell,189,22,17
E08000029,LA,334,Solihull,185,x,x
E08000030,LA,335,Walsall,127,28,27
E08000031,LA,336,Wolverhampton,140,20,12
E08000011,LA,340,Knowsley,69,11,x
E08000012,LA,341,Liverpool,205,34,24
E08000013,LA,342,St. Helens,115,16,12
E08000014,LA,343,Sefton,135,12,8
E08000015,LA,344,Wirral,162,24,17
E08000001,LA,350,Bolton,131,24,15
E08000002,LA,351,Bury,115,11,7
E08000003,LA,352,Manchester,571,51,33
E08000004,LA,353,Oldham,152,22,9
E08000005,LA,354,Rochdale,156,29,19
E08000006,LA,355,Salford,164,26,18
E08000007,LA,356,Stockport,126,19,12
E08000008,LA,357,Tameside,149,23,16
E08000009,LA,358,Trafford,70,8,6
E08000010,LA,359,Wigan,172,22,13
E08000016,LA,370,Barnsley,94,18,13
E08000017,LA,371,Doncaster,210,24,10
E08000018,LA,372,Rotherham,185,37,25
E08000019,LA,373,Sheffield,224,45,30
E08000032,LA,380,Bradford,296,34,20
E08000033,LA,381,Calderdale,79,17,10
E08000034,LA,382,Kirklees,184,31,17
E08000035,LA,383,Leeds,389,52,34
E08000036,LA,384,Wakefield,153,25,23
E08000020,LA,390,Gateshead,127,22,18
E08000021,LA,391,Newcastle upon Tyne,209,36,27
E08000022,LA,392,North Tyneside,128,16,13
E08000023,LA,393,South Tyneside,118,27,23
E08000024,LA,394,Sunderland,155,24,11
E06000022,LA,800,Bath and North East Somerset,34,x,x
E06000023,LA,801,"Bristol, City of",243,36,21
E06000024,LA,802,North Somerset,108,18,15
E06000025,LA,803,South Gloucestershire,101,x,x
E06000001,LA,805,Hartlepool,72,14,11
E06000002,LA,806,Middlesbrough,163,23,18
E06000003,LA,807,Redcar and Cleveland,95,13,13
E06000004,LA,808,Stockton-on-Tees,143,15,9
E06000010,LA,810,"Kingston Upon Hull, City of",193,39,24
E06000011,LA,811,East Riding of Yorkshire,100,8,x
E06000012,LA,812,North East Lincolnshire,64,16,11
E06000013,LA,813,North Lincolnshire,101,11,7
E10000023,LA,815,North Yorkshire,207,16,15
E06000014,LA,816,York,72,18,17
E06000032,LA,821,Luton,105,6,6
E06000055,LA,822,Bedford,78,11,7
E06000056,LA,823,Central Bedfordshire,72,x,x
E10000002,LA,825,Buckinghamshire,125,11,9
E06000042,LA,826,Milton Keynes,110,10,7
E10000007,LA,830,Derbyshire,270,39,27
E06000015,LA,831,Derby,147,29,22
E10000009,LA,835,Dorset,134,8,x
E06000029,LA,836,Poole,53,10,10
E06000028,LA,837,Bournemouth,98,19,17
E06000047,LA,840,Durham,227,34,25
E06000005,LA,841,Darlington,72,x,x
E10000011,LA,845,East Sussex,171,34,28
E06000043,LA,846,Brighton and Hove,202,27,24
E10000014,LA,850,Hampshire,469,37,31
E06000044,LA,851,Portsmouth,143,14,13
E06000045,LA,852,Southampton,165,16,15
E10000018,LA,855,Leicestershire,170,9,9
E06000016,LA,856,Leicester,167,26,25
E06000017,LA,857,Rutland,8,0,0
E10000028,LA,860,Staffordshire,253,31,22
E06000021,LA,861,Stoke-on-Trent,162,34,30
E06000054,LA,865,Wiltshire,137,15,13
E06000030,LA,866,Swindon,99,9,9
E06000036,LA,867,Bracknell Forest,41,0,0
E06000040,LA,868,Windsor and Maidenhead,36,x,x
E06000037,LA,869,West Berkshire,52,x,x
E06000038,LA,870,Reading,95,11,11
E06000039,LA,871,Slough,75,7,6
E06000041,LA,872,Wokingham,36,6,x
E10000003,LA,873,Cambridgeshire,186,27,25
E06000031,LA,874,Peterborough,117,32,23
E06000006,LA,876,Halton,74,11,6
E06000007,LA,877,Warrington,115,9,8
E10000008,LA,878,Devon,332,16,14
E06000026,LA,879,Plymouth,221,45,35
E06000027,LA,880,Torbay,75,11,6
E10000012,LA,881,Essex,474,46,28
E06000033,LA,882,Southend-on-Sea,90,19,17
E06000034,LA,883,Thurrock,140,8,6
E06000019,LA,884,Herefordshire,73,16,16
E10000034,LA,885,Worcestershire,220,18,15
E10000016,LA,886,Kent,750,59,43
E06000035,LA,887,Medway,156,18,16
E10000017,LA,888,Lancashire,464,52,39
E06000008,LA,889,Blackburn with Darwen,119,29,20
E06000009,LA,890,Blackpool,118,17,10
E10000024,LA,891,Nottinghamshire,196,20,9
E06000018,LA,892,Nottingham,247,30,28
E06000051,LA,893,Shropshire,115,8,8
E06000020,LA,894,Telford and Wrekin,99,22,22
E06000049,LA,895,Cheshire East,172,19,10
E06000050,LA,896,Cheshire West and Chester,106,8,6
E06000052,LA,908,Cornwall,231,30,27
E10000006,LA,909,Cumbria,187,37,24
E10000013,LA,916,Gloucestershire,234,27,22
E10000015,LA,919,Hertfordshire,498,37,28
E06000046,LA,921,Isle of Wight,79,x,x
E10000019,LA,925,Lincolnshire,240,41,37
E10000020,LA,926,Norfolk,381,31,19
E10000021,LA,928,Northamptonshire,329,37,29
E06000048,LA,929,Northumberland,92,13,9
E10000025,LA,931,Oxfordshire,278,24,22
E10000027,LA,933,Somerset,244,19,13
E10000029,LA,935,Suffolk,285,61,44
E10000030,LA,936,Surrey,312,43,32
E10000031,LA,937,Warwickshire,252,25,21
E10000032,LA,938,West Sussex,370,40,34
