New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E06000026,LA,879,Plymouth,33,x,x,13,10,0,7,x,0,0,x,x,0,19,0,x,x,6,0,29
E06000027,LA,880,Torbay,21,0,x,x,x,x,8,x,x,x,7,0,0,9,0,0,0,0,x,21
E10000012,LA,881,Essex,119,7,14,32,28,8,30,18,8,7,8,10,x,46,0,x,x,0,7,107
E06000033,LA,882,Southend-on-Sea,25,x,x,6,x,x,8,x,x,0,x,x,0,12,0,0,x,0,0,23
E06000034,LA,883,Thurrock,28,x,x,6,x,x,10,x,x,x,x,0,0,14,0,0,0,0,x,24
E06000019,LA,884,Herefordshire,20,0,x,x,x,x,10,x,x,x,x,0,0,9,0,0,x,0,0,19
E10000034,LA,885,Worcestershire,45,x,x,9,8,x,21,11,x,0,8,x,x,15,0,0,x,0,x,34
E10000016,LA,886,Kent,181,24,x,56,47,x,46,18,0,x,41,x,0,72,x,x,6,0,9,148
E06000035,LA,887,Medway,31,0,x,x,8,x,11,6,x,x,7,0,0,13,0,0,x,0,x,29
E10000017,LA,888,Lancashire,121,x,9,35,42,x,28,19,x,8,6,6,x,52,0,0,6,13,x,112
E06000008,LA,889,Blackburn with Darwen,25,0,x,7,x,x,9,x,0,x,x,0,0,13,0,0,0,x,x,25
E06000009,LA,890,Blackpool,24,0,x,x,x,x,13,x,x,0,x,0,x,14,0,0,x,0,x,24
E10000024,LA,891,Nottinghamshire,43,0,x,16,16,0,9,x,x,x,6,0,x,18,0,0,x,0,x,42
E06000018,LA,892,Nottingham,61,x,x,20,11,x,22,9,x,x,x,0,x,30,0,0,x,x,x,50
E06000051,LA,893,Shropshire,26,0,x,6,9,x,9,x,x,x,9,0,0,9,0,0,x,0,0,26
E06000020,LA,894,Telford and Wrekin,24,x,x,x,x,x,9,x,0,x,x,0,0,10,x,0,0,0,0,19
E06000049,LA,895,Cheshire East,23,0,x,9,x,0,12,x,x,0,0,0,x,x,0,0,x,x,7,23
E06000050,LA,896,Cheshire West and Chester,20,0,x,x,8,x,7,x,0,x,x,x,x,6,0,0,x,x,x,20
E06000052,LA,908,Cornwall,56,0,x,17,25,x,9,8,8,0,x,x,0,17,x,x,x,x,11,52
E10000006,LA,909,Cumbria,45,x,x,16,13,x,9,18,x,x,x,0,x,7,0,0,x,6,x,41
E10000013,LA,916,Gloucestershire,53,x,x,20,20,0,9,9,x,x,12,0,0,23,0,x,0,x,0,50
