New_geog_code,geog_l,geog_c,geog_n,CLA_started2011,CLA_taken2011,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E08000004,LA,353,Oldham,134,85,54,80,23,39,38,30,x,94,x,7,x,18,x,0,6,34,x,0,48,34,15,0,x,0,0
E08000005,LA,354,Rochdale,181,119,87,94,44,51,36,48,x,141,x,x,14,11,x,0,x,55,0,x,60,47,17,0,x,0,0
E08000006,LA,355,Salford,242,115,122,119,55,70,60,50,6,154,x,x,x,76,0,0,x,80,x,0,126,24,9,0,0,0,0
E08000007,LA,356,Stockport,106,35,52,54,25,14,17,36,14,51,x,12,13,13,11,0,x,24,0,0,71,10,x,0,0,0,0
E08000008,LA,357,Tameside,159,67,84,75,38,37,35,46,x,113,7,x,11,20,x,0,x,25,0,0,92,39,x,x,0,0,0
E08000009,LA,358,Trafford,81,28,38,43,16,11,17,22,15,18,6,x,23,16,13,0,0,20,x,0,53,x,x,0,0,0,0
E08000010,LA,359,Wigan,127,38,62,65,35,32,20,27,13,65,x,x,38,13,x,0,x,21,0,0,89,13,x,0,0,0,0
E08000016,LA,370,Barnsley,90,46,50,40,28,14,13,22,13,53,x,x,x,14,x,0,13,42,x,0,42,x,0,0,x,0,0
E08000017,LA,371,Doncaster,188,77,107,81,44,37,29,64,14,98,12,9,14,44,6,0,x,52,0,0,107,18,7,0,x,0,0
E08000018,LA,372,Rotherham,164,80,77,87,44,30,28,54,8,90,x,10,16,41,x,0,x,51,x,0,81,21,x,0,x,0,0
E08000019,LA,373,Sheffield,262,119,146,116,62,64,42,73,21,126,8,x,35,69,10,x,7,103,x,0,128,8,7,0,13,x,0
