time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,year_breakdown,social_care_group,school_type,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,Six half terms,CINO at 31 March,State-funded primary,9420,3421230,376930,11,250620,7.3,126310,3.7,3570,37.9
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,Six half terms,CINO at 31 March,Special,4140,1490660,218290,14.6,176960,11.9,41340,2.8,1790,43.3
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,Six half terms,CINO at 31 March,Pupil referral unit,180,55190,22990,41.7,12140,22,10850,19.7,160,85.7
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,Six half terms,CINO at 31 March,Total,10370,3618660,668970,18.5,398140,11,270840,7.5,5600,54
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,Six half terms,CINO at 31 March,State-funded secondary,4420,1481910,380670,25.7,196020,13.2,184650,12.5,2990,67.8
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,Six half terms,CINO at 31 March,State-funded primary,4370,1584560,184530,11.6,123430,7.8,61100,3.9,1800,41.2
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,Six half terms,CINO at 31 March,Special,1410,501870,80560,16.1,66160,13.2,14400,2.9,650,46
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,Six half terms,CINO at 31 March,Pupil referral unit,170,50320,23220,46.1,12520,24.9,10690,21.3,150,89
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Six half terms,CINO at 31 March,Total,7380,2598490,353620,13.6,194510,7.5,159110,6.1,3060,41.5
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Six half terms,CINO at 31 March,State-funded secondary,2940,1000360,169710,17,75860,7.6,93850,9.4,1460,49.8
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Six half terms,CINO at 31 March,State-funded primary,3140,1141760,107360,9.4,65320,5.7,42040,3.7,1010,32.1
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Six half terms,CINO at 31 March,Special,1130,406560,57380,14.1,46150,11.4,11230,2.8,460,40.6
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Six half terms,CINO at 31 March,Pupil referral unit,170,49810,19160,38.5,7180,14.4,11990,24.1,140,80.2
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Six half terms,CINO at 31 March,Total,11700,4130130,578630,14,343120,8.3,235510,5.7,5060,43.3
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Six half terms,CINO at 31 March,State-funded secondary,4460,1516560,273970,18.1,130380,8.6,143590,9.5,2360,53
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Six half terms,CINO at 31 March,State-funded primary,4480,1628790,155440,9.5,97550,6,57890,3.6,1480,33
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Six half terms,CINO at 31 March,Special,2580,931180,126780,13.6,105030,11.3,21750,2.3,1060,41.2
