time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_read_eligible_pupils,t_read_met_expected_standard,pt_read_met_expected_standard,t_writta_eligible_pupils,t_writta_met_expected_standard,pt_writta_met_expected_standard,t_mat_eligible_pupils,t_mat_met_expected_standard,pt_mat_met_expected_standard,t_rwm_eligible_pupils,t_rwm_met_expected_standard,pt_rwm_met_expected_standard,t_gps_eligible_pupils,t_gps_met_expected_standard,pt_gps_met_expected_standard,t_scita_eligible_pupils,t_scita_met_expected_standard,pt_scita_met_expected_standard,t_read_progress_eligible_pupils,t_read_progress_score,avg_read_progress_score,avg_read_progress_score_lower_CI,avg_read_progress_score_upper_CI,t_writta_progress_eligible_pupils,t_writta_progress_score,avg_writta_progress_score,avg_writta_progress_score_lower_CI,avg_writta_progress_score_upper_CI,t_mat_progress_eligible_pupils,t_mat_progress_score,avg_mat_progress_score,avg_mat_progress_score_lower_CI,avg_mat_progress_score_upper_CI
202122,Academic year,Local authority,E92000001,England,E12000008,South East,826,Milton Keynes,E06000042,CINO at 31 March,Revised,86,20,23,85,18,21,86,23,27,85,12,14,86,25,29,85,22,26,68,-313.5541962,-4.61,-6.11,-3.12,67,-217.8414179,-3.25,-4.7,-1.81,68,-296.9532075,-4.37,-5.76,-2.98
202122,Academic year,Local authority,E92000001,England,E12000008,South East,931,Oxfordshire,E10000025,CINO at 31 March,Revised,140,60,43,140,46,33,140,47,34,140,32,23,140,50,36,140,60,43,133,-402.5698675,-3.03,-4.1,-1.96,133,-369.6273489,-2.78,-3.81,-1.75,131,-468.1694298,-3.57,-4.58,-2.57
202122,Academic year,Local authority,E92000001,England,E12000008,South East,851,Portsmouth,E06000044,CINO at 31 March,Revised,45,14,31,45,14,31,45,11,24,45,10,22,45,16,36,45,18,40,40,-130.6356495,-3.27,-5.21,-1.32,40,-135.6481659,-3.39,-5.26,-1.52,39,-146.3283977,-3.75,-5.59,-1.92
202122,Academic year,Local authority,E92000001,England,E12000008,South East,870,Reading,E06000038,CINO at 31 March,Revised,55,19,35,55,15,27,55,19,35,55,11,20,55,20,36,55,20,36,48,-156.7119045,-3.26,-5.04,-1.49,47,-159.238695,-3.39,-5.11,-1.66,47,-166.0304672,-3.53,-5.21,-1.86
202122,Academic year,Local authority,E92000001,England,E12000008,South East,871,Slough,E06000039,CINO at 31 March,Revised,66,35,53,66,25,38,66,31,47,66,17,26,66,33,50,66,31,47,56,-132.1604802,-2.36,-4.01,-0.71,56,-97.91367027,-1.75,-3.33,-0.17,56,-136.0122427,-2.43,-3.96,-0.9
202122,Academic year,Local authority,E92000001,England,E12000008,South East,852,Southampton,E06000045,CINO at 31 March,Revised,98,42,43,98,32,33,98,39,40,98,21,21,98,37,38,98,48,49,93,-202.3314511,-2.18,-3.45,-0.9,93,-270.5164862,-2.91,-4.14,-1.68,93,-155.1918825,-1.67,-2.86,-0.48
202122,Academic year,Local authority,E92000001,England,E12000008,South East,936,Surrey,E10000030,CINO at 31 March,Revised,180,73,41,179,66,37,181,75,41,178,52,29,181,73,40,177,73,41,147,-323.6711379,-2.2,-3.22,-1.19,152,-320.9137004,-2.11,-3.07,-1.15,147,-389.3210158,-2.65,-3.59,-1.7
202122,Academic year,Local authority,E92000001,England,E12000008,South East,869,West Berkshire,E06000037,CINO at 31 March,Revised,46,19,41,46,18,39,46,16,35,46,11,24,46,17,37,46,21,46,41,-131.1888079,-3.2,-5.12,-1.27,42,-139.0540277,-3.31,-5.14,-1.48,41,-172.1611758,-4.2,-5.99,-2.41
202122,Academic year,Local authority,E92000001,England,E12000008,South East,938,West Sussex,E10000032,CINO at 31 March,Revised,169,71,42,167,55,33,168,62,37,166,41,25,169,63,37,167,69,41,150,-245.7910901,-1.64,-2.65,-0.63,148,-344.2008652,-2.33,-3.3,-1.35,150,-415.962871,-2.77,-3.71,-1.84
202122,Academic year,Local authority,E92000001,England,E12000008,South East,868,Windsor and Maidenhead,E06000040,CINO at 31 March,Revised,24,11,46,24,7,29,24,10,42,24,7,29,24,10,42,24,11,46,23,-53.06041195,-2.31,-4.88,0.26,23,-74.78124175,-3.25,-5.72,-0.78,23,-51.00952805,-2.22,-4.61,0.17
202122,Academic year,Local authority,E92000001,England,E12000008,South East,872,Wokingham,E06000041,CINO at 31 March,Revised,31,21,68,31,15,48,31,16,52,31,12,39,31,17,55,31,20,65,30,-46.1987352,-1.54,-3.79,0.71,30,-73.5320159,-2.45,-4.61,-0.29,30,-78.59193484,-2.62,-4.71,-0.53
202122,Academic year,Local authority,E92000001,England,E12000009,South West,800,Bath and North East Somerset,E06000022,CINO at 31 March,Revised,40,18,45,40,15,38,40,14,35,40,8,20,40,20,50,40,20,50,37,-71.44318937,-1.93,-3.96,0.1,38,-43.60183524,-1.15,-3.07,0.77,37,-91.6733789,-2.48,-4.36,-0.59
202122,Academic year,Local authority,E92000001,England,E12000009,South West,839,"Bournemouth, Christchurch and Poole",E06000058,CINO at 31 March,Revised,101,40,40,101,29,29,101,38,38,101,21,21,101,36,36,101,50,50,91,-342.4070541,-3.76,-5.05,-2.47,91,-351.0810968,-3.86,-5.1,-2.62,90,-229.4134326,-2.55,-3.76,-1.34
202122,Academic year,Local authority,E92000001,England,E12000009,South West,801,"Bristol, City of",E06000023,CINO at 31 March,Revised,52,22,42,52,17,33,52,19,37,52,13,25,52,16,31,52,21,40,43,-8.29412564,-0.19,-2.07,1.69,45,-29.65870176,-0.66,-2.42,1.11,43,-67.60372006,-1.57,-3.32,0.18
202122,Academic year,Local authority,E92000001,England,E12000009,South West,908,Cornwall,E06000052,CINO at 31 March,Revised,92,41,45,92,44,48,92,31,34,92,25,27,92,38,41,92,51,55,88,-288.3324407,-3.28,-4.59,-1.96,89,-31.69558547,-0.36,-1.61,0.9,88,-377.0171412,-4.28,-5.51,-3.06
202122,Academic year,Local authority,E92000001,England,E12000009,South West,878,Devon,E10000008,CINO at 31 March,Revised,98,42,43,97,31,32,98,35,36,97,17,18,97,37,38,97,49,51,90,-222.3719631,-2.47,-3.77,-1.17,93,-277.5541825,-2.98,-4.21,-1.76,89,-214.004683,-2.4,-3.62,-1.19
202122,Academic year,Local authority,E92000001,England,E12000009,South West,838,Dorset,E06000059,CINO at 31 March,Revised,60,29,48,60,21,35,60,16,27,60,13,22,60,22,37,60,29,48,58,-102.5697156,-1.77,-3.39,-0.15,59,-139.8228723,-2.37,-3.91,-0.83,58,-244.0963559,-4.21,-5.71,-2.7
202122,Academic year,Local authority,E92000001,England,E12000009,South West,916,Gloucestershire,E10000013,CINO at 31 March,Revised,141,75,53,141,57,40,141,59,42,141,39,28,141,71,50,141,66,47,133,-180.3726275,-1.36,-2.43,-0.29,132,-199.8434991,-1.51,-2.54,-0.48,130,-279.6132145,-2.15,-3.16,-1.14
202122,Academic year,Local authority,E92000001,England,E12000009,South West,420,Isles of Scilly,E06000053,CINO at 31 March,Revised,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000009,South West,802,North Somerset,E06000024,CINO at 31 March,Revised,12,c,c,12,c,c,12,c,c,12,c,c,12,c,c,12,c,c,9,-39.38399069,-4.38,-8.48,-0.27,10,-58.13950403,-5.81,-9.56,-2.07,9,-41.22726099,-4.58,-8.4,-0.76
202122,Academic year,Local authority,E92000001,England,E12000009,South West,879,Plymouth,E06000026,CINO at 31 March,Revised,56,26,46,56,20,36,56,19,34,56,15,27,56,24,43,54,27,50,49,-85.70277347,-1.75,-3.51,0.01,50,-91.82488298,-1.84,-3.51,-0.16,48,-96.99814477,-2.02,-3.68,-0.37
202122,Academic year,Local authority,E92000001,England,E12000009,South West,933,Somerset,E10000027,CINO at 31 March,Revised,78,40,51,78,32,41,78,34,44,78,25,32,78,32,41,78,40,51,73,-191.6438562,-2.63,-4.07,-1.18,75,-130.1940206,-1.74,-3.1,-0.37,74,-248.3904004,-3.36,-4.69,-2.02
202122,Academic year,Local authority,E92000001,England,E12000009,South West,803,South Gloucestershire,E06000025,CINO at 31 March,Revised,63,31,49,63,30,48,63,28,44,63,23,37,63,31,49,63,34,54,60,-132.0636163,-2.2,-3.79,-0.61,61,-208.3669598,-3.42,-4.93,-1.9,61,-158.2596324,-2.59,-4.06,-1.13
202122,Academic year,Local authority,E92000001,England,E12000009,South West,866,Swindon,E06000030,CINO at 31 March,Revised,60,28,47,60,17,28,60,20,33,60,12,20,59,19,32,60,24,40,55,-122.0410907,-2.22,-3.88,-0.56,56,-237.0514514,-4.23,-5.81,-2.65,55,-213.4690167,-3.88,-5.43,-2.33
202122,Academic year,Local authority,E92000001,England,E12000009,South West,880,Torbay,E06000027,CINO at 31 March,Revised,41,16,39,40,10,25,41,13,32,40,9,23,41,10,24,40,13,33,37,-16.42720224,-0.44,-2.47,1.58,38,-132.3431478,-3.48,-5.4,-1.56,28,12.68146222,0.45,-1.71,2.62
202122,Academic year,Local authority,E92000001,England,E12000009,South West,865,Wiltshire,E06000054,CINO at 31 March,Revised,81,29,36,81,23,28,81,23,28,81,13,16,81,27,33,81,32,40,76,-245.9364348,-3.24,-4.65,-1.82,76,-232.7626769,-3.06,-4.42,-1.7,76,-256.665688,-3.38,-4.69,-2.06
202122,Academic year,Local authority,E92000001,England,E13000001,Inner London,202,Camden,E09000007,CINO at 31 March,Revised,34,12,35,34,9,26,34,11,32,34,8,24,34,10,29,34,10,29,30,-77.85635458,-2.6,-4.85,-0.34,30,-95.07627368,-3.17,-5.33,-1.01,30,-58.49666455,-1.95,-4.04,0.14
202122,Academic year,Local authority,E92000001,England,E13000001,Inner London,201,City of London,E09000001,CINO at 31 March,Revised,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E13000001,Inner London,204,Hackney,E09000012,CINO at 31 March,Revised,0,z,z,0,z,z,0,z,z,0,z,z,0,z,z,0,z,z,c,c,c,c,c,0,z,z,z,z,0,z,z,z,z
202122,Academic year,Local authority,E92000001,England,E13000001,Inner London,205,Hammersmith and Fulham,E09000013,CINO at 31 March,Revised,35,23,66,35,19,54,35,20,57,35,15,43,35,21,60,35,23,66,32,23.0101457,0.72,-1.46,2.9,32,-16.38254481,-0.51,-2.6,1.58,32,-32.32732885,-1.01,-3.04,1.02
202122,Academic year,Local authority,E92000001,England,E13000001,Inner London,309,Haringey,E09000014,CINO at 31 March,Revised,43,18,42,43,16,37,43,17,40,43,12,28,43,18,42,42,24,57,34,-59.59266789,-1.75,-3.87,0.36,35,-41.37813365,-1.18,-3.18,0.82,33,-83.96733263,-2.54,-4.54,-0.55
202122,Academic year,Local authority,E92000001,England,E13000001,Inner London,206,Islington,E09000019,CINO at 31 March,Revised,62,39,63,62,33,53,62,25,40,62,19,31,61,35,57,62,39,63,57,43.58965986,0.76,-0.87,2.4,56,82.90113799,1.48,-0.1,3.06,57,-137.2654264,-2.41,-3.93,-0.89
202122,Academic year,Local authority,E92000001,England,E13000001,Inner London,207,Kensington and Chelsea,E09000020,CINO at 31 March,Revised,18,14,78,18,12,67,18,11,61,18,10,56,18,14,78,18,14,78,17,44.28724273,2.61,-0.38,5.59,17,48.23346061,2.84,-0.03,5.71,17,3.65065971,0.21,-2.57,3
