time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_pupils,t_att8,avg_att8,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
202122,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CLA 12 months at 31 March,Revised,81,1792.25,22.1,10,12.3,24,29.6,x,x,x,x,69,-90.821,-1.32,-1.65,-0.98
202122,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CLA 12 months at 31 March,Revised,93,1952.25,21,8,8.6,19,20.4,x,x,x,x,70,-84.15,-1.2,-1.53,-0.87
202122,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CLA 12 months at 31 March,Revised,36,599.5,16.7,c,c,8,22.2,x,x,x,x,28,-43.454,-1.55,-2.07,-1.03
202122,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CLA 12 months at 31 March,Revised,44,927.5,21.1,c,c,12,27.3,x,x,x,x,39,-63.058,-1.62,-2.06,-1.17
202122,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CLA 12 months at 31 March,Revised,35,523.75,15,c,c,c,c,x,x,x,x,26,-55.331,-2.13,-2.67,-1.59
202122,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CLA 12 months at 31 March,Revised,39,727.25,18.6,c,c,7,17.9,x,x,x,x,30,-46.912,-1.56,-2.07,-1.06
202122,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CLA 12 months at 31 March,Revised,35,763.25,21.8,c,c,7,20,x,x,x,x,28,-34.972,-1.25,-1.77,-0.73
202122,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CLA 12 months at 31 March,Revised,34,590.5,17.4,c,c,7,20.6,x,x,x,x,29,-38.378,-1.32,-1.84,-0.81
202122,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CLA 12 months at 31 March,Revised,45,804,17.9,c,c,10,22.2,x,x,x,x,38,-58.81,-1.55,-2,-1.1
202122,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CLA 12 months at 31 March,Revised,31,620.25,20,6,19.4,6,19.4,x,x,x,x,25,-36.418,-1.46,-2.01,-0.9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CLA 12 months at 31 March,Revised,31,540.25,17.4,c,c,c,c,x,x,x,x,22,-38.596,-1.75,-2.34,-1.17
202122,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CLA 12 months at 31 March,Revised,52,1114.5,21.4,c,c,14,26.9,x,x,x,x,44,-59.154,-1.34,-1.76,-0.93
202122,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CLA 12 months at 31 March,Revised,67,1762,26.3,6,9,15,22.4,x,x,x,x,55,-51.825,-0.94,-1.31,-0.57
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,CLA 12 months at 31 March,Revised,22,478.25,21.7,c,c,c,c,x,x,x,x,19,-16.659,-0.88,-1.51,-0.24
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,CLA 12 months at 31 March,Revised,86,1804,21,11,12.8,22,25.6,x,x,x,x,68,-88.41,-1.3,-1.63,-0.97
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,CLA 12 months at 31 March,Revised,24,393.25,16.4,c,c,c,c,x,x,x,x,19,-32.616,-1.72,-2.35,-1.08
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,CLA 12 months at 31 March,Revised,51,873,17.1,6,11.8,8,15.7,x,x,x,x,39,-43.937,-1.13,-1.57,-0.68
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,CLA 12 months at 31 March,Revised,29,583.75,20.1,c,c,c,c,x,x,x,x,26,-38.536,-1.48,-2.02,-0.94
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CLA 12 months at 31 March,Revised,62,1448.5,23.4,8,12.9,18,29,x,x,x,x,56,-87.415,-1.56,-1.93,-1.19
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,CLA 12 months at 31 March,Revised,56,1259.25,22.5,6,10.7,15,26.8,x,x,x,x,49,-52.703,-1.08,-1.47,-0.68
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,Leeds,E08000035,CLA 12 months at 31 March,Revised,94,2475.5,26.3,16,17,29,30.9,x,x,x,x,83,-70.494,-0.85,-1.15,-0.55
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,CLA 12 months at 31 March,Revised,30,538.75,18,c,c,c,c,x,x,x,x,21,-19.819,-0.94,-1.55,-0.34
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,CLA 12 months at 31 March,Revised,24,603.75,25.2,c,c,6,25,x,x,x,x,17,-6.014,-0.35,-1.02,0.32
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,North Yorkshire,E10000023,CLA 12 months at 31 March,Revised,33,737.5,22.3,6,18.2,8,24.2,x,x,x,x,25,-20.351,-0.81,-1.37,-0.26
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,CLA 12 months at 31 March,Revised,48,985.75,20.5,c,c,9,18.8,x,x,x,x,37,-44.159,-1.19,-1.65,-0.74
