Back to index,,,,,,,,,,,,,,,,,,,
Table LA4:  Children who have been looked after continuously for at least twelve months1 by special educational needs (SEN),,,,,,,,,,,,,,,,,,,
Years: 2015,,,,,,,,,,,,,,,,,,,
"Coverage: England, primary, secondary and special schools, pupil referral units and alternative provision",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LA Code,,,Percentage of school aged children with UPN2,Number of children looked after at 31 March who had been continuously looked after for at least twelve months and matched to census data3,,Number of looked after children with the following provision for SEN4:,,,,,,,,,Total with SEN6,,,,
,,,,,,No SEN,,,"SEN without statement or education, health and care plan5",,,"SEN with a statement or education, health and care plan",,,,,,,
,,,,,,Number,Percentage7,,Number,Percentage7,,Number,Percentage7,,Number,Percentage7,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,SOUTH EAST,.,"4,510",,"1,640",36.3,,"1,510",33.4,,"1,370",30.3,,"2,880",63.7,,,
E06000036,867,Bracknell Forest ,100,55,,15,27.8,,20,35.2,,20,37.0,,40,72.2,,,
E06000043,846,Brighton and Hove ,90-99,230,,65,29.1,,95,42.2,,65,28.7,,165,70.9,,,
E10000002,825,Buckinghamshire,90-99,220,,80,35.7,,60,28.1,,80,36.2,,140,64.3,,,
E10000011,845,East Sussex,100,330,,120,36.7,,85,26.2,,125,37.0,,210,63.3,,,
E10000014,850,Hampshire,90-99,665,,285,42.6,,215,32.5,,165,24.9,,385,57.4,,,
E06000046,921,Isle of Wight ,100,95,,40,42.1,,30,33.7,,25,24.2,,55,57.9,,,
E10000016,886,Kent,90-99,930,,355,38.0,,300,32.0,,280,30.0,,575,62.0,,,
E06000035,887,Medway ,100,190,,45,24.9,,80,42.9,,60,32.3,,140,75.1,,,
E06000042,826,Milton Keynes ,90-99,175,,60,35.8,,50,28.3,,60,35.8,,110,64.2,,,
E10000025,931,Oxfordshire,90-99,210,,65,30.8,,75,36.1,,70,33.2,,145,69.2,,,
E06000044,851,Portsmouth ,100,155,,60,38.7,,55,34.8,,40,26.5,,95,61.3,,,
E06000038,870,Reading ,100,115,,40,32.8,,40,32.8,,40,34.5,,80,67.2,,,
E06000039,871,Slough ,90-99,80,,35,42.3,,25,30.8,,20,26.9,,45,57.7,,,
E06000045,852,Southampton ,90-99,250,,100,40.6,,105,41.8,,45,17.7,,150,59.4,,,
E10000030,936,Surrey,90-99,345,,135,39.1,,110,32.5,,100,28.4,,210,60.9,,,
E06000037,869,West Berkshire ,100,90,,35,41.6,,25,28.1,,25,30.3,,50,58.4,,,
E10000032,938,West Sussex,90-99,285,,75,25.4,,105,36.9,,110,37.6,,215,74.6,,,
E06000040,868,Windsor and Maidenhead ,100,55,,20,33.3,,20,38.9,,15,27.8,,35,66.7,,,
E06000041,872,Wokingham ,90-99,40,,10,24.4,,5,14.6,,25,61.0,,30,75.6,,,
,,,,,,,,,,,,,,,,,,,
,,SOUTH WEST,.,"2,710",,870,32.1,,930,34.3,,910,33.6,,"1,840",67.9,,,
E06000022,800,Bath and North East Somerset,100,90,,50,55.7,,15,15.9,,25,28.4,,40,44.3,,,
E06000028,837,Bournemouth ,100,125,,50,38.9,,40,31.7,,35,29.4,,75,61.1,,,
E06000023,801,"Bristol, City of ",100,355,,130,36.2,,115,31.9,,115,31.9,,225,63.8,,,
E06000052,908,Cornwall,100,240,,85,34.7,,75,31.8,,80,33.5,,155,65.3,,,
E10000008,878,Devon,90-99,325,,80,24.5,,100,30.9,,145,44.6,,245,75.5,,,
E10000009,835,Dorset,100,165,,45,27.5,,75,43.7,,50,28.7,,120,72.5,,,
E10000013,916,Gloucestershire,100,230,,70,31.2,,80,35.1,,80,33.8,,160,68.8,,,
E06000053,420,Isles of Scilly,.,0,,.,.,,.,.,,.,.,,.,.,,,
E06000024,802,North Somerset ,100,105,,40,36.8,,35,34.0,,30,29.2,,65,63.2,,,
E06000026,879,Plymouth ,90-99,195,,65,33.7,,60,31.6,,65,34.7,,130,66.3,,,
E06000029,836,Poole ,90-99,90,,25,29.2,,40,44.9,,25,25.8,,65,70.8,,,
E10000027,933,Somerset ,90-99,220,,55,24.9,,105,46.6,,65,28.5,,165,75.1,,,
E06000025,803,South Gloucestershire ,100,80,,25,34.2,,20,25.3,,30,40.5,,50,65.8,,,
E06000030,866,Swindon ,100,110,,35,29.7,,40,35.1,,40,35.1,,80,70.3,,,
E06000027,880,Torbay ,100,170,,45,26.0,,65,39.1,,60,34.9,,125,74.0,,,
E06000054,865,Wiltshire,90-99,205,,70,34.8,,65,31.9,,70,33.3,,135,65.2,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Source: CLA-NPD matched data,,,
,,,,,,,,,,,,,,,,,,,
1. Children looked after continuously for at least twelve months as at 31 March 2015 excluding those children in respite care. Only children who are matched to 2015 census data and aged four or above at 31 March 2015 have been included. ,,,,,,,,,,,,,,,,,,,
2.  This is the percentage of children looked after continuously for twelve months at 31 March who were aged 4-15 at the start of the academic year (31 August 2014) and had a valid unique pupil number (UPN) recorded in the SSDA903 return.,,,,,,,,,,,,,,,,,,,
"3. Includes looked after children aged four and above as at 31 March 2015 who have been matched to the 2015 school census (including pupil referral units) or local authority alternative provision (AP) census. If a child has been recorded on more than one census, then they have only been counted once.   ",,,,,,,,,,,,,,,,,,,
"4. For children who have been recorded on more than one census type, only their highest level of SEN provision has been counted.",,,,,,,,,,,,,,,,,,,
5. SEN without a statement includes children at school action and school action plus and SEN support. ,,,,,,,,,,,,,,,,,,,
"6. All children with SEN include those with a statement of special educational needs, an education, health and care plan and those at school action, school action plus or SEN support. ",,,,,,,,,,,,,,,,,,,
"7. The number of looked after children with a given SEN, expressed as a percentage of the total number of looked after children who were matched to the 2015 school census (including pupil referral units) and local authority alternative provision census.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"All numbers relating to national or regional totals have been rounded to the nearest 10, all local authority numbers have been rounded to the nearest 5.",,,,,,,,,,,,,,,,,,,
Totals may not appear to equal the sum of component parts because numbers have been rounded.,,,,,,,,,,,,,,,,,,,
x = number less than or equal to 5 or percentage where the numerator is less than or equal to 5 or the denominator is less than or equal to 10.,,,,,,,,,,,,,,,,,,,
. = not applicable,,,,,,,,,,,,,,,,,,,
See methodology and quality document for more information on rounding conventions.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
