New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceaAdop
E10000002,LA,825,Buckinghamshire,159,32
E06000042,LA,826,Milton Keynes,136,12
E10000007,LA,830,Derbyshire,280,79
E06000015,LA,831,Derby,174,55
E10000009,LA,835,Dorset,170,18
E06000029,LA,836,Poole,69,13
E06000028,LA,837,Bournemouth,169,34
E06000047,LA,840,Durham,260,45
E06000005,LA,841,Darlington,88,23
E10000011,LA,845,East Sussex,189,43
E06000043,LA,846,Brighton and Hove,192,51
E10000014,LA,850,Hampshire,538,86
E06000044,LA,851,Portsmouth,164,34
E06000045,LA,852,Southampton,192,51
E10000018,LA,855,Leicestershire,245,48
E06000016,LA,856,Leicester,190,27
E06000017,LA,857,Rutland,15,0
E10000028,LA,860,Staffordshire,363,62
E06000021,LA,861,Stoke-on-Trent,216,29
E06000054,LA,865,Wiltshire,189,27
E06000030,LA,866,Swindon,131,13
E06000036,LA,867,Bracknell Forest,58,6
E06000040,LA,868,Windsor and Maidenhead,47,7
E06000037,LA,869,West Berkshire,68,x
E06000038,LA,870,Reading,85,19
E06000039,LA,871,Slough,112,23
E06000041,LA,872,Wokingham,40,x
E10000003,LA,873,Cambridgeshire,261,52
E06000031,LA,874,Peterborough,167,32
E06000006,LA,876,Halton,101,18
E06000007,LA,877,Warrington,109,17
E10000008,LA,878,Devon,350,61
E06000026,LA,879,Plymouth,208,38
E06000027,LA,880,Torbay,126,19
E10000012,LA,881,Essex,516,95
E06000033,LA,882,Southend-on-Sea,107,17
E06000034,LA,883,Thurrock,131,13
E06000019,LA,884,Herefordshire,93,16
E10000034,LA,885,Worcestershire,272,54
E10000016,LA,886,Kent,869,181
E06000035,LA,887,Medway,195,48
E10000017,LA,888,Lancashire,583,119
E06000008,LA,889,Blackburn with Darwen,120,44
E06000009,LA,890,Blackpool,187,50
E10000024,LA,891,Nottinghamshire,380,97
E06000018,LA,892,Nottingham,284,70
E06000051,LA,893,Shropshire,95,16
E06000020,LA,894,Telford and Wrekin,127,36
E06000049,LA,895,Cheshire East,126,21
E06000050,LA,896,Cheshire West and Chester,144,31
E06000052,LA,908,Cornwall,254,39
E10000006,LA,909,Cumbria,215,50
E10000013,LA,916,Gloucestershire,251,52
E10000015,LA,919,Hertfordshire,514,68
E06000046,LA,921,Isle of Wight,77,7
