New_geog_code,geog_l,geog_c,geog_n,CLA_MissDuringYear,CLA_MissIncs,CLA_MissMoreOnce,CLA_Miss31Mar,CLA_AwayDuringYear,CLA_AwayIncs,CLA_AwayMoreOnce,CLA_Away31Mar
E10000007,LA,830,Derbyshire,71,213,41,x,73,426,44,0
E06000015,LA,831,Derby,30,109,15,0,12,55,7,0
E10000009,LA,835,Dorset,23,145,11,0,6,15,x,0
E06000029,LA,836,Poole,6,14,x,x,x,x,0,0
E06000028,LA,837,Bournemouth,22,98,12,0,18,50,9,0
E06000047,LA,840,Durham,33,103,21,0,x,x,0,0
E06000005,LA,841,Darlington,10,33,7,0,8,13,x,0
E10000011,LA,845,East Sussex,30,149,18,x,12,73,9,0
E06000043,LA,846,Brighton and Hove,58,166,36,x,58,244,32,0
E10000014,LA,850,Hampshire,89,1102,61,x,176,827,104,x
E06000044,LA,851,Portsmouth,27,251,20,0,19,43,8,0
E06000045,LA,852,Southampton,9,24,x,0,x,x,0,x
E10000018,LA,855,Leicestershire,21,48,7,x,10,22,x,0
E06000016,LA,856,Leicester,x,6,x,0,x,x,x,0
E06000017,LA,857,Rutland,x,x,0,0,x,x,0,0
E10000028,LA,860,Staffordshire,93,281,51,x,0,0,0,0
E06000021,LA,861,Stoke-on-Trent,54,298,33,0,0,0,0,0
E06000054,LA,865,Wiltshire,23,62,17,x,6,10,x,0
E06000030,LA,866,Swindon,54,283,30,x,13,22,6,0
E06000036,LA,867,Bracknell Forest,11,32,6,0,14,61,6,0
E06000040,LA,868,Windsor and Maidenhead,x,8,x,0,10,104,8,0
E06000037,LA,869,West Berkshire,0,0,0,0,27,150,19,0
E06000038,LA,870,Reading,26,103,14,0,x,21,x,0
E06000039,LA,871,Slough,30,233,17,x,0,0,0,0
E06000041,LA,872,Wokingham,8,30,6,0,7,15,x,0
E10000003,LA,873,Cambridgeshire,53,161,28,0,41,207,22,0
E06000031,LA,874,Peterborough,28,74,15,x,31,94,17,0
E06000006,LA,876,Halton,42,271,35,0,21,82,16,0
E06000007,LA,877,Warrington,41,182,25,x,16,49,8,0
E10000008,LA,878,Devon,x,x,0,0,x,x,0,0
E06000026,LA,879,Plymouth,23,37,10,0,x,6,x,0
E06000027,LA,880,Torbay,12,32,x,0,0,0,0,0
E10000012,LA,881,Essex,192,921,119,x,147,883,104,x
E06000033,LA,882,Southend-on-Sea,23,58,12,0,25,59,12,0
E06000034,LA,883,Thurrock,15,31,7,x,x,11,x,0
E06000019,LA,884,Herefordshire,14,34,x,0,x,7,x,x
E10000034,LA,885,Worcestershire,79,191,37,x,x,x,0,0
E10000016,LA,886,Kent,340,1438,186,25,139,282,55,6
E06000035,LA,887,Medway,29,153,22,x,0,0,0,0
E10000017,LA,888,Lancashire,117,770,80,0,0,0,0,0
E06000008,LA,889,Blackburn with Darwen,21,64,12,0,x,x,0,0
E06000009,LA,890,Blackpool,46,272,35,x,37,126,20,0
E10000024,LA,891,Nottinghamshire,137,513,85,x,15,136,8,x
E06000018,LA,892,Nottingham,72,213,43,0,54,321,38,x
E06000051,LA,893,Shropshire,35,123,17,0,0,0,0,0
E06000020,LA,894,Telford and Wrekin,17,38,6,0,0,0,0,0
E06000049,LA,895,Cheshire East,49,336,38,0,19,82,15,0
E06000050,LA,896,Cheshire West and Chester,62,319,40,0,16,27,7,0
E06000052,LA,908,Cornwall,36,101,20,0,17,28,8,0
E10000006,LA,909,Cumbria,23,51,10,x,x,x,0,0
E10000013,LA,916,Gloucestershire,50,215,32,x,33,93,20,x
E10000015,LA,919,Hertfordshire,125,587,64,x,57,141,26,0
E06000046,LA,921,Isle of Wight,45,202,27,0,15,48,10,0
E10000019,LA,925,Lincolnshire,46,154,24,x,x,10,x,0
E10000020,LA,926,Norfolk,83,291,40,0,19,25,x,0
E10000021,LA,928,Northamptonshire,22,38,6,x,38,97,20,0
E06000048,LA,929,Northumberland,9,27,x,0,0,0,0,0
E10000025,LA,931,Oxfordshire,94,474,59,x,0,0,0,0
E10000027,LA,933,Somerset,16,18,x,x,x,x,0,0
E10000029,LA,935,Suffolk,84,344,52,x,41,114,19,0
E10000030,LA,936,Surrey,110,402,55,7,58,206,32,0
E10000031,LA,937,Warwickshire,25,61,11,x,x,8,x,0
E10000032,LA,938,West Sussex,38,87,22,0,21,35,7,0
