New_geog_code,geog_l,geog_c,geog_n,CLA_12mths,CLA_10over,CLA_convicted,CLA_submisuse,CLA_subint,CLA_suboffint,CLA_immunisation,CLA_teethcheck,CLA_healthassmt,CLA_5under,CLA_devassmt,CLA_5to16,CLA_SDQ,CLA_SDQnormal,CLA_SDQborderline,CLA_SDQconcern
E06000017,LA,857,Rutland,24,11,0,0,0,0,24,20,23,8,8,18,9,x,x,x
E10000028,LA,860,Staffordshire,687,458,9,39,x,32,483,638,621,84,70,546,279,129,36,114
E06000021,LA,861,Stoke-on-Trent,394,191,8,14,10,x,374,367,354,122,95,250,211,103,28,80
E06000054,LA,865,Wiltshire,280,208,8,13,8,x,268,254,254,24,20,224,173,87,19,67
E06000030,LA,866,Swindon,163,121,10,14,12,x,144,149,138,18,11,124,109,58,x,x
E06000036,LA,867,Bracknell Forest,77,55,6,x,x,x,73,69,74,11,11,59,54,28,x,x
E06000040,LA,868,Windsor and Maidenhead,72,51,0,x,x,x,66,69,69,11,11,56,40,23,x,x
E06000037,LA,869,West Berkshire,115,83,7,10,7,x,114,104,74,15,15,92,85,29,17,39
E06000038,LA,870,Reading,150,95,10,6,x,x,148,132,117,16,11,118,111,30,19,62
E06000039,LA,871,Slough,112,76,x,x,x,x,111,105,102,12,12,85,85,31,14,40
E06000041,LA,872,Wokingham,49,43,0,x,x,x,38,45,29,x,x,42,41,11,x,x
E10000003,LA,873,Cambridgeshire,337,242,x,0,0,0,313,321,325,33,31,275,257,122,30,105
E06000031,LA,874,Peterborough,248,177,7,6,0,6,228,224,219,34,32,186,x,x,0,0
E06000006,LA,876,Halton,147,92,16,x,0,x,139,121,144,29,29,118,111,55,13,43
E06000007,LA,877,Warrington,170,113,x,x,x,x,150,144,154,25,18,129,113,53,13,47
E10000008,LA,878,Devon,446,339,22,34,34,0,322,362,343,42,27,325,269,108,40,121
E06000026,LA,879,Plymouth,263,189,x,x,x,x,236,133,221,39,36,193,159,67,19,73
E06000027,LA,880,Torbay,225,145,6,0,0,0,181,169,200,25,20,180,81,33,13,35
E10000012,LA,881,Essex,774,604,24,23,x,14,698,693,685,59,47,590,467,224,62,181
E06000033,LA,882,Southend-on-Sea,158,121,x,14,x,11,117,147,144,19,17,122,82,34,14,34
E06000034,LA,883,Thurrock,212,147,x,x,0,0,181,195,183,29,25,164,164,86,19,59
E06000019,LA,884,Herefordshire,180,100,0,0,0,0,0,92,137,40,0,134,37,18,7,12
E10000034,LA,885,Worcestershire,451,301,16,13,x,8,312,159,342,65,59,343,144,61,13,70
E10000016,LA,886,Kent,1209,911,68,32,x,27,870,1156,1099,90,74,919,665,303,89,273
E06000035,LA,887,Medway,251,165,13,8,7,x,229,140,247,34,33,199,177,68,27,82
E10000017,LA,888,Lancashire,1172,681,26,32,12,13,992,932,1077,257,229,862,604,305,72,227
E06000008,LA,889,Blackburn with Darwen,245,140,x,6,0,0,209,237,239,51,47,196,122,56,17,49
E06000009,LA,890,Blackpool,315,175,8,22,19,x,307,306,310,73,73,232,222,117,26,79
E10000024,LA,891,Nottinghamshire,569,391,x,16,0,16,458,439,462,70,x,441,264,112,29,123
E06000018,LA,892,Nottingham,374,249,16,26,10,16,351,331,332,56,56,264,232,98,23,111
E06000051,LA,893,Shropshire,213,133,0,0,0,0,193,126,182,38,38,156,101,42,14,45
E06000020,LA,894,Telford and Wrekin,216,139,x,8,x,x,209,210,194,34,34,167,103,53,15,35
E06000049,LA,895,Cheshire East,245,173,14,6,6,0,240,240,235,18,18,205,198,99,29,70
E06000050,LA,896,Cheshire West and Chester,332,213,0,x,0,0,252,233,257,54,7,254,142,87,16,39
E06000052,LA,908,Cornwall,306,250,8,15,11,x,306,256,298,17,17,245,199,109,27,63
E10000006,LA,909,Cumbria,502,263,16,25,17,7,474,405,448,126,110,349,287,148,41,98
E10000013,LA,916,Gloucestershire,311,204,20,x,x,0,281,278,285,38,37,235,234,105,33,96
E10000015,LA,919,Hertfordshire,680,480,26,39,9,13,604,554,544,93,92,491,368,195,48,125
E06000046,LA,921,Isle of Wight,134,91,8,11,x,6,112,125,128,25,24,94,87,46,13,28
E10000019,LA,925,Lincolnshire,405,256,9,6,6,0,400,395,393,61,61,310,306,129,38,139
E10000020,LA,926,Norfolk,781,562,13,0,0,0,757,663,644,94,88,618,565,271,80,214
E10000021,LA,928,Northamptonshire,556,391,31,56,9,27,430,375,501,76,56,408,45,25,6,14
E06000048,LA,929,Northumberland,257,153,13,x,x,0,232,239,243,60,49,179,161,79,20,62
E10000025,LA,931,Oxfordshire,308,227,8,26,19,x,287,250,305,38,38,226,182,71,24,87
E10000027,LA,933,Somerset,306,218,15,x,x,0,263,272,270,41,38,233,127,55,12,60
E10000029,LA,935,Suffolk,507,370,15,22,x,15,445,363,461,59,59,393,272,111,30,131
E10000030,LA,936,Surrey,534,392,21,26,7,17,349,480,427,65,59,391,287,128,45,114
E10000031,LA,937,Warwickshire,460,323,9,9,x,x,390,369,367,60,59,355,253,129,40,84
E10000032,LA,938,West Sussex,399,310,25,34,12,21,382,368,365,43,43,282,0,0,0,0
