New_geog_code,geog_l,geog_c,geog_n,All_aged1920&21,Act_HE,Act_OE,Act_TE,Act_NEET_ill,Act_NEET_oth,Act_NEET_preg,LA_NoActinf,Acc_SUIT,Acc_P,Acc_CH,Acc_SITA,Acc_SL,Acc_GA,Acc_Dep,Acc_OL,Acc_ResNk,Acc_NFA,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_Cust,Acc_FFC,Acc_OTH,LA_NoAccinf
E06000037,LA,869,West Berkshire,56,0,11,19,x,18,x,x,45,15,0,9,x,x,0,x,x,x,0,12,0,0,x,x,x,x
E06000038,LA,870,Reading,64,6,10,18,x,15,9,x,53,8,x,x,x,0,0,x,0,x,x,35,0,0,x,x,x,x
E06000039,LA,871,Slough,76,x,30,20,x,12,x,x,64,6,x,8,0,0,0,x,0,x,10,33,0,x,x,7,x,x
E06000041,LA,872,Wokingham,39,x,9,12,x,8,x,x,36,11,x,x,x,0,0,0,0,0,0,12,0,x,x,x,x,x
E10000003,LA,873,Cambridgeshire,238,x,50,58,17,103,x,0,200,33,9,10,11,0,0,47,x,x,0,48,x,x,8,19,47,0
E06000031,LA,874,Peterborough,125,7,35,21,12,32,7,11,102,15,7,10,x,0,0,x,x,0,x,49,x,0,8,9,x,11
E06000006,LA,876,Halton,49,x,x,12,9,11,7,0,43,x,x,x,0,0,0,0,0,x,0,31,0,0,x,x,x,0
E06000007,LA,877,Warrington,70,x,13,25,x,20,0,x,60,10,x,x,x,0,0,0,0,0,x,30,0,0,x,8,x,x
E10000008,LA,878,Devon,450,17,61,83,59,101,31,98,335,118,20,17,17,0,0,x,0,x,13,121,x,x,x,21,x,98
E06000026,LA,879,Plymouth,163,x,23,38,x,50,0,44,106,16,x,x,x,0,0,0,0,0,14,60,0,x,x,x,10,44
E06000027,LA,880,Torbay,105,12,13,35,x,35,0,x,102,16,x,0,8,0,0,0,0,0,x,65,x,0,0,x,7,x
E10000012,LA,881,Essex,633,33,99,150,48,151,54,98,484,78,22,57,31,0,0,28,x,14,15,237,x,x,14,14,18,98
E06000033,LA,882,Southend-on-Sea,79,x,15,26,x,13,7,8,63,9,x,x,x,0,0,0,0,0,x,30,x,0,x,12,x,8
E06000034,LA,883,Thurrock,111,8,15,23,8,22,12,23,81,10,x,x,x,0,0,0,0,0,x,52,x,0,7,x,x,23
E06000019,LA,884,Herefordshire,94,x,x,8,x,x,0,74,20,x,x,x,x,0,0,x,0,0,x,x,0,0,0,0,x,74
E10000034,LA,885,Worcestershire,286,12,39,58,25,73,18,61,206,31,14,16,11,0,0,x,x,x,12,97,0,x,7,10,15,61
E10000016,LA,886,Kent,953,45,131,198,80,182,63,254,615,62,13,97,106,x,x,14,6,14,6,298,x,x,27,x,41,253
E06000035,LA,887,Medway,188,x,31,53,20,56,17,x,162,26,8,15,13,0,0,x,x,x,8,64,x,0,10,20,8,x
E10000017,LA,888,Lancashire,365,36,32,66,30,87,40,74,248,0,10,16,13,0,0,19,x,8,x,157,x,0,22,26,13,74
E06000008,LA,889,Blackburn with Darwen,112,9,14,24,16,24,13,12,90,34,x,x,x,0,0,x,x,x,0,42,0,0,x,0,x,12
E06000009,LA,890,Blackpool,108,9,15,20,16,26,14,8,95,11,7,x,x,0,0,x,x,x,x,56,0,0,6,6,x,x
E10000024,LA,891,Nottinghamshire,268,10,54,72,28,71,0,33,218,31,17,13,33,0,0,0,0,0,x,115,x,x,11,0,9,33
E06000018,LA,892,Nottingham,201,x,25,71,15,43,x,31,161,18,12,x,8,0,0,0,0,0,x,103,0,0,9,x,10,31
E06000051,LA,893,Shropshire,105,x,23,21,x,40,0,11,84,9,x,x,13,0,0,x,0,0,x,52,0,0,6,0,x,11
E06000020,LA,894,Telford and Wrekin,92,x,10,27,19,12,13,x,83,13,x,8,7,0,0,x,0,0,x,41,0,0,x,x,x,6
E06000049,LA,895,Cheshire East,121,11,22,25,12,39,x,x,114,12,8,x,x,0,0,x,0,x,8,72,0,0,x,x,x,x
E06000050,LA,896,Cheshire West and Chester,103,x,19,28,15,27,x,x,89,14,11,x,10,x,0,8,0,x,x,37,x,x,x,x,x,x
E06000052,LA,908,Cornwall,203,9,51,75,11,26,19,12,180,29,10,9,8,0,0,7,0,x,x,98,x,x,x,11,x,12
E10000006,LA,909,Cumbria,141,x,18,39,23,28,15,x,129,25,11,12,18,0,0,13,x,x,0,41,0,0,x,6,x,x
E10000013,LA,916,Gloucestershire,241,14,28,71,20,76,12,20,197,24,13,26,16,0,0,7,x,x,x,91,0,x,12,14,8,20
E10000015,LA,919,Hertfordshire,522,40,75,124,41,181,19,42,431,51,25,41,30,0,0,6,6,9,9,247,x,x,8,21,18,42
E06000046,LA,921,Isle of Wight,86,x,19,24,15,14,x,6,80,16,7,9,13,0,0,0,0,0,0,31,0,0,0,x,x,x
E10000019,LA,925,Lincolnshire,188,6,46,46,24,38,15,13,154,36,15,13,12,x,0,0,x,x,x,59,0,x,11,25,0,9
E10000020,LA,926,Norfolk,426,31,49,99,36,136,22,53,326,36,12,20,38,0,0,0,x,x,10,166,x,x,13,48,18,53
E10000021,LA,928,Northamptonshire,405,21,73,68,12,124,0,107,271,23,12,16,11,0,0,x,0,0,x,191,x,0,x,10,23,107
E06000048,LA,929,Northumberland,94,x,15,19,x,36,10,x,85,19,x,x,7,0,0,x,x,x,0,48,0,0,x,x,x,x
E10000025,LA,931,Oxfordshire,265,11,37,53,21,73,19,51,194,33,6,14,8,0,0,7,x,x,20,75,0,0,11,14,19,51
E10000027,LA,933,Somerset,269,6,51,67,23,81,27,14,233,35,17,22,6,0,0,x,0,6,x,145,x,0,10,6,x,14
E10000029,LA,935,Suffolk,275,x,44,66,26,85,x,39,208,22,21,22,16,0,0,x,0,0,14,106,0,x,x,0,21,39
E10000030,LA,936,Surrey,357,20,103,73,39,79,15,28,288,39,31,56,13,x,0,7,x,8,0,92,x,7,8,56,11,21
E10000031,LA,937,Warwickshire,314,10,42,69,8,77,0,108,189,23,x,9,9,0,0,0,0,0,8,115,x,x,9,11,14,108
E10000032,LA,938,West Sussex,321,13,56,90,29,69,30,34,259,35,18,26,28,x,x,7,15,6,14,108,x,x,8,x,22,20
