New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2015,CLA_2015,CLA_stp2015,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E06000025,LA,803,South Gloucestershire,174,249,33,96,78,9,22,29,58,56,150,12,x,x,x,x,137,x,9,x,6,x,10,0,20,66,0,9,79,0,0,x,125,x,x,23,14,x,0,120,54,171,117
E06000001,LA,805,Hartlepool,163,247,12,84,79,7,21,27,77,31,x,x,0,x,0,x,137,9,x,x,7,x,x,0,10,91,0,18,44,0,0,0,118,7,0,29,x,x,0,111,52,57,x
E06000002,LA,806,Middlesbrough,360,523,17,181,179,27,51,64,153,65,315,13,x,17,x,x,265,8,21,x,56,x,x,x,16,188,0,28,128,0,0,0,149,x,0,150,37,x,x,147,213,76,-137
E06000003,LA,807,Redcar and Cleveland,183,253,x,95,88,8,30,38,80,27,x,x,x,0,x,0,143,x,12,x,19,0,0,0,19,106,0,12,46,0,0,0,84,x,0,66,18,x,0,89,94,52,-42
E06000004,LA,808,Stockton-on-Tees,374,514,38,208,166,17,55,112,130,60,336,13,12,x,x,0,269,13,30,x,47,0,x,0,16,230,0,29,99,0,0,x,190,x,x,144,x,30,0,247,127,138,11
E06000010,LA,810,"Kingston Upon Hull, City of",663,871,26,360,303,39,137,164,207,116,617,23,x,x,14,0,495,x,68,34,52,0,x,0,57,397,0,57,152,0,0,x,496,x,0,89,x,68,0,437,226,65,-161
E06000011,LA,811,East Riding of Yorkshire,290,430,x,142,148,16,35,64,113,62,x,x,0,x,0,0,226,18,13,x,21,x,x,0,17,153,0,25,95,0,0,0,179,9,x,79,x,13,0,207,83,273,190
E06000012,LA,812,North East Lincolnshire,265,418,x,159,106,26,59,67,82,31,x,0,x,x,0,0,199,18,x,x,38,0,0,0,49,103,0,x,76,x,0,x,231,0,0,25,x,x,0,200,65,44,-21
E06000013,LA,813,North Lincolnshire,177,237,x,98,79,x,x,54,67,39,161,x,8,0,x,0,150,x,x,0,16,x,0,0,23,84,0,x,56,0,x,x,140,x,x,25,x,x,0,126,51,84,33
E10000023,LA,815,North Yorkshire,446,620,44,260,186,29,68,72,169,108,423,x,x,x,0,0,344,14,30,x,46,0,x,0,56,254,0,x,95,0,x,x,364,x,0,38,x,30,0,361,85,237,152
