New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA_ceaDied,CLA_ceataken,CLA_ceaParPlan,CLA_ceaParNPlan,CLA_ceaNoPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_ceaRemEnd,CLA_ceaAgeAssmt,CLA_ceaAbroad,CLA_cea_OthRea
E08000009,LA,358,Trafford,96,53,43,x,x,12,26,43,9,x,0,x,33,x,0,x,x,x,25,x,x,x,0,0,0,10
E08000010,LA,359,Wigan,141,84,57,13,60,19,17,32,15,34,0,x,28,x,0,6,x,7,10,x,x,x,0,0,0,24
E08000016,LA,370,Barnsley,118,70,48,12,47,14,6,39,x,35,x,0,23,x,0,12,x,6,7,x,x,x,x,0,0,19
E08000017,LA,371,Doncaster,179,102,77,15,58,27,22,57,31,6,0,0,26,14,0,15,6,18,17,0,x,x,0,0,0,39
E08000018,LA,372,Rotherham,158,76,82,17,50,19,20,52,34,8,0,x,51,0,0,17,0,x,11,x,x,x,0,0,0,25
E08000019,LA,373,Sheffield,275,153,122,34,64,37,29,111,29,13,x,x,69,10,30,31,10,11,31,8,x,15,7,x,x,0
E08000032,LA,380,Bradford,301,152,149,15,106,47,53,80,31,44,0,0,72,13,x,x,32,17,x,0,x,x,0,0,0,80
E08000033,LA,381,Calderdale,96,58,38,x,31,x,18,27,13,7,0,0,15,6,8,x,12,7,14,0,x,x,0,0,0,8
E08000034,LA,382,Kirklees,236,134,102,27,74,29,39,67,8,35,x,0,63,x,0,25,20,23,32,x,10,x,x,0,x,x
E08000035,LA,383,Leeds,488,284,204,38,173,79,65,133,96,26,x,x,110,12,27,7,40,18,30,19,x,9,x,x,x,81
E08000036,LA,384,Wakefield,205,112,93,21,63,40,24,57,43,8,0,x,47,x,x,x,25,19,26,8,x,x,0,0,0,7
E08000020,LA,390,Gateshead,217,112,105,20,73,42,45,37,21,13,0,0,97,x,0,19,14,x,28,0,x,0,0,0,0,14
E08000021,LA,391,Newcastle upon Tyne,254,136,118,10,67,34,47,96,48,0,x,0,79,7,x,7,21,9,16,x,0,x,x,0,0,54
E08000022,LA,392,North Tyneside,146,71,75,16,51,21,26,32,10,11,0,0,69,x,0,6,14,7,15,x,x,x,0,0,0,6
E08000023,LA,393,South Tyneside,140,80,60,14,48,29,19,30,18,13,0,0,49,9,0,0,x,10,15,x,x,x,0,0,0,15
E08000024,LA,394,Sunderland,216,99,117,25,73,41,28,49,x,45,0,0,67,0,0,9,28,11,x,0,x,x,0,0,x,43
E06000022,LA,800,Bath and North East Somerset,70,32,38,x,29,12,x,16,10,x,0,0,27,x,x,x,x,x,12,0,x,0,0,0,0,x
E06000023,LA,801,"Bristol, City of",308,165,143,21,71,29,58,129,24,15,x,0,50,17,25,13,13,23,25,x,x,x,x,0,0,90
E06000024,LA,802,North Somerset,109,60,49,7,30,12,20,40,13,x,0,x,33,11,0,x,x,x,8,x,0,x,0,0,0,24
E06000025,LA,803,South Gloucestershire,79,42,37,12,13,12,12,30,9,x,0,x,21,x,x,x,11,x,22,0,0,x,0,0,0,0
