geog_l,geog_c,geog_n,StartTotal_2010,StartPlace_Q1_2010,StartPlace_Q2_2010,StartPlace_A3_2010,StartPlace_A4_2010,StartPlace_A5_2010,StartPlace_A6_2010,StartPlace_P1_2010,StartPlace_P2_2010,StartPlace_P3_2010,StartPlace_K1_2010,StartPlace_K2_2010,StartPlace_H5_2010,StartPlace_R1_2010,StartPlace_R2_2010,StartPlace_R3_2010,StartPlace_R5_2010,StartPlace_S1_2010,StartPlace_M1_2010,StartPlace_M2_2010,StartPlace_M3_2010,StartPlace_Z1_2010
LA,371,Doncaster,225,36,128,0,0,0,0,12,x,0,7,29,x,x,x,x,0,x,0,0,0,0
LA,372,Rotherham,146,16,94,0,0,0,0,x,8,0,0,18,x,0,x,0,0,0,0,0,0,x
LA,373,Sheffield,232,20,161,0,x,0,0,12,x,0,x,23,0,0,x,0,x,x,0,x,0,x
LA,380,Bradford,257,41,143,0,0,0,x,17,10,0,x,40,x,0,0,x,0,x,0,0,0,0
LA,381,Calderdale,66,x,49,0,x,0,0,x,0,0,x,9,0,0,0,0,0,x,0,0,0,x
LA,382,Kirklees,205,11,134,0,0,0,x,11,9,0,0,25,x,x,x,x,0,x,0,0,0,0
LA,383,Leeds,449,59,286,0,0,0,x,39,23,0,x,30,0,0,x,x,x,x,0,x,x,0
LA,384,Wakefield,143,6,105,0,0,0,0,x,11,0,0,16,0,0,x,0,0,0,0,0,0,0
LA,390,Gateshead,150,14,112,0,0,0,x,6,0,0,x,x,0,x,0,0,0,x,0,0,0,7
LA,391,Newcastle Upon Tyne,249,0,202,0,0,0,x,8,0,0,x,24,10,x,0,0,0,x,0,0,0,0
LA,392,North Tyneside,156,27,95,0,0,0,x,14,0,0,0,16,x,0,0,0,0,x,0,0,0,0
LA,393,South Tyneside,131,12,95,0,0,x,x,8,0,0,0,11,0,x,0,0,0,x,0,0,0,0
LA,394,Sunderland,130,14,89,0,0,0,x,x,0,0,0,18,0,x,0,0,x,x,0,0,0,0
LA,420,Isles of Scilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,800,Bath and North East Somerset,66,0,60,0,0,0,0,x,0,0,x,x,x,x,0,0,0,0,0,0,0,0
LA,801,"Bristol, City of",253,26,192,0,x,0,0,8,x,0,7,10,x,0,x,x,x,x,0,0,0,0
LA,802,North Somerset,107,16,76,0,0,0,x,x,x,0,x,x,0,0,0,x,0,0,0,0,x,0
LA,803,South Gloucestershire,95,x,67,0,x,0,0,x,9,0,x,x,0,6,x,x,0,0,0,0,0,0
LA,805,Hartlepool,98,x,89,x,0,0,x,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0
LA,806,Middlesbrough,184,23,134,0,x,0,0,7,x,0,0,13,0,x,0,0,0,x,0,0,0,0
LA,807,Redcar and Cleveland,99,18,70,0,0,0,x,x,0,0,0,x,x,x,0,0,0,x,0,0,0,0
LA,808,Stockton-On-Tees,184,30,132,0,0,0,0,x,x,0,x,13,0,0,0,0,0,x,0,0,0,0
LA,810,"Kingston Upon Hull, City of",227,19,164,0,0,0,0,9,x,0,x,29,x,0,0,0,0,0,0,0,0,0
LA,811,East Riding of Yorkshire,111,21,68,0,x,0,0,7,0,0,0,10,x,0,0,0,0,x,0,0,0,0
LA,812,North East Lincolnshire,79,0,65,0,0,0,x,x,x,0,x,x,0,0,0,0,x,0,0,0,0,0
LA,813,North Lincolnshire,84,x,53,0,0,0,0,6,0,0,x,17,x,0,0,0,0,x,0,0,0,0
LA,815,North Yorkshire,195,22,135,0,x,0,0,10,6,0,x,12,0,x,0,0,0,x,0,0,0,0
LA,816,York,85,7,65,0,x,0,x,x,0,0,x,x,0,0,0,x,0,0,0,0,0,0
LA,821,Luton,120,7,90,0,0,0,0,11,x,0,0,x,x,0,0,x,0,0,0,0,0,x
LA,825,Buckinghamshire,140,22,75,0,0,0,0,10,x,0,0,24,x,x,0,0,0,x,0,0,0,0
LA,826,Milton Keynes,163,16,108,0,0,0,0,15,x,0,0,14,0,0,0,0,x,0,0,0,0,0
LA,830,Derbyshire,314,20,229,0,0,0,0,10,15,0,x,22,x,6,x,0,x,6,0,0,0,0
LA,831,Derby,118,8,80,0,0,0,x,x,x,0,x,17,0,x,0,0,0,x,0,0,0,0
LA,835,Dorset,150,x,128,0,0,0,0,6,x,0,0,6,0,x,0,0,0,x,0,0,0,0
LA,836,Poole,47,x,33,0,0,0,0,x,x,0,x,6,0,0,0,0,0,x,0,0,x,0
LA,837,Bournemouth,90,16,57,0,0,0,0,x,7,0,x,x,x,0,0,x,0,x,0,0,0,0
LA,840,Durham,243,x,202,0,0,0,x,10,0,0,0,21,0,0,0,0,0,0,0,0,0,0
LA,841,Darlington,82,9,56,0,0,0,0,8,x,0,0,x,0,0,0,0,x,x,0,0,0,0
LA,845,East Sussex,180,19,138,0,0,0,0,8,0,0,x,9,0,0,0,0,x,x,0,0,0,0
LA,846,Brighton and Hove,245,36,159,0,x,0,x,11,9,0,x,15,x,0,x,0,0,x,0,0,x,x
LA,850,Hampshire,471,68,322,x,0,0,x,23,x,0,x,30,x,0,x,x,x,x,0,0,x,0
LA,851,Portsmouth,116,14,72,0,0,0,0,x,x,0,0,14,8,x,0,0,x,0,0,0,0,0
LA,852,Southampton,196,23,132,0,0,0,0,10,x,0,7,12,x,0,0,x,0,x,x,x,0,0
LA,855,Leicestershire,177,13,119,0,0,0,x,0,15,0,x,25,0,0,x,0,0,0,x,0,0,0
LA,856,Leicester,218,17,159,0,0,0,x,x,9,0,x,17,0,x,0,0,x,x,0,x,0,x
LA,857,Rutland,19,0,16,0,0,0,0,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,860,Staffordshire,306,32,209,0,0,0,x,14,8,0,x,30,7,0,x,0,x,x,0,0,0,0
LA,861,Stoke-on-Trent,179,31,116,0,0,0,x,8,0,0,x,16,0,0,x,0,x,0,0,0,x,x
LA,865,Wiltshire,150,7,114,x,0,0,0,6,x,0,x,10,0,0,x,0,0,x,0,0,x,x
LA,866,Swindon,86,x,68,0,0,0,0,x,6,0,x,0,0,x,0,x,0,0,0,0,0,0
LA,867,Bracknell Forest,48,x,28,0,0,0,0,x,x,0,x,7,0,x,x,0,0,0,0,0,0,0
LA,868,Windsor and Maidenhead,55,12,32,0,0,0,0,x,0,0,0,0,x,x,0,0,0,x,0,0,0,0
LA,869,West Berkshire,57,x,38,0,0,0,x,x,12,0,0,0,x,x,0,0,0,0,0,0,0,0
LA,870,Reading,117,9,86,0,0,0,0,0,10,0,0,9,x,0,0,x,0,0,0,0,0,x
LA,871,Slough,101,12,77,0,0,0,0,0,x,0,0,x,x,x,0,0,0,x,0,0,x,0
LA,872,Wokingham,37,11,17,0,x,0,0,x,x,0,0,0,0,0,0,0,0,x,0,0,0,0
LA,873,Cambridgeshire,174,14,107,0,x,x,0,x,9,x,0,13,0,15,0,x,0,x,0,0,0,x
LA,874,Peterborough,97,9,72,0,0,x,0,x,x,0,x,x,0,7,0,x,0,x,0,0,0,0
LA,876,Halton,37,9,22,0,0,0,x,0,0,0,0,x,0,0,0,x,0,0,0,0,0,0
LA,877,Warrington,148,42,84,0,0,0,0,7,0,0,0,9,0,x,x,0,0,x,0,0,0,0
LA,878,Devon,359,17,188,0,x,0,x,6,38,0,0,17,75,x,x,x,0,x,0,0,0,0
LA,879,Plymouth,234,7,141,0,0,0,x,x,33,0,0,x,26,x,0,6,x,x,0,0,x,7
LA,880,Torbay,97,x,84,0,0,0,0,x,x,0,0,x,0,0,x,x,0,x,0,0,x,0
LA,881,Essex,515,60,370,0,x,0,0,x,34,0,x,37,0,0,x,x,0,x,0,0,0,0
LA,882,Southend-on-Sea,81,6,64,0,0,0,0,x,x,0,0,x,0,x,x,0,0,0,0,0,x,0
LA,883,Thurrock,101,19,59,0,0,0,0,x,17,0,x,0,0,x,0,x,0,x,0,0,0,0
LA,884,Herefordshire,47,x,41,x,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,0,0,0
LA,885,Worcestershire,234,31,143,0,0,0,0,11,6,0,0,30,x,0,x,0,x,0,0,0,x,0
LA,886,Kent,780,23,483,0,0,0,x,11,109,0,x,23,102,x,x,x,x,x,0,0,x,10
