geog_l,geog_c,geog_n,MarTotal_2010,Mid2009Pop0-17,MarPlace_Q1_2010,MarPlace_Q2_2010,MarPlace_A3_2010,MarPlace_A4_2010,MarPlace_A5_2010,MarPlace_A6_2010,MarPlace_P1_2010,MarPlace_P2_2010,MarPlace_P3_2010,MarPlace_K1_2010,MarPlace_K2_2010,MarPlace_H5_2010,MarPlace_R1_2010,MarPlace_R2_2010,MarPlace_R3_2010,MarPlace_R5_2010,MarPlace_S1_2010,MarPlace_M1_2010,MarPlace_M2_2010,MarPlace_M3_2010,MarPlace_Z1_2010
LA,356,Stockport,317,60100,0,x,0,18,x,0,35,0,x,x,24,x,0,47,177,0,x,0,0,x,0
LA,357,Tameside,352,47900,0,0,0,17,0,0,32,0,0,0,50,9,x,53,187,x,0,0,x,0,0
LA,358,Trafford,249,48100,0,0,0,8,x,0,25,0,0,0,27,11,0,53,114,x,x,x,x,x,x
LA,359,Wigan,518,66300,0,0,x,21,0,x,78,0,0,0,67,x,0,99,244,0,x,x,x,0,0
LA,370,Barnsley,245,48600,0,0,0,18,x,0,20,0,0,0,20,17,x,28,134,x,0,x,0,x,0
LA,371,Doncaster,466,63300,0,x,x,14,x,7,49,0,0,0,39,12,0,56,265,x,x,x,x,13,0
LA,372,Rotherham,406,56000,0,x,x,27,x,x,33,0,0,0,24,12,0,30,257,x,x,0,x,x,0
LA,373,Sheffield,578,106200,0,x,x,36,x,x,68,0,x,0,40,20,0,18,361,0,x,0,x,19,0
LA,380,Bradford,885,128500,0,x,x,17,x,x,86,0,x,0,113,28,0,198,424,0,0,x,x,x,0
LA,381,Calderdale,270,45600,0,x,x,12,0,0,27,0,0,0,12,x,0,36,172,0,0,0,0,6,x
LA,382,Kirklees,555,94000,0,7,0,12,14,0,48,0,0,0,81,20,0,36,312,10,0,x,0,10,x
LA,383,Leeds,1417,151800,0,x,x,31,0,7,125,0,x,x,169,76,0,229,754,x,x,x,x,x,0
LA,384,Wakefield,375,68500,x,x,8,12,0,0,27,0,0,0,18,16,0,44,244,0,x,0,x,0,0
LA,390,Gateshead,301,38600,0,0,x,12,0,x,11,0,0,0,7,x,0,21,222,7,0,0,0,6,x
LA,391,Newcastle Upon Tyne,523,52000,0,0,x,28,12,x,44,0,0,0,21,8,0,16,384,x,0,0,0,x,0
LA,392,North Tyneside,275,39700,0,0,0,15,x,0,25,0,0,0,16,x,0,34,172,0,0,0,0,x,0
LA,393,South Tyneside,294,30500,0,0,x,15,x,0,24,0,0,0,22,x,0,28,194,x,x,0,0,x,0
LA,394,Sunderland,392,56900,0,x,0,30,0,0,44,0,0,x,14,x,0,34,261,x,0,0,x,0,0
LA,420,Isles of Scilly,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,800,Bath and North East Somerset,138,34200,0,0,0,x,x,x,x,0,0,0,x,x,0,14,110,x,0,0,x,x,0
LA,801,"Bristol, City of",648,80400,0,x,x,21,x,8,34,0,0,0,24,6,0,86,443,x,x,0,x,16,0
LA,802,North Somerset,228,42700,0,0,0,15,0,0,13,0,0,x,7,x,0,27,155,x,0,x,x,0,0
LA,803,South Gloucestershire,185,55800,0,x,0,x,0,x,x,0,0,0,14,13,0,18,110,11,x,x,0,7,0
LA,805,Hartlepool,166,20600,0,0,0,14,0,0,x,0,0,0,6,x,0,7,129,x,0,0,0,x,0
LA,806,Middlesbrough,325,31400,0,x,0,16,x,0,22,0,0,0,20,x,0,39,208,6,0,0,0,9,0
LA,807,Redcar and Cleveland,157,29000,0,0,0,x,x,0,x,0,0,0,0,6,0,22,110,x,0,0,0,x,0
LA,808,Stockton-On-Tees,287,42500,0,0,0,7,0,0,20,0,0,0,11,x,0,39,201,0,x,0,x,x,0
LA,810,"Kingston Upon Hull, City of",573,54000,0,0,x,30,6,x,43,0,0,0,50,17,0,65,356,0,0,0,x,0,0
LA,811,East Riding of Yorkshire,275,65400,0,x,0,x,x,0,20,0,0,0,13,x,0,41,185,0,0,0,x,x,0
LA,812,North East Lincolnshire,153,34700,0,x,x,8,0,x,20,0,0,0,x,x,0,0,119,0,0,0,0,0,0
LA,813,North Lincolnshire,160,34300,0,x,0,15,x,0,x,0,0,0,x,x,0,7,106,0,0,0,0,x,0
LA,815,North Yorkshire,470,121300,0,x,0,x,0,x,22,0,0,0,48,7,0,62,301,x,0,0,x,15,0
