Geog_lev,Geog_code,Geog_name,Overall_1,Infogath_1,needsanalysis_1,procedure_1,protocol_1,needassess_1,Overall_2,Infogath_2,needsanalysis_2,procedure_2,protocol_2,needassess_2,Overall_3,Infogath_3,needsanalysis_3,procedure_3,protocol_3,needassess_3,Overall_4,Infogath_4,needsanalysis_4,procedure_4,protocol_4,needassess_4,Overall_5,Infogath_5,needsanalysis_5,procedure_5,protocol_5,needassess_5,Overall_6,Infogath_6,needsanalysis_6,procedure_6,protocol_6,needassess_6,Overall_7,Infogath_7,needsanalysis_7,procedure_7,protocol_7,needassess_7
LA,880,Torbay,10,2,2,2,2,2,8,1,2,2,2,1,8,1,2,2,2,1,8,1,2,2,2,1,8,1,1,3,2,1,-,-,-,-,-,-,12,2,2,3,2,3
LA,908,Cornwall,10,2,2,2,3,1,9,2,2,1,2,2,9,2,2,1,3,1,6,1,1,1,2,1,8,2,2,1,2,1,9,1,2,3,2,1,9,1,2,3,2,1
LA,916,Gloucestershire,10,2,2,1,2,3,12,2,3,2,2,3,12,2,3,2,2,3,11,2,2,2,2,3,11,2,2,2,2,3,11,2,2,2,2,3,11,2,2,2,2,3
LA,933,Somerset,8,1,1,1,3,2,8,1,1,1,3,2,8,1,1,1,3,2,10,2,2,1,3,2,11,2,2,2,3,2,11,2,2,2,3,2,11,2,2,2,3,2
LA,330,Birmingham,9,2,2,2,1,2,11,3,3,2,1,2,11,3,3,2,1,2,-,-,-,-,-,-,13,3,3,3,2,2,-,-,-,-,-,-,12,3,2,2,2,3
LA,331,Coventry,7,0,1,2,2,2,8,1,1,2,2,2,7,1,1,2,1,2,9,1,2,2,2,2,9,1,2,2,2,2,9,1,2,2,2,2,9,1,2,2,2,2
LA,332,Dudley,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,6,1,2,1,1,1,6,1,2,1,1,1,6,1,2,1,1,1,-,-,-,-,-,-
LA,333,Sandwell,7,1,1,1,3,1,7,1,1,1,3,1,7,1,1,1,3,1,7,1,1,1,3,1,7,1,1,1,3,1,7,1,1,1,3,1,6,1,1,1,2,1
LA,334,Solihull,3,0,1,0,1,1,7,1,2,1,2,1,8,1,3,1,2,1,9,2,3,1,2,1,5,1,1,1,1,1,6,1,1,2,1,1,10,2,2,3,1,2
LA,335,Walsall,7,1,1,1,2,2,10,2,2,2,2,2,11,2,3,2,2,2,12,2,3,3,2,2,12,2,3,3,2,2,11,3,2,2,2,2,11,3,2,2,2,2
LA,336,Wolverhampton,3,1,0,1,1,0,8,3,2,1,1,1,9,2,3,1,2,1,6,1,2,1,1,1,11,2,3,3,2,1,11,2,3,3,2,1,11,3,3,2,2,1
LA,860,Staffordshire,10,3,2,2,2,1,11,3,3,2,2,1,11,3,3,2,2,1,9,3,1,2,2,1,10,3,2,2,2,1,12,3,2,3,3,1,12,3,2,3,3,1
LA,861,Stoke-on-Trent,10,2,2,2,2,2,10,2,2,2,2,2,13,3,3,2,2,3,14,3,3,2,3,3,15,3,3,3,3,3,15,3,3,3,3,3,-,-,-,-,-,-
LA,884,Herefordshire,0,0,0,0,0,0,3,1,0,1,1,0,5,1,1,1,1,1,7,1,2,2,2,0,10,1,2,2,3,2,12,2,2,2,3,3,9,1,3,2,2,1
LA,885,Worcestershire,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,10,2,2,2,2,2,8,1,1,2,3,1,8,1,1,2,3,1,-,-,-,-,-,-
LA,893,Shropshire,5,1,1,1,1,1,6,2,1,1,1,1,7,2,2,1,1,1,9,2,2,2,2,1,7,1,2,1,2,1,8,2,2,1,2,1,12,3,3,2,2,2
LA,894,Telford and Wrekin,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,8,2,2,1,2,1,8,2,3,1,1,1,9,2,3,1,1,2,9,2,2,2,2,1
LA,937,Warwickshire,5,1,1,1,1,1,5,1,1,1,1,1,7,2,2,1,1,1,8,2,2,1,2,1,9,2,2,2,2,1,9,2,2,2,2,1,9,2,2,2,2,1
LA,370,Barnsley,10,1,2,3,2,2,10,1,2,3,2,2,10,1,2,3,2,2,13,2,3,3,2,3,13,2,3,3,2,3,13,2,3,3,2,3,-,-,-,-,-,-
LA,371,Doncaster,-,-,-,-,-,-,9,2,2,2,2,1,12,2,2,3,3,2,12,2,2,3,3,2,3,0,1,1,0,1,3,0,1,1,0,1,8,1,2,2,2,1
LA,372,Rotherham,14,3,2,3,3,3,14,3,2,3,3,3,14,3,2,3,3,3,14,3,2,3,3,3,11,2,2,2,2,3,11,2,2,2,2,3,-,-,-,-,-,-
LA,373,Sheffield,9,1,1,2,2,3,9,1,1,2,2,3,10,2,1,2,2,3,10,2,1,2,2,3,10,2,1,2,2,3,11,2,2,2,2,3,11,2,2,2,2,3
LA,380,Bradford,-,-,-,-,-,-,-,-,-,-,-,-,8,1,2,1,2,2,8,1,2,1,2,2,8,1,2,1,2,2,9,1,2,2,2,2,9,1,2,2,2,2
LA,381,Calderdale,-,-,-,-,-,-,4,1,1,0,1,1,4,1,1,0,1,1,5,1,1,1,1,1,5,1,1,1,1,1,8,2,1,1,2,2,-,-,-,-,-,-
LA,382,Kirklees,13,2,2,3,3,3,13,2,2,3,3,3,13,2,2,3,3,3,-,-,-,-,-,-,13,2,2,3,3,3,13,2,2,3,3,3,-,-,-,-,-,-
LA,383,Leeds,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,6,1,1,2,1,1,10,2,2,2,2,2,10,2,2,2,2,2
LA,384,Wakefield,11,2,3,3,2,1,11,2,3,3,2,1,11,2,3,3,2,1,11,2,3,3,2,1,12,3,3,3,2,1,12,3,3,3,2,1,12,3,3,3,2,1
LA,810,"Kingston Upon Hull, City of",11,2,3,1,2,3,11,2,3,1,2,3,11,2,3,1,2,3,11,2,3,1,2,3,11,2,3,1,2,3,-,-,-,-,-,-,11,2,3,1,2,3
LA,811,East Riding of Yorkshire,6,1,2,1,1,1,6,1,2,1,1,1,6,1,2,1,1,1,8,2,2,2,1,1,11,2,2,3,2,2,12,2,2,3,2,3,12,2,2,3,2,3
LA,812,North East Lincolnshire,11,3,1,3,3,1,11,3,1,3,3,1,11,3,1,3,3,1,12,3,2,3,3,1,13,3,3,3,3,1,13,3,3,3,3,1,13,3,3,3,3,1
LA,813,North Lincolnshire,6,1,1,1,2,1,12,2,2,3,3,2,13,3,3,3,3,1,13,3,3,3,3,1,14,3,3,3,3,2,-,-,-,-,-,-,-,-,-,-,-,-
LA,815,North Yorkshire,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,7,1,1,2,2,1,7,1,1,2,2,1,7,1,1,2,2,1,8,2,1,2,2,1
LA,816,York,4,0,1,1,2,0,4,0,1,1,2,0,4,0,1,1,2,0,5,0,1,1,2,1,6,1,1,1,2,1,7,1,1,1,2,2,-,-,-,-,-,-
